Frame#,Time,L.Thigh.x,L.Thigh.y,L.Thigh.z,L.Knee.x,L.Knee.y,L.Knee.z,L.Knee.Medial.x,L.Knee.Medial.y,L.Knee.Medial.z
1,0,105.84145,232.56686,549.08618,262.95886,240.18973,472.25726,282.52182,109.67905,473.4585
2,0.008,105.61767,232.67206,549.22137,262.50189,240.73766,471.97351,282.69339,110.24267,473.54987
3,0.017,105.15284,233.02852,549.11835,262.67529,241.29863,471.97244,282.16895,111.49075,472.93759
4,0.025,105.35784,233.32787,549.31281,262.37326,241.5952,471.88919,282.23819,111.86552,472.91547
5,0.033,105.22746,233.42798,549.09399,262.54224,241.83311,472.08063,282.49673,112.04933,473.47894
6,0.042,105.22746,233.42798,549.09399,262.54224,241.83311,472.08063,282.43945,112.68849,473.32895
7,0.05,105.10443,233.51508,549.04279,262.67932,242.11324,472.02948,282.43945,112.68849,473.32895
8,0.058,105.32259,233.78708,548.96082,262.6073,242.28296,471.98355,282.6358,112.83942,473.19983
9,0.067,105.18725,233.85002,548.93475,262.6073,242.28296,471.98355,282.6358,112.83942,473.19983
10,0.075,105.32259,233.78708,548.96082,262.67932,242.11324,472.02948,283.28061,112.78899,473.1488
11,0.083,105.58778,234.14267,549.01385,262.97983,241.8282,472.10248,283.71539,112.98543,473.26599
12,0.092,105.7108,234.05562,549.065,262.90942,241.96075,472.22363,284.51385,112.00891,473.93256
13,0.1,105.7108,234.05562,549.065,262.90942,241.96075,472.22363,284.99579,111.72255,474.3576
14,0.108,105.7108,234.05562,549.065,263.45761,241.41209,472.31747,285.57071,111.19924,474.67734
15,0.117,106.28722,234.1302,549.25952,264.13028,241.12445,472.29181,285.94202,110.93915,474.81268
16,0.125,106.48883,234.08029,549.3913,264.66333,240.93567,472.38882,286.31332,110.67887,474.94809
17,0.133,106.66185,234.11823,549.53595,265.45587,241.64445,472.81046,286.56784,110.58371,474.84042
18,0.142,106.88556,234.01309,549.40088,265.82922,241.51137,473.05774,286.68631,110.82208,474.47308
19,0.15,106.88556,234.01309,549.40088,266.55231,241.37759,473.00595,287.22421,110.86131,474.82693
20,0.158,107.2268,233.71359,549.56982,266.72092,241.61589,473.19745,287.41049,111.06979,474.78934
21,0.167,107.57964,233.52089,549.66968,267.29541,241.50003,473.34494,287.58563,111.26077,474.6785
22,0.175,108.06193,233.65277,549.77911,267.29541,241.50003,473.34494,287.78702,111.46172,474.60065
23,0.183,108.7336,233.33574,549.82855,267.41589,241.95526,473.31119,288.55261,111.67366,474.84598
24,0.192,108.85055,233.23007,549.71484,267.83047,242.6208,473.52078,289.61813,111.73663,474.93173
25,0.2,109.15928,233.42917,549.99561,267.95117,242.64012,473.47656,289.85156,111.87144,475.09143
26,0.208,109.76239,233.42284,550.27576,268.0863,242.65971,473.42905,290.19107,111.81837,475.03406
27,0.217,109.8914,233.66063,550.24573,268.0863,242.65971,473.42905,290.37366,111.84995,474.6496
28,0.225,109.8914,233.66063,550.24573,268.74072,242.34683,473.03436,290.37366,111.84995,474.6496
29,0.233,109.8914,233.66063,550.24573,269.02719,242.24513,473.07996,290.45685,112.29797,474.43991
30,0.242,110.09772,233.89549,550.29388,269.24045,242.3681,472.63666,290.50034,111.87643,474.48279
31,0.25,110.26099,233.90147,550.24988,269.08777,241.97411,472.31494,290.50034,111.87643,474.48279
32,0.258,110.2345,233.91371,549.84613,269.25781,241.89972,472.1662,290.50034,111.87643,474.48279
33,0.267,110.09731,234.19722,549.6629,269.1774,241.72485,471.81921,290.26831,111.77279,474.35938
34,0.275,110.37424,234.31219,549.14368,269.10623,241.50055,471.71124,290.21033,111.58675,474.64093
35,0.283,110.27309,234.40688,548.65259,269.00565,241.05067,471.17307,289.33759,111.27049,474.77844
36,0.292,110.17667,234.07883,548.00287,268.78464,239.87737,470.96539,288.71439,110.87428,474.71988
