Frame#,Time,R.Thigh.x,R.Thigh.y,R.Thigh.z,R.Thigh.Front.x,R.Thigh.Front.y,R.Thigh.Front.z,R.Knee.x,R.Knee.y,R.Knee.z,R.Knee.Medial.x,R.Knee.Medial.y,R.Knee.Medial.z
1,0,78.74678,-169.58803,553.54309,268.73083,-107.10936,549.755,275.31641,-174.12404,464.07028,293.14566,-46.4018,452.3743
2,0.008,78.77373,-169.83952,552.91443,269.10068,-106.69037,548.93933,275.66144,-174.23769,463.4657,293.8688,-46.0206,452.25922
3,0.017,78.93678,-169.86171,551.96698,269.48486,-106.43302,548.39233,275.90179,-173.67451,462.90295,293.98932,-45.84448,452.17413
4,0.025,79.3419,-169.84717,551.37103,269.90552,-106.50956,548.02423,276.11722,-172.75262,462.72998,294.36191,-44.96616,452.21243
5,0.033,79.68405,-169.75597,551.03394,270.33002,-105.76569,547.90088,276.22366,-171.84956,462.31067,295.11407,-43.65615,451.60098
6,0.042,80.6869,-169.19202,550.75232,270.98984,-104.61008,547.71143,277.71893,-170.88181,461.95767,294.63187,-42.2429,451.32413
7,0.05,81.21844,-168.99715,550.73114,271.89429,-103.30173,547.30713,277.97015,-170.54276,462.05972,294.53885,-41.68682,450.58118
8,0.058,81.782,-169.66173,551.5094,272.35397,-101.55099,547.14514,278.49292,-169.05473,462.07773,294.87366,-40.62735,450.45898
9,0.067,82.52409,-168.87877,551.86694,272.94702,-100.54655,547.02051,279.14648,-167.85167,461.93927,295.75143,-39.81853,449.92404
10,0.075,83.27505,-167.68315,552.18536,273.76404,-99.28079,547.04297,281.00546,-167.34746,462.4325,296.16885,-39.15541,449.36298
11,0.083,84.2163,-166.72595,552.66455,273.99908,-98.73337,547.06549,281.09283,-166.82408,462.306,296.57593,-38.60109,449.13141
12,0.092,84.90311,-166.02437,553.08154,274.82425,-96.91094,546.88232,282.25223,-166.30516,462.42798,297.19193,-37.38435,448.52725
13,0.1,85.87865,-165.33975,553.64764,275.72162,-95.76096,546.776,282.87061,-165.23657,462.48715,297.358,-36.40149,448.04132
14,0.108,86.55389,-164.97647,553.95111,276.2265,-95.15164,546.41205,283.55054,-164.55602,462.3786,298.17319,-36.22536,447.91235
15,0.117,87.141,-163.57396,554.30627,276.99646,-93.98571,546.0177,284.35382,-163.69388,462.3273,298.45334,-35.53613,447.64325
16,0.125,88.3019,-163.2804,554.18103,277.86136,-93.60917,545.57721,284.77716,-163.11263,462.31714,299.29108,-34.10912,447.39835
17,0.133,88.81369,-162.59453,554.14423,278.41928,-92.85241,545.57257,285.3132,-162.8625,462.10202,299.90259,-32.86808,446.85596
18,0.142,89.16238,-162.12874,553.95685,279.15457,-91.52812,545.40637,285.58051,-162.62572,461.83688,299.58627,-33.38961,446.8096
19,0.15,89.64819,-161.85426,553.98956,280.0654,-91.66872,545.25995,286.82343,-162.07895,461.76517,301.06952,-32.40084,446.78207
20,0.158,90.70005,-161.68526,553.71692,280.75525,-91.31821,544.953,287.21399,-161.99277,461.76434,301.31549,-32.34134,446.31509
21,0.167,91.2126,-161.75578,553.32019,281.29971,-90.76449,544.83478,288.37085,-161.45105,461.53989,302.32135,-32.53449,445.78116
22,0.175,92.2818,-161.96584,552.7757,281.65268,-90.74969,544.67242,289.13312,-161.39803,461.59677,302.34766,-31.99642,445.68256
23,0.183,92.63143,-162.04926,552.64178,281.9295,-90.76115,544.64752,289.44702,-160.72473,461.56274,303.19016,-32.00646,445.93594
24,0.192,93.33047,-162.21078,552.4812,282.54169,-90.66071,544.71045,289.45645,-159.10303,461.09998,303.66098,-31.39221,445.85693
25,0.2,93.60394,-162.27811,552.46899,282.97086,-89.83785,544.37061,290.24997,-158.89291,460.75897,304.45926,-31.51792,445.90808
26,0.208,93.86599,-162.06221,552.59991,283.37793,-89.7906,544.37183,290.24997,-158.89291,460.75897,304.89816,-31.31655,446.15149
27,0.217,94.16771,-162.11855,552.67657,283.52142,-89.75904,544.19586,290.30341,-158.50243,460.70554,305.31717,-30.93024,446.14096
28,0.225,94.43023,-161.49699,552.83972,283.72552,-89.36391,544.15582,290.39343,-158.37189,460.56979,305.31717,-30.93024,446.14096
29,0.233,94.67047,-161.32355,552.87299,283.81952,-89.4788,544.28076,290.59576,-158.71437,460.60126,305.64008,-30.7411,446.23541
30,0.242,94.93765,-160.84569,553.00195,284.1557,-88.70338,544.44043,290.68301,-157.39471,460.43991,305.69147,-30.56595,446.13031
31,0.25,94.84308,-160.82318,553.00244,284.28406,-88.50186,544.53204,290.73575,-158.11444,460.72961,305.69147,-30.56595,446.13031
32,0.258,94.80499,-160.34705,553.07538,284.43094,-88.33453,544.76343,290.78275,-157.64493,460.65714,305.59491,-30.02984,446.64459
33,0.267,94.87955,-160.23289,553.16052,284.38904,-88.13077,544.70721,290.73346,-157.09067,461.13278,305.85886,-29.32222,446.93979
34,0.275,94.94667,-159.90004,553.08441,284.62537,-87.23862,545.08337,291.11044,-156.64067,461.14551,305.8541,-29.00068,446.96381
35,0.283,94.95824,-159.79593,553.1579,284.27118,-86.89452,545.40234,291.27322,-156.19139,461.45602,305.6857,-28.76523,447.01437
36,0.292,94.80888,-159.75912,553.16461,284.30142,-86.11142,545.76123,291.66119,-155.79095,461.82962,305.58023,-27.98055,447.02719
37,0.3,94.82417,-159.13597,552.97418,284.30536,-85.99998,546.02722,291.79495,-155.63203,461.90271,305.40085,-27.61201,446.84424
38,0.308,94.8101,-158.13307,553.05707,283.99033,-85.75047,546.12573,291.67758,-155.35178,462.3772,304.78485,-26.58475,446.92813
39,0.317,94.61846,-157.68881,552.81335,283.68613,-84.86184,546.51587,291.29965,-154.4341,462.85175,304.44901,-25.84816,446.83658
40,0.325,94.19814,-157.19589,552.7536,283.06802,-84.39523,546.57709,291.23795,-154.15395,463.06168,304.02036,-25.64497,446.9726
41,0.333,93.93021,-157.0302,552.86633,282.26389,-82.83331,546.66187,290.68137,-153.08038,463.17249,302.86588,-24.56945,447.26917
42,0.342,93.38192,-157.22517,552.87354,281.8132,-82.56732,547.0285,290.69559,-153.11197,463.49158,302.37787,-24.43687,447.37534
43,0.35,93.03366,-157.11331,552.90948,281.55182,-82.01622,546.98224,290.37735,-152.81857,464.0036,302.1507,-24.41548,447.35498
44,0.358,92.66721,-156.9287,553.09613,281.6225,-81.3773,547.29144,289.8407,-151.79416,464.12598,301.4935,-23.851,447.46286
45,0.367,92.34266,-156.62102,553.32379,281.40582,-81.31741,547.36407,289.1409,-151.26949,464.80417,301.26346,-23.36964,447.72009
46,0.375,92.09166,-156.29115,553.25061,281.00317,-80.91529,547.70013,288.97501,-150.26434,464.6763,301.02841,-22.69687,447.94901
47,0.383,91.68051,-156.00493,553.19867,280.63513,-80.63952,547.7522,288.918,-149.85037,465.04056,301.05417,-22.56863,447.83588
48,0.392,91.58111,-154.71014,553.63251,279.59244,-79.91066,547.82764,288.56934,-149.5748,465.18576,300.7677,-21.60161,447.72614
49,0.4,91.39688,-154.41037,553.67969,279.45541,-79.43201,547.96484,288.21854,-148.93074,465.12039,299.81268,-20.90223,447.48422
50,0.408,91.22898,-154.22771,553.73663,279.09839,-78.64715,547.96503,287.8364,-148.84016,465.38452,299.03738,-20.49933,447.87408
51,0.417,90.9732,-153.54449,553.56158,278.71814,-78.50853,547.94189,287.8364,-148.84016,465.38452,298.30878,-20.34142,447.76852
52,0.425,90.91237,-153.66347,553.64661,278.17719,-78.14561,548.00983,287.491,-148.83488,465.5965,298.22534,-19.9399,447.79974
53,0.433,90.89458,-153.56685,553.72058,278.13153,-77.54765,547.99103,287.70804,-148.79427,466.10168,297.81564,-19.84918,447.78351
54,0.442,90.89458,-153.56685,553.72058,277.73947,-77.44859,548.28174,287.23337,-148.85669,467.07318,297.94952,-19.45667,448.16425
55,0.45,90.56116,-153.44298,553.87329,277.42511,-77.63931,548.71423,287.18152,-148.31352,467.01154,297.89221,-19.32382,448.33871
56,0.458,90.03923,-153.39877,553.69513,277.15262,-77.53542,549.07587,286.71735,-148.74825,467.15967,297.79773,-19.40198,448.40717
57,0.467,89.91241,-153.47372,553.76221,276.98511,-77.45956,549.32153,286.6745,-148.7197,467.25964,297.57349,-19.4181,448.42014
58,0.475,89.91241,-153.47372,553.76221,276.742,-77.6801,549.698,286.48911,-148.66606,467.52084,297.28909,-19.16658,448.59369
59,0.483,89.73473,-153.4847,553.90167,276.68518,-77.47205,549.7074,286.38507,-148.64009,467.57733,297.11957,-19.1199,448.82367
60,0.492,89.73473,-153.4847,553.90167,276.12662,-77.23683,549.8327,286.46133,-148.57167,467.94269,296.86731,-19.41801,449.29016
61,0.5,89.48473,-153.46426,553.9809,276.06009,-77.17054,549.89105,286.36658,-148.59511,468.36398,296.8287,-19.54678,449.40399
62,0.508,89.37386,-153.78043,554.01581,276.03622,-76.8004,550.12036,286.31512,-147.90042,468.43472,296.53683,-19.65582,449.37335
63,0.517,89.35821,-153.6756,553.97662,276.03622,-76.8004,550.12036,286.31512,-147.90042,468.43472,296.60562,-19.82068,449.66431
64,0.525,89.48473,-153.46426,553.9809,276.02063,-76.84164,550.29169,286.31512,-147.90042,468.43472,296.54279,-19.32626,449.29657
65,0.533,89.5782,-153.52051,554.10052,276.08981,-76.35847,550.40509,286.27802,-147.74393,468.86844,296.30524,-18.63372,449.51544
66,0.542,89.5782,-153.52051,554.10052,276.14691,-76.15758,550.43311,286.59845,-147.39015,468.6351,296.54929,-18.80295,449.27151
67,0.55,89.41853,-153.02779,553.80426,276.12125,-75.92966,550.37708,286.47845,-147.09616,468.79669,296.41684,-18.49678,449.38522
68,0.558,89.50131,-153.02382,553.87598,276.12125,-75.92966,550.37708,286.47845,-147.09616,468.79669,296.41684,-18.49678,449.38522
69,0.567,89.5011,-152.71541,554.03656,276.18158,-75.97517,550.49677,286.60831,-146.95628,468.88638,296.45538,-18.36808,449.27142
70,0.575,89.5011,-152.71541,554.03656,276.07993,-75.66288,550.69666,286.60831,-146.95628,468.88638,296.30524,-18.63372,449.51544
71,0.583,89.5011,-152.71541,554.03656,276.07993,-75.66288,550.69666,286.31448,-146.68008,469.1557,296.22983,-18.81584,449.87842
72,0.592,89.5011,-152.71541,554.03656,276.04251,-75.6094,551.06055,286.49869,-146.46231,469.21344,296.18594,-18.54546,449.98752
73,0.6,89.30125,-152.88284,554.29462,276.21347,-75.29766,551.18188,286.49869,-146.46231,469.21344,296.01315,-18.67768,450.06839
74,0.608,89.22649,-152.75191,554.48071,276.15799,-75.17011,551.33563,286.21399,-146.79587,470.63589,296.06308,-19.30568,450.3121
75,0.617,89.35953,-153.12897,555.05463,276.10657,-75.09757,551.70453,286.53894,-147.4153,471.08081,296.12576,-19.42746,450.42023
76,0.625,89.33183,-153.46613,555.22784,276.02454,-75.29875,551.8775,286.45642,-147.98224,471.30679,296.04675,-19.83365,450.47882
77,0.633,89.30126,-153.46976,555.41882,276.10132,-75.33668,552.12341,286.45642,-147.98224,471.30679,296.71329,-20.41193,450.95355
78,0.642,89.11813,-153.589,555.48163,276.10132,-75.33668,552.12341,286.45642,-147.98224,471.30679,296.5517,-20.94195,451.14789
79,0.65,88.80367,-153.83913,555.55756,275.87088,-76.23589,552.69836,286.46457,-148.59245,471.36844,296.59546,-21.21325,451.77298
80,0.658,88.52927,-154.36737,555.65009,275.95206,-76.67685,553.09216,286.23322,-148.88464,471.43387,296.40982,-22.37923,451.6958
81,0.667,88.26278,-154.74358,555.80042,275.82162,-77.42211,553.34576,286.03754,-150.30737,472.42612,295.78812,-23.567,451.84207
82,0.675,88.43626,-155.12822,556.17572,275.50845,-78.75354,553.76007,286.38065,-151.48714,473.43549,295.92343,-24.27234,451.91937
83,0.683,88.06353,-155.81104,556.49652,275.44229,-79.43105,554.14642,285.57639,-152.58064,474.61566,295.99054,-25.05103,452.4447
84,0.692,87.71605,-156.24385,556.88934,275.87292,-80.45792,554.6402,285.67157,-153.5929,475.09567,295.43506,-26.56797,452.66467
85,0.7,87.81387,-158.35199,557.63794,275.6918,-82.80383,554.73932,285.52298,-155.0428,475.27917,295.62216,-26.70122,452.78412
86,0.708,87.5903,-158.91399,557.80505,275.57465,-82.91125,554.9317,286.31714,-155.88297,475.59375,296.89053,-28.42881,453.9017
87,0.717,87.3374,-159.13237,558.06934,275.81586,-83.88532,555.73401,286.15961,-157.3627,475.91653,297.37302,-29.54288,454.41769
88,0.725,86.76204,-159.76767,557.97638,275.6839,-85.55914,556.00671,285.67746,-159.56,475.75,296.90887,-31.03343,454.1366
89,0.733,86.74169,-160.15604,558.25195,275.74866,-86.98515,555.98956,284.97815,-160.89682,475.8385,296.58069,-33.65506,453.94727
90,0.742,86.47127,-160.86452,558.47095,275.62466,-88.57565,556.0614,284.75986,-161.08966,475.80453,297.20529,-34.87933,454.24393
91,0.75,86.08334,-161.91028,558.388,275.0473,-90.29548,556.20819,284.53448,-162.72031,475.8732,298.207,-35.88091,454.98941
92,0.758,85.57152,-162.69815,558.04114,275.10825,-91.50799,556.48987,284.38608,-164.60396,475.92108,298.77707,-36.24039,455.78317
93,0.767,84.93864,-163.19591,558.17151,274.94351,-92.91315,556.59399,283.39603,-165.94435,476.13214,298.77078,-38.08334,455.73276
