Frame#,Time,R.Shank.x,R.Shank.y,R.Shank.z,R.Ankle.x,R.Ankle.y,R.Ankle.z,R.Ankle.Medial.x,R.Ankle.Medial.y,R.Ankle.Medial.z
1,0,164.89587,-185.07257,314.96481,53.72832,-193.96916,80.9856,131.81375,-126.32549,89.09735
2,0.008,165.13496,-184.46869,314.88315,54.2512,-193.24834,81.12653,132.11873,-125.61636,88.23302
3,0.017,164.97885,-184.36653,314.95264,54.61852,-193.10213,81.11074,132.45068,-125.30343,87.55328
4,0.025,164.96938,-184.44705,314.89749,54.66955,-191.8221,80.6671,132.5517,-125.12671,87.54211
5,0.033,164.96938,-184.44705,314.89749,54.98568,-191.31012,80.63084,133.73238,-125.61443,87.25749
6,0.042,164.84441,-184.33234,314.59711,55.00869,-191.17484,80.73818,133.88829,-124.44077,87.35673
7,0.05,165.00999,-184.35397,314.58276,55.00869,-191.17484,80.73818,134.76271,-125.15495,86.80739
8,0.058,164.84441,-184.33234,314.59711,54.82012,-190.92155,80.88433,134.76271,-125.15495,86.80739
9,0.067,164.84441,-184.33234,314.59711,54.94873,-190.98915,80.8135,134.76271,-125.15495,86.80739
10,0.075,164.84441,-184.33234,314.59711,54.82012,-190.92155,80.88433,134.76271,-125.15495,86.80739
11,0.083,164.84441,-184.33234,314.59711,54.94873,-190.98915,80.8135,134.75388,-125.4187,86.95499
12,0.092,164.84441,-184.33234,314.59711,55.00869,-191.17484,80.73818,134.65265,-125.52058,87.07643
13,0.1,165.00999,-184.35397,314.58276,55.02894,-191.26547,80.69605,134.65265,-125.52058,87.07643
14,0.108,165.46249,-184.14449,314.34476,55.02894,-191.26547,80.69605,134.65265,-125.52058,87.07643
15,0.117,165.43689,-183.90468,314.23425,55.02894,-191.26547,80.69605,134.65265,-125.52058,87.07643
16,0.125,165.58229,-183.70854,314.20169,54.98568,-191.31012,80.63084,134.44353,-125.61734,86.96841
17,0.133,165.81601,-183.70348,314.11038,55.05086,-191.60022,80.58002,134.82056,-126.19387,87.13445
18,0.142,165.99924,-183.7188,314.13712,54.99343,-192.06175,80.63268,134.82056,-126.19387,87.13445
19,0.15,166.16968,-183.73251,314.16489,54.83163,-192.47548,80.66632,134.56676,-126.82318,87.58658
20,0.158,165.96309,-183.8573,314.17017,54.83163,-192.47548,80.66632,134.34636,-127.07387,87.64654
21,0.167,165.96309,-183.8573,314.17017,54.7141,-192.70387,80.63343,134.24536,-127.25053,87.65769
22,0.175,165.82471,-183.82671,314.14014,54.41954,-193.25406,80.49266,133.29575,-126.30978,87.90282
23,0.183,165.71773,-183.98969,314.17755,54.15672,-193.84682,80.26038,133.20511,-126.6525,88.33837
24,0.192,165.89066,-184.11134,314.18835,53.74685,-194.23297,80.40966,132.82312,-126.11008,88.39206
25,0.2,165.86095,-184.29532,314.09174,53.66271,-194.20419,80.2993,132.59439,-127.13757,88.8757
26,0.208,165.89722,-185.09619,314.2803,53.36052,-194.34798,80.28176,132.31812,-127.08692,89.26663
27,0.217,165.90474,-185.21571,314.35202,53.184,-194.698,80.29865,132.18459,-127.24686,89.2485
28,0.225,165.97554,-185.52043,314.22238,53.0855,-194.66248,80.23933,132.30423,-127.25919,89.16459
29,0.233,165.8902,-186.27553,314.08264,53.21272,-195.51697,80.38699,131.9408,-127.57632,89.27915
30,0.242,166.07114,-186.59106,314.21863,52.65119,-195.72678,80.70882,131.38174,-128.03899,89.67561
31,0.25,166.17513,-187.49336,314.41919,52.50512,-196.1171,80.94048,131.09727,-128.19139,90.20644
32,0.258,166.33777,-187.55565,314.59055,52.1368,-196.46588,81.0185,130.54788,-128.29605,90.74281
33,0.267,166.38904,-187.94467,314.672,52.0739,-196.53444,81.15246,130.04582,-128.74007,90.73561
34,0.275,166.66559,-188.19769,314.52142,52.03924,-196.87007,81.05143,129.60201,-128.78517,90.60175
35,0.283,166.95433,-188.28886,314.86462,51.53556,-197.96594,81.37868,129.83682,-129.08025,90.71251
36,0.292,167.0896,-189.05971,314.78397,51.61709,-198.00758,81.48657,129.70399,-128.9575,90.86492
37,0.3,167.0424,-189.73996,314.92352,51.52882,-198.35176,81.57586,129.6019,-129.06909,90.93255
38,0.308,167.56526,-190.78612,314.97711,51.52882,-198.35176,81.57586,129.76477,-129.37849,91.16254
39,0.317,167.6875,-191.13545,314.93286,51.7977,-199.05327,81.70156,129.88737,-129.6001,91.40129
40,0.325,167.87001,-191.46173,314.98132,51.94039,-199.24048,81.88051,129.52203,-129.92627,91.55715
41,0.333,167.63861,-191.95412,315.01599,51.81488,-199.60968,82.37425,129.52203,-129.92627,91.55715
42,0.342,167.66896,-192.51012,315.10361,51.88597,-200.17706,82.63906,128.31987,-130.04425,92.43303
43,0.35,168.15883,-192.74617,315.38306,52.11515,-200.1552,82.77765,128.58513,-130.26242,92.66767
44,0.358,168.56602,-193.00137,315.43503,52.11515,-200.1552,82.77765,128.91823,-130.73631,92.7393
45,0.367,169.23874,-193.62862,315.8653,51.96458,-200.56017,83.05686,128.96912,-131.22504,92.66271
46,0.375,169.80037,-194.08145,315.72925,51.79848,-201.07866,83.26138,127.95525,-130.77246,93.54433
47,0.383,170.68013,-194.99341,316.18304,51.89428,-201.26651,83.36488,128.34229,-131.43164,94.31212
48,0.392,170.94366,-195.73781,316.01974,51.80904,-201.9257,83.49648,128.09363,-132.18092,94.41032
49,0.4,171.01668,-195.94031,315.69815,51.97737,-202.45433,83.35028,128.09572,-132.21545,94.63261
50,0.408,170.95294,-196.51624,315.85022,51.89882,-203.27763,83.65415,128.39197,-132.99565,94.88889
51,0.417,171.30942,-197.09198,315.9404,51.84108,-203.94949,83.78093,128.30083,-133.19159,95.30792
52,0.425,171.35365,-197.50496,316.12234,51.73349,-204.24734,84.30928,128.26436,-134.25203,95.91813
53,0.433,171.842,-198.4088,316.37216,51.8426,-204.81006,84.78564,127.81038,-134.61743,96.12514
54,0.442,172.43132,-198.81854,316.31476,51.86233,-205.45453,85.24845,126.71678,-133.95306,96.56023
55,0.45,172.37483,-199.03456,316.31818,51.71498,-205.80505,85.22483,127.31913,-134.75259,96.61757
56,0.458,172.52765,-201.64917,316.50204,51.60423,-206.24672,85.75791,127.03077,-134.98798,96.54767
57,0.467,173.52353,-201.92747,316.32123,51.58253,-206.41843,86.02721,126.90895,-135.13992,96.50122
58,0.475,173.81898,-202.18465,316.37375,51.40152,-206.88455,86.42424,125.72926,-134.76437,96.44077
59,0.483,175.32338,-202.69971,316.81137,51.80758,-207.67027,86.96711,125.72926,-134.76437,96.44077
60,0.492,175.92494,-202.84726,316.59979,51.55895,-208.32472,87.39711,125.17708,-135.1042,97.15166
61,0.5,175.98895,-203.26964,316.47543,51.46476,-208.4314,87.4722,125.37275,-135.23141,97.42742
62,0.508,176.12701,-202.56161,316.45728,51.89188,-209.03949,87.59712,125.38599,-135.64549,97.62814
63,0.517,176.54253,-202.69571,316.52243,52.10244,-209.44727,87.84323,126.56692,-137.57445,98.89874
64,0.525,176.45061,-203.31114,316.44882,52.28438,-210.0423,87.82469,126.22667,-138.091,99.13986
65,0.533,177.35588,-203.73878,316.65152,52.28438,-210.0423,87.82469,126.27262,-138.25299,99.31466
66,0.542,177.93036,-204.36519,316.82962,52.08161,-210.48743,87.94408,126.27262,-138.25299,99.31466
67,0.55,178.04669,-205.18451,316.72415,52.23119,-210.63,87.97686,125.6661,-138.27776,99.341
68,0.558,179.06494,-205.41156,316.68384,52.44569,-211.19077,88.21135,125.25206,-137.85536,99.66361
69,0.567,179.30013,-206.0354,316.81796,52.60909,-211.68082,88.63892,125.2316,-138.14755,100.06484
70,0.575,179.49344,-206.63866,316.83603,52.6053,-211.9166,88.90157,125.08044,-138.64941,100.9103
71,0.583,180.56909,-207.21657,316.94485,52.67711,-212.17273,89.37299,125.06336,-139.35713,101.85223
72,0.592,180.911,-207.84372,317.11829,52.6174,-212.24315,89.48764,125.25391,-139.09084,102.26508
73,0.6,180.99162,-208.17894,317.0433,52.73204,-212.87097,89.77843,125.48858,-139.25446,102.04144
74,0.608,181.69209,-208.75267,316.99451,53.09846,-213.03285,89.74338,125.14898,-139.32695,101.7719
75,0.617,182.07335,-209.26537,317.25168,53.16721,-213.39423,89.92348,124.7477,-139.49242,102.11537
76,0.625,183.12114,-210.20615,317.48016,52.99663,-213.76849,90.03307,125.22628,-139.97939,102.31126
77,0.633,183.47203,-211.10666,317.4552,52.99526,-213.89314,90.25584,124.87106,-139.94418,102.36753
78,0.642,183.92584,-211.54248,317.51624,52.81276,-214.21059,90.80016,124.93936,-140.40167,103.36378
79,0.65,184.42372,-211.76613,317.50232,52.83632,-214.70305,91.32681,124.83237,-140.48811,103.40895
80,0.658,185.14484,-212.47929,317.28021,52.76896,-215.55992,92.16888,125.22782,-140.73386,103.00931
