Frame#,Time,L.Forearm.x,L.Forearm.y,L.Forearm.z,L.Ulna.x,L.Ulna.y,L.Ulna.z,L.Radius.x,L.Radius.y,L.Radius.z
1,0,253.51749,305.69388,1060.09497,219.59138,323.0466,955.14905,309.315,294.41669,914.72424
2,0.008,253.54132,306.81268,1059.99023,220.2215,323.27771,954.79034,309.315,294.41669,914.72424
3,0.017,253.92532,306.93619,1059.90405,220.19879,323.491,954.53558,309.48981,294.45728,914.66364
4,0.025,253.92114,307.2019,1059.72925,221.06999,323.94479,954.7196,309.43649,294.73151,913.98907
5,0.033,254.36845,307.07007,1059.63782,221.35535,323.84714,954.44,310.3569,294.75146,913.62689
6,0.042,254.65393,306.88983,1059.47241,221.73466,323.94531,954.42572,310.45016,294.91965,913.43231
7,0.05,255.35471,307.6015,1059.23267,222.42639,324.517,954.19586,310.9722,294.86496,913.66345
8,0.058,255.72296,307.47284,1059.41382,222.59248,324.72546,954.09503,312.32602,295.11032,913.4646
9,0.067,256.38229,307.5195,1059.11804,222.59248,324.72546,954.09503,312.58609,294.96732,913.58832
10,0.075,257.3866,307.70248,1058.73767,223.99445,324.75302,952.6521,313.1395,295.30905,912.77112
11,0.083,258.26865,308.03519,1058.2915,224.57297,325.23877,952.45776,314.5033,294.33325,912.23492
12,0.092,258.59122,307.58163,1057.90381,226.04349,325.58701,952.33215,314.56128,294.46863,912.00275
13,0.1,258.64749,307.78519,1057.80908,226.16861,325.5683,952.22559,314.90143,294.55936,911.79327
14,0.108,259.8205,306.99588,1057.51147,226.32568,325.45837,952.34528,315.2052,294.92203,911.8255
15,0.117,261.08487,307.60474,1057.495,227.59969,325.31677,951.78882,315.90125,294.82663,911.06201
16,0.125,261.96597,307.02142,1056.8396,227.89055,325.24646,951.59961,316.76529,294.75012,910.69543
17,0.133,262.23685,306.89389,1056.94543,228.88196,325.12061,951.5603,318.03745,294.17523,910.69366
18,0.142,262.93991,306.62213,1056.98608,229.91565,324.47858,951.84174,318.49646,294.19421,910.79108
19,0.15,263.1611,307.05713,1057.17468,230.76834,324.59708,952.13123,318.93329,293.9494,911.31293
20,0.158,264.63245,306.18921,1057.16479,232.28897,323.67642,951.98718,319.57803,294.01837,911.5412
21,0.167,265.41025,305.44232,1057.3866,232.4024,323.4668,951.82465,321.63931,293.34457,911.17932
22,0.175,266.45206,305.57318,1057.48926,233.17172,323.51218,952.02325,323.26184,292.44809,911.47882
23,0.183,266.68124,305.42844,1057.44202,234.75801,323.57019,951.93011,325.10614,290.82623,912.41101
24,0.192,267.52777,305.37109,1058.14905,235.25819,323.57285,952.1925,325.22906,291.06854,912.49335
25,0.2,268.46069,305.2464,1058.3136,235.57169,322.94531,952.15491,326.18997,290.38522,912.67096
26,0.208,268.82162,305.03915,1058.22253,236.58792,322.20889,951.60626,326.62558,290.66309,912.58673
27,0.217,269.03857,304.96094,1058.21838,237.50043,321.87766,951.97687,327.25931,290.38144,913.49188
28,0.225,270.00485,304.85031,1058.40942,238.49403,321.85089,952.43414,327.72711,290.37445,913.87036
29,0.233,270.8501,304.53125,1058.43103,239.41721,322.10336,952.53503,328.05316,289.63843,914.62628
30,0.242,271.42978,304.86539,1058.42078,239.96132,321.80991,952.55914,328.72638,288.75021,914.81506
31,0.25,271.37073,305.04172,1058.6322,240.63812,321.40628,952.26648,329.86411,288.44345,915.03082
32,0.258,272.43069,304.85495,1059.03894,242.08006,320.74832,952.67468,330.6188,289.30698,914.99536
33,0.267,272.81409,305.47775,1059.08679,243.29117,320.65076,952.94269,331.56079,289.19791,915.01569
34,0.275,273.44415,305.06308,1059.48743,243.85011,320.77927,952.92682,332.24908,289.28815,915.1554
35,0.283,274.1062,304.86829,1059.5636,244.36133,320.86523,952.88269,332.5351,289.3663,915.39905
36,0.292,274.82782,305.51736,1059.65991,245.28598,321.15399,953.10992,333.25095,289.03534,915.7793
37,0.3,275.3772,305.24448,1059.69751,245.63062,321.67892,953.65393,334.89139,289.22968,916.11017
38,0.308,275.78217,305.68045,1060.151,246.27455,321.51636,953.59436,335.79584,289.42191,916.58655
39,0.317,276.37988,305.97644,1060.34998,248.20024,322.35217,953.84802,336.35733,289.55301,916.65033
40,0.325,276.45493,306.32831,1060.7738,248.5265,322.30914,953.86652,336.58054,289.4812,917.17651
41,0.333,277.05786,306.13623,1061.13354,248.61952,322.31659,954.0105,336.86435,289.60776,917.51422
42,0.342,277.39679,306.14624,1061.35693,248.61952,322.31659,954.0105,337.41089,289.46152,918.87872
43,0.35,277.57211,307.01816,1061.97742,249.25693,322.49503,954.30811,338.53912,289.85843,918.8576
44,0.358,277.57211,307.01816,1061.97742,250.55301,323.83975,954.76819,339.11618,290.39169,919.3725
45,0.367,277.43027,307.66312,1062.25696,250.49231,324.19492,954.72809,340.21591,291.18372,919.80884
46,0.375,277.79733,308.17261,1062.46204,250.97136,324.64453,954.59003,340.49139,291.9111,919.93616
47,0.383,277.48685,308.73746,1062.44836,250.74329,325.56479,954.76227,340.69308,292.21136,920.15198
48,0.392,277.5766,309.38123,1062.38611,250.8972,326.16278,955.33838,340.90634,293.37302,920.37994
49,0.4,277.66016,309.36169,1062.74634,250.54909,326.47598,955.73846,341.01355,294.33676,920.28998
50,0.408,277.16733,310.25232,1062.92053,250.08582,327.04062,956.01721,341.12701,295.25278,921.10583
51,0.417,277.23251,311.20526,1063.15186,250.05031,327.6535,956.42926,340.974,296.12875,921.05774
52,0.425,277.17957,311.6124,1063.12732,250.02766,328.42572,956.80902,341.18481,296.66998,921.37982
53,0.433,277.39865,312.44479,1063.28857,249.85555,328.72864,956.43542,341.26437,297.08469,921.3078
54,0.442,277.39865,312.44479,1063.28857,249.85555,328.72864,956.43542,341.0228,297.35861,921.46881
55,0.45,277.58432,312.71436,1063.28296,249.7942,328.92365,956.37048,341.20584,298.04477,921.51465
56,0.458,277.26151,312.97256,1063.40942,249.82747,329.18719,956.67413,341.01184,298.59894,921.5459
57,0.467,277.41861,313.2804,1063.45532,249.74449,329.84479,956.92145,340.4191,299.82004,921.45862
58,0.475,277.431,314.97571,1063.37097,250.01073,330.48914,956.87805,340.21017,301.64462,921.18842
59,0.483,277.431,314.97571,1063.37097,249.55701,331.48917,957.44226,339.80368,302.71564,920.83557
60,0.492,277.1861,315.70782,1063.07983,248.56731,332.62408,957.29266,339.31726,303.53638,920.474
61,0.5,277.32358,315.89053,1062.98047,247.92639,333.2883,957.34784,338.98523,303.95032,920.16962
62,0.508,277.05292,316.61697,1062.99951,247.21625,333.37079,957.28815,338.59717,304.29779,920.31433
63,0.517,277.05292,316.61697,1062.99951,246.78604,333.66882,956.94769,338.13382,304.40567,920.08008
64,0.525,277.05292,316.61697,1062.99951,246.78604,333.66882,956.94769,337.71243,304.7081,919.69769
65,0.533,277.05292,316.61697,1062.99951,246.43645,333.89392,956.797,336.48355,305.73672,918.94586
66,0.542,276.9277,316.87799,1062.88989,246.28064,333.85165,956.85498,335.97232,305.70377,918.74078
67,0.55,276.72452,316.9913,1062.84436,246.28809,334.26743,956.7948,336.00998,306.69846,918.57581
68,0.558,276.91739,316.73505,1062.55798,245.68489,335.0892,956.80267,335.89731,306.638,917.76703
69,0.567,276.55646,317.70395,1062.1947,244.67416,334.91254,956.63354,335.82031,306.71805,917.40826
70,0.575,276.20026,317.81039,1062.22839,244.65013,334.90555,955.94763,335.70279,306.99179,917.34467
71,0.583,275.83893,317.89093,1061.85828,244.84317,335.49841,955.41681,334.99808,307.64389,916.87671
72,0.592,275.9903,317.48941,1061.75305,243.87979,335.71503,954.84595,334.99808,307.64389,916.87671
73,0.6,275.90085,317.4744,1061.55933,243.65709,335.78384,954.61591,334.82858,306.88348,915.9519
74,0.608,275.89487,317.7421,1061.38428,243.60988,335.59616,954.53503,333.94641,307.57037,916.1701
75,0.617,275.58798,317.66483,1060.96704,243.14929,335.83774,954.49835,332.75217,307.41342,915.56818
76,0.625,275.8046,317.57718,1060.77747,242.82542,335.62991,954.33655,332.27213,307.07324,914.92499
77,0.633,275.9249,317.43265,1060.10608,243.03107,335.57529,954.185,331.82474,306.87341,914.68677
78,0.642,276.02829,317.32648,1059.83032,242.70468,335.19336,954.09039,331.82474,306.87341,914.68677
79,0.65,276.02829,317.32648,1059.83032,243.07088,334.58945,953.88422,331.91498,306.57269,913.80438
80,0.658,276.02829,317.32648,1059.83032,243.228,334.18347,953.95355,331.91498,306.57269,913.80438
81,0.667,276.02829,317.32648,1059.83032,243.7798,333.61426,953.59399,331.91498,306.57269,913.80438
82,0.675,275.58142,316.7179,1059.57251,243.65208,333.18454,953.39502,331.93985,305.09644,913.34204
83,0.683,275.67474,316.70721,1059.41113,243.80193,333.17355,953.39966,332.03586,304.75183,913.48883
84,0.692,276.19809,315.9519,1059.20752,243.61475,332.34036,953.35571,332.35272,304.36624,913.4054
85,0.7,276.2323,315.77271,1058.60889,243.68947,332.39148,953.29175,331.9733,303.75406,913.20099
86,0.708,276.54962,315.06445,1058.27209,243.6098,332.10239,953.34509,332.47757,303.21027,912.86963
87,0.717,276.39954,314.84219,1058.01062,243.89119,331.92691,953.34528,332.80542,303.08398,912.11847
88,0.725,277.06781,314.33389,1057.77991,244.07466,331.12677,953.211,333.34604,302.89215,912.00989
89,0.733,277.59406,313.79071,1057.60547,244.67494,330.34116,952.77216,333.68665,302.78693,911.62524
90,0.742,277.81577,313.64273,1057.50635,244.94411,329.31882,952.66583,334.32382,302.44696,911.52838
91,0.75,278.91476,312.81592,1057.17798,244.58871,328.27026,951.95825,334.56897,301.5527,911.36243
92,0.758,278.8233,312.58606,1057.00513,244.88577,328.11633,951.66779,334.6777,300.80112,911.44696
93,0.767,278.88394,312.32455,1057.1106,244.94405,327.98798,951.76355,334.61279,300.41687,911.45709
94,0.775,279.44873,312.06055,1057.01172,245.43459,327.42722,951.92554,335.39032,298.89136,911.37506
95,0.783,279.67215,311.7038,1057.06799,245.9315,326.76691,951.63055,335.88989,298.12717,911.02515
96,0.792,280.19519,311.67947,1056.82263,247.04524,326.10516,951.41614,337.28665,297.93716,911.40961
97,0.8,281.16162,310.18619,1057.10864,248.21281,325.80429,951.44629,337.35391,297.50229,911.1546
98,0.808,281.4339,310.25519,1057.18542,248.61743,325.15485,951.78479,337.58542,297.47372,911.1571
99,0.817,281.56763,310.15601,1057.24573,248.80917,324.48392,951.60181,337.89294,297.30911,911.10547
100,0.825,282.69345,308.80389,1057.2478,249.33403,324.40866,951.61908,338.12811,297.26462,911.12366
101,0.833,283.21579,308.7854,1057.01575,249.68936,324.14777,951.72809,338.80222,296.62024,911.29169
