Frame#,Time,V.Sacral.x,V.Sacral.y,V.Sacral.z,R.ASIS.x,R.ASIS.y,R.ASIS.z,L.ASIS.x,L.ASIS.y,L.ASIS.z
1,0,1829.17993,174.31068,982.11096,1661.44019,369.14697,956.05176,1681.24768,-19.15294,962.81342
2,0.008,1823.06409,172.29459,982.77301,1656.7738,369.57382,955.92664,1673.11194,-18.51056,964.51764
3,0.017,1817.35986,170.87114,983.43488,1651.64026,369.95764,955.43585,1664.66504,-18.88944,965.32629
4,0.025,1811.23901,168.03288,983.87646,1645.78992,369.90833,955.54083,1656.62061,-18.18072,965.68066
5,0.033,1805.68188,166.04668,984.22211,1645.33691,370.13516,955.44159,1648.77063,-19.09776,965.69543
6,0.042,1799.38416,163.97772,984.77753,1644.98157,370.23996,955.17578,1640.047,-18.96724,966.05267
7,0.05,1793.03259,161.79512,985.53937,1642.23364,368.93692,954.91553,1631.80042,-19.66019,967.6488
8,0.058,1787.07166,159.19177,985.14233,1636.43054,367.90607,954.98822,1623.7052,-19.92717,967.8042
9,0.067,1780.3009,156.77983,984.86646,1634.61145,368.52255,954.14551,1616.72046,-19.69766,968.22046
10,0.075,1773.34045,155.09517,984.9433,1626.84875,366.44333,953.51581,1608.54004,-20.37774,969.49365
11,0.083,1767.69128,152.93988,984.97131,1624.88074,366.20584,952.74255,1600.28845,-21.37102,970.54907
12,0.092,1761.74609,150.33429,984.59125,1622.67981,366.74448,951.58221,1592.64758,-22.98599,971.11407
13,0.1,1754.54675,148.08125,984.17651,1618.91113,366.78232,953.06232,1584.36121,-23.41101,971.68219
14,0.108,1748.16455,145.18346,984.06189,1612.88599,365.16516,952.36365,1575.58252,-21.78199,972.40497
15,0.117,1741.51404,142.69708,983.63843,1607.74146,364.05927,953.28143,1566.55981,-23.3558,972.78223
16,0.125,1734.52808,140.92671,983.45856,1602.14429,363.39059,952.53339,1557.65234,-25.17972,973.34387
17,0.133,1727.71045,138.295,982.61664,1597.36682,362.21887,952.90631,1550.98816,-25.12265,973.13171
18,0.142,1721.1261,135.86757,982.34595,1591.19678,360.85672,952.77521,1542.38867,-26.06743,972.8476
19,0.15,1714.53442,133.08238,982.44348,1586.25378,358.59973,952.30414,1535.2113,-26.01206,974.6413
20,0.158,1708.24292,131.42909,982.11652,1581.82373,357.66107,952.15735,1528.80371,-26.46737,974.86084
21,0.167,1701.55774,129.95137,982.22858,1575.44592,356.00406,951.57465,1520.94067,-28.25241,975.13373
22,0.175,1694.8103,127.44182,982.24097,1571.50098,355.63641,950.45135,1513.13171,-29.65547,976.10077
23,0.183,1688.4751,125.59225,981.56665,1564.85901,353.7601,949.39343,1506.62073,-29.57705,975.42358
24,0.192,1681.7738,124.12907,980.5614,1559.03455,352.24576,948.99512,1499.26208,-31.85517,975.50641
25,0.2,1675.75476,122.76965,980.08801,1551.83069,350.05142,947.62262,1493.73999,-31.95255,975.88239
26,0.208,1669.62122,120.96738,979.12537,1546.71753,348.75189,946.88782,1485.40906,-33.85683,975.64551
27,0.217,1663.38538,119.8043,978.32208,1539.47729,346.31073,947.60931,1480.24707,-34.03428,975.27472
28,0.225,1657.32593,118.50996,977.52502,1533.25342,344.18985,945.49689,1474.39771,-34.78647,975.29327
29,0.233,1651.85266,116.84681,976.66425,1527.71558,342.86911,945.11627,1466.828,-37.00063,974.4259
30,0.242,1646.87939,115.56152,976.28467,1522.57324,341.41226,944.52686,1460.74585,-37.8162,974.19586
31,0.25,1642.57642,114.1927,975.4325,1516.95129,339.82422,943.84363,1454.8844,-40.22048,973.54053
32,0.258,1637.61792,112.20462,975.13495,1511.91162,338.31778,943.45184,1449.30823,-44.06603,972.81189
33,0.267,1632.57324,110.02634,975.27197,1506.67261,336.81616,943.39752,1445.11096,-46.19701,973.24097
34,0.275,1627.72217,109.2349,975.17249,1503.38464,335.82385,943.66071,1440.69165,-47.23455,972.95428
35,0.283,1622.97461,108.52593,975.89856,1498.8573,334.16919,943.56525,1436.73132,-48.53645,972.62805
36,0.292,1619.74011,108.53238,976.38092,1494.91797,332.52539,944.48157,1433.16431,-49.51742,973.34924
37,0.3,1615.52832,107.7362,977.12708,1490.53174,332.10693,945.13062,1428.63489,-50.62549,972.38074
38,0.308,1611.69324,106.94584,977.44775,1486.05591,331.90198,946.73346,1427.09436,-49.88889,972.54974
39,0.317,1607.98291,106.64439,978.18793,1483.2207,331.46625,947.50433,1423.2384,-49.90876,971.15253
40,0.325,1603.55566,105.92879,978.68542,1479.92554,330.63004,947.97876,1419.80603,-50.78994,971.78046
41,0.333,1599.78711,105.38036,978.83136,1476.30469,330.42175,949.20673,1416.03223,-52.44968,971.63574
42,0.342,1596.052,104.77767,978.96814,1472.70715,330.06598,949.76984,1412.89734,-54.11393,971.33826
43,0.35,1593.05933,104.84417,979.41699,1470.30017,329.32669,950.18628,1409.87219,-55.39265,971.74139
44,0.358,1588.51453,103.76809,979.86212,1467.00879,328.93381,950.26123,1406.10254,-57.52138,971.03473
45,0.367,1584.97522,103.41882,979.81281,1462.9447,327.9747,951.51648,1403.31702,-57.7699,970.89423
46,0.375,1581.7334,103.13503,979.96136,1460.34558,327.8269,951.6095,1400.68323,-58.22949,970.63831
47,0.383,1577.67822,101.73033,980.77722,1457.05054,327.24753,951.16724,1398.36804,-60.35696,971.98157
48,0.392,1574.66821,101.67841,981.08978,1452.43762,325.13715,952.26007,1396.90405,-59.94758,971.84253
49,0.4,1571.17468,101.00722,981.84137,1448.55188,324.80176,953.67548,1390.08325,-62.382,970.82043
50,0.408,1567.28076,100.64583,982.52802,1443.76501,324.56323,954.58289,1386.02649,-64.3244,970.89575
51,0.417,1562.78979,100.49857,983.56006,1439.40173,323.77582,955.28723,1382.84399,-64.77432,970.45062
52,0.425,1558.72961,100.01281,984.17535,1434.55566,323.89355,955.15289,1376.48425,-65.04716,970.22699
53,0.433,1555.13293,99.20939,984.9447,1431.98352,324.09186,955.37231,1375.22754,-65.46822,969.9718
54,0.442,1551.75757,98.54599,985.7403,1427.43701,323.03876,956.72638,1372.85242,-66.22454,969.73541
55,0.45,1548.24072,99.04997,986.54218,1426.21631,323.36954,957.28186,1374.12927,-64.61765,969.72083
56,0.458,1543.4834,98.26509,986.84784,1424.11121,323.4725,957.70947,1367.09204,-65.48169,969.58966
57,0.467,1540.54675,98.36564,987.04376,1410.01453,320.20648,960.45679,1363.41321,-65.16045,970.07434
58,0.475,1535.91699,98.44397,987.69592,1409.68591,319.82849,961.67816,1357.90051,-65.56463,969.47968
59,0.483,1532.552,98.83343,988.35828,1404.8136,321.42209,961.70203,1353.03894,-66.80016,968.8891
60,0.492,1528.52844,98.73094,988.87903,1400.35693,321.11963,962.14789,1349.42053,-66.08007,968.09039
61,0.5,1524.98718,98.8836,988.60107,1399.46436,321.4332,961.48553,1345.78088,-66.84926,968.55225
62,0.508,1521.16528,98.13459,989.29462,1392.31677,320.47336,961.84467,1342.0238,-68.01701,967.9707
63,0.517,1516.63452,99.17797,990.29169,1387.95471,319.63705,961.70361,1339.51782,-68.02741,967.48962
64,0.525,1513.30737,99.46764,989.76038,1382.21692,318.91815,962.7215,1335.95471,-68.3284,966.89325
65,0.533,1508.63879,99.48792,990.13202,1378.7533,321.59488,963.31036,1332.14917,-68.13728,965.4516
66,0.542,1504.35181,100.22417,990.45941,1373.875,321.16312,963.1748,1327.95605,-67.38168,964.81665
67,0.55,1499.73926,100.80083,990.49286,1370.06396,320.70752,963.10083,1323.41833,-66.92768,964.52661
68,0.558,1495.94397,101.20783,990.05225,1365.6554,320.58258,963.35114,1319.66968,-66.70071,963.78406
69,0.567,1491.08032,100.84191,990.11682,1359.03748,321.7139,963.69153,1317.17456,-68.61832,963.21106
70,0.575,1486.5979,102.4102,990.02649,1354.29443,322.96829,964.23395,1313.81091,-69.00261,962.55194
71,0.583,1481.65759,102.36855,990.48431,1350.20764,322.00323,964.16876,1309.57825,-70.01537,961.97491
72,0.592,1477.146,103.90171,989.84497,1342.84973,322.51813,962.8161,1305.7522,-68.96828,961.49677
73,0.6,1472.24744,104.2833,989.62762,1338.05774,321.5488,962.04852,1301.37708,-69.25184,962.13428
74,0.608,1467.19543,105.70638,989.4588,1331.77808,322.00769,962.62701,1298.54272,-69.09042,960.64807
75,0.617,1461.91577,106.71553,989.60913,1326.81702,322.31516,962.38007,1292.81689,-68.54608,959.99542
76,0.625,1456.90247,107.10911,989.10968,1320.00635,321.02594,960.38062,1290.02148,-69.7429,959.00586
77,0.633,1451.89172,108.19995,988.24487,1314.15137,322.05173,959.82477,1287.02966,-70.55312,958.34247
78,0.642,1445.35425,108.9258,988.02179,1307.02026,322.49109,958.09369,1281.50562,-70.5201,957.38855
79,0.65,1440.28198,109.77234,987.22577,1300.22217,322.18292,957.18848,1276.74084,-69.92613,957.20062
80,0.658,1434.45581,111.46613,986.4809,1293.80432,322.3432,955.21649,1272.73206,-70.15692,957.09558
81,0.667,1429.26611,112.72009,986.15961,1286.01123,323.01044,954.05688,1268.38452,-70.40227,956.54327
82,0.675,1424.41821,113.25012,985.28601,1279.56934,321.71686,952.7821,1262.67249,-70.11297,955.49438
83,0.683,1418.72424,114.30685,984.93103,1272.2998,322.92978,951.26093,1258.56445,-71.21255,955.2262
84,0.692,1414.1759,115.20224,984.90735,1264.89624,321.5069,949.68671,1254.0708,-71.56796,954.68475
85,0.7,1408.71106,115.97389,984.59967,1258.07739,324.55368,948.56006,1249.1936,-70.3374,953.77185
86,0.708,1403.34473,116.07356,984.32141,1250.83105,322.02289,946.95288,1244.71643,-70.43793,953.48926
87,0.717,1398.75146,117.31538,983.65625,1245.45752,321.26349,945.54932,1240.63354,-71.67284,953.55865
88,0.725,1392.48657,117.47387,983.01923,1238.46497,320.54553,943.68439,1235.92273,-71.21376,952.98669
89,0.733,1387.01135,117.95744,982.16431,1233.33655,320.62296,942.69,1230.95129,-71.41888,952.45892
90,0.742,1382.34924,117.76334,981.83136,1227.58154,319.66855,941.8418,1226.40503,-71.41434,951.55524
91,0.75,1377.3728,118.2845,981.05133,1221.90564,319.97726,939.96637,1221.90283,-72.40183,952.27954
92,0.758,1371.12817,117.95571,979.95496,1216.35461,318.99991,939.58167,1216.36658,-72.29648,951.00861
93,0.767,1366.73035,117.72366,979.52728,1210.04834,319.38013,939.02985,1211.85388,-73.7215,952.07385
94,0.775,1360.79736,118.09773,978.72113,1203.86731,319.67545,937.97736,1207.76855,-74.23404,952.13947
95,0.783,1354.92212,118.15131,978.05646,1198.36804,319.75647,938.45752,1202.21338,-74.22295,951.3493
96,0.792,1348.76721,119.34533,977.53308,1192.1051,318.64783,938.10577,1197.60388,-74.84113,951.81024
97,0.8,1342.85522,119.62122,977.27386,1185.61963,321.04639,938.36432,1192.52124,-75.34743,952.2417
98,0.808,1336.37939,120.68866,976.55432,1178.83301,320.71176,938.65149,1187.15234,-74.93813,952.80212
99,0.817,1329.68494,122.36398,975.8681,1172.82043,320.97833,939.74133,1183.16187,-75.38122,951.51245
100,0.825,1323.45435,122.9566,975.49286,1164.38965,321.39514,940.52966,1178.54822,-74.77707,951.95599
