Frame#,Time,L.Heel.x,L.Heel.y,L.Heel.z,L.Toe.x,L.Toe.y,L.Toe.z,L.MedFoot.x,L.MedFoot.y,L.MedFoot.z
1,0,209.52019,172.27487,31.93518,393.1481,236.40294,39.13302,350.11493,188.50609,68.71896
2,0.008,209.60214,172.43889,32.01958,393.26413,236.32639,39.17079,350.16266,188.32437,68.85696
3,0.017,209.84642,172.54718,32.30764,393.4256,236.28163,39.23605,350.0788,188.46114,68.88507
4,0.025,209.62509,172.73946,32.98593,393.30954,236.3582,39.19828,350.20941,188.49556,68.97913
5,0.033,209.67149,172.55379,33.08902,393.32922,236.20259,39.07687,350.29327,188.35878,68.95103
6,0.042,209.65247,172.47339,33.62445,393.39774,236.03992,39.01047,350.29327,188.35878,68.95103
7,0.05,209.73729,172.34868,33.74808,393.46143,235.95955,38.90607,350.79144,188.1626,69.07847
8,0.058,209.81349,172.29401,33.76741,393.45969,236.08228,38.89133,350.87317,188.05188,69.14024
9,0.067,209.8965,172.27953,33.8688,393.43521,236.13167,38.69625,350.87317,188.05188,69.14024
10,0.075,210.13046,172.64276,33.85258,393.49887,236.0513,38.59183,350.78308,188.18532,69.23677
11,0.083,210.13046,172.64276,33.85258,393.4743,236.10088,38.39669,350.86328,188.29491,69.3865
12,0.092,210.22696,172.6131,33.95646,393.4743,236.10088,38.39669,350.88031,188.14211,69.34388
13,0.1,210.25681,172.70392,33.96114,393.45374,236.18419,38.33505,350.92407,188.34305,69.29383
14,0.108,210.23555,172.88943,33.86163,393.32153,236.42722,38.50591,350.84247,188.41682,69.46617
15,0.117,210.15906,172.7382,33.79681,393.38257,236.35844,38.87835,350.84247,188.41682,69.46617
16,0.125,209.73729,172.34868,33.74808,393.21909,236.45911,38.9141,350.79871,188.21588,69.51621
17,0.133,209.59109,172.67474,33.51997,393.27234,236.61514,38.71556,350.70734,188.37112,69.55202
18,0.142,209.30659,172.72369,33.17251,393.21902,236.67523,38.80063,350.30371,188.52255,69.35682
19,0.15,209.37323,172.91086,32.53645,393.15707,236.6329,38.91977,350.15057,188.67812,69.33336
20,0.158,209.38913,172.54129,32.11501,393.20459,236.39265,38.95972,350.15057,188.67812,69.33336
21,0.167,209.58463,172.44475,31.80009,393.04825,236.70105,38.88725,349.95889,188.57527,68.46497
22,0.175,209.13844,172.93648,31.3629,393.02365,236.75061,38.69216,349.92963,188.75682,68.46886
23,0.183,209.85439,172.93909,31.18278,393.06158,236.62613,38.94363,349.95889,188.57527,68.46497
24,0.192,209.63991,173.03931,31.27031,393.1395,236.51645,39.05366,349.99506,188.62012,68.29887
25,0.2,209.39641,172.47482,31.70412,393.1149,236.56604,38.85856,350.04276,188.43849,68.43684
26,0.208,209.44507,172.28847,31.83466,393.06158,236.62613,38.94363,349.95889,188.57527,68.46497
27,0.217,209.63329,172.25841,31.93062,393.12354,236.66847,38.82449,350.10184,188.27623,68.94965
28,0.225,209.60214,172.43889,32.01958,393.0856,236.79292,38.57301,350.16135,188.18506,69.11995
29,0.233,209.45717,172.5313,32.55252,393.27548,236.44901,38.74075,350.23245,188.31065,69.04371
30,0.242,209.51955,172.62711,33.09422,393.28412,236.55142,38.70668,350.20319,188.49219,69.04758
31,0.25,209.4239,172.64684,33.63801,393.16406,236.59421,38.53543,350.28925,188.44894,68.95538
32,0.258,209.48526,172.44548,33.74249,393.32324,236.52058,38.40712,350.7092,188.17462,69.44883
