Frame#,Time,R.Heel.x,R.Heel.y,R.Heel.z,R.Toe.x,R.Toe.y,R.Toe.z,R.MedFoot.x,R.MedFoot.y,R.MedFoot.z
1,0,196.29312,-24.92081,41.55277,367.15704,-118.5115,39.37512,334.95297,-65.10446,65.47103
2,0.008,196.28679,-24.98069,41.41751,367.14584,-118.42371,39.40141,334.79013,-65.08488,65.50121
3,0.017,196.28679,-24.98069,41.41751,367.1955,-118.38251,39.32927,334.79575,-65.09276,65.43115
4,0.025,196.30629,-24.73021,41.29499,367.07318,-118.31749,39.39764,334.79575,-65.09276,65.43115
5,0.033,196.28568,-24.64695,41.1432,367.11899,-118.27091,39.32834,334.28131,-66.3774,65.57079
6,0.042,196.30977,-24.54714,40.93588,367.1955,-118.38251,39.32927,334.79013,-65.08488,65.50121
7,0.05,196.3463,-24.7224,41.01655,367.2413,-118.33593,39.25997,334.17035,-66.20625,65.55787
8,0.058,196.3463,-24.7224,41.01655,367.2413,-118.33593,39.25997,334.47391,-66.34792,65.52758
9,0.067,196.3463,-24.7224,41.01655,367.2413,-118.33593,39.25997,334.69205,-64.98934,65.35558
10,0.075,196.31039,-24.48661,41.22762,367.11899,-118.27091,39.32834,334.95297,-65.10446,65.47103
11,0.083,196.44876,-24.58347,41.37963,367.11899,-118.27091,39.32834,334.95297,-65.10446,65.47103
12,0.092,196.60886,-24.59306,41.58894,367.1955,-118.38251,39.32927,334.98904,-65.03194,65.52578
13,0.1,196.47163,-24.82994,41.71121,367.1955,-118.38251,39.32927,335.14468,-64.99047,65.61258
14,0.108,196.60933,-24.83101,41.79654,367.2413,-118.33593,39.25997,335.03897,-65.21402,65.62251
15,0.117,196.47163,-24.82994,41.71121,367.12381,-118.38021,39.3097,335.00613,-65.23293,65.84216
16,0.125,196.47163,-24.82994,41.71121,367.2413,-118.33593,39.25997,334.6572,-66.43555,65.82113
17,0.133,196.60933,-24.83101,41.79654,367.24612,-118.44522,39.24133,335.0939,-65.31422,65.7522
18,0.142,196.60933,-24.83101,41.79654,367.2413,-118.33593,39.25997,335.17694,-65.29745,65.83015
19,0.15,196.60933,-24.83101,41.79654,367.2413,-118.33593,39.25997,335.0939,-65.31422,65.7522
20,0.158,196.47163,-24.82994,41.71121,367.2413,-118.33593,39.25997,335.00613,-65.23293,65.84216
21,0.167,196.47163,-24.82994,41.71121,367.11899,-118.27091,39.32834,334.98727,-65.0602,65.76722
22,0.175,196.47163,-24.82994,41.71121,367.02353,-118.35869,39.46978,334.8652,-65.02317,65.561
23,0.183,196.47163,-24.82994,41.71121,367.1955,-118.38251,39.32927,334.83954,-64.69621,65.64757
24,0.192,196.1306,-24.99472,41.56424,367.07318,-118.31749,39.39764,334.70236,-65.00359,65.59117
25,0.2,196.29312,-24.92081,41.55277,367.11899,-118.27091,39.32834,334.80084,-64.77916,65.59051
26,0.208,196.43036,-24.68395,41.4305,367.11969,-118.22511,39.46651,334.70526,-64.93102,65.55563
27,0.217,196.42404,-24.74382,41.29522,367.07388,-118.27168,39.53581,334.97128,-64.79233,65.55447
28,0.225,196.38663,-24.40974,41.28566,367.20261,-118.34247,39.45659,335.00998,-64.70938,65.61153
29,0.233,196.41682,-24.64486,41.23103,367.07388,-118.27168,39.53581,335.00998,-64.70938,65.61153
30,0.242,196.44789,-24.42462,41.45074,367.02426,-118.31287,39.60794,334.45535,-66.1337,65.63518
31,0.25,196.44789,-24.42462,41.45074,367.02426,-118.31287,39.60794,335.00998,-64.70938,65.61153
32,0.258,196.37061,-24.59682,41.56907,367.07388,-118.27168,39.53581,335.00998,-64.70938,65.61153
33,0.267,196.40236,-24.68719,41.58303,367.07388,-118.27168,39.53581,335.12991,-64.48961,65.55902
34,0.275,196.60933,-24.83101,41.79654,367.0787,-118.38099,39.51716,335.09528,-64.68439,65.69116
35,0.283,196.60905,-24.7682,41.93428,367.02426,-118.31287,39.60794,334.62683,-66.17505,65.69578
36,0.292,196.75882,-24.63843,41.95943,367.07388,-118.27168,39.53581,335.17422,-64.96441,65.73653
37,0.3,196.60905,-24.7682,41.93428,367.07388,-118.27168,39.53581,334.53137,-66.34071,65.8425
38,0.308,196.66718,-24.65299,41.99855,367.07388,-118.27168,39.53581,335.15283,-65.17773,65.8194
39,0.317,196.81694,-24.52321,42.02371,367.07388,-118.27168,39.53581,335.25952,-64.9394,65.81615
40,0.325,196.75882,-24.63843,41.95943,367.07388,-118.27168,39.53581,335.11002,-64.9105,65.71943
41,0.333,196.60905,-24.7682,41.93428,367.07388,-118.27168,39.53581,335.14154,-64.67612,65.6354
42,0.342,196.60905,-24.7682,41.93428,367.0787,-118.38099,39.51716,334.53137,-66.34071,65.8425
43,0.35,196.60905,-24.7682,41.93428,367.07388,-118.27168,39.53581,335.00998,-64.70938,65.61153
44,0.358,196.45528,-24.6987,41.86025,367.07388,-118.27168,39.53581,334.90128,-64.95065,65.61575
45,0.367,196.45555,-24.76152,41.72251,367.07388,-118.27168,39.53581,335.00998,-64.70938,65.61153
46,0.375,196.29312,-24.92081,41.55277,367.07388,-118.27168,39.53581,335.00998,-64.70938,65.61153
47,0.383,196.29312,-24.92081,41.55277,367.02426,-118.31287,39.60794,334.90128,-64.95065,65.61575
48,0.392,196.35617,-24.86235,41.41323,367.07388,-118.27168,39.53581,334.8652,-65.02317,65.561
49,0.4,196.45686,-24.45027,41.21033,367.07388,-118.27168,39.53581,334.74133,-64.85848,65.61039
50,0.408,196.30396,-24.58379,40.86726,367.07388,-118.27168,39.53581,334.21246,-66.19882,65.63732
