Frame#,Time,C7.x,C7.y,C7.z,R.Shoulder.x,R.Shoulder.y,R.Shoulder.z,L.Shoulder.x,L.Shoulder.y,L.Shoulder.z
1,0,211.54677,16.32629,1370.29407,267.47714,-127.12952,1333.24023,265.37137,178.36174,1345.39636
2,0.008,211.54161,16.16167,1370.06812,267.35236,-127.27705,1333.26416,265.39496,178.24028,1345.49976
3,0.017,211.54677,16.32629,1370.29407,267.35236,-127.27705,1333.26416,265.47421,178.2016,1345.55115
4,0.025,211.54161,16.16167,1370.06812,267.47714,-127.12952,1333.24023,265.07568,178.21812,1345.57788
5,0.033,211.30743,16.2014,1370.03918,267.35236,-127.27705,1333.26416,264.35583,178.07899,1346.32642
6,0.042,210.94376,16.14012,1370.19373,267.84061,-127.29305,1333.00928,264.20706,178.2838,1346.27698
7,0.05,210.90149,16.16711,1370.35229,267.02017,-127.76053,1334.42102,263.95297,178.01839,1346.41785
8,0.058,210.59535,16.11802,1370.34583,267.02017,-127.76053,1334.42102,263.95297,178.01839,1346.41785
9,0.067,210.49681,16.37547,1370.22974,267.02017,-127.76053,1334.42102,264.05591,177.69971,1346.51221
10,0.075,210.49681,16.37547,1370.22974,267.02017,-127.76053,1334.42102,263.15451,177.59853,1346.69165
11,0.083,209.95378,16.84843,1370.11548,267.02017,-127.76053,1334.42102,263.15451,177.59853,1346.69165
12,0.092,209.34221,16.14839,1369.922,267.15097,-127.82178,1334.48792,262.99319,177.61613,1346.69299
13,0.1,209.34221,16.14839,1369.922,267.15097,-127.82178,1334.48792,262.73633,177.31734,1346.35596
14,0.108,209.34221,16.14839,1369.922,267.15097,-127.82178,1334.48792,262.73633,177.31734,1346.35596
15,0.117,208.81358,15.92304,1369.8866,267.15097,-127.82178,1334.48792,262.74429,177.15247,1346.34106
16,0.125,208.81358,15.92304,1369.8866,267.1236,-128.02589,1334.54126,262.61765,177.10486,1346.27502
17,0.133,208.61444,15.75455,1370.18933,267.15097,-127.82178,1334.48792,262.26559,177.04129,1346.27539
18,0.142,208.61444,15.75455,1370.18933,267.1236,-128.02589,1334.54126,262.25754,176.95853,1346.42004
19,0.15,208.61444,15.75455,1370.18933,267.07315,-128.17587,1334.74231,261.61697,177.41922,1346.40051
20,0.158,208.61444,15.75455,1370.18933,266.68567,-128.36519,1334.56213,261.54831,177.94481,1346.23999
21,0.167,208.61444,15.75455,1370.18933,266.70337,-128.51642,1334.61255,261.43433,177.92532,1346.29614
22,0.175,208.61444,15.75455,1370.18933,266.70337,-128.51642,1334.61255,260.99005,177.80341,1346.12048
23,0.183,208.35376,15.70999,1369.86707,266.70337,-128.51642,1334.61255,260.74149,177.61421,1346.20435
24,0.192,207.82521,15.48442,1369.83179,266.70337,-128.51642,1334.61255,260.52292,177.77849,1346.25171
25,0.2,207.82521,15.48442,1369.83179,266.70337,-128.51642,1334.61255,260.26086,177.87209,1346.35693
26,0.208,207.18102,15.14413,1370.19678,266.7847,-128.70511,1334.48682,260.22653,177.66527,1346.42297
27,0.217,207.18102,15.14413,1370.19678,266.7847,-128.70511,1334.48682,259.66177,177.5228,1346.45825
28,0.225,207.18102,15.14413,1370.19678,266.62155,-128.90686,1334.51538,259.12729,177.09975,1346.34607
29,0.233,207.18102,15.14413,1370.19678,266.36453,-129.08977,1334.40051,258.73026,176.74963,1346.30774
30,0.242,207.10112,14.55571,1370.0531,266.36453,-129.08977,1334.40051,258.59491,176.73799,1346.35449
31,0.25,207.10112,14.55571,1370.0531,266.36453,-129.08977,1334.40051,258.59491,176.73799,1346.35449
32,0.258,207.10112,14.55571,1370.0531,266.18536,-129.2742,1334.26172,258.14108,176.34021,1346.3158
33,0.267,207.10112,14.55571,1370.0531,265.90775,-129.50954,1334.13538,258.14108,176.34021,1346.3158
34,0.275,206.66669,14.22613,1369.87512,265.94635,-129.83322,1334.02393,258.00388,176.27669,1346.19873
35,0.283,206.66669,14.22613,1369.87512,265.68939,-130.05846,1334.0437,258.03082,176.07446,1346.13892
36,0.292,206.39404,14.141,1370.0553,265.68939,-130.05846,1334.0437,258.00388,176.27669,1346.19873
37,0.3,206.39404,14.141,1370.0553,265.68939,-130.05846,1334.0437,258.27075,175.94086,1346.28967
38,0.308,206.39404,14.141,1370.0553,265.68939,-130.05846,1334.0437,258.19482,176.0578,1346.13538
39,0.317,206.39404,14.141,1370.0553,265.68939,-130.05846,1334.0437,258.5845,176.10196,1346.36169
40,0.325,206.39404,14.141,1370.0553,265.68939,-130.05846,1334.0437,258.96176,176.08588,1346.16309
41,0.333,206.39404,14.141,1370.0553,265.68939,-130.05846,1334.0437,258.89542,176.24187,1346.31042
42,0.342,206.39404,14.141,1370.0553,265.68939,-130.05846,1334.0437,258.84473,176.56094,1346.20557
43,0.35,206.04576,14.11854,1370.20764,265.73297,-130.17155,1334.19312,258.63248,176.73225,1346.10303
44,0.358,205.51747,13.89275,1370.17249,265.68939,-130.05846,1334.0437,258.63248,176.73225,1346.10303
45,0.367,205.42921,13.31215,1370.06421,265.73297,-130.17155,1334.19312,258.48837,176.72371,1346.14612
46,0.375,205.43723,13.30447,1370.02893,265.73297,-130.17155,1334.19312,258.48837,176.72371,1346.14612
47,0.383,205.43723,13.30447,1370.02893,265.72424,-130.26361,1334.37219,258.31485,176.94336,1346.18469
48,0.392,205.22394,13.4143,1369.88391,265.72424,-130.26361,1334.37219,258.18091,176.97169,1346.16223
49,0.4,205.52736,13.29103,1369.96265,265.82013,-130.11967,1334.1106,257.93362,177.10667,1346.56885
50,0.408,205.04147,13.13418,1369.59106,265.89236,-130.08369,1334.24133,257.73468,177.1273,1346.57275
51,0.417,205.06459,13.07321,1369.35181,265.8728,-130.02554,1334.34998,257.09647,176.79251,1346.5647
52,0.425,204.98526,12.88041,1369.16016,265.8728,-130.02554,1334.34998,256.86346,176.57367,1346.58862
53,0.433,205.09602,13.25479,1369.69885,266.05627,-130.34813,1334.40491,256.74026,176.56306,1346.63159
54,0.442,205.25482,13.02435,1369.73608,266.14346,-130.29625,1334.32239,256.37473,176.60379,1346.52087
55,0.45,205.09602,13.25479,1369.69885,266.21567,-130.26031,1334.45313,256.18661,176.21652,1346.52771
56,0.458,204.98526,12.88041,1369.16016,266.14346,-130.29625,1334.32239,256.11816,175.89952,1346.74927
57,0.467,204.98526,12.88041,1369.16016,266.30283,-130.20844,1334.37061,256.11816,175.89952,1346.74927
58,0.475,205.34218,12.78307,1370.20239,266.30283,-130.20844,1334.37061,256.11816,175.89952,1346.74927
59,0.483,205.39923,12.71452,1369.86401,266.12439,-130.49896,1334.49158,256.11816,175.89952,1346.74927
60,0.492,205.43069,12.89611,1370.21094,266.21155,-130.44708,1334.40906,256.11816,175.89952,1346.74927
61,0.5,205.43069,12.89611,1370.21094,266.21155,-130.44708,1334.40906,256.33865,176.05779,1346.62109
62,0.508,205.34218,12.78307,1370.20239,266.13321,-130.40695,1334.31262,256.33865,176.05779,1346.62109
63,0.517,205.43069,12.89611,1370.21094,266.22034,-130.35506,1334.22998,256.67538,176.18643,1346.59546
64,0.525,205.07254,12.63921,1369.62659,266.12439,-130.49896,1334.49158,256.67538,176.18643,1346.59546
65,0.533,205.16762,12.79037,1369.78638,265.89691,-130.43599,1334.35669,256.67538,176.18643,1346.59546
66,0.542,204.14766,12.34128,1370.30737,265.90567,-130.34396,1334.17773,256.87021,176.36235,1346.5686
67,0.55,204.25662,12.84201,1370.27063,265.90567,-130.34396,1334.17773,256.87021,176.36235,1346.5686
68,0.558,203.14046,11.79652,1370.00098,265.90567,-130.34396,1334.17773,256.87021,176.36235,1346.5686
69,0.567,203.24451,12.18645,1370.59546,265.7858,-130.32207,1334.24841,256.70395,176.27806,1346.48328
70,0.575,203.53896,11.81086,1369.81042,265.7858,-130.32207,1334.24841,256.85886,176.41263,1346.48389
71,0.583,203.14046,11.79652,1370.00098,264.7355,-129.87697,1334.26733,256.85211,176.62393,1346.50378
72,0.592,203.14046,11.79652,1370.00098,264.41864,-129.85963,1334.21558,256.35855,176.34798,1346.49878
73,0.6,202.98373,11.87595,1369.77808,264.40991,-129.95174,1334.39465,256.15924,176.47298,1346.47351
74,0.608,203.08778,12.26589,1370.37268,264.40991,-129.95174,1334.39465,256.15924,176.47298,1346.47351
75,0.617,202.98373,11.87595,1369.77808,264.40991,-129.95174,1334.39465,255.93881,176.31474,1346.60168
76,0.625,202.98373,11.87595,1369.77808,264.40991,-129.95174,1334.39465,255.8895,176.27489,1346.68054
77,0.633,202.98373,11.87595,1369.77808,264.40991,-129.95174,1334.39465,255.63509,176.27428,1346.59192
78,0.642,202.98373,11.87595,1369.77808,264.26117,-129.80452,1334.74377,255.40889,175.90739,1346.50635
79,0.65,203.08778,12.26589,1370.37268,264.22235,-129.48059,1334.85535,255.45822,175.94727,1346.42749
80,0.658,203.08778,12.26589,1370.37268,264.22235,-129.48059,1334.85535,255.45149,176.15854,1346.44739
81,0.667,203.08778,12.26589,1370.37268,264.22235,-129.48059,1334.85535,255.45149,176.15854,1346.44739
82,0.675,203.08778,12.26589,1370.37268,264.22235,-129.48059,1334.85535,255.45149,176.15854,1346.44739
83,0.683,203.08778,12.26589,1370.37268,264.22235,-129.48059,1334.85535,255.65126,176.36201,1346.24512
84,0.692,203.08778,12.26589,1370.37268,264.22235,-129.48059,1334.85535,255.65126,176.36201,1346.24512
85,0.7,203.08778,12.26589,1370.37268,264.25943,-129.3242,1334.92224,255.65112,176.61568,1346.05237
86,0.708,203.08778,12.26589,1370.37268,264.22235,-129.48059,1334.85535,255.59709,176.71487,1345.95117
87,0.717,203.08778,12.26589,1370.37268,264.25943,-129.3242,1334.92224,255.60413,176.62988,1345.77661
88,0.725,203.08778,12.26589,1370.37268,264.25943,-129.3242,1334.92224,255.63168,176.92197,1345.88513
89,0.733,203.08778,12.26589,1370.37268,264.25943,-129.3242,1334.92224,255.60292,177.32553,1345.69446
90,0.742,202.90108,12.02338,1370.13464,264.25943,-129.3242,1334.92224,255.33376,177.50452,1345.97424
91,0.75,203.08778,12.26589,1370.37268,264.25943,-129.3242,1334.92224,255.28976,177.42125,1345.78589
92,0.758,202.54472,12.63061,1370.10828,264.25943,-129.3242,1334.92224,255.04338,178.18954,1345.7821
93,0.767,202.31171,13.40068,1370.17004,264.18863,-129.12593,1335.21216,254.49934,178.47813,1345.70874
94,0.775,202.31171,13.40068,1370.17004,264.18863,-129.12593,1335.21216,254.03813,178.52277,1345.64233
95,0.783,202.31171,13.40068,1370.17004,264.09854,-129.0098,1335.25024,254.03813,178.52277,1345.64233
96,0.792,202.31171,13.40068,1370.17004,264.09854,-129.0098,1335.25024,253.81781,178.36462,1345.77039
97,0.8,202.31171,13.40068,1370.17004,264.09854,-129.0098,1335.25024,253.75865,178.33086,1345.84045
98,0.808,202.31171,13.40068,1370.17004,264.0137,-128.93202,1335.4856,253.75865,178.33086,1345.84045
99,0.817,201.91383,13.16483,1369.58972,264.0137,-128.93202,1335.4856,253.75865,178.33086,1345.84045
100,0.825,201.20357,14.68191,1369.83044,264.0137,-128.93202,1335.4856,253.75865,178.33086,1345.84045
101,0.833,201.20357,14.68191,1369.83044,264.0137,-128.93202,1335.4856,253.81781,178.36462,1345.77039
102,0.842,200.34496,15.365,1370.05029,263.93552,-128.63248,1335.50146,253.73865,178.40337,1345.71924
103,0.85,200.23195,15.42303,1370.19092,263.85718,-128.33308,1335.51746,253.72934,178.36089,1345.65796
