Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Front.Head.x,Front.Head.y,Front.Head.z,Rear.Head.x,Rear.Head.y,Rear.Head.z,Jaw.x,Jaw.y,Jaw.z
1,0,-12.75083,37.49397,1324.08716,113.56036,32.3286,1275.67297,-91.64005,46.87106,1203.06934,131.79727,24.77087,1101.29993
2,0.008,-13.02471,37.66767,1323.97095,114.00529,32.77461,1276.82153,-91.7898,46.99987,1202.9386,131.58682,25.09979,1101.15747
3,0.017,-13.61574,37.95501,1323.86255,113.78076,32.6639,1276.90161,-91.77209,47.17651,1202.77612,131.6116,24.88123,1101.35156
4,0.025,-13.80042,38.21729,1323.95654,112.71959,31.6272,1276.97119,-91.98608,47.25661,1202.89221,131.60484,24.9488,1101.65845
5,0.033,-14.25847,38.68098,1323.89929,113.08218,32.62599,1276.94202,-91.66965,47.37784,1202.70935,131.55614,24.91494,1101.87317
6,0.042,-14.53352,38.68717,1323.90015,112.58615,32.00803,1277.06909,-91.61015,47.23246,1202.44946,131.30528,25.00759,1101.89038
7,0.05,-14.53352,38.68717,1323.90015,112.46574,31.95234,1277.11536,-91.8744,47.40582,1202.41077,131.30528,25.00759,1101.89038
8,0.058,-14.73116,38.60029,1323.82263,112.28404,31.82516,1277.19678,-92.17861,47.46546,1202.34241,131.46596,24.45152,1102.05176
9,0.067,-14.73756,38.53045,1323.91516,112.27705,31.56188,1277.07935,-92.228,47.76112,1202.22412,131.40437,24.47155,1102.02478
10,0.075,-14.81467,38.43917,1324.00745,112.31976,31.37634,1277.13293,-92.32806,47.49407,1202.50269,131.48808,24.24073,1102.30798
11,0.083,-14.88534,38.2754,1323.95825,112.14728,31.22677,1277.05554,-92.32806,47.49407,1202.50269,131.29272,24.1364,1102.44006
12,0.092,-14.86426,38.08796,1323.93787,111.99565,30.99775,1276.97852,-92.32806,47.49407,1202.50269,131.29272,24.1364,1102.44006
13,0.1,-15.06411,37.42357,1323.9978,112.03268,30.94362,1276.83044,-92.32806,47.49407,1202.50269,131.03693,24.01578,1102.51978
14,0.108,-14.9294,37.42877,1323.96985,112.03268,30.94362,1276.83044,-92.33908,47.33598,1202.68555,131.39212,24.09173,1102.49536
15,0.117,-14.97339,37.43621,1324.2854,111.90178,30.7693,1276.72559,-92.28086,47.23762,1202.84253,131.06746,23.96382,1102.57288
16,0.125,-14.8329,37.07057,1324.32239,111.94291,30.69618,1276.80896,-92.22919,47.37038,1202.95728,131.0345,23.63995,1102.52087
17,0.133,-14.78891,37.06311,1324.00684,112.11941,30.22952,1276.89111,-92.22919,47.37038,1202.95728,130.74892,23.53278,1102.0321
18,0.142,-14.82007,36.87624,1324.12366,111.97614,30.06399,1276.79077,-92.35218,47.14629,1203.18604,131.02167,23.59265,1102.08325
19,0.15,-14.28694,36.66434,1324.23523,112.5621,29.52202,1276.87683,-92.69386,46.74382,1203.47632,130.87698,23.3074,1101.89514
20,0.158,-13.99971,36.38856,1324.74744,112.5621,29.52202,1276.87683,-92.50664,46.96943,1203.50488,130.87698,23.3074,1101.89514
21,0.167,-14.19642,36.67628,1324.41577,112.59917,29.4678,1276.72888,-92.69386,46.74382,1203.47632,130.93826,23.3835,1101.83142
22,0.175,-14.01848,36.6806,1324.25146,112.01321,30.00973,1276.64282,-92.78917,45.63046,1203.33777,131.0916,23.62296,1101.90491
23,0.183,-14.01848,36.6806,1324.25146,112.04823,30.68715,1276.62,-92.90982,45.50284,1203.4585,130.99249,23.87764,1101.66382
24,0.192,-14.14825,36.63528,1324.13611,112.72814,30.37348,1276.95874,-92.01234,47.02492,1203.22888,130.99249,23.87764,1101.66382
25,0.2,-14.22952,37.56247,1323.9126,112.03268,30.94362,1276.83044,-92.22919,47.37038,1202.95728,130.89827,24.18045,1101.62439
26,0.208,-14.62546,37.92314,1323.8075,112.18431,31.17263,1276.90747,-92.22919,47.37038,1202.95728,131.07454,24.71561,1102.04749
27,0.217,-14.78716,38.17923,1323.84558,112.18431,31.17263,1276.90747,-92.33041,47.55982,1202.29089,131.31046,24.81989,1102.06799
28,0.225,-14.78716,38.17923,1323.84558,112.14728,31.22677,1277.05554,-92.228,47.76112,1202.22412,131.07332,24.86304,1101.99573
29,0.233,-15.07442,38.47118,1323.72766,112.28404,31.82516,1277.19678,-91.68973,47.61538,1201.82532,131.31737,24.24171,1102.28455
30,0.242,-15.46775,38.6034,1323.38354,112.11723,31.81516,1277.13684,-92.17636,47.91591,1201.82874,131.35112,24.16372,1102.65637
31,0.25,-15.46775,38.6034,1323.38354,111.89445,31.90936,1277.3125,-92.69057,48.228,1201.75806,131.35112,24.16372,1102.65637
32,0.258,-15.9153,38.67591,1323.04163,111.79103,32.04941,1277.40979,-92.68488,47.85952,1201.14624,131.25092,24.1969,1102.82471
