Frame#,Time,L.Biceps.Lateral.x,L.Biceps.Lateral.y,L.Biceps.Lateral.z,L.Elbow.x,L.Elbow.y,L.Elbow.z,L.Elbow.Medial.x,L.Elbow.Medial.y,L.Elbow.Medial.z
1,0,7.81765,321.20343,1021.97723,94.94743,452.21414,969.69299,83.73288,440.80157,875.6087
2,0.008,7.77542,322.1384,1022.72711,95.41993,451.76804,970.37402,84.32362,440.65662,876.99316
3,0.017,8.16374,322.01184,1023.14606,95.87324,451.67538,970.85205,84.57967,441.01419,877.30975
4,0.025,8.52729,321.35544,1023.2489,95.47636,451.03979,971.60944,84.50767,441.01523,878.09283
5,0.033,7.93409,321.61691,1024.04065,96.25306,450.50333,973.15222,84.31521,441.47202,878.80194
6,0.042,8.09891,321.43686,1024.28564,96.35738,449.98245,973.85266,84.4451,441.8938,879.5553
7,0.05,7.93655,321.3042,1024.36462,96.71077,449.61734,974.41901,84.38934,441.77304,880.24634
8,0.058,8.12219,321.28802,1024.604,96.96712,449.81424,974.83124,84.00578,441.9382,880.68457
9,0.067,8.12219,321.28802,1024.604,97.03947,449.68057,974.87634,83.77321,442.17709,880.93268
10,0.075,8.12219,321.28802,1024.604,96.71925,450.01288,975.12854,83.40379,442.2496,881.23083
11,0.083,8.12219,321.28802,1024.604,96.54691,450.68164,975.45288,83.40379,442.2496,881.23083
12,0.092,8.00671,321.70941,1024.73853,96.49795,450.59946,975.55029,83.40379,442.2496,881.23083
13,0.1,8.00671,321.70941,1024.73853,96.22599,451.0932,975.43152,83.08727,442.30716,881.25348
14,0.108,7.8098,321.93219,1024.776,96.1358,451.37814,975.38916,82.58051,442.59378,881.2312
15,0.117,7.72591,321.10071,1024.35352,95.34068,451.58597,975.19006,82.58051,442.59378,881.2312
16,0.125,7.51451,321.76923,1024.41467,94.9071,452.17221,974.67657,82.21346,443.28424,881.09937
17,0.133,7.61323,320.89789,1024.21777,94.33656,452.36325,974.3949,81.90945,443.02335,880.50641
18,0.142,7.32134,321.26343,1023.89996,93.7041,452.32535,973.94623,81.8472,442.92871,879.7821
19,0.15,7.32134,321.26343,1023.89996,94.05085,452.0101,973.38721,81.40831,443.42429,879.3681
20,0.158,6.92521,321.53348,1023.72284,93.80965,452.17661,972.64044,81.98785,442.06061,878.99329
21,0.167,6.71534,322.63113,1023.57245,93.62645,452.06946,972.20056,82.05961,441.78119,878.36993
22,0.175,6.97722,321.37842,1022.85205,94.1771,451.96555,971.13153,82.51804,441.39963,877.49139
23,0.183,7.62969,320.60614,1022.20959,94.2933,451.92773,971.15576,83.2105,441.12665,877.21045
24,0.192,7.69773,321.74405,1022.26379,95.79604,451.73315,970.80017,83.7309,440.9473,877.38788
25,0.2,8.01769,322.06989,1022.6947,96.13987,451.3053,970.68933,84.42154,440.72217,877.3197
26,0.208,8.54295,321.36627,1022.76654,96.77341,450.51639,970.90729,85.11211,440.77582,877.38214
27,0.217,8.78422,321.14267,1023.30481,97.08426,449.87616,971.07147,85.32979,440.87207,877.89606
