Frame#,Time,L.Thigh.x,L.Thigh.y,L.Thigh.z,L.Knee.x,L.Knee.y,L.Knee.z,L.Knee.Medial.x,L.Knee.Medial.y,L.Knee.Medial.z
1,0,269.76651,231.4586,494.12497,406.02264,239.43651,456.57443,418.73718,98.78828,460.69757
2,0.008,269.70251,231.4108,494.17972,406.02264,239.43651,456.57443,419.01801,98.99752,460.85587
3,0.017,269.72095,231.17494,494.29669,405.84708,239.22066,456.54413,419.24084,99.15969,461.14969
4,0.025,269.72095,231.17494,494.29669,405.84708,239.22066,456.54413,419.15021,99.12056,460.99881
5,0.033,269.72095,231.17494,494.29669,405.75168,239.47327,456.6033,418.81879,98.80823,460.88779
6,0.042,269.70251,231.4108,494.17972,405.78522,239.524,456.84537,419.30405,98.4367,462.93781
7,0.05,269.61935,230.73878,494.39966,405.78522,239.524,456.84537,419.24084,99.15969,461.14969
8,0.058,269.48984,230.7827,494.36377,405.4639,239.45276,456.6673,419.24084,99.15969,461.14969
9,0.067,269.17938,231.17677,494.28714,405.22241,239.49461,456.63037,419.24084,99.15969,461.14969
10,0.075,269.24121,231.45091,494.29831,405.22241,239.49461,456.63037,419.45279,99.38473,461.12875
11,0.083,269.24121,231.45091,494.29831,405.14624,239.80203,456.97916,419.24084,99.15969,461.14969
12,0.092,269.48984,230.7827,494.36377,405.24615,239.74564,456.63632,419.24084,99.15969,461.14969
13,0.1,269.48984,230.7827,494.36377,405.07059,239.5298,456.60605,419.24084,99.15969,461.14969
14,0.108,269.29425,230.58804,494.32526,405.07059,239.5298,456.60605,419.45279,99.38473,461.12875
15,0.117,269.48984,230.7827,494.36377,405.27966,239.79636,456.87839,419.16818,99.29941,461.26468
16,0.125,269.24121,231.45091,494.29831,405.39798,239.71045,456.66064,419.24084,99.15969,461.14969
17,0.133,269.48984,230.7827,494.36377,405.24615,239.74564,456.63632,419.24084,99.15969,461.14969
18,0.142,269.48984,230.7827,494.36377,405.63947,239.66858,456.69757,419.24084,99.15969,461.14969
19,0.15,269.48984,230.7827,494.36377,405.57614,239.25742,456.573,418.95697,99.05754,461.01398
20,0.158,269.44794,231.52934,494.20068,405.57614,239.25742,456.573,419.10867,99.03663,461.00674
21,0.167,269.76651,231.4586,494.12497,405.75168,239.47327,456.6033,419.24084,99.15969,461.14969
22,0.175,270.01294,230.79425,494.18884,405.75168,239.47327,456.6033,419.24084,99.15969,461.14969
23,0.183,269.94626,230.75153,494.24213,405.75168,239.47327,456.6033,419.14014,98.86298,462.939
24,0.192,269.70251,231.4108,494.17972,405.57614,239.25742,456.573,419.10867,99.03663,461.00674
25,0.2,269.70251,231.4108,494.17972,405.75168,239.47327,456.6033,418.83746,98.93266,460.87048
26,0.208,269.70251,231.4108,494.17972,405.75168,239.47327,456.6033,418.83746,98.93266,460.87048
27,0.217,269.70251,231.4108,494.17972,405.9794,239.32309,456.6239,418.54758,98.70432,460.7515
28,0.225,269.70251,231.4108,494.17972,405.72525,239.2186,456.68616,418.93909,98.68318,461.07309
29,0.233,269.31311,231.20398,494.24854,405.54959,239.00288,456.65588,418.64923,98.45483,460.9541
30,0.242,269.51102,231.42781,494.30185,405.45099,239.26031,456.68439,418.64923,98.45483,460.9541
31,0.25,269.39569,231.16475,494.4574,405.45099,239.26031,456.68439,418.54758,98.70432,460.7515
32,0.258,269.61935,230.73878,494.39966,405.62656,239.47618,456.71466,418.54758,98.70432,460.7515
33,0.267,269.37729,231.4006,494.34042,405.2301,239.24129,456.78949,418.54758,98.70432,460.7515
34,0.275,269.17938,231.17677,494.28714,405.2301,239.24129,456.78949,418.81879,98.80823,460.88779
35,0.283,269.17938,231.17677,494.28714,405.26364,239.29199,457.03152,418.83746,98.93266,460.87048
36,0.292,269.39569,231.16475,494.4574,405.57614,239.25742,456.573,419.24084,99.15969,461.14969
37,0.3,269.39569,231.16475,494.4574,405.62656,239.47618,456.71466,418.7468,98.89358,460.71957
38,0.308,269.39569,231.16475,494.4574,405.45099,239.26031,456.68439,419.01801,98.99752,460.85587
39,0.317,269.17938,231.17677,494.28714,405.4845,239.31102,456.92645,418.7468,98.89358,460.71957
40,0.325,269.37729,231.4006,494.34042,405.78522,239.524,456.84537,419.01801,98.99752,460.85587
41,0.333,269.52942,231.19196,494.41879,405.75168,239.47327,456.6033,419.08731,99.11456,460.81912
42,0.342,269.52942,231.19196,494.41879,405.75168,239.47327,456.6033,418.86206,98.65939,462.75885
43,0.35,269.72095,231.17494,494.29669,405.75168,239.47327,456.6033,418.95511,98.99155,460.67615
44,0.358,269.76651,231.4586,494.12497,405.74539,239.31593,456.79758,418.95511,98.99155,460.67615
45,0.367,269.76651,231.4586,494.12497,405.98285,239.22844,456.52661,418.95511,98.99155,460.67615
46,0.375,269.76651,231.4586,494.12497,406.65594,239.25905,456.53851,418.95511,98.99155,460.67615
47,0.383,269.72095,231.17494,494.29669,406.78433,239.2598,456.52856,419.03165,98.78112,462.71777
48,0.392,269.94684,231.448,494.12238,406.65594,239.25905,456.53851,418.95511,98.99155,460.67615
49,0.4,269.76651,231.4586,494.12497,406.81781,239.31053,456.77072,418.95511,98.99155,460.67615
50,0.408,269.96524,231.21213,494.23935,407.02094,239.13954,456.29669,419.23541,98.651,462.76239
51,0.417,269.93945,231.13731,494.1431,407.15775,239.06773,456.21478,418.86105,98.36723,462.8761
52,0.425,269.96524,231.21213,494.23935,406.78433,239.2598,456.52856,419.05673,98.74206,460.87875
53,0.433,269.94684,231.448,494.12238,407.02094,239.13954,456.29669,419.05673,98.74206,460.87875
54,0.442,269.94684,231.448,494.12238,406.64224,239.0947,456.74042,419.05673,98.74206,460.87875
55,0.45,269.87546,231.08951,494.19788,406.60876,239.04396,456.49829,419.07138,98.24849,462.7345
56,0.458,269.7421,231.01308,494.46457,406.84537,238.92369,456.26642,418.83884,98.53879,460.90018
57,0.467,269.72095,231.17494,494.29669,406.65594,239.25905,456.53851,418.83884,98.53879,460.90018
58,0.475,269.70251,231.4108,494.17972,406.55368,239.30203,456.79816,418.5676,98.43489,460.76389
59,0.483,269.70251,231.4108,494.17972,406.14331,239.11491,456.8139,418.86096,98.10241,462.65433
60,0.492,269.52304,230.95111,494.24338,405.93411,238.84848,456.54153,418.86096,98.10241,462.65433
61,0.5,269.52304,230.95111,494.24338,406.03119,239.17558,456.66431,418.5676,98.43489,460.76389
62,0.508,269.72095,231.17494,494.29669,405.57614,239.25742,456.573,418.83884,98.53879,460.90018
63,0.517,269.37729,231.4006,494.34042,405.60965,239.30814,456.81509,418.83884,98.53879,460.90018
64,0.525,269.17938,231.17677,494.28714,405.60965,239.30814,456.81509,418.46594,98.68439,460.56125
65,0.533,269.38931,230.92392,494.28198,405.57614,239.25742,456.573,418.46594,98.68439,460.56125
66,0.542,269.39569,231.16475,494.4574,405.57614,239.25742,456.573,418.81879,98.80823,460.88779
67,0.55,269.37729,231.4006,494.34042,405.57614,239.25742,456.573,418.46594,98.68439,460.56125
