Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z,R.Ulna.x,R.Ulna.y,R.Ulna.z,R.Radius.x,R.Radius.y,R.Radius.z
1,0,129.51915,-294.77756,955.98053,213.7205,-260.97165,911.14496,202.47127,-227.60327,983.04816
2,0.008,129.24974,-294.24069,955.76721,213.7205,-260.97165,911.14496,201.30644,-226.62363,981.94501
3,0.017,128.03633,-293.66782,955.00842,213.7205,-260.97165,911.14496,200.38818,-226.56882,981.82697
4,0.025,127.75874,-293.4238,954.67645,214.29274,-260.54251,911.35626,198.13538,-225.4046,979.84064
5,0.033,127.75874,-293.4238,954.67645,214.26688,-260.44028,911.72516,197.87904,-225.06966,980.68207
6,0.042,127.6865,-293.31274,954.33246,214.26688,-260.44028,911.72516,197.78598,-225.24715,980.70068
7,0.05,127.29053,-292.9549,954.13867,213.32611,-260.20285,911.76746,197.92566,-225.21931,980.62561
8,0.058,126.67446,-293.1702,954.07739,213.32611,-260.20285,911.76746,198.25677,-225.41154,981.21405
9,0.067,126.91219,-293.12604,954.0647,213.08591,-259.98944,911.76434,198.60368,-225.80772,981.99792
10,0.075,127.14629,-293.1163,954.02075,212.90823,-260.04114,911.96991,197.97133,-226.69676,981.92517
11,0.083,127.51999,-293.44458,954.24719,212.90823,-260.04114,911.96991,197.62723,-226.69975,982.52112
12,0.092,127.6865,-293.31274,954.33246,212.95731,-259.35519,912.3429,198.08044,-227.57045,982.69739
13,0.1,127.64087,-293.5126,954.45825,213.63118,-259.30978,912.60114,198.75629,-227.99043,983.77264
14,0.108,128.1169,-293.67126,954.74182,214.00511,-259.41953,912.96594,199.88904,-228.9614,983.64917
15,0.117,127.80932,-293.74527,955.50391,214.73909,-259.53329,913.59039,200.90971,-230.65335,985.41949
16,0.125,129.36719,-294.92859,956.15216,214.7196,-259.728,914.08502,200.2614,-231.36755,986.50525
17,0.133,129.05701,-295.34531,956.48749,214.83774,-259.83932,914.31262,199.40089,-231.07744,988.64001
18,0.142,129.436,-295.99216,956.66919,214.96098,-260.65854,915.61475,199.85524,-231.17039,988.99646
19,0.15,129.49535,-296.69794,956.93817,214.88666,-261.1456,915.70648,203.4413,-233.05704,986.90247
20,0.158,129.66373,-297.10172,957.38538,215.10374,-261.1839,915.30005,203.60364,-233.41391,987.24658
21,0.167,129.1232,-297.12698,957.38977,215.10374,-261.1839,915.30005,200.93724,-232.14896,988.36139
22,0.175,129.29239,-296.91348,957.32526,214.58643,-260.44006,914.12445,200.54912,-232.17888,987.91406
23,0.183,129.15244,-296.63428,957.03101,213.55464,-260.65952,913.16241,203.64212,-232.4572,986.67389
24,0.192,128.9733,-295.71594,956.99371,213.40637,-260.60501,912.70508,203.89447,-232.61211,985.57715
25,0.2,128.66194,-295.14166,957.12628,213.5777,-260.56268,912.30786,202.75954,-231.66078,985.40875
26,0.208,127.80282,-294.54309,956.8963,213.12909,-260.5986,912.04285,201.091,-228.65282,984.16541
27,0.217,126.87814,-294.07101,955.96289,212.0168,-261.0347,911.97119,197.0545,-227.50467,984.41345
28,0.225,125.82068,-293.94949,956.14722,211.66727,-260.8436,911.91315,197.30782,-227.17267,983.55627
29,0.233,126.03371,-293.90945,955.58765,211.90761,-261.19052,912.09222,196.12224,-226.01619,983.38605
30,0.242,125.29881,-293.46896,955.36829,211.55807,-260.99948,912.03418,194.99327,-225.4417,983.81268
31,0.25,124.64474,-293.34116,955.14392,211.1405,-260.94373,912.34277,194.48495,-225.34868,983.84235
32,0.258,124.40678,-293.61249,954.95123,211.1405,-260.94373,912.34277,198.45203,-226.12804,983.96545
33,0.267,124.49418,-293.44327,955.08295,211.1405,-260.94373,912.34277,198.22623,-226.24776,984.02838
34,0.275,125.2194,-293.76636,955.09991,211.87015,-260.77249,912.86139,198.58078,-227.29906,984.05273
35,0.283,125.95802,-294.02454,955.49756,212.30991,-260.83612,913.28302,199.87924,-228.70573,984.47314
36,0.292,125.77349,-294.09384,955.7464,212.52083,-260.94388,913.71545,199.85669,-231.37692,985.27405
37,0.3,125.74404,-295.47238,956.89972,213.19966,-261.16171,914.22864,198.93376,-231.28294,986.52722
38,0.308,126.91579,-295.67838,957.41528,213.82567,-263.10733,916.29767,197.24709,-230.99637,987.89301
39,0.317,126.84822,-296.29401,957.72064,213.99805,-262.93661,916.41766,202.4209,-233.76982,989.28552
40,0.325,127.42802,-297.81009,958.18591,213.8833,-262.81323,916.88727,201.05959,-234.67818,989.78613
41,0.333,127.68719,-297.89435,958.36072,213.79349,-262.57724,917.117,201.75714,-235.74112,990.03082
42,0.342,127.57713,-297.92267,958.70111,213.66447,-262.80881,917.51611,202.23973,-235.64735,990.13483
43,0.35,127.57713,-297.92267,958.70111,213.60909,-263.00281,917.62555,202.23973,-235.64735,990.13483
44,0.358,127.95474,-297.98206,959.00763,213.60909,-263.00281,917.62555,202.23973,-235.64735,990.13483
45,0.367,127.57275,-297.73395,959.05536,213.60909,-263.00281,917.62555,202.23973,-235.64735,990.13483
46,0.375,127.32105,-297.56583,959.07135,213.58302,-263.1218,917.21796,201.5425,-234.58456,989.89026
47,0.383,127.28583,-297.54797,958.85718,213.549,-262.8942,916.87915,200.59904,-234.62801,989.888
48,0.392,126.47775,-296.7641,958.75305,213.00389,-263.15274,916.56305,200.65752,-232.12804,988.83038
49,0.4,125.93562,-296.18173,958.48236,212.32288,-262.77985,915.90411,200.3959,-232.00293,988.50934
50,0.408,124.78876,-295.67749,958.77686,211.09409,-261.06369,914.94989,198.29626,-230.36293,986.72888
51,0.417,123.91795,-294.98407,958.09198,210.75644,-260.87531,914.87659,195.21753,-228.2197,987.87903
52,0.425,122.70061,-294.31003,957.5119,210.07535,-260.65717,914.8847,194.46919,-227.60249,985.36383
53,0.433,122.21572,-293.7355,957.42114,210.04309,-260.6954,915.1286,194.26033,-227.18613,985.10938
54,0.442,122.2774,-293.15115,956.45087,210.04309,-260.6954,915.1286,194.26031,-226.76715,985.24506
55,0.45,121.14347,-293.73837,955.87946,209.7412,-260.33694,914.77612,194.71193,-225.78046,985.20935
56,0.458,120.3863,-293.26254,955.99268,209.63919,-260.24594,914.88354,194.69263,-226.01385,984.78815
57,0.467,120.33535,-293.01932,955.56494,209.63919,-260.24594,914.88354,193.70226,-226.13553,985.51501
58,0.475,120.69981,-292.97214,954.83044,209.1367,-260.02826,914.86078,192.53131,-226.88606,984.966
59,0.483,121.15283,-293.71744,955.05414,209.30106,-259.92667,914.92493,192.76599,-227.41451,985.18964
60,0.492,121.15283,-293.71744,955.05414,209.22778,-260.11377,915.59186,192.52153,-227.71109,986.07056
61,0.5,121.13349,-294.05948,955.14453,209.28072,-260.41092,915.66119,193.0217,-227.79567,986.08765
62,0.508,121.51924,-294.32538,955.21484,209.47255,-260.34985,915.91217,192.29709,-227.48956,987.16797
63,0.517,121.40588,-295.06778,955.38147,209.64397,-260.1926,916.04968,192.94527,-228.30043,987.62537
64,0.525,121.81725,-295.16962,955.51361,209.58269,-260.10168,916.36963,194.42378,-230.34305,988.06989
65,0.533,121.78905,-295.51477,955.83374,209.87677,-260.65646,917.10205,194.38361,-232.17615,988.88611
66,0.542,123.03419,-296.38898,956.34644,209.87677,-260.65646,917.10205,194.6996,-233.64656,989.77606
67,0.55,123.31671,-296.60107,956.40637,210.3763,-260.7319,917.25391,194.6996,-233.64656,989.77606
68,0.558,123.9819,-297.18085,956.56403,210.6373,-261.29916,917.22437,197.31367,-233.29343,990.65704
69,0.567,124.30183,-297.86465,956.82141,210.57278,-261.44958,917.0827,198.20702,-233.28712,990.78113
70,0.575,124.30183,-297.86465,956.82141,211.10921,-261.11429,916.75922,198.79309,-233.36354,990.03925
71,0.583,124.73212,-297.66913,956.98859,211.00244,-261.01184,916.02917,197.74904,-233.47272,988.4989
72,0.592,124.73212,-297.66913,956.98859,211.32848,-261.83749,915.62286,198.11815,-233.93468,987.48096
73,0.6,124.79102,-297.7457,956.83228,210.95332,-261.9017,914.93738,197.89485,-234.47502,986.40399
74,0.608,124.53211,-297.45416,956.3493,210.70973,-261.80835,913.81714,199.67122,-234.08273,985.59076
75,0.617,124.13907,-297.04694,955.54944,210.48703,-262.009,913.28217,197.89684,-233.88097,984.7926
76,0.625,123.87035,-296.65512,955.09167,210.869,-262.38138,912.75732,195.93944,-232.41541,983.87701
77,0.633,123.82286,-296.58923,954.54535,210.74011,-262.75027,912.59644,196.23907,-229.86496,983.3233
78,0.642,123.62649,-296.16422,954.0885,210.92578,-263.02884,912.41028,196.33702,-228.92572,981.86633
79,0.65,123.2167,-294.65076,953.07922,210.8602,-262.80588,912.11572,194.6268,-227.9207,981.2937
80,0.658,123.21404,-294.6723,952.69098,210.97661,-263.2608,911.99762,193.3116,-227.41957,981.35016
81,0.667,123.08752,-294.67816,952.54041,211.2991,-263.5061,911.81476,195.45251,-227.14203,981.88824
82,0.675,123.57191,-294.82486,952.37219,211.49695,-263.34256,911.6795,194.37569,-226.97676,982.15875
83,0.683,123.90414,-294.95795,951.91888,211.49695,-263.34256,911.6795,194.45793,-227.8028,981.14087
84,0.692,124.25367,-295.19803,951.8916,212.29271,-263.3912,911.58179,196.36084,-229.72356,981.33954
85,0.7,125.10722,-296.01093,952,213.03703,-263.58691,911.97028,196.20345,-230.45529,980.50726
86,0.708,125.66001,-296.46814,951.97577,213.55669,-263.68817,912.40198,196.46603,-232.25481,981.23169
87,0.717,125.95699,-296.69208,952.33795,213.59625,-263.4303,912.70825,198.41736,-233.1971,983.23975
