Frame#,Time,R.Shank.x,R.Shank.y,R.Shank.z,R.Ankle.x,R.Ankle.y,R.Ankle.z,R.Ankle.Medial.x,R.Ankle.Medial.y,R.Ankle.Medial.z
1,0,374.57874,-140.5856,273.69495,217.95615,-136.75632,76.22567,279.63596,-46.91839,100.39935
2,0.008,374.60123,-140.36192,273.65399,218.05342,-136.65747,76.33978,279.6817,-46.86004,100.57418
3,0.017,374.56497,-140.06497,273.32666,217.97145,-136.76228,76.20235,279.6817,-46.86004,100.57418
4,0.025,374.56497,-140.06497,273.32666,217.94635,-136.54385,76.31809,280.87073,-47.191,101.75914
5,0.033,374.74966,-140.13219,273.68546,217.94635,-136.54385,76.31809,279.63596,-46.91839,100.39935
6,0.042,374.78775,-140.19025,273.56833,217.97145,-136.76228,76.20235,279.6817,-46.86004,100.57418
7,0.05,375.04559,-139.84694,273.88687,217.75789,-136.52361,76.05403,279.93213,-47.02018,100.46017
8,0.058,374.85345,-140.02786,273.77747,217.75789,-136.52361,76.05403,279.48727,-46.68603,100.44559
9,0.067,374.85345,-140.02786,273.77747,218.0295,-136.4594,76.44533,279.74579,-46.8442,100.29693
10,0.075,375.04559,-139.84694,273.88687,218.05342,-136.65747,76.33978,279.48727,-46.68603,100.44559
11,0.083,375.06268,-139.91684,273.78745,218.05342,-136.65747,76.33978,279.48727,-46.68603,100.44559
12,0.092,374.82739,-140.158,273.67587,217.97145,-136.76228,76.20235,279.48727,-46.68603,100.44559
13,0.1,375.04559,-139.84694,273.88687,217.75789,-136.52361,76.05403,279.48727,-46.68603,100.44559
14,0.108,375.06268,-139.91684,273.78745,217.75789,-136.52361,76.05403,279.48727,-46.68603,100.44559
15,0.117,374.82739,-140.158,273.67587,217.75789,-136.52361,76.05403,279.48727,-46.68603,100.44559
16,0.125,374.77222,-140.06122,273.83737,218.21101,-136.59105,76.14449,279.48727,-46.68603,100.44559
17,0.133,374.77222,-140.06122,273.83737,217.99745,-136.35237,75.99617,279.48727,-46.68603,100.44559
18,0.142,374.59473,-140.22244,273.94321,217.97145,-136.76228,76.20235,279.48727,-46.68603,100.44559
19,0.15,374.59473,-140.22244,273.94321,217.75789,-136.52361,76.05403,279.48727,-46.68603,100.44559
20,0.158,374.54395,-140.13673,274.08643,217.97145,-136.76228,76.20235,279.6817,-46.86004,100.57418
21,0.167,374.59473,-140.22244,273.94321,217.97145,-136.76228,76.20235,279.6817,-46.86004,100.57418
22,0.175,374.59473,-140.22244,273.94321,217.75789,-136.52361,76.05403,279.6817,-46.86004,100.57418
23,0.183,374.59473,-140.22244,273.94321,217.75789,-136.52361,76.05403,279.6817,-46.86004,100.57418
24,0.192,374.49091,-140.32677,273.85117,217.97145,-136.76228,76.20235,279.93213,-47.02018,100.46017
25,0.2,374.49091,-140.32677,273.85117,218.05305,-136.24619,75.91846,279.6817,-46.86004,100.57418
26,0.208,374.49091,-140.32677,273.85117,218.3614,-136.53931,75.97696,279.6817,-46.86004,100.57418
27,0.217,374.58188,-140.29442,273.75424,218.14784,-136.30061,75.82861,279.6817,-46.86004,100.57418
28,0.225,374.58188,-140.29442,273.75424,217.90829,-136.47185,75.88647,279.6817,-46.86004,100.57418
29,0.233,374.60123,-140.36192,273.65399,218.12184,-136.71056,76.03481,279.6817,-46.86004,100.57418
30,0.242,374.60123,-140.36192,273.65399,218.12184,-136.71056,76.03481,279.6817,-46.86004,100.57418
31,0.25,374.60123,-140.36192,273.65399,218.3614,-136.53931,75.97696,279.93213,-47.02018,100.46017
32,0.258,374.58188,-140.29442,273.75424,218.14784,-136.30061,75.82861,279.93213,-47.02018,100.46017
33,0.267,374.58188,-140.29442,273.75424,217.90829,-136.47185,75.88647,279.63596,-46.91839,100.39935
34,0.275,374.74966,-140.13219,273.68546,218.12184,-136.71056,76.03481,279.63596,-46.91839,100.39935
35,0.283,374.74966,-140.13219,273.68546,218.12184,-136.71056,76.03481,279.6817,-46.86004,100.57418
36,0.292,374.58188,-140.29442,273.75424,218.12184,-136.71056,76.03481,279.6817,-46.86004,100.57418
37,0.3,374.74966,-140.13219,273.68546,218.12184,-136.71056,76.03481,279.6817,-46.86004,100.57418
38,0.308,374.74966,-140.13219,273.68546,218.12184,-136.71056,76.03481,279.63596,-46.91839,100.39935
39,0.317,374.58188,-140.29442,273.75424,218.12184,-136.71056,76.03481,279.66599,-46.69997,100.19236
40,0.325,374.35907,-140.16919,273.51257,217.90829,-136.47185,75.88647,279.63596,-46.91839,100.39935
41,0.333,374.26813,-140.20154,273.60956,218.14784,-136.30061,75.82861,279.4415,-46.74438,100.27076
42,0.342,374.26813,-140.20154,273.60956,218.26086,-136.63519,75.88042,279.4415,-46.74438,100.27076
43,0.35,374.26813,-140.20154,273.60956,218.0213,-136.80644,75.93827,279.4415,-46.74438,100.27076
44,0.358,374.49091,-140.32677,273.85117,217.90829,-136.47185,75.88647,279.63596,-46.91839,100.39935
45,0.367,374.26813,-140.20154,273.60956,218.0213,-136.80644,75.93827,279.4415,-46.74438,100.27076
46,0.375,374.26813,-140.20154,273.60956,218.0213,-136.80644,75.93827,279.63596,-46.91839,100.39935
47,0.383,374.26813,-140.20154,273.60956,217.74663,-136.33806,75.92937,279.63596,-46.91839,100.39935
48,0.392,374.26813,-140.20154,273.60956,217.80774,-136.56775,75.78992,279.63596,-46.91839,100.39935
49,0.4,374.26813,-140.20154,273.60956,218.0213,-136.80644,75.93827,279.63596,-46.91839,100.39935
50,0.408,374.04526,-140.07642,273.36792,218.10327,-136.70163,76.0757,279.63596,-46.91839,100.39935
51,0.417,374.1362,-140.04405,273.27094,217.87418,-136.86111,76.08824,280.51941,-47.10111,101.67381
52,0.425,374.35907,-140.16919,273.51257,217.80774,-136.56775,75.78992,279.57938,-47.18888,100.27011
53,0.433,374.35907,-140.16919,273.51257,217.80774,-136.56775,75.78992,279.63596,-46.91839,100.39935
54,0.442,374.58188,-140.29442,273.75424,218.0213,-136.80644,75.93827,279.63596,-46.91839,100.39935
55,0.45,374.35907,-140.16919,273.51257,217.87418,-136.86111,76.08824,279.63596,-46.91839,100.39935
