Frame#,Time,V.Sacral.x,V.Sacral.y,V.Sacral.z,R.ASIS.x,R.ASIS.y,R.ASIS.z,L.ASIS.x,L.ASIS.y,L.ASIS.z
1,0,-145.80531,25.33667,628.03259,-23.78081,-154.77692,607.24817,-7.92706,191.07204,601.82782
2,0.008,-145.82367,25.08449,627.87482,-23.78081,-154.77692,607.24817,-7.86033,191.20801,601.75238
3,0.017,-145.82367,25.08449,627.87482,-23.78081,-154.77692,607.24817,-7.72088,191.22684,601.71417
4,0.025,-145.96736,25.2077,628.10767,-23.78081,-154.77692,607.24817,-7.43915,191.17679,601.75549
5,0.033,-145.96736,25.2077,628.10767,-23.78081,-154.77692,607.24817,-7.21027,191.38406,601.66199
6,0.042,-145.95395,25.13888,627.77917,-23.78081,-154.77692,607.24817,-7.36366,191.23436,601.68195
7,0.05,-145.89915,25.20657,627.17291,-23.78081,-154.77692,607.24817,-7.36366,191.23436,601.68195
8,0.058,-145.89915,25.20657,627.17291,-23.78081,-154.77692,607.24817,-7.22311,191.20691,601.83893
9,0.067,-145.89915,25.20657,627.17291,-23.78081,-154.77692,607.24817,-7.06329,191.14355,601.8902
10,0.075,-145.89915,25.20657,627.17291,-23.78081,-154.77692,607.24817,-7.36366,191.23436,601.68195
11,0.083,-145.89915,25.20657,627.17291,-23.41017,-154.88251,607.23242,-7.43915,191.17679,601.75549
12,0.092,-145.89915,25.20657,627.17291,-23.41017,-154.88251,607.23242,-7.43915,191.17679,601.75549
13,0.1,-145.89915,25.20657,627.17291,-23.26198,-154.942,607.39941,-7.64538,191.28442,601.64063
14,0.108,-145.89915,25.20657,627.17291,-23.26198,-154.942,607.39941,-7.71458,190.86742,601.31824
15,0.117,-146.00397,24.69683,627.42871,-22.91396,-154.68956,606.94775,-7.61781,191.18489,601.3855
16,0.125,-145.94096,25.07003,627.45068,-23.00109,-154.99995,607.22363,-7.54232,191.24246,601.31189
17,0.133,-145.94096,25.07003,627.45068,-23.41017,-154.88251,607.23242,-7.83468,191.24083,601.29657
18,0.142,-145.98308,24.90892,627.37415,-23.60959,-155.19496,607.85107,-7.77053,191.29431,601.22882
19,0.15,-145.98308,24.90892,627.37415,-23.60959,-155.19496,607.85107,-7.69523,191.25966,601.25842
20,0.158,-146.00128,24.60925,626.89124,-23.26198,-154.942,607.39941,-7.79201,190.94218,601.1911
21,0.167,-146.00128,24.60925,626.89124,-23.26198,-154.942,607.39941,-7.6412,190.96509,601.14703
22,0.175,-146.00128,24.60925,626.89124,-23.26198,-154.942,607.39941,-7.79201,190.94218,601.1911
