Frame#,Time,R.Thigh.x,R.Thigh.y,R.Thigh.z,R.Thigh.Front.x,R.Thigh.Front.y,R.Thigh.Front.z,R.Knee.x,R.Knee.y,R.Knee.z,R.Knee.Medial.x,R.Knee.Medial.y,R.Knee.Medial.z
1,0,224.25645,-214.25404,490.09839,389.20264,-157.21944,539.45251,398.28076,-223.61429,453.02802,420.46756,-84.85305,458.43881
2,0.008,224.33913,-214.23726,489.96991,389.19254,-157.5228,539.43359,398.3476,-223.44756,452.9104,420.48666,-84.68328,458.35901
3,0.017,224.33913,-214.23726,489.96991,389.19254,-157.5228,539.43359,398.12589,-223.50948,452.90717,420.84195,-85.12064,458.14301
4,0.025,224.33913,-214.23726,489.96991,389.27863,-157.46461,539.27289,398.27478,-223.6541,452.9812,420.74503,-84.94703,458.24701
5,0.033,224.33913,-214.23726,489.96991,389.28104,-157.62201,539.34406,398.2135,-223.75203,452.96396,421.06049,-85.32516,458.47144
6,0.042,224.36371,-214.17635,489.83572,389.30267,-157.89081,539.36523,398.63663,-223.87007,453.07938,421.0369,-85.34079,458.19739
7,0.05,224.36371,-214.17635,489.83572,389.30267,-157.89081,539.36523,398.56653,-223.58145,452.72086,421.0369,-85.34079,458.19739
8,0.058,224.36371,-214.17635,489.83572,389.42523,-157.82944,539.3598,398.74677,-223.73898,452.83704,421.0369,-85.34079,458.19739
9,0.067,224.33913,-214.23726,489.96991,389.42523,-157.82944,539.3598,398.48941,-223.76286,452.76785,421.0369,-85.34079,458.19739
10,0.075,224.33913,-214.23726,489.96991,389.42523,-157.82944,539.3598,398.58411,-223.83466,453.04114,421.0369,-85.34079,458.19739
11,0.083,224.33913,-214.23726,489.96991,389.30267,-157.89081,539.36523,398.64111,-223.86612,452.90417,421.0369,-85.34079,458.19739
12,0.092,224.33913,-214.23726,489.96991,389.30267,-157.89081,539.36523,398.64111,-223.86612,452.90417,421.0369,-85.34079,458.19739
13,0.1,224.33913,-214.23726,489.96991,389.30267,-157.89081,539.36523,398.4194,-223.92807,452.901,421.0369,-85.34079,458.19739
14,0.108,224.33913,-214.23726,489.96991,389.48038,-157.89806,539.24487,398.64111,-223.86612,452.90417,421.0369,-85.34079,458.19739
15,0.117,224.33913,-214.23726,489.96991,389.35782,-157.95943,539.25037,398.64111,-223.86612,452.90417,421.0369,-85.34079,458.19739
16,0.125,224.25645,-214.25404,490.09839,389.42523,-157.82944,539.3598,398.3624,-223.89661,453.03796,421.0369,-85.34079,458.19739
17,0.133,224.33913,-214.23726,489.96991,389.30267,-157.89081,539.36523,398.4194,-223.92807,452.901,421.0369,-85.34079,458.19739
18,0.142,224.25645,-214.25404,490.09839,389.42523,-157.82944,539.3598,398.35538,-223.89894,453.2113,421.0369,-85.34079,458.19739
19,0.15,224.25645,-214.25404,490.09839,389.30267,-157.89081,539.36523,398.35538,-223.89894,453.2113,421.0369,-85.34079,458.19739
20,0.158,224.25645,-214.25404,490.09839,389.28104,-157.62201,539.34406,398.4194,-223.92807,452.901,421.0369,-85.34079,458.19739
21,0.167,224.25645,-214.25404,490.09839,389.40359,-157.56067,539.33862,398.20648,-223.75438,453.13733,421.0369,-85.34079,458.19739
22,0.175,224.25645,-214.25404,490.09839,389.28104,-157.62201,539.34406,398.50247,-223.55235,453.03122,421.0369,-85.34079,458.19739
23,0.183,224.25645,-214.25404,490.09839,389.40359,-157.56067,539.33862,398.38638,-223.48715,452.96088,421.0369,-85.34079,458.19739
24,0.192,224.25645,-214.25404,490.09839,389.40359,-157.56067,539.33862,398.38638,-223.48715,452.96088,421.0369,-85.34079,458.19739
25,0.2,224.25645,-214.25404,490.09839,389.40118,-157.40327,539.26746,398.20648,-223.75438,453.13733,421.06567,-85.21394,458.11456
26,0.208,224.04066,-214.03899,489.88324,389.36215,-157.17612,539.26569,398.27332,-223.58765,453.01971,420.76407,-84.77726,458.16721
27,0.217,224.20912,-214.10866,489.96216,389.20264,-157.21944,539.45251,398.05161,-223.64958,453.01651,420.46304,-84.69891,458.0849
28,0.225,224.04066,-214.03899,489.88324,389.20264,-157.21944,539.45251,398.30612,-223.66705,453.02338,420.76407,-84.77726,458.16721
