Frame#,Time,L.Thigh.x,L.Thigh.y,L.Thigh.z,L.Knee.x,L.Knee.y,L.Knee.z,L.Knee.Medial.x,L.Knee.Medial.y,L.Knee.Medial.z
1,0,268.84576,231.14706,495.29037,403.67938,238.74831,457.81958,416.87164,98.52348,461.60275
2,0.008,268.71292,231.1929,495.25266,403.69025,238.78813,457.90466,416.87164,98.52348,461.60275
3,0.017,268.76599,231.1299,495.31442,403.63586,238.73463,457.96207,416.95596,98.34521,461.38876
4,0.025,268.76599,231.1299,495.31442,403.80273,238.72328,457.96146,416.87164,98.52348,461.60275
5,0.033,268.51788,231.15665,495.02344,403.6041,238.68939,458.08221,416.87164,98.52348,461.60275
6,0.042,268.49945,231.3925,494.90649,403.63586,238.73463,457.96207,416.87164,98.52348,461.60275
7,0.05,268.71292,231.1929,495.25266,403.66614,238.62653,458.14069,416.82263,98.24896,461.75803
8,0.058,268.53906,230.99478,495.19128,403.61966,238.54631,458.22446,416.82263,98.24896,461.75803
9,0.067,268.53906,230.99478,495.19128,403.66614,238.62653,458.14069,416.82263,98.24896,461.75803
10,0.075,268.51788,231.15665,495.02344,403.49588,238.66919,458.11026,416.84949,97.90714,461.78732
11,0.083,268.49945,231.3925,494.90649,403.49588,238.66919,458.11026,416.7489,98.03555,461.94583
12,0.092,268.56589,231.45074,494.76428,403.55978,238.60962,458.16531,416.7489,98.03555,461.94583
13,0.1,268.58429,231.21489,494.88123,403.63586,238.73463,457.96207,416.61566,98.1227,461.97772
14,0.108,268.62277,231.27658,494.78201,403.52765,238.71442,457.99011,416.87164,98.52348,461.60275
15,0.117,268.60437,231.51242,494.66504,403.63586,238.73463,457.96207,416.82263,98.24896,461.75803
16,0.125,268.56589,231.45074,494.76428,403.49588,238.66919,458.11026,416.87164,98.52348,461.60275
17,0.133,268.62955,230.84662,494.86218,403.67938,238.74831,457.81958,416.98425,98.56637,461.82291
18,0.142,268.69174,231.35477,495.08481,403.6041,238.68939,458.08221,416.87164,98.52348,461.60275
19,0.15,268.49945,231.3925,494.90649,403.6041,238.68939,458.08221,416.87164,98.52348,461.60275
20,0.158,268.49945,231.3925,494.90649,403.63586,238.73463,457.96207,416.87164,98.52348,461.60275
21,0.167,268.72638,231.52765,495.02963,403.67938,238.74831,457.81958,416.87164,98.52348,461.60275
22,0.175,268.81683,231.61159,494.87933,403.80573,238.9066,457.77771,416.87164,98.52348,461.60275
23,0.183,268.81683,231.61159,494.87933,403.67938,238.74831,457.81958,416.98425,98.56637,461.82291
24,0.192,268.72638,231.52765,495.02963,403.63586,238.73463,457.96207,416.98425,98.56637,461.82291
25,0.2,268.49945,231.3925,494.90649,403.63586,238.73463,457.96207,416.97406,98.50838,461.76105
26,0.208,268.55249,231.32951,494.96826,403.65848,238.7429,458.02484,416.97406,98.50838,461.76105
27,0.217,268.57092,231.09364,495.08521,403.6041,238.68939,458.08221,416.98425,98.56637,461.82291
28,0.225,268.63766,231.24974,495.09991,403.6041,238.68939,458.08221,416.98425,98.56637,461.82291
29,0.233,268.55249,231.32951,494.96826,403.6041,238.68939,458.08221,416.98425,98.56637,461.82291
30,0.242,268.55249,231.32951,494.96826,403.66614,238.62653,458.14069,416.93521,98.29186,461.97815
31,0.25,268.55249,231.32951,494.96826,403.55978,238.60962,458.16531,416.93521,98.29186,461.97815
32,0.258,268.70676,230.82152,495.02435,403.73328,238.56117,458.20135,416.93106,98.2266,462.21478
33,0.267,268.57092,231.09364,495.08521,403.61966,238.54631,458.22446,416.95789,97.88479,462.24402
34,0.275,268.49945,231.3925,494.90649,403.56421,238.53741,458.3465,416.95789,97.88479,462.24402
35,0.283,268.49945,231.3925,494.90649,403.56421,238.53741,458.3465,416.85727,98.01322,462.40256
36,0.292,268.49945,231.3925,494.90649,403.37445,238.38287,458.29456,416.87164,97.75803,462.22165
37,0.3,268.49945,231.3925,494.90649,403.31458,238.44618,458.23541,416.96207,97.95004,462.00742
38,0.308,268.49945,231.3925,494.90649,403.32156,238.19096,458.16046,416.86746,97.6928,462.45822
39,0.317,268.49945,231.3925,494.90649,403.37445,238.38287,458.29456,416.98792,97.73395,462.71097
40,0.325,268.57092,231.09364,495.08521,403.37445,238.38287,458.29456,416.98792,97.73395,462.71097
41,0.333,268.51788,231.15665,495.02344,403.50015,238.59676,458.29163,416.98792,97.73395,462.71097
42,0.342,268.51788,231.15665,495.02344,403.31039,238.44223,458.23969,416.62341,98.22886,462.59293
43,0.35,268.49945,231.3925,494.90649,403.44043,238.66029,458.2323,416.93521,98.29186,461.97815
44,0.358,268.55249,231.32951,494.96826,403.56421,238.53741,458.3465,416.86148,98.07847,462.16595
45,0.367,268.55249,231.32951,494.96826,403.55978,238.60962,458.16531,416.93106,98.2266,462.21478
46,0.375,268.57092,231.09364,495.08521,403.50433,238.60072,458.28735,416.93106,98.2266,462.21478
47,0.383,268.57092,231.09364,495.08521,403.5556,238.60565,458.16959,416.9801,98.50108,462.05954
48,0.392,268.53906,230.99478,495.19128,403.49588,238.66919,458.11026,416.9801,98.50108,462.05954
49,0.4,268.59213,230.93176,495.25305,403.49588,238.66919,458.11026,416.98425,98.56637,461.82291
50,0.408,268.59213,230.93176,495.25305,403.44043,238.66029,458.2323,416.67957,98.56095,462.19696
51,0.417,268.70078,230.70525,495.08743,403.44043,238.66029,458.2323,416.46515,98.60933,461.80603
52,0.425,268.51788,231.15665,495.02344,403.44043,238.66029,458.2323,416.98425,98.56637,461.82291
53,0.433,268.53906,230.99478,495.19128,403.44043,238.66029,458.2323,416.75034,98.78204,462.01331
54,0.442,268.53906,230.99478,495.19128,403.49588,238.66919,458.11026,416.46515,98.60933,461.80603
55,0.45,268.51788,231.15665,495.02344,403.52765,238.71442,457.99011,416.75034,98.78204,462.01331
56,0.458,268.6268,230.78592,495.02066,403.49588,238.66919,458.11026,416.75034,98.78204,462.01331
57,0.467,268.63574,230.63965,494.9743,403.25067,238.50577,458.18036,416.70132,98.50751,462.16858
58,0.475,268.49945,231.3925,494.90649,403.44043,238.66029,458.2323,416.02191,98.5452,461.94116
59,0.483,268.53906,230.99478,495.19128,403.25067,238.50577,458.18036,415.99905,98.27396,462.05551
60,0.492,268.63455,230.64247,495.17792,403.0874,238.64766,458.22003,416.62759,98.29409,462.35632
61,0.5,268.6268,230.78592,495.02066,403.44043,238.66029,458.2323,416.08261,98.32123,462.32068
62,0.508,268.49945,231.3925,494.90649,403.0874,238.64766,458.22003,415.97,98.27831,462.10056
63,0.517,268.49945,231.3925,494.90649,403.0874,238.64766,458.22003,415.97,98.27831,462.10056
64,0.525,268.63455,230.64247,495.17792,403.0874,238.64766,458.22003,416.02191,98.5452,461.94116
65,0.533,268.63455,230.64247,495.17792,403.0874,238.64766,458.22003,415.97,98.27831,462.10056
66,0.542,268.53906,230.99478,495.19128,403.0874,238.64766,458.22003,416.02191,98.5452,461.94116
67,0.55,268.53906,230.99478,495.19128,403.0874,238.64766,458.22003,415.97,98.27831,462.10056
68,0.558,268.53906,230.99478,495.19128,403.0874,238.64766,458.22003,416.02191,98.5452,461.94116
69,0.567,268.68158,230.58687,495.23456,403.0874,238.64766,458.22003,416.08261,98.32123,462.32068
70,0.575,268.75558,230.50618,495.30133,403.0874,238.64766,458.22003,416.02191,98.5452,461.94116
71,0.583,268.59213,230.93176,495.25305,403.0874,238.64766,458.22003,416.02191,98.5452,461.94116
72,0.592,268.59213,230.93176,495.25305,403.14713,238.58414,458.27936,416.56699,98.51802,461.97684
73,0.6,268.57959,230.86887,495.31982,403.31039,238.44223,458.23969,415.97,98.27831,462.10056
74,0.608,268.74777,230.64964,495.14407,403.25067,238.50577,458.18036,415.97,98.27831,462.10056
75,0.617,268.57092,231.09364,495.08521,403.31458,238.44618,458.23541,416.7489,98.03555,461.94583
76,0.625,268.57092,231.09364,495.08521,403.25067,238.50577,458.18036,415.97,98.27831,462.10056
77,0.633,268.49945,231.3925,494.90649,403.25067,238.50577,458.18036,415.97,98.27831,462.10056
78,0.642,268.49945,231.3925,494.90649,403.25067,238.50577,458.18036,416.08261,98.32123,462.32068
79,0.65,268.51788,231.15665,495.02344,403.37445,238.38287,458.29456,416.51505,98.25114,462.13623
80,0.658,268.51788,231.15665,495.02344,403.37445,238.38287,458.29456,416.7489,98.03555,461.94583
81,0.667,268.49945,231.3925,494.90649,403.25067,238.50577,458.18036,416.08261,98.32123,462.32068
82,0.675,268.49945,231.3925,494.90649,403.37445,238.38287,458.29456,416.62759,98.29409,462.35632
83,0.683,268.62955,230.84662,494.86218,403.26166,238.25427,458.10132,416.0929,98.00072,462.3764
84,0.692,268.62061,230.99289,494.90857,403.37445,238.38287,458.29456,416.63782,97.97361,462.41205
85,0.7,268.57092,231.09364,495.08521,403.37445,238.38287,458.29456,416.0929,98.00072,462.3764
86,0.708,268.57092,231.09364,495.08521,403.32156,238.19096,458.16046,416.63782,97.97361,462.41205
87,0.717,268.70676,230.82152,495.02435,403.37445,238.38287,458.29456,416.87164,97.75803,462.22165
88,0.725,268.55249,231.32951,494.96826,403.37445,238.38287,458.29456,416.24005,97.75801,461.98471
89,0.733,268.55249,231.32951,494.96826,403.37445,238.38287,458.29456,416.63361,97.90839,462.64862
90,0.742,268.67575,230.99452,494.97418,403.32156,238.19096,458.16046,416.86746,97.6928,462.45822
91,0.75,268.69421,230.75862,495.09113,403.37445,238.38287,458.29456,416.34848,97.73569,462.44141
92,0.758,268.71542,230.59671,495.25897,403.44339,237.98259,458.14844,416.87164,97.75803,462.22165
93,0.767,268.80066,230.51688,495.39059,403.49628,238.1745,458.28253,416.87164,97.75803,462.22165
94,0.775,268.9606,230.29269,495.60501,403.55148,237.84151,458.17081,416.86746,97.6928,462.45822
95,0.783,268.95892,230.4285,495.44006,403.55817,237.77997,458.23206,416.62994,97.35455,462.33942
96,0.792,268.79742,230.70865,495.28778,403.55148,237.84151,458.17081,416.41617,97.51367,461.87851
97,0.8,268.74103,230.61716,495.32202,403.55148,237.84151,458.17081,416.86746,97.6928,462.45822
