Frame#,Time,L.Forearm.x,L.Forearm.y,L.Forearm.z,L.Ulna.x,L.Ulna.y,L.Ulna.z,L.Radius.x,L.Radius.y,L.Radius.z
1,0,294.04605,-2.0173,1048.89307,384.62463,-51.1845,1042.34521,323.5069,-77.9317,1027.8811
2,0.008,293.27438,-4.06396,1052.52795,383.74319,-52.15754,1046.75146,321.83105,-80.00115,1032.01038
3,0.017,292.12518,-4.21534,1055.83118,381.72949,-53.49271,1051.94128,320.7475,-80.55758,1036.50391
4,0.025,290.4451,-4.79761,1060.52136,380.62854,-54.33511,1055.93347,320.5903,-80.67424,1039.1156
5,0.033,288.91525,-5.27222,1063.29907,379.82187,-54.81789,1060.73291,320.39166,-80.47269,1042.24805
6,0.042,288.77539,-6.97672,1067.31738,378.98758,-55.08394,1064.51233,319.26453,-81.77924,1046.24634
7,0.05,287.93311,-9.04747,1070.73926,378.80121,-56.74672,1070.05701,318.69128,-81.70557,1049.68335
8,0.058,285.49646,-8.58189,1075.01819,378.1763,-57.2265,1074.09058,318.02701,-82.29635,1054.26428
9,0.067,286.18668,-7.834,1076.77136,376.84106,-57.05254,1078.03198,316.47131,-84.95044,1057.00244
10,0.075,285.35922,-9.22086,1080.4375,376.23819,-57.23319,1082.74963,317.23929,-83.23634,1061.38855
11,0.083,284.98212,-9.61721,1084.0509,375.21326,-57.91784,1086.63232,315.33145,-85.38202,1065.15686
12,0.092,282.87564,-11.05463,1088.47461,374.53467,-57.71741,1091.06433,313.55103,-88.26143,1069.56946
13,0.1,282.78546,-9.55149,1090.76147,373.91266,-58.03087,1095.33081,312.12903,-89.19251,1073.3396
14,0.108,281.38361,-11.246,1095.50354,372.92294,-58.28125,1099.64087,312.98047,-89.60943,1076.55884
15,0.117,279.82498,-11.50054,1099.40137,371.73157,-58.14762,1103.68298,312.55142,-89.97375,1080.43945
16,0.125,279.11627,-11.20018,1103.67004,371.64282,-58.13176,1108.4408,311.54355,-88.40451,1084.3197
17,0.133,277.46948,-11.24408,1106.73169,370.13013,-57.87886,1113.35962,310.47095,-90.78572,1088.93005
18,0.142,276.5546,-11.46003,1111.02795,369.3735,-56.11773,1118.1366,312.29868,-84.98959,1091.89539
