Frame#,Time,C7.x,C7.y,C7.z,R.Shoulder.x,R.Shoulder.y,R.Shoulder.z,L.Shoulder.x,L.Shoulder.y,L.Shoulder.z
1,0,-107.79449,-3.13081,1099.91516,-80.61092,-188.74345,1030.30371,-15.68776,146.06204,1089.19873
2,0.008,-107.7169,-2.96323,1099.76172,-81.13376,-188.88921,1030.51367,-15.91909,145.47456,1089.72461
3,0.017,-108.06314,-4.36649,1099.43884,-81.97469,-189.12022,1030.72913,-16.48288,144.88402,1089.70911
4,0.025,-108.94338,-3.18588,1099.64941,-82.07476,-189.37886,1030.93152,-17.16054,144.45868,1090.16235
5,0.033,-110.21809,-3.63387,1099.77136,-82.81788,-189.93372,1031.07422,-18.4877,143.88799,1090.97131
6,0.042,-110.48501,-3.56067,1099.72607,-83.14037,-189.83147,1031.27429,-19.27063,143.7422,1091.40637
7,0.05,-110.72279,-4.21825,1099.87622,-83.69476,-189.3853,1031.34448,-21.08021,143.00349,1092.34497
8,0.058,-110.99017,-4.77288,1099.93091,-84.56138,-188.8959,1031.42212,-21.3697,142.49153,1092.71851
9,0.067,-111.32146,-4.72432,1099.64893,-84.37427,-189.24164,1031.29883,-21.6489,142.52182,1093.09241
10,0.075,-112.19293,-5.50845,1099.6012,-85.48851,-189.01312,1031.25549,-22.38115,141.94765,1093.57422
11,0.083,-112.58128,-5.65788,1099.8363,-86.23128,-188.70819,1031.27209,-23.59463,141.52412,1093.94788
12,0.092,-112.85357,-6.21772,1099.64417,-86.87796,-189.36186,1031.45618,-24.50773,141.70248,1094.53284
13,0.1,-113.07114,-6.6433,1099.71667,-86.87796,-189.36186,1031.45618,-26.63947,139.90704,1094.9364
14,0.108,-113.36767,-7.03737,1099.57129,-87.43674,-189.54895,1031.60876,-28.39945,138.00267,1095.67786
15,0.117,-114.03527,-7.09665,1099.11426,-87.87745,-189.58493,1031.63049,-27.66037,138.83609,1095.83679
16,0.125,-115.40151,-7.39858,1099.33081,-88.4963,-189.5688,1031.49988,-28.58078,137.6219,1095.92322
17,0.133,-116.46208,-7.27014,1099.07349,-88.84099,-189.86229,1031.75879,-29.26991,137.60509,1096.28577
18,0.142,-116.76857,-7.33996,1099.15857,-89.24743,-190.41386,1031.81958,-30.97866,137.6088,1095.8158
19,0.15,-117.03593,-7.89453,1099.2135,-89.32562,-191.71957,1032.09045,-31.52522,137.61406,1096.80701
20,0.158,-118.19789,-9.03938,1099.28931,-89.85789,-191.90852,1032.35046,-33.17009,136.70532,1097.57007
21,0.167,-118.30408,-9.39036,1099.06018,-89.77925,-191.89693,1032.37622,-33.43961,136.60175,1098.74597
22,0.175,-118.65823,-9.67616,1099.26636,-90.25814,-192.14638,1032.29492,-36.43264,134.46024,1098.78333
23,0.183,-118.65575,-9.5876,1099.34033,-90.12282,-192.30759,1032.13245,-37.44688,133.84402,1098.88904
24,0.192,-118.91892,-9.69445,1099.69214,-90.77052,-192.02573,1032.33813,-39.12266,133.7462,1099.22168
25,0.2,-119.21777,-10.51855,1099.17188,-90.41306,-192.39687,1032.09631,-39.36964,133.30899,1099.05408
26,0.208,-119.28933,-10.61907,1098.7478,-90.61256,-192.81412,1031.79639,-39.42246,133.17709,1100.04041
27,0.217,-119.48341,-11.05562,1099.14856,-90.88322,-193.56912,1031.90295,-42.05377,133.01645,1100.69946
28,0.225,-120.23409,-11.72155,1099.02466,-90.89944,-193.85417,1031.78503,-42.69941,131.54117,1100.84485
29,0.233,-120.23409,-11.72155,1099.02466,-90.90392,-194.23759,1031.80017,-44.04227,130.58478,1101.22839
30,0.242,-120.94221,-12.60931,1098.89783,-91.1946,-194.32559,1031.47791,-45.95149,130.35239,1101.6488
31,0.25,-122.28159,-14.04023,1098.5238,-91.24381,-194.84265,1031.41833,-46.57136,129.38734,1102.11011
