Frame#,Time,L.Shank.x,L.Shank.y,L.Shank.z,L.Ankle.x,L.Ankle.y,L.Ankle.z,L.Ankle.Medial.x,L.Ankle.Medial.y,L.Ankle.Medial.z
1,0,376.02634,176.07173,237.9879,239.32794,177.30501,80.59165,287.88547,76.45444,92.34949
2,0.008,375.9903,176.3049,238.07327,239.48921,177.31612,80.58939,287.88547,76.45444,92.34949
3,0.017,375.9903,176.3049,238.07327,240.2634,176.96725,80.25573,287.9191,76.26093,92.42963
4,0.025,375.9903,176.3049,238.07327,239.32878,177.2563,80.4998,287.83582,76.16073,92.54187
5,0.033,375.82047,176.32857,237.96271,239.44571,177.47386,80.70092,287.91287,76.05632,92.28866
6,0.042,375.82047,176.32857,237.96271,240.17413,177.16158,80.42027,287.88547,76.45444,92.34949
7,0.05,375.82047,176.32857,237.96271,240.31685,177.04027,80.41924,287.88547,76.45444,92.34949
8,0.058,375.9903,176.3049,238.07327,240.31685,177.04027,80.41924,287.88547,76.45444,92.34949
9,0.067,375.9903,176.3049,238.07327,239.32794,177.30501,80.59165,287.88547,76.45444,92.34949
10,0.075,375.9903,176.3049,238.07327,239.48921,177.31612,80.58939,287.83582,76.16073,92.54187
11,0.083,375.9903,176.3049,238.07327,240.45644,177.22987,80.58298,287.83582,76.16073,92.54187
12,0.092,375.9903,176.3049,238.07327,239.44571,177.47386,80.70092,287.86325,75.76263,92.48105
13,0.1,375.86374,176.39613,237.83832,240.17413,177.16158,80.42027,287.88547,76.45444,92.34949
14,0.108,375.86374,176.39613,237.83832,240.03458,176.97197,80.25654,287.88547,76.45444,92.34949
15,0.117,376.05133,176.37608,237.94771,239.64618,177.53886,80.81498,287.88547,76.45444,92.34949
16,0.125,376.05133,176.37608,237.94771,239.64618,177.53886,80.81498,287.86325,75.76263,92.48105
17,0.133,376.05133,176.37608,237.94771,239.30612,177.11243,80.69326,287.83582,76.16073,92.54187
18,0.142,376.05133,176.37608,237.94771,239.34962,176.95467,80.58173,287.83582,76.16073,92.54187
19,0.15,375.86374,176.39613,237.83832,239.48921,177.31612,80.58939,287.83582,76.16073,92.54187
20,0.158,376.05133,176.37608,237.94771,239.68968,177.38113,80.70345,287.82956,75.95612,92.4009
21,0.167,376.05133,176.37608,237.94771,239.48921,177.31612,80.58939,288.0285,76.56829,92.42623
22,0.175,376.05133,176.37608,237.94771,239.48921,177.31612,80.58939,287.83582,76.16073,92.54187
23,0.183,376.05133,176.37608,237.94771,239.55006,177.01965,80.69578,287.83582,76.16073,92.54187
24,0.192,376.05133,176.37608,237.94771,239.50656,177.17741,80.8073,287.97882,76.27456,92.61861
25,0.2,376.08737,176.14291,237.86234,239.54413,176.85602,80.60154,287.83582,76.16073,92.54187
26,0.208,376.08737,176.14291,237.86234,239.88528,177.31509,80.74219,287.82956,75.95612,92.4009
27,0.217,376.08737,176.14291,237.86234,239.44571,177.47386,80.70092,287.9726,76.06993,92.47765
28,0.225,376.08737,176.14291,237.86234,239.64618,177.53886,80.81498,288.00629,75.87643,92.55779
29,0.233,376.08737,176.14291,237.86234,239.70215,177.11136,80.84603,288.13974,76.19773,92.53783
30,0.242,376.08737,176.14291,237.86234,239.70215,177.11136,80.84603,287.97882,76.27456,92.61861
31,0.25,376.08737,176.14291,237.86234,239.27156,176.95235,80.85358,287.9726,76.06993,92.47765
32,0.258,376.08737,176.14291,237.86234,239.70215,177.11136,80.84603,288.00629,75.87643,92.55779
33,0.267,376.08737,176.14291,237.86234,239.74565,176.95361,80.7345,288.13974,76.19773,92.53783
34,0.275,376.08737,176.14291,237.86234,239.37144,177.14725,80.48011,288.13974,76.19773,92.53783
35,0.283,376.08737,176.14291,237.86234,239.68372,177.21747,80.60921,288.13974,76.19773,92.53783
36,0.292,376.08737,176.14291,237.86234,239.34962,176.95467,80.58173,288.17966,76.20886,92.75895
37,0.3,376.08737,176.14291,237.86234,239.54413,176.85602,80.60154,288.17343,76.00422,92.61798
38,0.308,376.08737,176.14291,237.86234,239.54413,176.85602,80.60154,288.17343,76.00422,92.61798
39,0.317,376.08737,176.14291,237.86234,239.54413,176.85602,80.60154,288.13974,76.19773,92.53783
40,0.325,376.08737,176.14291,237.86234,239.84178,177.47282,80.85371,288.13974,76.19773,92.53783
41,0.333,376.08737,176.14291,237.86234,239.48921,177.31612,80.58939,288.13974,76.19773,92.53783
42,0.342,376.08737,176.14291,237.86234,239.32794,177.30501,80.59165,288.13974,76.19773,92.53783
43,0.35,376.08737,176.14291,237.86234,239.74565,176.95361,80.7345,288.17966,76.20886,92.75895
44,0.358,376.08737,176.14291,237.86234,239.74565,176.95361,80.7345,288.17343,76.00422,92.61798
45,0.367,376.08737,176.14291,237.86234,239.68372,177.21747,80.60921,288.17343,76.00422,92.61798
46,0.375,376.02634,176.07173,237.9879,239.57188,177.21225,80.59417,288.18942,76.49147,92.34544
47,0.383,376.08737,176.14291,237.86234,239.56593,177.0486,80.49993,288.18942,76.49147,92.34544
48,0.392,376.08737,176.14291,237.86234,239.68968,177.38113,80.70345,288.17343,76.00422,92.61798
49,0.4,376.08737,176.14291,237.86234,239.4323,176.85078,80.58649,288.17343,76.00422,92.61798
50,0.408,376.08737,176.14291,237.86234,239.4323,176.85078,80.58649,288.13974,76.19773,92.53783
