Frame#,Time,R.Thigh.x,R.Thigh.y,R.Thigh.z,R.Thigh.Front.x,R.Thigh.Front.y,R.Thigh.Front.z,R.Knee.x,R.Knee.y,R.Knee.z,R.Knee.Medial.x,R.Knee.Medial.y,R.Knee.Medial.z
1,0,244.64471,-168.4621,659.98761,334.98285,-103.18016,551.91998,268.65396,-149.96956,497.20026,299.18314,-31.29835,487.50403
2,0.008,244.64471,-168.4621,659.98761,334.79181,-102.84756,551.82697,268.4754,-149.89665,497.24448,299.69327,-31.16977,487.42587
3,0.017,244.56374,-168.4451,660.09698,334.83307,-103.04259,551.93915,268.4754,-149.89665,497.24448,299.18314,-31.29835,487.50403
4,0.025,244.56374,-168.4451,660.09698,334.79181,-102.84756,551.82697,268.4754,-149.89665,497.24448,299.18314,-31.29835,487.50403
5,0.033,244.64471,-168.4621,659.98761,334.79181,-102.84756,551.82697,268.4754,-149.89665,497.24448,299.3606,-31.35358,487.91122
6,0.042,244.64471,-168.4621,659.98761,334.79181,-102.84756,551.82697,268.4754,-149.89665,497.24448,299.18314,-31.29835,487.50403
7,0.05,244.64471,-168.4621,659.98761,334.79181,-102.84756,551.82697,268.4754,-149.89665,497.24448,299.3606,-31.35358,487.91122
8,0.058,244.58839,-168.40994,659.99677,334.5737,-102.98325,551.83459,268.44247,-149.91861,497.1424,299.18314,-31.29835,487.50403
9,0.067,244.58839,-168.40994,659.99677,334.83307,-103.04259,551.93915,268.48062,-149.91254,497.39218,299.18314,-31.29835,487.50403
10,0.075,244.58839,-168.40994,659.99677,334.79181,-102.84756,551.82697,268.48062,-149.91254,497.39218,299.18314,-31.29835,487.50403
11,0.083,244.58839,-168.40994,659.99677,334.74008,-102.90431,551.71448,268.4754,-149.89665,497.24448,299.18314,-31.29835,487.50403
12,0.092,244.56374,-168.4451,660.09698,334.78134,-103.09934,551.82672,268.48062,-149.91254,497.39218,299.18314,-31.29835,487.50403
13,0.1,244.58839,-168.40994,659.99677,334.78134,-103.09934,551.82672,268.44247,-149.91861,497.1424,299.3606,-31.35358,487.91122
14,0.108,244.66939,-168.42693,659.88733,334.78134,-103.09934,551.82672,268.4754,-149.89665,497.24448,299.18314,-31.29835,487.50403
15,0.117,244.66939,-168.42693,659.88733,334.94067,-103.20447,551.70099,268.44247,-149.91861,497.1424,299.18314,-31.29835,487.50403
16,0.125,244.66939,-168.42693,659.88733,334.94067,-103.20447,551.70099,268.44247,-149.91861,497.1424,299.18314,-31.29835,487.50403
17,0.133,244.66939,-168.42693,659.88733,334.79089,-103.0669,551.72021,268.44247,-149.91861,497.1424,299.69327,-31.16977,487.42587
18,0.142,244.85883,-168.41614,659.8631,334.93115,-103.23691,551.8075,268.44247,-149.91861,497.1424,300.24448,-31.48246,487.50934
19,0.15,244.96954,-168.56001,659.87183,334.94067,-103.20447,551.70099,268.65396,-149.96956,497.20026,300.24448,-31.48246,487.50934
