Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z,R.Ulna.x,R.Ulna.y,R.Ulna.z,R.Radius.x,R.Radius.y,R.Radius.z
1,0,2040.67896,265.36676,942.39453,2082.42188,289.47501,849.50104,2009.62415,251.23918,837.36426
2,0.008,2034.92151,267.396,942.97809,2073.85156,289.71439,850.98914,2003.30859,251.69644,839.45685
3,0.017,2028.15125,267.1051,945.93939,2065.7312,291.85056,851.00043,1994.39343,253.1162,839.5979
4,0.025,2020.04761,267.0918,945.29413,2057.49072,291.88712,852.27814,1985.43457,253.12253,842.64093
5,0.033,2012.01233,269.87961,946.80188,2049.72803,291.46973,852.4483,1978.40601,254.41284,842.08447
6,0.042,2006.28882,267.60294,946.45496,2042.18311,293.15253,853.59094,1972.31885,252.15073,842.94733
7,0.05,2000.7229,269.87723,947.10126,2034.84949,292.38187,853.44788,1963.35034,253.34312,843.82465
8,0.058,1992.00391,270.49426,946.88831,2027.57922,293.86392,853.23041,1956.50952,255.28859,845.37439
9,0.067,1986.01636,268.40787,946.93805,2020.151,293.21661,854.44904,1949.17297,254.48131,845.41089
10,0.075,1979.01538,269.48843,947.27686,2012.58447,292.54388,853.31201,1942.43286,253.59705,845.84558
11,0.083,1973.01245,270.54211,948.14764,2006.5957,294.67993,852.75403,1936.02698,256.05347,845.96613
12,0.092,1967.83093,268.8251,948.0752,2000.2749,294.04971,852.98981,1930.38708,255.01151,846.28461
13,0.1,1960.2489,270.00421,947.28967,1993.7489,293.45285,853.13025,1922.89905,255.04387,846.7699
14,0.108,1954.47644,267.89032,947.77515,1988.30286,294.90277,852.69861,1915.65796,256.44168,846.40863
15,0.117,1948.61023,269.6871,947.03412,1981.34924,294.00613,852.67181,1910.4613,254.95988,845.06787
16,0.125,1942.66199,268.74469,945.58142,1974.77698,292.65704,852.27026,1904.09851,254.53293,845.14935
17,0.133,1935.85852,267.73386,945.54816,1967.43433,292.1633,850.84552,1897.38367,253.66623,845.39886
18,0.142,1932.07373,268.60867,944.62195,1961.98108,292.0343,849.32507,1892.08179,254.36945,844.32007
19,0.15,1925.68164,267.41638,944.46722,1956.98108,291.94644,850.354,1885.12329,253.56218,844.74237
20,0.158,1918.875,266.42581,943.58368,1950.16138,290.69495,849.17816,1879.00073,252.21387,842.71863
21,0.167,1914.35876,266.01105,943.48004,1944.58472,291.47763,848.21594,1874.72595,252.05695,842.93671
22,0.175,1910.50891,265.34705,943.2691,1940.35535,289.71875,846.43182,1868.87732,251.32092,841.73621
23,0.183,1903.75354,265.83914,941.86133,1934.05225,288.48004,846.97925,1862.63708,250.07129,842.35657
