Frame#,Time,R.Biceps.Lateral.x,R.Biceps.Lateral.y,R.Biceps.Lateral.z,R.Elbow.x,R.Elbow.y,R.Elbow.z,R.Elbow.Medial.x,R.Elbow.Medial.y,R.Elbow.Medial.z
1,0,-1617.83508,-240.88737,1259.50146,-1653.07751,-268.65121,1077.82983,-1675.85437,-190.18437,1076.09534
2,0.008,-1613.80957,-240.93248,1258.96387,-1647.47205,-268.39178,1077.64636,-1671.07166,-190.259,1076.15002
3,0.017,-1605.07068,-242.55249,1257.70569,-1641.46558,-267.66733,1076.48718,-1666.00867,-189.98215,1074.88098
4,0.025,-1600.62634,-242.74109,1257.44824,-1636.47241,-268.37262,1075.76147,-1660.44287,-190.37288,1073.96155
5,0.033,-1595.90149,-241.85574,1256.28601,-1630.63135,-267.15356,1075.42725,-1654.98242,-189.78024,1073.07593
6,0.042,-1591.65369,-241.56483,1255.53174,-1625.48181,-268.19183,1074.59619,-1650.11633,-189.58034,1072.50354
7,0.05,-1586.09277,-240.72461,1256.20178,-1619.33887,-267.16959,1074.10706,-1644.33118,-189.4481,1071.96338
8,0.058,-1581.21545,-240.07941,1255.45947,-1615.60925,-267.53391,1073.65356,-1638.46814,-188.94627,1072.01013
9,0.067,-1575.83643,-240.7446,1254.26978,-1609.93896,-266.33389,1072.85278,-1633.58801,-188.63379,1071.40625
10,0.075,-1569.20764,-240.68912,1254.53137,-1604.01331,-265.12448,1072.13232,-1629.48486,-188.07181,1070.82849
11,0.083,-1564.47498,-240.95149,1253.28369,-1599.36951,-266.29773,1072.41882,-1624.46558,-187.46182,1070.53552
12,0.092,-1559.99158,-240.44304,1252.62085,-1594.90222,-264.38116,1071.55884,-1619.05176,-186.52286,1069.7572
13,0.1,-1555.49792,-239.52461,1252.10596,-1589.41663,-263.6524,1070.30823,-1613.57629,-186.31987,1068.93909
14,0.108,-1550.48804,-239.12718,1251.80078,-1585.2594,-264.34152,1070.34705,-1609.005,-185.83929,1069.12354
15,0.117,-1547.06348,-238.23035,1251.74219,-1581.49377,-264.08994,1069.47644,-1604.28198,-185.83974,1068.18994
16,0.125,-1542.84229,-237.79329,1251.24243,-1576.21875,-262.80347,1068.50134,-1600.45203,-184.60458,1067.37634
17,0.133,-1538.09558,-235.47771,1249.83484,-1571.65051,-262.08667,1068.03601,-1595.19226,-183.97331,1066.64038
18,0.142,-1532.31262,-236.45468,1249.1991,-1567.44836,-262.00729,1067.32227,-1590.96313,-183.8687,1065.65076
19,0.15,-1526.52466,-236.81885,1247.96753,-1562.49475,-260.8717,1066.44568,-1587.04297,-182.7621,1064.97791
20,0.158,-1522.35181,-236.54631,1247.4259,-1557.86279,-259.67841,1065.79565,-1581.55688,-181.87973,1064.11584
