Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Front.Head.x,Front.Head.y,Front.Head.z,Rear.Head.x,Rear.Head.y,Rear.Head.z,Jaw.x,Jaw.y,Jaw.z
1,0,1810.62671,-50.81032,1682.87646,1716.09668,-46.94424,1587.50806,1931.82153,-64.02581,1602.28772,1765.99731,-41.87379,1417.99548
2,0.008,1808.83997,-50.16122,1682.8219,1710.98572,-45.39004,1586.2511,1927.40735,-63.94253,1601.71191,1764.99133,-42.53783,1417.20764
3,0.017,1802.59021,-50.86476,1682.31726,1706.73633,-47.62204,1585.81226,1923.09473,-64.3756,1601.33154,1757.86328,-41.95519,1417.94629
4,0.025,1797.22412,-49.73383,1680.16663,1700.79028,-45.56845,1585.26868,1917.7196,-62.7982,1601.05981,1754.5072,-40.73177,1418.37268
5,0.033,1794.6792,-50.97237,1680.90698,1698.30103,-45.78774,1585.37354,1913.86646,-63.95936,1600.20691,1750.26929,-41.76885,1416.72034
6,0.042,1788.90417,-50.00961,1680.44373,1692.82642,-44.54796,1586.55066,1909.89551,-63.82852,1599.41748,1744.44995,-41.37718,1416.7876
7,0.05,1786.36865,-50.53404,1680.59814,1688.25696,-44.84574,1585.13354,1904.27637,-62.88915,1598.98303,1740.20056,-40.9267,1416.7157
8,0.058,1780.84387,-50.22812,1680.14783,1684.32556,-43.27134,1585.80127,1900.80371,-62.72955,1599.23633,1736.22656,-40.04609,1416.40698
9,0.067,1777.77356,-49.25069,1678.88843,1679.81812,-45.04509,1585.61157,1896.05518,-63.13214,1599.22998,1731.85754,-40.96921,1416.3938
10,0.075,1773.13489,-49.49449,1679.00439,1675.72754,-41.40929,1585.00073,1891.79041,-62.29898,1598.43286,1728.14294,-39.25292,1415.14966
11,0.083,1768.84351,-48.61931,1678.36536,1672.16614,-43.0494,1584.43738,1888.12561,-62.27034,1597.63074,1723.29102,-40.3886,1414.29822
12,0.092,1764.04358,-47.44047,1678.20325,1665.74976,-41.3275,1583.87061,1883.0791,-60.68342,1597.53198,1718.07324,-38.20815,1414.66833
13,0.1,1757.28027,-44.64397,1678.20728,1663.42297,-41.93346,1583.37012,1877.48755,-58.44727,1597.37793,1715.45068,-38.02043,1413.95483
14,0.108,1754.97546,-43.62386,1677.59521,1656.73547,-41.09429,1581.82532,1873.19885,-57.97177,1597.29663,1708.16699,-38.34181,1413.2561
15,0.117,1748.56079,-42.00745,1676.77234,1653.22083,-39.0206,1581.32886,1868.65295,-56.85869,1596.45544,1705.3103,-36.50652,1412.99023
16,0.125,1746.33875,-40.24305,1675.63696,1649.38135,-38.14424,1580.86572,1864.39587,-55.4958,1596.41125,1700.90271,-36.07204,1412.10376
17,0.133,1740.56067,-39.4324,1674.86487,1643.32263,-36.16366,1580.18262,1859.14453,-53.81292,1596.55481,1697.67175,-34.24403,1411.49768
18,0.142,1734.7074,-40.70458,1674.50818,1639.31067,-34.58744,1580.14197,1855.3855,-53.14622,1595.4884,1692.47546,-33.40786,1411.15381
19,0.15,1730.77075,-38.04524,1674.08887,1634.31226,-33.78215,1579.271,1851.31274,-51.44316,1594.88367,1688.69397,-31.36995,1411.53479
20,0.158,1724.26147,-34.71851,1675.2771,1632.19434,-32.68315,1578.8551,1846.53528,-50.81274,1595.06311,1684.68835,-31.71909,1410.66479
21,0.167,1722.43762,-34.37545,1673.01929,1625.32129,-32.92027,1576.69263,1841.52454,-48.01159,1595.23315,1678.40845,-31.82755,1410.42993
22,0.175,1716.07129,-31.89777,1673.50085,1620.96948,-30.60502,1575.82092,1837.29749,-46.54442,1594.21704,1675.95398,-29.8273,1408.19055
23,0.183,1711.62744,-30.94831,1671.8844,1616.32947,-28.24679,1575.19727,1832.38794,-44.90177,1593.55554,1670.58276,-28.88412,1407.94519
24,0.192,1707.21094,-29.17315,1670.58508,1612.48596,-27.38683,1574.599,1828.18689,-43.88228,1593.35449,1667.70178,-26.17806,1406.91333
25,0.2,1700.17261,-24.62062,1670.3418,1608.05664,-24.62777,1574.02222,1823.34314,-41.42945,1592.61328,1662.51282,-26.06597,1406.78394
26,0.208,1697.86169,-23.58322,1670.15942,1602.64014,-24.14462,1574.62866,1818.49634,-38.83428,1591.35645,1656.68896,-24.18289,1405.75586
27,0.217,1692.60376,-22.11201,1669.95361,1598.79089,-21.06049,1574.31482,1815.0249,-37.39418,1591.33203,1652.24243,-22.13652,1404.76367
28,0.225,1690.01501,-22.05206,1669.87781,1593.17578,-21.1777,1572.69604,1809.63391,-36.22373,1589.67871,1646.21484,-21.76874,1403.70691
29,0.233,1684.30298,-20.36295,1669.00256,1588.37805,-18.7724,1571.38416,1806.0033,-33.85559,1588.85193,1643.82861,-20.18652,1403.81946
30,0.242,1681.63843,-17.86478,1668.34595,1584.5376,-16.04665,1570.78162,1801.49646,-32.36609,1587.17627,1637.58728,-17.45733,1403.15771
31,0.25,1676.69385,-14.19544,1667.75354,1580.15674,-15.40596,1572.38782,1797.02026,-29.89274,1586.65259,1632.70532,-14.58544,1401.96985
32,0.258,1672.50415,-13.21059,1666.92981,1575.71692,-12.88026,1571.5332,1792.37268,-27.57218,1586.04651,1630.02026,-13.4237,1402.20593
33,0.267,1669.2179,-11.85411,1666.40649,1569.73877,-10.45022,1571.78589,1788.23291,-26.04,1585.43823,1622.30823,-13.13395,1402.15967
34,0.275,1663.00989,-7.16202,1665.08215,1567.58875,-9.53678,1572.12048,1782.91418,-22.74646,1584.69104,1617.17554,-10.07502,1402.39087
35,0.283,1660.03369,-7.37094,1665.40002,1561.94763,-5.76535,1572.20508,1777.84741,-20.84641,1583.87927,1612.45935,-8.24711,1402.17639
36,0.292,1655.31042,-5.55093,1666.32043,1556.71411,-3.70075,1572.5542,1773.02319,-17.49289,1584.36353,1607.05774,-6.01711,1402.48669
37,0.3,1650.26404,-3.23514,1666.94019,1552.21875,-2.91934,1573.28638,1768.51941,-15.60444,1583.41736,1601.91589,-4.32518,1403.48779
38,0.308,1644.74243,1.5891,1666.46082,1546.1178,-0.42426,1573.94189,1763.21204,-13.49711,1583.89771,1596.83118,-2.83521,1402.66272
39,0.317,1639.81775,3.4196,1666.22522,1542.24084,1.51288,1572.78662,1758.23169,-10.64786,1583.85303,1590.35474,-0.71698,1402.54614
40,0.325,1634.48962,5.75033,1666.50867,1536.51477,4.07601,1572.69141,1752.80273,-9.19872,1584.33899,1583.84912,2.3552,1402.25952
41,0.333,1628.71838,9.62784,1667.18945,1530.62537,6.35783,1573.19226,1747.60339,-5.57861,1585.33997,1580.91431,4.69968,1403.13733
42,0.342,1622.95923,12.84804,1667.64404,1524.56384,10.8854,1573.66162,1742.11035,-3.78243,1586.5896,1575.63989,7.91892,1404.42957
43,0.35,1617.69604,14.85272,1667.64331,1518.88794,12.81141,1573.40234,1735.698,-0.59673,1587.22437,1571.18909,7.46285,1404.69592
44,0.358,1612.82922,15.92688,1667.97595,1513.73889,15.39561,1573.56079,1730.2356,1.54283,1588.52966,1566.17883,10.92622,1404.63892
45,0.367,1604.85254,20.60158,1668.67676,1506.93042,17.96181,1572.31921,1725.2085,4.42993,1589.32117,1559.81165,13.89874,1404.10522
46,0.375,1598.55542,21.93284,1669.55823,1501.88245,20.47724,1572.50073,1718.9353,6.59985,1590.66345,1558.4989,14.69645,1404.6759
47,0.383,1591.30408,24.79876,1669.31726,1496.44568,21.64338,1572.86035,1713.04517,8.77022,1591.92126,1551.78662,16.30328,1404.27747
48,0.392,1586.42358,27.33958,1670.25757,1491.02356,24.42324,1573.07971,1708.09045,10.99577,1593.26978,1547.97778,18.82595,1406.73694
49,0.4,1580.08032,29.84669,1671.30139,1485.23975,25.10207,1572.53931,1701.67834,15.07308,1595.41272,1542.86133,23.25148,1406.48438
50,0.408,1574.60486,32.00343,1671.69141,1481.00732,28.78844,1573.71582,1697.00195,17.0344,1595.62585,1538.76819,21.97415,1405.46777
51,0.417,1568.31787,33.07285,1671.80554,1474.86853,30.95414,1573.73718,1690.3761,19.78377,1597.26453,1534.4519,24.46464,1405.35376
52,0.425,1561.57983,37.05763,1672.12219,1469.59912,31.34815,1574.17151,1685.39929,21.50485,1597.8822,1528.77307,27.18117,1405.87061
53,0.433,1556.22473,39.64933,1672.69275,1464.33105,33.83114,1574.24011,1680.6842,24.25174,1598.90466,1523.13135,31.03179,1408.63953
54,0.442,1552.18103,41.40657,1674.09167,1459.14636,35.56654,1573.94507,1675.0321,26.49338,1600.02271,1519.5636,32.57904,1408.32996
55,0.45,1546.71216,43.20075,1674.56982,1453.74219,38.01183,1574.76392,1671.04065,28.02754,1599.83252,1514.87634,33.88251,1408.18872
56,0.458,1542.47681,45.19887,1675.01282,1448.82935,40.08732,1574.91736,1666.03918,31.33003,1599.66541,1508.70764,36.0469,1408.75037
57,0.467,1537.04517,47.62921,1676.48438,1443.70142,43.0569,1576.04468,1660.22546,33.70947,1600.56494,1503.1781,37.85834,1408.58777
58,0.475,1532.53979,49.8775,1675.29248,1439.36157,44.66422,1575.90857,1655.60449,36.19602,1600.97852,1497.84314,40.8732,1409.71631
59,0.483,1528.88806,51.69192,1675.68542,1434.91174,47.075,1576.21704,1650.99341,38.40075,1600.58496,1492.81067,41.366,1410.46265
60,0.492,1523.17334,54.71574,1675.13342,1430.08667,47.95316,1576.72388,1647.17017,39.24552,1600.45203,1488.28809,41.81441,1410.85181
61,0.5,1519.04663,55.8407,1676.06152,1425.32886,49.13112,1577.43469,1642.00195,42.56539,1600.80847,1482.48022,44.78589,1410.43433
62,0.508,1514.16919,56.91979,1675.72534,1420.41968,52.1676,1578.33948,1636.91528,44.59594,1600.39648,1477.96985,47.39805,1411.64282
63,0.517,1510.79163,58.96634,1676.41687,1416.40796,52.99733,1579.01733,1633.03784,45.08276,1600.17383,1473.56799,47.79653,1411.67822
64,0.525,1506.03076,61.4147,1676.49719,1411.00281,55.47371,1579.26831,1628.224,48.60038,1601.12012,1468.28723,48.60947,1412.0592
65,0.533,1501.57654,62.83167,1676.81128,1407.5603,56.79392,1579.38904,1623.97644,48.91843,1601.01855,1463.04248,50.85415,1411.94019
66,0.542,1496.57483,63.82598,1676.92896,1403.0636,56.31898,1579.25208,1620.04944,50.39023,1600.50378,1460.56323,50.50023,1412.9668
67,0.55,1492.35767,65.0771,1677.45593,1398.58179,57.38324,1579.73975,1615.33826,51.25415,1601.63855,1455.20923,51.7168,1412.18823
68,0.558,1488.53271,66.41894,1677.15747,1393.71716,58.14247,1579.94934,1610.54553,53.75446,1601.67822,1451.27966,53.90601,1414.06885
69,0.567,1483.00684,65.86079,1677.56665,1389.77246,59.00439,1580.68518,1606.68054,55.45317,1602.24072,1447.23132,54.84697,1415.2041
70,0.575,1479.90918,67.03786,1679.26062,1385.01587,59.86579,1580.58289,1601.52917,55.00385,1603.10828,1441.77991,55.92161,1413.83728
71,0.583,1475.14307,67.57192,1678.62268,1380.49792,59.93374,1580.31482,1597.84143,57.27223,1603.20142,1438.95459,55.03022,1413.9209
72,0.592,1470.59192,67.56484,1679.57776,1377.20203,61.91597,1581.30054,1593.60938,57.05735,1603.69263,1434.23206,58.08127,1414.58728
73,0.6,1466.80701,68.42272,1679.77295,1372.08948,61.49795,1582.05164,1589.06897,58.84949,1604.56201,1430.16089,58.14225,1414.02441
74,0.608,1460.78577,69.05777,1680.46716,1368.38696,62.2783,1582.2738,1586.44006,61.67819,1606.00623,1427.68335,59.08744,1415.03223
75,0.617,1456.53784,71.11234,1681.15625,1364.56287,61.62592,1582.25769,1580.86047,61.18138,1606.31995,1423.33911,57.55447,1415.43213
76,0.625,1452.69385,73.02158,1681.83215,1360.11475,63.21087,1582.29456,1576.32581,61.58295,1606.94812,1418.74426,59.51538,1415.92725
77,0.633,1447.32861,72.2896,1681.80115,1356.77173,62.5113,1582.948,1574.20093,63.74907,1609.1427,1416.0741,58.82372,1415.98511
78,0.642,1443.97766,72.2614,1681.75635,1352.6427,63.48323,1582.23828,1568.1698,63.11873,1609.25195,1411.71521,61.20738,1416.40283
79,0.65,1440.19812,72.52344,1681.19189,1348.54822,63.22455,1583.3772,1566.14978,64.36838,1609.55066,1408.76074,60.24482,1417.56116
80,0.658,1436.49524,73.96443,1682.18652,1343.99731,62.9732,1583.04468,1560.88977,64.40063,1608.60449,1403.81213,60.52491,1416.91772
81,0.667,1431.62842,73.76087,1682.677,1341.22778,63.74925,1583.01062,1559.65979,65.82113,1609.78528,1400.12781,59.61332,1417.19006
82,0.675,1427.97986,74.32774,1683.24622,1335.55481,63.98573,1583.93799,1554.25024,67.88332,1610.69983,1395.99805,60.18241,1417.974
83,0.683,1424.40979,74.87936,1682.55884,1332.276,64.56184,1584.4032,1550.70398,67.08527,1610.98718,1392.79846,60.01851,1418.24414
84,0.692,1420.62463,74.2672,1683.25269,1329.07214,63.39465,1584.43579,1547.04395,67.3456,1610.51318,1388.34106,60.17283,1417.71924
85,0.7,1416.64063,75.38098,1682.92444,1324.08044,64.01798,1583.98804,1542.08862,68.1724,1610.86047,1384.60645,59.60514,1417.78052
86,0.708,1413.01123,73.93198,1683.38733,1320.56726,64.08535,1584.48779,1539.64343,68.2533,1610.3656,1380.21765,60.7989,1418.2804
