Frame#,Time,L.Heel.x,L.Heel.y,L.Heel.z,L.Toe.x,L.Toe.y,L.Toe.z,L.MedFoot.x,L.MedFoot.y,L.MedFoot.z
1,0,2056.99268,-53.73407,35.78827,1834.40405,-142.29871,33.26691,1888.99707,-83.79494,63.46641
2,0.008,2057.86621,-52.81498,36.78627,1834.40405,-142.29871,33.26691,1889.12354,-83.86945,63.17933
3,0.017,2057.07715,-53.87589,36.05125,1834.51575,-142.33681,33.32929,1888.81274,-83.60991,63.32225
4,0.025,2056.42212,-54.14432,35.53873,1834.18567,-142.25334,33.60978,1889.30579,-83.77624,62.88165
5,0.033,2056.30737,-54.10382,35.58917,1834.25427,-142.34767,33.3038,1888.91138,-83.45638,63.19536
6,0.042,2056.20728,-53.95141,35.6161,1834.25427,-142.34767,33.3038,1887.71277,-83.65001,63.27425
7,0.05,2056.10669,-53.7896,35.6079,1834.25427,-142.34767,33.3038,1887.84253,-83.56354,63.20889
8,0.058,2056.18628,-53.6076,35.90296,1834.32202,-142.39995,33.26431,1888.01599,-83.71609,63.41437
9,0.067,2056.08228,-53.45057,35.93874,1834.32202,-142.39995,33.26431,1888.01599,-83.71609,63.41437
10,0.075,2055.93188,-53.4036,36.06071,1834.32202,-142.39995,33.26431,1888.01599,-83.71609,63.41437
11,0.083,2055.69409,-53.29076,35.976,1834.61133,-142.65852,33.053,1888.01599,-83.71609,63.41437
12,0.092,2056.11157,-53.18483,36.24996,1834.25427,-142.34767,33.3038,1888.01599,-83.71609,63.41437
13,0.1,2056.38159,-53.09589,36.80886,1834.57446,-142.65332,33.60562,1889.03784,-83.08801,62.78326
14,0.108,2056.20435,-52.72361,36.9403,1834.745,-142.42606,33.39273,1889.03784,-83.08801,62.78326
15,0.117,2056.14307,-52.65877,37.01615,1834.745,-142.42606,33.39273,1888.90576,-82.9872,62.50965
16,0.125,2056.20776,-52.83013,37.18493,1834.71912,-142.44771,33.34108,1889.2323,-82.32758,63.06426
17,0.133,2055.90942,-51.65176,37.08625,1834.71912,-142.44771,33.34108,1887.73047,-81.9886,63.03962
18,0.142,2055.61841,-52.17338,37.45887,1834.745,-142.42606,33.39273,1887.76697,-82.86425,61.90641
19,0.15,2055.2605,-53.23075,37.44721,1834.745,-142.42606,33.39273,1887.4408,-82.39234,61.75956
20,0.158,2055.26343,-52.15007,38.49555,1835.06677,-142.67792,33.18159,1887.60864,-81.91583,61.59301
21,0.167,2055.32715,-51.84361,38.87286,1835.06677,-142.67792,33.18159,1887.55896,-82.02358,61.6965
22,0.175,2054.68799,-51.47451,38.89256,1835.06677,-142.67792,33.18159,1887.4729,-82.02966,61.68613
23,0.183,2054.63306,-52.34867,39.19889,1834.97729,-142.75671,33.17969,1887.23682,-81.72054,61.72872
24,0.192,2055.41675,-51.04997,40.22155,1835.04089,-142.69957,33.12994,1887.23682,-81.72054,61.72872
25,0.2,2055.32861,-50.9696,40.36174,1834.86536,-142.89539,33.45836,1887.03247,-81.71751,61.48981
26,0.208,2055.00977,-51.1305,40.90401,1834.78003,-143.05119,33.3401,1887.03247,-81.71751,61.48981
27,0.217,2055.31567,-50.76319,41.25719,1835.10767,-142.56236,32.99022,1887.03247,-81.71751,61.48981
28,0.225,2055.31104,-50.6619,41.5271,1835.20947,-142.50795,33.25288,1887.07251,-81.52312,61.5901
29,0.233,2055.44482,-50.58788,41.7844,1835.66699,-142.1528,33.01636,1886.87463,-81.61681,61.58533
30,0.242,2055.36768,-50.48762,41.95466,1835.10181,-142.37811,33.09025,1886.81458,-81.58965,61.638
31,0.25,2055.35669,-50.60617,42.46797,1834.98157,-142.39063,33.06207,1886.74805,-81.50701,61.62005
32,0.258,2055.59082,-51.10408,44.1361,1834.8125,-142.49937,33.12183,1886.72192,-81.47141,61.60844
33,0.267,2054.84692,-51.18873,44.89325,1835.31042,-141.87042,33.00309,1886.70435,-81.43076,61.57645
34,0.275,2054.75293,-50.5835,45.93977,1834.72668,-142.74666,32.69579,1885.45374,-81.20975,61.70569
35,0.283,2054.78589,-50.59543,48.44787,1834.90845,-142.54478,32.72848,1885.89746,-81.01145,61.91651
36,0.292,2054.54956,-50.66674,49.5931,1834.86389,-142.50955,33.05616,1885.28235,-81.20943,62.07621
37,0.3,2054.18579,-49.8271,52.27461,1834.75012,-142.47354,32.985,1884.01257,-81.43153,62.48361
38,0.308,2053.34961,-49.70798,53.89283,1835.18689,-141.67064,32.38232,1883.52539,-81.43142,62.81051
39,0.317,2052.64282,-49.54428,56.16105,1834.59045,-142.78293,32.5835,1883.11548,-81.3623,63.35135
40,0.325,2052.28589,-48.91071,59.57556,1834.59045,-142.78293,32.5835,1882.66907,-81.39323,63.60091
41,0.333,2051.39233,-49.89603,61.89698,1834.59045,-142.78293,32.5835,1882.46619,-81.37695,63.88905
42,0.342,2050.89111,-49.82307,65.6519,1834.37976,-142.70062,32.31894,1881.79382,-81.49938,64.57242
43,0.35,2049.85645,-49.94555,68.40744,1833.79651,-143.01929,31.72994,1880.76282,-81.48295,65.21802
44,0.358,2048.72803,-50.22314,72.32382,1833.76758,-143.07574,31.62447,1879.69189,-81.96439,65.9023
45,0.367,2047.84631,-50.16571,76.53799,1833.38745,-143.12538,31.65195,1878.01746,-83.01967,66.93561
46,0.375,2046.0354,-49.94614,79.91819,1833.42847,-143.30469,31.11127,1876.8822,-83.38643,67.65088
47,0.383,2044.48035,-50.50272,86.00494,1832.69019,-142.83409,31.00659,1876.17639,-84.02975,67.74261
48,0.392,2042.10193,-49.88561,90.52062,1832.48511,-142.93517,30.44096,1874.79321,-84.94851,68.93045
49,0.4,2039.61108,-49.0427,96.32635,1832.77429,-142.80855,30.33755,1873.08252,-84.14257,69.85076
50,0.408,2036.22522,-47.84422,101.00746,1832.58118,-143.79875,30.28865,1870.89343,-83.96486,69.89543
51,0.417,2033.84033,-46.57117,107.78844,1832.96179,-143.72025,30.29217,1868.31482,-83.88371,71.15605
52,0.425,2029.54028,-45.7454,113.54953,1833.14893,-143.38638,29.65939,1867.26135,-84.08926,71.91066
53,0.433,2025.06531,-44.42105,120.28162,1833.34912,-142.53699,29.77532,1864.74866,-85.27824,73.3185
54,0.442,2020.63611,-42.40567,127.06907,1833.23828,-142.51918,29.62633,1862.78467,-85.99995,73.91241
55,0.45,2013.62634,-41.60685,134.06377,1833.41003,-142.66458,29.44593,1859.73242,-86.5387,74.33063
56,0.458,2008.68713,-39.71541,141.36774,1833.09497,-142.21228,30.00257,1855.96313,-85.76947,74.6232
57,0.467,2000.78125,-38.20979,147.7236,1832.13684,-141.39371,29.34477,1851.9718,-87.07378,76.04561
58,0.475,1993.58948,-36.44666,155.24323,1832.03967,-141.01561,30.28367,1847.44556,-85.63646,78.72205
59,0.483,1986.31799,-34.78983,162.60411,1830.30591,-139.28555,30.9572,1842.91345,-85.35534,81.32375
60,0.492,1978.74451,-32.87056,169.11496,1827.59619,-139.44659,31.66915,1838.95349,-85.82681,84.12868
