Frame#,Time,L.Forearm.x,L.Forearm.y,L.Forearm.z,L.Ulna.x,L.Ulna.y,L.Ulna.z,L.Radius.x,L.Radius.y,L.Radius.z
1,0,-1719.1604,194.97543,1005.32147,-1780.76709,217.36008,923.89008,-1717.52368,196.08745,920.94153
2,0.008,-1716.97083,194.33885,1004.89423,-1777.84827,215.89363,924.3999,-1712.82007,194.96501,920.05933
3,0.017,-1714.00891,193.97601,1005.39172,-1773.14954,213.35938,923.25946,-1709.6687,191.90683,920.09686
4,0.025,-1711.23047,193.12459,1004.87018,-1769.19897,213.12193,923.38934,-1706.38879,190.92348,920.28278
5,0.033,-1708.15503,192.12434,1004.75433,-1766.42847,212.45862,923.4978,-1703.2373,189.87538,920.5025
6,0.042,-1702.85425,189.65393,1005.16522,-1761.99304,211.81476,922.75519,-1699.27551,189.8363,919.85162
7,0.05,-1699.4679,189.99036,1003.0885,-1757.67151,209.46562,921.84149,-1694.11243,187.51212,919.13452
8,0.058,-1695.94373,189.20869,1002.52002,-1754.09741,208.55185,921.33148,-1691.21863,185.75252,918.64252
9,0.067,-1690.22388,187.461,1001.44617,-1750.88696,208.26936,920.73663,-1686.4093,184.86681,917.61572
10,0.075,-1686.96875,188.55974,1002.03705,-1747.06067,208.36465,920.84772,-1681.31775,184.91599,916.43549
11,0.083,-1684.05371,188.5809,1002.03223,-1740.8385,206.06512,919.54291,-1678.68213,185.05652,916.29407
12,0.092,-1678.02856,186.79393,1000.86591,-1736.44495,205.86145,919.64325,-1675.78125,185.15736,916.20673
13,0.1,-1672.08984,183.7505,1000.03418,-1733.08582,205.62111,919.25061,-1671.53137,184.51099,916.45026
14,0.108,-1668.61316,183.98239,999.97107,-1728.73267,205.31606,918.23938,-1663.01038,181.78995,915.62488
15,0.117,-1665.26208,185.3831,1000.76355,-1723.51721,204.79634,917.49268,-1659.77759,182.42825,914.83862
16,0.125,-1662.15125,185.47012,999.97388,-1718.57166,204.63577,916.87378,-1655.97852,182.70625,914.34204
17,0.133,-1656.4231,185.85312,997.63208,-1714.37,204.77568,915.93976,-1652.26465,183.11172,914.26263
18,0.142,-1652.10815,185.87981,997.43365,-1709.73376,204.74133,916.2644,-1646.26599,181.58661,914.53259
19,0.15,-1647.177,186.51398,997.71118,-1704.95117,204.83443,915.16962,-1641.38586,183.64009,913.73419
20,0.158,-1642.77087,185.02748,997.25262,-1699.61267,205.00169,914.48407,-1638.46167,182.64542,912.49884
21,0.167,-1638.41895,187.2066,996.3313,-1694.14465,204.79401,913.46088,-1634.69177,183.38087,912.47662
22,0.175,-1632.81604,186.31831,996.15228,-1690.12756,205.3553,912.84259,-1628.06628,183.06265,911.32556
23,0.183,-1627.05225,184.3936,994.62195,-1685.38647,206.19917,912.52094,-1620.61047,181.8316,910.4884
24,0.192,-1622.14624,186.6441,994.23187,-1679.38623,206.34129,911.40674,-1617.30139,181.64488,909.22498
25,0.2,-1617.5094,188.23944,993.41388,-1673.08704,205.90463,910.05255,-1613.41394,182.66415,908.09827
26,0.208,-1613.83191,188.30263,993.47821,-1668.84033,206.94095,909.69379,-1608.07922,184.67899,907.58875
27,0.217,-1607.78894,189.45314,992.13409,-1663.74597,208.13213,908.17603,-1601.51062,183.13808,906.8786
28,0.225,-1601.75305,190.94919,989.76007,-1658.83582,209.50032,907.45538,-1594.92212,185.05856,905.08765
