Frame#,Time,L.Shank.x,L.Shank.y,L.Shank.z,L.Ankle.x,L.Ankle.y,L.Ankle.z,L.Ankle.Medial.x,L.Ankle.Medial.y,L.Ankle.Medial.z
1,0,-1561.09131,56.41478,298.68484,-1708.02429,59.37215,147.84558,-1646.50903,-32.35065,140.90862
2,0.008,-1551.34338,56.66217,296.38776,-1691.48511,59.88514,141.09064,-1631.8645,-30.52033,136.28931
3,0.017,-1541.88171,56.04955,294.97833,-1676.12195,61.83474,134.26883,-1614.37231,-29.9103,130.67653
4,0.025,-1530.20898,54.0943,294.26041,-1659.521,62.30689,127.89128,-1596.9115,-29.39629,125.61555
5,0.033,-1520.36206,53.0638,291.63092,-1642.36475,63.20924,120.5509,-1582.62842,-29.4457,121.42729
6,0.042,-1510.2821,53.24502,289.62857,-1627.31799,65.62138,115.70075,-1566.4342,-28.50426,117.83559
7,0.05,-1501.39185,51.11237,288.72946,-1609.10571,66.17274,108.78402,-1549.8717,-28.31991,113.53653
8,0.058,-1491.75708,51.83772,288.81702,-1591.96899,66.80717,103.77951,-1533.00391,-27.92601,109.6703
9,0.067,-1482.20679,49.03479,287.24124,-1574.2384,67.91811,97.86951,-1518.58679,-26.87956,106.61758
10,0.075,-1473.30444,48.59418,286.04764,-1556.75415,68.81058,94.28281,-1503.51453,-26.12494,104.39896
11,0.083,-1464.6488,47.67997,286.82477,-1540.47534,70.52408,90.46823,-1486.56177,-25.13585,102.26339
12,0.092,-1456.57471,47.10879,286.49252,-1522.93127,70.2312,87.69128,-1469.57324,-26.01219,101.32312
13,0.1,-1447.7511,46.61278,286.58798,-1505.93542,71.2419,85.31109,-1455.7301,-25.28398,99.93996
14,0.108,-1439.89844,46.06801,286.99863,-1489.20581,70.96973,83.69372,-1441.33826,-25.60806,100.7924
15,0.117,-1431.82422,44.66013,288.61722,-1475.01538,71.5991,83.02205,-1427.36389,-25.95768,102.45757
16,0.125,-1424.55383,44.88647,290.11633,-1460.22925,70.96434,83.65852,-1412.79883,-26.01931,102.73478
17,0.133,-1417.68982,43.21526,291.8078,-1446.18799,71.20798,84.01817,-1398.46399,-26.34062,105.17931
18,0.142,-1409.93848,42.90741,292.94202,-1431.66772,70.3392,85.05109,-1386.08826,-26.17062,107.2787
19,0.15,-1405.01501,43.59133,294.29413,-1420.44067,70.48071,86.81036,-1372.58655,-28.09263,109.80222
20,0.158,-1397.8446,43.47751,296.22684,-1408.09521,69.87783,88.17493,-1360.77173,-27.6678,112.02785
21,0.167,-1391.71619,42.30623,298.00092,-1397.27209,69.10488,89.18318,-1350.07495,-27.70095,113.7693
