Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z,R.Ulna.x,R.Ulna.y,R.Ulna.z,R.Radius.x,R.Radius.y,R.Radius.z
1,0,-122.9107,-289.90173,902.07434,-39.65121,-306.57968,900.2984,-34.91864,-234.86208,930.74011
2,0.008,-122.9107,-289.90173,902.07434,-40.23682,-306.59122,900.64899,-35.23847,-234.69353,930.86847
3,0.017,-123.26805,-290.09253,901.83368,-40.61513,-306.84656,901.09833,-35.09961,-234.78766,932.06934
4,0.025,-122.9107,-289.90173,902.07434,-40.42211,-307.05524,901.00317,-35.23847,-234.69353,930.86847
5,0.033,-123.36194,-290.50986,902.70972,-40.76468,-307.0473,901.06171,-35.09961,-234.78766,932.06934
6,0.042,-123.36194,-290.50986,902.70972,-40.76468,-307.0473,901.06171,-35.09961,-234.78766,932.06934
7,0.05,-123.26805,-290.09253,901.83368,-40.76468,-307.0473,901.06171,-35.09961,-234.78766,932.06934
8,0.058,-123.70189,-290.27292,902.29346,-41.22037,-307.41388,901.12164,-35.09961,-234.78766,932.06934
9,0.067,-123.70189,-290.27292,902.29346,-41.17983,-306.83047,900.85327,-35.09961,-234.78766,932.06934
10,0.075,-123.70189,-290.27292,902.29346,-41.5281,-307.10141,901.01288,-35.09961,-234.78766,932.06934
11,0.083,-123.70189,-290.27292,902.29346,-41.5281,-307.10141,901.01288,-35.09961,-234.78766,932.06934
12,0.092,-123.70189,-290.27292,902.29346,-41.5281,-307.10141,901.01288,-35.09961,-234.78766,932.06934
13,0.1,-123.70189,-290.27292,902.29346,-41.5281,-307.10141,901.01288,-35.5471,-234.81033,932.06964
14,0.108,-123.70189,-290.27292,902.29346,-41.5281,-307.10141,901.01288,-35.09961,-234.78766,932.06934
15,0.117,-123.60811,-289.85538,901.41718,-41.5281,-307.10141,901.01288,-35.74075,-234.63052,930.83441
16,0.125,-123.72993,-290.49689,901.9715,-41.5281,-307.10141,901.01288,-35.69385,-235.10033,932.30859
17,0.133,-123.72993,-290.49689,901.9715,-41.5281,-307.10141,901.01288,-35.69385,-235.10033,932.30859
18,0.142,-123.63626,-290.07925,901.09497,-41.5281,-307.10141,901.01288,-35.5471,-234.81033,932.06964
19,0.15,-123.63626,-290.07925,901.09497,-41.88731,-306.6265,900.75879,-35.5471,-234.81033,932.06964
20,0.158,-123.63626,-290.07925,901.09497,-41.94423,-306.59543,900.52313,-35.5471,-234.81033,932.06964
21,0.167,-123.63626,-290.07925,901.09497,-41.99124,-306.13104,900.19666,-35.5471,-234.81033,932.06964
22,0.175,-123.63626,-290.07925,901.09497,-41.59596,-306.32443,900.36346,-35.5471,-234.81033,932.06964
23,0.183,-123.63626,-290.07925,901.09497,-41.99124,-306.13104,900.19666,-35.5471,-234.81033,932.06964
24,0.192,-123.23984,-289.16989,900.39771,-41.99124,-306.13104,900.19666,-35.5471,-234.81033,932.06964
25,0.2,-123.23984,-289.16989,900.39771,-41.99124,-306.13104,900.19666,-35.5471,-234.81033,932.06964
