Frame#,Time,R.Wrist.x,R.Wrist.y,R.Wrist.z,R.Thumb.M1.x,R.Thumb.M1.y,R.Thumb.M1.z,R.Thumb.M2.x,R.Thumb.M2.y,R.Thumb.M2.z,R.Thumb.M3.x,R.Thumb.M3.y,R.Thumb.M3.z,R.Finger3.M1.x,R.Finger3.M1.y,R.Finger3.M1.z,R.Finger3.M2.x,R.Finger3.M2.y,R.Finger3.M2.z,R.Finger3.M3.x,R.Finger3.M3.y,R.Finger3.M3.z
1,0,284.42767,-272.4975,937.69574,280.21677,-216.40114,959.4201,312.59344,-190.83069,958.22803,360.578,-175.21025,948.62885,356.04935,-269.79468,932.73395,395.90817,-251.10645,921.24286,425.00583,-216.33652,904.43237
2,0.008,284.37463,-271.61423,939.03345,280.98593,-218.17139,959.30151,313.24707,-190.94136,957.65057,360.56454,-174.93687,947.85388,356.61642,-270.06674,932.34479,397.37961,-250.91602,921.74738,424.86047,-216.15262,904.31763
3,0.017,284.20718,-271.83624,938.96179,280.9201,-217.96889,959.28796,313.41531,-190.30927,957.58105,359.96002,-173.18675,947.52203,356.18262,-270.29379,931.65112,396.80481,-251.07565,921.73212,424.86047,-216.15262,904.31763
4,0.025,284.48843,-271.56992,939.52832,281.14581,-217.82068,959.40698,313.41531,-190.30927,957.58105,360.52838,-172.9102,947.38245,356.8735,-269.32645,933.43555,397.37961,-250.91602,921.74738,425.25027,-215.80867,903.96423
5,0.033,284.04892,-271.38165,939.05457,281.67731,-216.51669,959.14459,313.2746,-190.01216,956.49042,360.65594,-172.76596,947.30634,356.91965,-269.1131,933.61029,397.37961,-250.91602,921.74738,425.58813,-215.64964,903.79974
6,0.042,285.19742,-270.33191,940.54871,282.04507,-216.44102,959.81348,313.64774,-190.12103,957.21136,361.58368,-173.76628,947.27875,357.0155,-268.9422,934.00922,397.22525,-251.24117,921.50958,425.85846,-215.40311,903.94763
7,0.05,285.19727,-269.31644,940.2746,282.16013,-216.14845,960.00714,313.31738,-189.95366,957.50433,361.58368,-173.76628,947.27875,356.68506,-269.13733,934.29852,397.71826,-250.77255,921.98389,426.02979,-215.56328,903.86475
8,0.058,285.19727,-269.31644,940.2746,282.19916,-216.07448,959.93225,312.74576,-189.92366,956.12231,361.33459,-171.91811,947.16956,357.13193,-268.67786,934.29248,397.86176,-250.22224,922.29156,426.06564,-215.53368,904.04315
9,0.067,285.19727,-269.31644,940.2746,282.26184,-215.70491,960.14703,312.81934,-190.71002,955.84119,361.62738,-171.76265,947.17743,357.13193,-268.67786,934.29248,397.86176,-250.22224,922.29156,426.03119,-215.48294,904.60065
10,0.075,285.19727,-269.31644,940.2746,282.57065,-215.35312,959.95819,313.08267,-189.8644,956.76514,361.58005,-171.61299,947.24438,357.3418,-268.55136,934.39233,397.89499,-250.01508,922.4455,426.11633,-215.31834,904.88019
