Frame#,Time,R.Thigh.x,R.Thigh.y,R.Thigh.z,R.Thigh.Front.x,R.Thigh.Front.y,R.Thigh.Front.z,R.Knee.x,R.Knee.y,R.Knee.z,R.Knee.Medial.x,R.Knee.Medial.y,R.Knee.Medial.z
1,0,73.38465,-186.90575,488.28671,201.78485,-110.1776,522.84717,219.3497,-169.48502,427.94647,228.93137,-53.58549,428.83075
2,0.008,73.30769,-187.02815,488.21326,201.87933,-110.63557,522.79944,219.18585,-169.69455,427.79776,229.25717,-53.73857,429.00156
3,0.017,73.1805,-186.98351,488.10251,201.99559,-110.76231,522.95886,219.26617,-169.68526,427.7865,229.25717,-53.73857,429.00156
4,0.025,73.13707,-187.01694,487.95618,201.99559,-110.76231,522.95886,219.34991,-169.55446,427.86755,229.36189,-53.96209,429.12552
5,0.033,73.25746,-186.86111,488.17596,202.01682,-110.65005,523.02081,219.52544,-169.43539,428.18219,229.36189,-53.96209,429.12552
6,0.042,73.30769,-187.02815,488.21326,202.09164,-110.53276,523.08533,219.78185,-169.85408,429.03693,229.36189,-53.96209,429.12552
7,0.05,73.38465,-186.90575,488.28671,201.98206,-110.49287,523.26984,219.84871,-169.72302,429.42972,230.02106,-54.138,429.3089
8,0.058,73.38465,-186.90575,488.28671,202.00333,-110.38062,523.33179,219.99959,-169.75677,429.76099,230.16452,-53.92965,429.46939
9,0.067,73.38465,-186.90575,488.28671,201.95087,-110.30521,523.39258,220.08922,-169.98154,429.97968,229.73854,-53.91079,429.59756
10,0.075,73.41498,-187.06406,488.76962,201.86148,-110.12505,523.54462,219.9411,-169.7135,430.16586,229.5554,-53.3448,429.84958
11,0.083,73.16529,-187.047,489.12048,202.01767,-109.94007,523.59387,219.87195,-169.86987,430.27725,229.94623,-53.14296,430.0383
12,0.092,73.08241,-186.83618,489.20517,201.98055,-109.81295,523.62646,219.87195,-169.86987,430.27725,229.48685,-53.09615,430.01288
13,0.1,73.09775,-186.539,489.1434,201.95374,-109.61524,523.5708,219.9411,-169.7135,430.16586,229.22975,-52.79061,429.99713
14,0.108,73.09775,-186.539,489.1434,201.83371,-109.38248,523.56451,219.5069,-169.26282,429.5947,229.70232,-52.70013,429.7543
15,0.117,73.18642,-186.14484,489.09003,201.84494,-109.04819,523.36139,219.49518,-168.80894,429.45279,229.57286,-52.40914,429.63599
16,0.125,73.14193,-185.99205,489.13431,201.73766,-108.96524,523.30658,219.60532,-168.40738,429.02377,229.57286,-52.40914,429.63599
17,0.133,73.18642,-186.14484,489.09003,201.90784,-108.75868,523.02332,219.4444,-168.31157,428.88818,228.94568,-52.68895,429.16119
18,0.142,73.19334,-186.03824,488.75964,202.0941,-108.33945,522.84546,219.4444,-168.31157,428.88818,228.94568,-52.68895,429.16119
19,0.15,73.39884,-186.11424,488.38773,202.0941,-108.33945,522.84546,219.38165,-168.26974,428.71295,229.14316,-52.55401,429.09189
20,0.158,73.49252,-186.24025,488.27066,202.0941,-108.33945,522.84546,219.35771,-168.24968,428.53134,228.9194,-52.21067,429.08774
21,0.167,73.75352,-186.10715,488.05841,202.0941,-108.33945,522.84546,219.29799,-168.30365,428.4296,228.9194,-52.21067,429.08774
22,0.175,73.75352,-186.10715,488.05841,202.18138,-108.27441,522.77582,219.29799,-168.30365,428.4296,228.9194,-52.21067,429.08774
23,0.183,73.75352,-186.10715,488.05841,202.0941,-108.33945,522.84546,219.35771,-168.24968,428.53134,229.14316,-52.55401,429.09189
24,0.192,73.75352,-186.10715,488.05841,202.0941,-108.33945,522.84546,219.35771,-168.24968,428.53134,229.14316,-52.55401,429.09189
25,0.2,73.75352,-186.10715,488.05841,202.0941,-108.33945,522.84546,219.38165,-168.26974,428.71295,229.14316,-52.55401,429.09189
26,0.208,73.75352,-186.10715,488.05841,202.36169,-108.75176,523.10809,219.4444,-168.31157,428.88818,229.63997,-52.17162,429.46124
27,0.217,73.76378,-186.34502,488.39136,202.31497,-108.81692,523.15839,219.60532,-168.40738,429.02377,229.77029,-52.27419,429.56668
28,0.225,73.72462,-186.34938,488.54715,202.22673,-109.00271,523.20831,219.96123,-168.07616,429.04617,230.46921,-52.33741,429.65256
29,0.233,73.95876,-186.31287,488.7525,202.29268,-108.8792,523.21661,219.96123,-168.07616,429.04617,230.46921,-52.33741,429.65256
30,0.242,73.77309,-186.16954,489.06024,202.22269,-108.98754,523.28229,220.1799,-168.17093,429.52777,230.46921,-52.33741,429.65256
31,0.25,73.38788,-185.8739,489.24615,202.32463,-108.77729,523.31732,220.09412,-168.29323,429.65482,230.46921,-52.33741,429.65256
32,0.258,73.52284,-185.91457,489.09955,202.32463,-108.77729,523.31732,220.01418,-168.2419,429.48697,230.46921,-52.33741,429.65256
33,0.267,73.58659,-185.88297,489.1907,202.22255,-108.42267,523.2627,220.11989,-168.07512,429.23248,230.00433,-52.28626,429.6015
34,0.275,73.38788,-185.8739,489.24615,202.42764,-108.62826,523.11639,220.12006,-168.14467,429.15356,230.00433,-52.28626,429.6015
35,0.283,73.53426,-185.65807,489.18762,202.34377,-108.34968,523.01727,219.96123,-168.07616,429.04617,230.31747,-52.2281,429.53885
36,0.292,73.90508,-185.7708,489.10651,202.47899,-108.46,523.03876,219.96123,-168.07616,429.04617,229.85262,-52.17701,429.48779
37,0.3,73.87315,-185.73038,488.86835,202.56448,-108.39014,522.97565,219.80029,-167.98033,428.91055,229.63997,-52.17162,429.46124
38,0.308,73.95939,-185.72914,488.5712,202.47784,-108.3304,522.86945,219.80029,-167.98033,428.91055,229.61806,-51.54795,429.51105
39,0.317,74.08202,-186.03322,488.51328,202.57623,-108.41586,522.84174,219.54253,-168.07356,428.67642,229.61806,-51.54795,429.51105
40,0.325,74.07672,-185.87611,488.40173,202.57623,-108.41586,522.84174,219.73753,-167.93851,428.73532,229.61806,-51.54795,429.51105
41,0.333,74.11248,-185.75305,488.22485,202.47784,-108.3304,522.86945,219.73753,-167.93851,428.73532,229.61806,-51.54795,429.51105
42,0.342,74.00385,-185.8819,488.52692,202.24554,-108.14605,522.79059,219.60207,-167.41486,428.70337,229.40544,-51.54256,429.4845
43,0.35,73.68381,-185.58255,488.71652,202.16005,-108.21593,522.8537,219.7598,-167.61867,428.8858,229.61806,-51.54795,429.51105
44,0.358,73.32413,-185.9055,489.155,202.29321,-108.3037,523.14819,219.7598,-167.61867,428.8858,229.21016,-51.49204,429.41928
45,0.367,73.32413,-185.9055,489.155,202.20721,-108.35787,523.24188,219.7598,-167.61867,428.8858,229.40544,-51.54256,429.4845
46,0.375,73.33939,-185.60823,489.0932,202.00789,-108.67274,523.39972,219.73082,-167.99353,429.52609,229.3383,-51.78004,429.65927
47,0.383,73.06111,-185.91948,489.20889,201.90843,-108.61558,523.64917,219.65634,-168.01071,429.91565,229.56207,-52.12343,429.66339
48,0.392,73.04385,-185.8616,489.45474,201.74205,-109.0629,523.68024,219.7133,-168.40802,430.09262,229.57286,-52.40914,429.63599
49,0.4,73.05908,-185.56435,489.39301,201.53075,-109.1104,523.87872,219.82133,-168.88046,430.61301,229.57286,-52.40914,429.63599
50,0.408,73.04385,-185.8616,489.45474,201.56027,-109.2586,523.96143,219.82133,-168.88046,430.61301,229.52049,-52.51412,429.72507
51,0.417,73.05908,-185.56435,489.39301,201.54155,-109.28553,524.04401,219.64458,-169.22414,430.81915,229.11745,-52.8798,430.06595
