Frame#,Time,V.Sacral.x,V.Sacral.y,V.Sacral.z,R.ASIS.x,R.ASIS.y,R.ASIS.z,L.ASIS.x,L.ASIS.y,L.ASIS.z
1,0,-361.7681,11.55051,578.52972,-243.61392,-151.71062,650.95044,-250.11639,177.71819,661.70276
2,0.008,-361.7681,11.55051,578.52972,-243.42154,-151.66063,650.95331,-250.11639,177.71819,661.70276
3,0.017,-361.86221,11.04546,578.65936,-243.61392,-151.71062,650.95044,-250.11639,177.71819,661.70276
4,0.025,-362.01639,10.83523,578.57977,-243.61392,-151.71062,650.95044,-250.01851,177.2589,661.7655
5,0.033,-361.66733,10.97935,578.48895,-243.61392,-151.71062,650.95044,-250.42085,176.84708,661.98749
6,0.042,-362.01663,11.20534,578.71631,-243.5993,-151.79184,651.17761,-250.41605,176.55624,661.99695
7,0.05,-361.94501,10.61225,578.4422,-243.72536,-151.90004,650.9967,-250.41605,176.55624,661.99695
8,0.058,-361.93851,10.32931,578.5575,-243.64308,-151.88757,650.91638,-250.69521,176.43539,662.10138
9,0.067,-361.6897,10.24063,578.61615,-243.64308,-151.88757,650.91638,-250.91127,176.48297,662.12921
10,0.075,-361.6897,10.24063,578.61615,-243.62845,-151.9688,651.14355,-250.94708,176.25508,661.97461
11,0.083,-361.41934,10.56043,578.4339,-243.43608,-151.91881,651.14642,-250.94708,176.25508,661.97461
12,0.092,-361.6897,10.24063,578.61615,-243.38693,-152.08701,651.1192,-251.08351,176.2339,662.0506
13,0.1,-361.47461,10.01861,578.69165,-242.91342,-152.20482,650.79791,-251.13896,176.32501,661.96796
14,0.108,-361.2355,9.93708,578.51385,-242.69426,-152.37271,650.74933,-251.12817,175.89281,661.88623
15,0.117,-361.12637,9.81517,578.57892,-242.59178,-152.47638,651.03503,-251.24019,175.76167,661.87152
16,0.125,-361.12637,9.81517,578.57892,-242.47203,-152.60741,650.83203,-251.29565,175.8528,661.78888
17,0.133,-361.12637,9.81517,578.57892,-242.29967,-152.64378,650.76251,-251.29565,175.8528,661.78888
18,0.142,-361.05997,9.66786,578.6875,-242.31422,-152.56253,650.53522,-251.24019,175.76167,661.87152
19,0.15,-360.64493,9.60238,578.76404,-242.05144,-152.73672,650.49908,-251.10374,175.78285,661.79553
20,0.158,-360.64493,9.60238,578.76404,-241.93542,-152.907,650.67999,-251.25099,176.19389,661.95325
21,0.167,-360.64493,9.60238,578.76404,-241.64769,-152.83118,650.505,-251.08351,176.2339,662.0506
22,0.175,-360.64493,9.60238,578.76404,-241.66548,-153.14583,650.64325,-250.98857,175.89523,661.99854
23,0.183,-360.31113,9.48489,578.73444,-241.64769,-152.83118,650.505,-250.7729,175.73891,662.23706
24,0.192,-360.31113,9.48489,578.73444,-241.31853,-153.09615,650.69238,-250.7729,175.73891,662.23706
25,0.2,-360.31113,9.48489,578.73444,-241.28804,-153.35001,650.698,-250.62375,175.78261,662.04865
26,0.208,-360.31113,9.48489,578.73444,-240.93541,-153.46446,650.81317,-250.62375,175.78261,662.04865
27,0.217,-360.25482,9.62522,578.84424,-241.0024,-153.61102,650.97858,-250.62375,175.78261,662.04865
28,0.225,-360.36404,9.4236,578.9635,-241.0024,-153.61102,650.97858,-250.62375,175.78261,662.04865
29,0.233,-360.41864,9.41368,578.93854,-240.85406,-153.795,651.47467,-250.86507,175.80978,662.07031
30,0.242,-360.74127,8.9218,579.07349,-240.83621,-153.4805,651.33655,-250.86507,175.80978,662.07031
31,0.25,-360.74127,8.9218,579.07349,-240.85406,-153.795,651.47467,-250.8972,175.6774,662.33563
32,0.258,-360.79175,8.69334,579.2262,-240.53842,-153.73206,651.5744,-251.04739,175.62968,662.42407
33,0.267,-360.685,9.06214,579.18329,-240.52054,-153.41756,651.43628,-250.8972,175.6774,662.33563
34,0.275,-360.95657,9.1555,579.34576,-240.53435,-153.61346,651.69873,-250.98857,175.89523,661.99854
35,0.283,-360.95657,9.1555,579.34576,-240.76973,-153.64134,651.80365,-250.79572,176.33101,662.17938
36,0.292,-360.95657,9.1555,579.34576,-240.59712,-153.49614,651.74854,-250.79572,176.33101,662.17938
37,0.3,-361.28687,9.27164,579.38269,-240.66724,-153.26735,651.63232,-250.86507,175.80978,662.07031
38,0.308,-361.28687,9.27164,579.38269,-240.75188,-153.32684,651.66553,-250.94966,175.71907,662.5354
39,0.317,-361.1636,9.4074,579.48413,-240.81464,-153.20949,651.71533,-250.91753,175.85147,662.27002
40,0.325,-361.00766,9.6174,579.38623,-240.66724,-153.26735,651.63232,-250.62375,175.78261,662.04865
41,0.333,-361.00766,9.6174,579.38623,-240.73073,-153.24239,651.56909,-250.62375,175.78261,662.04865
42,0.342,-361.1636,9.4074,579.48413,-240.66724,-153.26735,651.63232,-250.55443,176.30388,662.15771
43,0.35,-360.89853,9.81902,579.26709,-240.58331,-153.30023,651.48608,-250.32726,176.31233,662.09808
44,0.358,-360.70828,10.28298,579.25171,-240.41092,-153.07037,651.43842,-250.32726,176.31233,662.09808
45,0.367,-360.70828,10.28298,579.25171,-240.41092,-153.07037,651.43842,-249.97198,176.31648,662.23303
