Frame#,Time,C7.x,C7.y,C7.z,R.Shoulder.x,R.Shoulder.y,R.Shoulder.z,L.Shoulder.x,L.Shoulder.y,L.Shoulder.z
1,0,-270.17737,-49.40269,1088.01807,-222.05055,-198.11517,995.1853,-181.23495,99.78493,1093.88757
2,0.008,-270.17737,-49.40269,1088.01807,-222.15317,-198.28752,995.36102,-181.00935,99.14706,1093.93921
3,0.017,-270.17737,-49.40269,1088.01807,-222.39607,-198.32013,995.3858,-180.71863,99.08151,1094.21667
4,0.025,-270.17737,-49.40269,1088.01807,-222.15317,-198.28752,995.36102,-180.58693,99.16099,1094.1322
5,0.033,-270.17737,-49.40269,1088.01807,-221.95016,-198.21873,995.16058,-179.8829,99.01291,1093.96362
6,0.042,-270.17737,-49.40269,1088.01807,-221.95016,-198.21873,995.16058,-179.8829,99.01291,1093.96362
7,0.05,-270.17737,-49.40269,1088.01807,-221.78755,-198.27478,995.14642,-179.73347,98.78966,1093.96338
8,0.058,-270.17737,-49.40269,1088.01807,-221.2662,-197.96135,995.22284,-179.60175,98.86909,1093.87903
9,0.067,-270.17737,-49.40269,1088.01807,-221.2662,-197.96135,995.22284,-179.60175,98.86909,1093.87903
10,0.075,-270.17737,-49.40269,1088.01807,-221.63898,-198.19006,995.2002,-179.49788,98.98597,1093.97742
11,0.083,-270.17737,-49.40269,1088.01807,-221.2662,-197.96135,995.22284,-179.44189,98.92323,1094.05762
12,0.092,-270.17737,-49.40269,1088.01807,-221.58241,-198.00607,994.9519,-179.44189,98.92323,1094.05762
13,0.1,-270.17737,-49.40269,1088.01807,-221.78546,-198.07492,995.15234,-179.45911,99.36344,1094.20007
14,0.108,-270.17737,-49.40269,1088.01807,-222.09666,-198.10359,995.11279,-179.50406,98.61263,1094.14465
15,0.117,-270.50403,-49.23132,1087.83862,-222.15317,-198.28752,995.36102,-179.65466,98.47819,1094.41162
16,0.125,-270.50403,-49.23132,1087.83862,-222.39607,-198.32013,995.3858,-179.6927,98.08022,1094.53918
17,0.133,-270.50403,-49.23132,1087.83862,-222.49644,-198.21657,995.41052,-179.77565,97.82904,1094.56787
18,0.142,-270.50403,-49.23132,1087.83862,-222.87457,-198.08495,995.58569,-179.48248,97.11286,1094.59485
19,0.15,-270.50403,-49.23132,1087.83862,-222.94176,-198.37068,995.71619,-179.38852,97.13097,1094.52368
20,0.158,-270.50403,-49.23132,1087.83862,-222.94176,-198.37068,995.71619,-179.15178,97.07428,1094.52454
21,0.167,-270.50403,-49.23132,1087.83862,-222.94176,-198.37068,995.71619,-179.15178,97.07428,1094.52454
22,0.175,-270.50403,-49.23132,1087.83862,-223.13354,-198.35068,995.54816,-179.38852,97.13097,1094.52368
23,0.183,-270.50403,-49.23132,1087.83862,-222.94176,-198.37068,995.71619,-179.38852,97.13097,1094.52368
24,0.192,-270.50403,-49.23132,1087.83862,-222.81241,-198.57787,995.52582,-179.5123,97.00654,1094.43103
25,0.2,-270.50403,-49.23132,1087.83862,-222.89685,-198.63707,995.39227,-179.38852,97.13097,1094.52368
26,0.208,-270.50403,-49.23132,1087.83862,-222.45398,-198.59494,995.30688,-179.15178,97.07428,1094.52454
27,0.217,-270.72379,-49.08962,1087.60901,-222.45398,-198.59494,995.30688,-179.23087,97.06384,1094.58936
28,0.225,-270.72379,-49.08962,1087.60901,-222.00812,-198.49359,995.08167,-179.23087,97.06384,1094.58936
29,0.233,-270.50403,-49.23132,1087.83862,-222.53842,-198.65414,995.17328,-179.48248,97.11286,1094.59485
30,0.242,-270.50403,-49.23132,1087.83862,-222.45398,-198.59494,995.30688,-179.0822,96.57079,1094.11292
31,0.25,-270.50403,-49.23132,1087.83862,-222.25098,-198.52618,995.10645,-179.02374,96.99815,1094.62488
32,0.258,-270.50403,-49.23132,1087.83862,-222.45398,-198.59494,995.30688,-179.02374,96.99815,1094.62488
33,0.267,-270.50403,-49.23132,1087.83862,-222.60432,-198.7634,995.2962,-179.03619,96.9456,1094.71155
34,0.275,-270.50403,-49.23132,1087.83862,-222.71202,-198.68141,995.5011,-178.98865,96.79225,1094.88892
35,0.283,-270.72379,-49.08962,1087.60901,-222.94176,-198.37068,995.71619,-178.9248,96.80543,1095.32581
36,0.292,-270.72379,-49.08962,1087.60901,-223.38704,-198.53487,995.41864,-178.83334,96.90993,1095.44019
37,0.3,-271.87833,-49.33617,1088.27808,-223.38704,-198.53487,995.41864,-178.64729,96.69518,1095.69128
38,0.308,-272.48462,-49.09526,1088.12158,-223.38704,-198.53487,995.41864,-178.19514,96.56497,1095.8866
39,0.317,-270.94766,-49.1598,1087.48267,-224.06952,-199.06989,995.30737,-178.19514,96.56497,1095.8866
40,0.325,-272.06036,-49.41945,1088.15808,-224.06952,-199.06989,995.30737,-178.13217,96.17303,1095.73901
41,0.333,-270.94766,-49.1598,1087.48267,-224.12346,-199.12164,995.21222,-178.13217,96.17303,1095.73901
42,0.342,-271.28058,-49.5045,1087.5752,-224.2448,-198.96458,995.0542,-178.35049,96.22778,1095.73413
43,0.35,-271.28058,-49.5045,1087.5752,-224.078,-199.02901,995.06909,-178.35049,96.22778,1095.73413
44,0.358,-271.28058,-49.5045,1087.5752,-223.83449,-198.98271,995.05847,-178.29088,96.21277,1095.59277
45,0.367,-271.28058,-49.5045,1087.5752,-223.70844,-199.09491,995.04559,-179.04597,96.17422,1095.51575
46,0.375,-271.28058,-49.5045,1087.5752,-223.83578,-199.18089,994.85651,-178.83733,96.08065,1095.24939
47,0.383,-271.28058,-49.5045,1087.5752,-223.64975,-199.28978,994.75269,-179.15593,95.8978,1095.052
48,0.392,-271.28058,-49.5045,1087.5752,-223.57668,-199.32285,994.6156,-178.94887,96.0206,1095.07642
49,0.4,-271.28058,-49.5045,1087.5752,-223.53099,-199.38283,994.54053,-178.94887,96.0206,1095.07642
50,0.408,-271.28058,-49.5045,1087.5752,-223.57668,-199.32285,994.6156,-178.54152,95.99386,1095.18726
51,0.417,-271.28058,-49.5045,1087.5752,-223.53099,-199.38283,994.54053,-178.06276,96.09964,1095.69409
52,0.425,-271.28058,-49.5045,1087.5752,-223.53099,-199.38283,994.54053,-178.24388,96.10903,1095.44287
53,0.433,-272.33011,-49.75515,1088.22009,-223.53099,-199.38283,994.54053,-178.06276,96.09964,1095.69409
54,0.442,-272.33011,-49.75515,1088.22009,-224.05377,-199.71283,994.50616,-178.20042,95.95473,1095.59363
55,0.45,-272.33011,-49.75515,1088.22009,-224.05377,-199.71283,994.50616,-178.47456,95.83355,1095.51587
56,0.458,-272.33011,-49.75515,1088.22009,-224.05377,-199.71283,994.50616,-178.67868,95.91333,1095.69604
57,0.467,-272.33011,-49.75515,1088.22009,-224.17569,-199.65244,994.43781,-178.33691,95.97849,1095.61633
58,0.475,-272.33011,-49.75515,1088.22009,-224.17569,-199.65244,994.43781,-178.32155,95.87421,1095.4115
59,0.483,-272.33011,-49.75515,1088.22009,-224.19315,-199.5773,994.52216,-179.09154,95.83187,1095.1731
60,0.492,-272.33011,-49.75515,1088.22009,-224.05377,-199.71283,994.50616,-178.9127,95.9117,1095.08423
61,0.5,-272.33011,-49.75515,1088.22009,-224.17569,-199.65244,994.43781,-179.24171,95.53829,1094.79639
62,0.508,-272.33011,-49.75515,1088.22009,-224.10254,-199.68561,994.30084,-179.603,95.56852,1095.14331
63,0.517,-272.33011,-49.75515,1088.22009,-224.10254,-199.68561,994.30084,-179.83928,95.69199,1095.24963
64,0.525,-272.24872,-49.8482,1087.72229,-224.1239,-199.86472,994.07928,-179.57759,95.4512,1094.7113
65,0.533,-272.24872,-49.8482,1087.72229,-224.11111,-200.08168,993.85651,-179.96631,95.34992,1094.65527
66,0.542,-272.24872,-49.8482,1087.72229,-224.28783,-200.013,993.83844,-179.96631,95.34992,1094.65527
67,0.55,-272.24872,-49.8482,1087.72229,-224.20284,-199.95656,993.54895,-179.70628,95.58069,1094.39917
68,0.558,-272.24872,-49.8482,1087.72229,-224.07361,-200.02007,993.61938,-179.90831,95.41241,1094.38721
69,0.567,-272.24872,-49.8482,1087.72229,-224.07361,-200.02007,993.61938,-179.87546,95.60086,1094.25586
70,0.575,-272.24872,-49.8482,1087.72229,-223.90309,-200.16197,993.87512,-179.67342,95.76913,1094.26782
71,0.583,-272.24872,-49.8482,1087.72229,-223.90309,-200.16197,993.87512,-179.75038,95.90763,1094.19153
72,0.592,-272.24872,-49.8482,1087.72229,-223.90225,-200.117,993.76721,-179.7762,95.96981,1094.10217
73,0.6,-272.24872,-49.8482,1087.72229,-223.90309,-200.16197,993.87512,-179.7762,95.96981,1094.10217
74,0.608,-272.24872,-49.8482,1087.72229,-224.19765,-200.37166,993.91687,-179.7762,95.96981,1094.10217
75,0.617,-272.24872,-49.8482,1087.72229,-224.19765,-200.37166,993.91687,-179.6077,96.36155,1094.08801
76,0.625,-272.0733,-49.96204,1087.92554,-224.19765,-200.37166,993.91687,-179.6077,96.36155,1094.08801
77,0.633,-272.24872,-49.8482,1087.72229,-224.16496,-200.38615,994.13867,-179.6077,96.36155,1094.08801
78,0.642,-270.93558,-49.70553,1087.24731,-223.87885,-200.40025,993.94916,-179.58276,96.67858,1094.33594
79,0.65,-270.93558,-49.70553,1087.24731,-223.56602,-200.0522,993.99707,-179.62009,96.96793,1094.49438
80,0.658,-270.6091,-49.87695,1087.42664,-223.46594,-200.13132,993.88837,-179.66713,96.88165,1094.38525
81,0.667,-270.6091,-49.87695,1087.42664,-223.14734,-200.09988,993.69183,-179.9386,96.82481,1094.23987
82,0.675,-270.93558,-49.70553,1087.24731,-222.88559,-200.00356,993.73016,-181.30704,97.1989,1094.37915
83,0.683,-270.93558,-49.70553,1087.24731,-222.73027,-200.12387,993.8006,-181.46648,96.97189,1094.29431
84,0.692,-270.93558,-49.70553,1087.24731,-222.27086,-200.0092,993.88867,-182.26122,96.91692,1094.24146
85,0.7,-272.24872,-49.8482,1087.72229,-222.03975,-199.89925,993.69733,-182.48735,97.0887,1094.28809
86,0.708,-272.24872,-49.8482,1087.72229,-221.89195,-199.78276,993.86078,-183.33347,96.69234,1094.14587
87,0.717,-272.24872,-49.8482,1087.72229,-222.03975,-199.89925,993.69733,-183.31163,96.46191,1094.00732
88,0.725,-272.24872,-49.8482,1087.72229,-222.20424,-199.84213,993.70996,-183.31163,96.46191,1094.00732
89,0.733,-272.24872,-49.8482,1087.72229,-222.20424,-199.84213,993.70996,-183.52611,96.26591,1094.01794
90,0.742,-272.24872,-49.8482,1087.72229,-222.73027,-200.12387,993.8006,-183.52611,96.26591,1094.01794
91,0.75,-272.24872,-49.8482,1087.72229,-222.9221,-200.1039,993.63245,-183.31163,96.46191,1094.00732
92,0.758,-272.24872,-49.8482,1087.72229,-223.08644,-200.04692,993.64532,-183.31163,96.46191,1094.00732
93,0.767,-272.24872,-49.8482,1087.72229,-223.08644,-200.04692,993.64532,-183.33347,96.69234,1094.14587
94,0.775,-272.24872,-49.8482,1087.72229,-223.31168,-200.04288,993.70471,-183.33347,96.69234,1094.14587
95,0.783,-272.0733,-49.96204,1087.92554,-223.35722,-200.11366,993.72858,-183.4359,96.83727,1094.10303
96,0.792,-272.0733,-49.96204,1087.92554,-223.81676,-200.43835,993.69232,-183.23384,97.00543,1094.11499
97,0.8,-272.1546,-49.86893,1088.42346,-223.97198,-200.45712,993.54498,-183.03188,97.17371,1094.12695
98,0.808,-271.28058,-49.5045,1087.5752,-223.59573,-200.4333,993.64343,-183.26514,97.92951,1093.60461
