Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z,R.Ulna.x,R.Ulna.y,R.Ulna.z,R.Radius.x,R.Radius.y,R.Radius.z
1,0,-96.1769,-199.05922,678.7309,-46.19392,-231.41518,622.13263,0.77944,-162.38747,639.9375
2,0.008,-96.1769,-199.05922,678.7309,-46.19392,-231.41518,622.13263,0.53966,-162.22731,640.0448
3,0.017,-96.1769,-199.05922,678.7309,-46.19392,-231.41518,622.13263,0.77944,-162.38747,639.9375
4,0.025,-96.1769,-199.05922,678.7309,-46.29467,-231.34296,621.92456,0.53966,-162.22731,640.0448
5,0.033,-96.34112,-198.79002,678.49951,-46.03898,-230.41479,621.90375,0.37219,-161.46944,639.44647
6,0.042,-96.34112,-198.79002,678.49951,-46.28513,-230.65656,621.77966,0.77944,-162.38747,639.9375
7,0.05,-96.34112,-198.79002,678.49951,-46.64326,-230.72902,621.58728,0.77944,-162.38747,639.9375
8,0.058,-96.34112,-198.79002,678.49951,-46.64326,-230.72902,621.58728,-0.59742,-161.19576,639.66083
9,0.067,-96.34112,-198.79002,678.49951,-46.64326,-230.72902,621.58728,-0.59742,-161.19576,639.66083
10,0.075,-96.34112,-198.79002,678.49951,-46.64326,-230.72902,621.58728,-0.76496,-161.32718,639.57098
11,0.083,-96.34112,-198.79002,678.49951,-46.64326,-230.72902,621.58728,-0.38079,-161.29834,639.5658
12,0.092,-96.34112,-198.79002,678.49951,-46.64326,-230.72902,621.58728,-0.43615,-162.05515,640.06842
13,0.1,-96.34112,-198.79002,678.49951,-46.64326,-230.72902,621.58728,-0.24654,-162.21365,639.96149
14,0.108,-96.34112,-198.79002,678.49951,-46.64326,-230.72902,621.58728,-0.76496,-161.32718,639.57098
15,0.117,-96.34112,-198.79002,678.49951,-46.64326,-230.72902,621.58728,-0.38079,-161.29834,639.5658
16,0.125,-96.34112,-198.79002,678.49951,-46.64326,-230.72902,621.58728,-0.38079,-161.29834,639.5658
17,0.133,-96.34112,-198.79002,678.49951,-46.64326,-230.72902,621.58728,-0.38079,-161.29834,639.5658
18,0.142,-96.34112,-198.79002,678.49951,-46.64326,-230.72902,621.58728,-0.1811,-161.36975,639.61438
19,0.15,-96.34112,-198.79002,678.49951,-46.64326,-230.72902,621.58728,0.15555,-161.36684,639.54163
20,0.158,-94.86983,-199.17441,678.95605,-46.28513,-230.65656,621.77966,0.15555,-161.36684,639.54163
21,0.167,-94.86983,-199.17441,678.95605,-46.13854,-230.41162,621.80688,0.15555,-161.36684,639.54163
