Frame#,Time,R.Heel.x,R.Heel.y,R.Heel.z,R.Toe.x,R.Toe.y,R.Toe.z,R.MedFoot.x,R.MedFoot.y,R.MedFoot.z
1,0,172.08484,-102.77337,77.89166,347.5611,-115.70556,55.37483,298.40967,-92.86009,98.78673
2,0.008,171.94951,-103.08946,78.00198,347.5611,-115.70556,55.37483,298.51004,-93.07436,99.23008
3,0.017,172.21564,-103.40654,78.04788,347.46161,-115.8424,55.38714,298.55429,-93.33939,99.12074
4,0.025,171.91551,-103.5132,78.06875,347.5611,-115.70556,55.37483,298.55429,-93.33939,99.12074
5,0.033,171.7495,-103.7168,78.24345,347.37698,-116.00329,55.303,298.55313,-93.63482,99.42529
6,0.042,171.7495,-103.7168,78.24345,347.26434,-116.22201,55.27313,298.55313,-93.63482,99.42529
7,0.05,171.7495,-103.7168,78.24345,347.46515,-116.36296,55.3075,298.55313,-93.63482,99.42529
8,0.058,171.42992,-103.88969,78.58333,347.46454,-116.6196,55.73633,298.55313,-93.63482,99.42529
9,0.067,171.72995,-103.78307,78.56251,347.49826,-116.65617,55.63936,298.57797,-93.72388,99.62497
10,0.075,171.42992,-103.88969,78.58333,347.38928,-116.75826,55.65749,298.57797,-93.72388,99.62497
11,0.083,171.65919,-104.00842,78.8108,347.58551,-116.53722,55.62796,298.7348,-93.85534,99.53357
12,0.092,171.95924,-103.90178,78.78998,347.66135,-116.29623,55.36621,298.7348,-93.85534,99.53357
13,0.1,172.17262,-103.89352,79.05598,347.66135,-116.29623,55.36621,298.7348,-93.85534,99.53357
14,0.108,172.17262,-103.89352,79.05598,347.66135,-116.29623,55.36621,298.7348,-93.85534,99.53357
15,0.117,172.14798,-103.88114,78.88802,347.737,-116.05486,55.10437,298.70993,-93.76628,99.33389
16,0.125,172.18678,-103.56407,78.65569,347.61581,-115.76343,55.15865,298.55313,-93.63482,99.42529
17,0.133,172.04512,-103.60744,78.05051,347.66135,-116.29623,55.36621,298.55313,-93.63482,99.42529
18,0.142,171.92961,-103.54898,78.40062,347.61011,-116.16251,55.40239,298.55429,-93.33939,99.12074
19,0.15,172.09564,-103.34538,78.22593,347.8399,-115.76431,55.17853,298.55429,-93.33939,99.12074
20,0.158,172.09564,-103.34538,78.22593,347.84378,-115.61439,55.16933,298.55429,-93.33939,99.12074
