Frame#,Time,R.Wrist.x,R.Wrist.y,R.Wrist.z,R.Thumb.M1.x,R.Thumb.M1.y,R.Thumb.M1.z,R.Thumb.M2.x,R.Thumb.M2.y,R.Thumb.M2.z,R.Thumb.M3.x,R.Thumb.M3.y,R.Thumb.M3.z,R.Finger3.M1.x,R.Finger3.M1.y,R.Finger3.M1.z,R.Finger3.M2.x,R.Finger3.M2.y,R.Finger3.M2.z,R.Finger3.M3.x,R.Finger3.M3.y,R.Finger3.M3.z
1,0,166.63408,-63.4908,1277.03613,147.51892,-20.82056,1248.55664,163.5425,14.91441,1257.04053,183.20961,47.41444,1281.06494,219.16806,-22.52647,1309.15881,254.49503,7.25631,1301.91345,281.66898,40.6668,1283.84338
2,0.008,167.20203,-62.83974,1274.85706,147.2953,-19.02828,1245.21497,163.15027,15.50866,1253.41394,182.892,48.27669,1278.3822,219.34935,-19.51236,1305.98779,254.25528,10.37556,1299.96033,282.27902,41.79779,1281.27148
3,0.017,167.75745,-61.72464,1271.25659,147.42206,-18.45356,1243.86426,163.46712,15.51531,1250.48486,182.41322,50.46298,1275.28088,221.08698,-19.67344,1303.67334,254.47713,11.46731,1295.09583,282.16995,44.16255,1277.50269
4,0.025,168.10652,-59.25392,1269.81616,147.07899,-17.018,1241.87244,164.38353,17.59365,1248.47949,181.51791,52.77597,1274.04639,221.45598,-17.31481,1300.14807,254.27412,13.19542,1293.20081,282.01373,46.56861,1273.52429
5,0.033,169.3329,-57.618,1267.36462,145.92058,-16.46693,1238.23096,163.26334,19.9453,1246.0874,181.75305,53.26274,1270.53247,221.66168,-16.13797,1297.3396,255.36293,16.57282,1287.99597,283.07141,47.87232,1269.92834
6,0.042,169.26691,-56.42704,1264.05554,148.73915,-14.27714,1235.71045,164.20705,21.15961,1242.29639,183.51192,54.57084,1268.0437,222.88194,-12.85512,1293.87549,255.65266,18.16192,1285.58228,283.10956,48.95304,1265.7207
7,0.05,170.34517,-56.02941,1262.12207,147.91997,-13.89697,1232.82776,164.25185,23.01331,1240.78564,183.69882,55.05237,1264.52039,224.30939,-12.06747,1290.80139,256.47635,19.35025,1281.50378,283.71793,51.03919,1261.85193
8,0.058,170.76613,-53.31206,1258.58521,150.9541,-13.11279,1229.75757,164.91069,23.13891,1236.13281,185.09836,56.80253,1259.75757,224.23137,-11.28785,1287.49927,257.52692,20.62496,1278.36157,284.61993,52.40933,1258.03711
9,0.067,171.24094,-52.51912,1256.77844,150.51593,-12.43465,1226.73035,164.99126,24.24023,1231.9314,185.42111,59.06687,1256.29895,224.65019,-9.32345,1284.505,257.99136,23.06521,1273.48682,284.85968,53.67344,1253.43958
10,0.075,171.44479,-51.49975,1254.31421,150.68768,-10.7004,1224.21802,165.53177,24.88136,1230.07727,185.70317,59.79529,1252.66699,225.23083,-7.36797,1280.76416,258.36697,23.97834,1270.83582,285.18176,54.41342,1249.53088
11,0.083,171.99551,-49.60565,1251.84387,150.69089,-10.08327,1222.11963,166.10626,25.18128,1225.23645,186.1712,60.79037,1249.73291,226.38611,-5.91509,1277.25281,258.23752,25.71334,1266.69641,285.29257,56.4677,1245.44446
12,0.092,172.95804,-49.34542,1249.19971,149.91295,-7.43748,1218.55396,163.89883,28.0918,1223.54578,184.89412,62.56892,1246.12903,226.15041,-4.46655,1274.27576,259.17917,28.14231,1262.61829,285.60333,57.97993,1241.22815
13,0.1,172.61119,-47.43001,1246.36194,152.30595,-9.6939,1216.18909,164.85614,28.52929,1220.46021,186.31779,62.16746,1243.65771,226.62787,-3.45325,1271.0769,258.87717,29.09291,1259.21155,285.37686,59.40784,1237.63306
14,0.108,173.30313,-46.40591,1243.66724,146.70065,-3.64231,1213.63159,163.4424,30.89991,1217.77954,185.91644,63.36552,1240.31641,227.10022,-2.06681,1268.16541,258.9957,30.84548,1255.11243,285.10916,61.74141,1233.50671
15,0.117,173.51543,-45.81709,1240.3772,146.18486,-1.28224,1212.52722,163.6058,30.41564,1214.84131,186.00557,63.64033,1237.13037,227.09242,-1.15705,1264.36096,259.22165,31.73439,1252.0896,285.86368,62.66093,1229.41577
