Frame#,Time,R.Thigh.x,R.Thigh.y,R.Thigh.z,R.Thigh.Front.x,R.Thigh.Front.y,R.Thigh.Front.z,R.Knee.x,R.Knee.y,R.Knee.z,R.Knee.Medial.x,R.Knee.Medial.y,R.Knee.Medial.z
1,0,-0.60373,-206.80367,514.96979,133.11234,-140.48268,555.77264,142.84271,-205.77956,464.6026,166.68056,-90.32309,459.58234
2,0.008,-0.60373,-206.80367,514.96979,133.33774,-140.6617,555.74561,142.70096,-206.0545,464.56134,166.71043,-90.5652,459.94614
3,0.017,-0.60373,-206.80367,514.96979,133.30052,-140.72287,555.66943,142.58099,-206.16106,464.33392,166.94153,-90.70146,459.91458
4,0.025,-0.60373,-206.80367,514.96979,133.30052,-140.72287,555.66943,142.61533,-206.13684,464.46652,166.95258,-90.60152,459.81454
5,0.033,-0.52176,-206.60117,514.78735,133.33774,-140.6617,555.74561,142.61533,-206.13684,464.46652,166.95258,-90.60152,459.81454
6,0.042,-0.52176,-206.60117,514.78735,133.30052,-140.72287,555.66943,142.61281,-206.03653,464.25342,166.94153,-90.70146,459.91458
7,0.05,-0.37814,-206.68459,514.68427,133.30052,-140.72287,555.66943,142.86441,-205.93387,464.02563,166.95258,-90.60152,459.81454
8,0.058,-0.37814,-206.68459,514.68427,133.43745,-140.70348,555.6955,142.60883,-205.81245,463.97931,167.45924,-90.45066,460.01218
9,0.067,-0.37814,-206.68459,514.68427,133.33774,-140.6617,555.74561,142.60883,-205.81245,463.97931,167.45924,-90.45066,460.01218
10,0.075,-0.31031,-206.51895,514.75732,133.44057,-140.69043,555.55841,142.94595,-205.62869,464.41351,167.59999,-90.4052,459.95883
11,0.083,-0.37814,-206.68459,514.68427,133.47778,-140.62926,555.63458,142.73726,-205.76192,463.95084,167.71387,-89.83515,460.14313
12,0.092,-0.37814,-206.68459,514.68427,133.4995,-140.51595,555.69659,142.71353,-205.31967,463.91089,167.71387,-89.83515,460.14313
13,0.1,-0.37814,-206.68459,514.68427,133.75153,-140.41824,555.68793,142.77179,-205.25543,464.09784,167.26338,-89.563,459.8338
14,0.108,-0.17269,-206.84769,514.75085,133.81941,-140.1954,555.76318,142.7485,-204.99564,464.0766,167.26338,-89.563,459.8338
15,0.117,-0.10458,-206.78201,514.58862,133.61555,-140.25174,555.77002,143.09087,-205.4328,464.15015,167.13277,-89.28754,459.74277
16,0.125,-0.10312,-206.63255,514.79156,133.87685,-140.10141,555.82843,143.26347,-205.04807,464.31973,167.10619,-89.0328,459.77118
17,0.133,-0.10312,-206.63255,514.79156,133.89857,-139.98811,555.89056,143.11519,-205.15814,464.57095,167.10619,-89.0328,459.77118
18,0.142,-0.10312,-206.63255,514.79156,133.90639,-139.78743,555.92871,143.11737,-204.95943,464.59622,166.95235,-88.94364,459.69159
19,0.15,-0.10312,-206.63255,514.79156,133.87122,-139.63164,555.82092,142.99074,-205.1057,464.65836,167.10619,-89.0328,459.77118
20,0.158,-0.10312,-206.63255,514.79156,133.73164,-139.57645,555.71954,143.0305,-204.81956,464.83844,166.95235,-88.94364,459.69159
21,0.167,-0.10312,-206.63255,514.79156,133.78511,-139.69377,555.8952,142.83781,-204.83565,464.31757,166.95235,-88.94364,459.69159
22,0.175,-0.10312,-206.63255,514.79156,133.95897,-139.6768,555.77124,143.13708,-204.9955,464.71063,166.95235,-88.94364,459.69159
23,0.183,-0.1851,-206.83502,514.97406,133.51862,-139.64296,555.72113,142.79741,-204.75247,464.39673,166.95235,-88.94364,459.69159
24,0.192,-0.1851,-206.83502,514.97406,133.54999,-139.79413,555.80536,142.92186,-204.80493,464.30933,166.95235,-88.94364,459.69159
25,0.2,-0.1851,-206.83502,514.97406,133.63988,-139.73663,555.7547,142.96228,-204.88811,464.23016,166.95235,-88.94364,459.69159
26,0.208,-0.1851,-206.83502,514.97406,133.63609,-139.73199,555.73108,142.70659,-204.76659,464.18381,166.95235,-88.94364,459.69159
27,0.217,-0.1851,-206.83502,514.97406,133.60472,-139.58083,555.64691,142.66618,-204.6834,464.26297,166.95235,-88.94364,459.69159
28,0.225,-0.30858,-206.46941,514.72504,133.70027,-139.42528,555.63538,142.70659,-204.76659,464.18381,166.95235,-88.94364,459.69159
29,0.233,-0.17269,-206.84769,514.75085,133.60472,-139.58083,555.64691,142.70659,-204.76659,464.18381,166.95235,-88.94364,459.69159
30,0.242,0.01435,-206.49889,514.96741,133.70027,-139.42528,555.63538,142.95654,-204.41762,464.59134,166.95235,-88.94364,459.69159
31,0.25,-0.32243,-206.60625,514.74536,133.60472,-139.58083,555.64691,142.66618,-204.6834,464.26297,166.95235,-88.94364,459.69159
32,0.258,-0.1851,-206.83502,514.97406,133.60472,-139.58083,555.64691,142.80032,-204.53616,464.27176,166.87698,-89.01514,459.80545
33,0.267,-0.1851,-206.83502,514.97406,133.60472,-139.58083,555.64691,142.70659,-204.76659,464.18381,166.87698,-89.01514,459.80545
34,0.275,-0.1851,-206.83502,514.97406,133.51862,-139.64296,555.72113,142.79741,-204.75247,464.39673,166.87698,-89.01514,459.80545
35,0.283,-0.39055,-206.67192,514.90753,133.46936,-139.46187,555.75531,142.79741,-204.75247,464.39673,166.95235,-88.94364,459.69159
36,0.292,-0.31629,-206.51576,514.99512,133.54703,-139.36227,555.88513,142.74933,-204.50668,464.52396,166.95235,-88.94364,459.69159
37,0.3,-0.3469,-206.26576,515.16992,133.54703,-139.36227,555.88513,142.88057,-204.57576,464.65771,166.95235,-88.94364,459.69159
38,0.308,-0.45993,-206.43231,515.09821,133.63313,-139.30014,555.81085,142.88057,-204.57576,464.65771,167.0421,-88.89421,459.75082
39,0.317,-0.23926,-206.60612,515.16309,133.58469,-139.45358,555.81281,142.74641,-204.72299,464.64893,166.87698,-89.01514,459.80545
40,0.325,-0.23926,-206.60612,515.16309,133.76849,-139.41911,555.70239,142.88057,-204.57576,464.65771,166.95235,-88.94364,459.69159
41,0.333,-0.3469,-206.26576,515.16992,133.65291,-139.44742,555.87988,142.88057,-204.57576,464.65771,166.95235,-88.94364,459.69159
42,0.342,-0.45993,-206.43231,515.09821,133.68239,-139.48126,555.77667,142.80032,-204.53616,464.27176,166.95235,-88.94364,459.69159
43,0.35,-0.33893,-206.21751,515.25104,133.739,-139.38528,555.8056,142.95654,-204.41762,464.59134,167.11746,-88.82271,459.63696
44,0.358,-0.45993,-206.43231,515.09821,133.65291,-139.44742,555.87988,142.80032,-204.53616,464.27176,167.46933,-88.9085,459.7955
45,0.367,-0.3469,-206.26576,515.16992,133.63313,-139.30014,555.81085,142.92648,-204.38995,464.2052,167.56097,-88.66622,459.89359
46,0.375,-0.06941,-206.01277,514.73212,133.739,-139.38528,555.8056,142.92648,-204.38995,464.2052,167.20915,-88.5804,459.73511
47,0.383,0.13608,-206.17596,514.79871,134.02821,-139.46489,555.80762,143.05772,-204.45905,464.33899,167.7148,-88.75545,459.97318
48,0.392,0.06181,-206.33217,514.71106,134.22369,-139.61105,555.68585,143.2328,-204.26245,464.3002,167.56097,-88.66622,459.89359
49,0.4,0.12991,-206.26646,514.54889,134.25507,-139.76218,555.77002,143.10155,-204.19334,464.16641,167.7148,-88.75545,459.97318
50,0.408,0.28635,-206.06201,514.61243,134.2187,-139.72253,555.8764,142.92648,-204.38995,464.2052,167.7148,-88.75545,459.97318
51,0.417,0.06181,-206.33217,514.71106,134.2187,-139.72253,555.8764,143.28835,-204.16631,464.13953,167.7148,-88.75545,459.97318
52,0.425,0.12991,-206.26646,514.54889,134.30704,-139.6129,555.90778,143.41959,-204.2354,464.27332,168.23497,-88.85561,459.88251
53,0.433,0.66462,-205.89275,514.86755,134.40434,-139.48062,555.87537,143.50262,-204.2532,464.40707,167.92699,-88.80589,460.01099
54,0.442,0.60691,-206.06104,514.7677,134.28465,-139.43912,555.75977,143.41959,-204.2354,464.27332,168.38249,-88.60332,459.8718
55,0.45,0.44867,-205.92596,514.89752,134.28465,-139.43912,555.75977,143.54776,-204.31311,464.33154,167.92699,-88.80589,460.01099
56,0.458,0.44867,-205.92596,514.89752,134.40434,-139.48062,555.87537,143.54776,-204.31311,464.33154,167.86893,-88.71586,459.76517
57,0.467,0.44867,-205.92596,514.89752,134.57401,-139.36198,555.78979,143.54776,-204.31311,464.33154,168.23497,-88.85561,459.88251
58,0.475,0.66462,-205.89275,514.86755,134.41795,-139.28084,555.78064,143.41959,-204.2354,464.27332,167.35672,-88.32811,459.72443
59,0.483,0.53614,-205.81998,514.96899,134.30351,-139.19298,555.7439,143.41959,-204.2354,464.27332,167.35672,-88.32811,459.72443
60,0.492,0.31543,-205.64612,514.90411,134.0502,-138.91524,555.6908,143.28835,-204.16631,464.13953,167.35672,-88.32811,459.72443
61,0.5,0.49458,-205.62062,515.00293,134.27686,-138.91643,555.7533,143.2379,-204.04556,464.16901,167.35672,-88.32811,459.72443
62,0.508,0.73273,-205.82704,514.70538,134.24388,-139.04558,555.63586,143.68539,-203.94145,464.26697,167.35672,-88.32811,459.72443
63,0.517,0.73273,-205.82704,514.70538,134.15611,-139.0004,555.68555,143.32806,-203.97572,464.27985,167.35672,-88.32811,459.72443
64,0.525,0.72162,-205.11949,514.53687,134.22054,-138.86966,555.69983,143.22757,-203.6795,464.1752,167.35672,-88.32811,459.72443
65,0.533,0.72162,-205.11949,514.53687,134.0502,-138.91524,555.6908,143.10747,-203.80746,464.13171,167.35672,-88.32811,459.72443
66,0.542,0.429,-205.71071,514.50354,134.0502,-138.91524,555.6908,143.22757,-203.6795,464.1752,167.35672,-88.32811,459.72443
67,0.55,0.40171,-206.0244,514.64661,133.80722,-138.92964,555.65851,143.10747,-203.80746,464.13171,167.35672,-88.32811,459.72443
68,0.558,0.42441,-205.76996,514.46454,133.74219,-139.08177,555.70471,143.10747,-203.80746,464.13171,167.35672,-88.32811,459.72443
69,0.567,-0.00131,-205.94707,514.56995,133.74219,-139.08177,555.70471,143.1727,-203.94237,464.23389,167.35672,-88.32811,459.72443
70,0.575,-0.00131,-205.94707,514.56995,133.79549,-139.01569,555.73224,143.05112,-204.0726,464.19589,167.35672,-88.32811,459.72443
71,0.583,0.06181,-206.33217,514.71106,133.73044,-139.16783,555.77844,143.18181,-204.23297,464.55237,167.35672,-88.32811,459.72443
72,0.592,0.06181,-206.33217,514.71106,133.739,-139.38528,555.8056,143.18181,-204.23297,464.55237,167.20915,-88.5804,459.73511
73,0.6,-0.02885,-206.47639,514.87921,133.63313,-139.30014,555.81085,143.18181,-204.23297,464.55237,167.20915,-88.5804,459.73511
74,0.608,-0.37796,-206.22978,514.91571,133.54703,-139.36227,555.88513,143.00674,-204.42957,464.59116,167.11746,-88.82271,459.63696
75,0.617,-0.37796,-206.22978,514.91571,133.63313,-139.30014,555.81085,143.03606,-204.59476,464.78461,167.11746,-88.82271,459.63696
76,0.625,-0.37796,-206.22978,514.91571,133.47881,-139.36844,555.81805,143.11909,-204.61256,464.91833,166.95235,-88.94364,459.69159
77,0.633,-0.41955,-206.0304,514.94965,133.65291,-139.44742,555.87988,143.00674,-204.42957,464.59116,167.20915,-88.5804,459.73511
