Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Front.Head.x,Front.Head.y,Front.Head.z,Rear.Head.x,Rear.Head.y,Rear.Head.z,Jaw.x,Jaw.y,Jaw.z
1,0,134.13559,-67.67076,1593.99414,283.9837,-52.06787,1530.51855,50.26173,-71.93831,1498.97107,285.7829,-42.81702,1365.36353
2,0.008,134.86057,-67.24445,1593.72375,284.70135,-51.43073,1530.4303,50.17173,-71.96876,1499.02234,285.85745,-42.99398,1365.55896
3,0.017,134.9632,-67.18319,1593.78357,284.70135,-51.43073,1530.4303,50.3795,-71.8257,1499.05786,285.95676,-42.65935,1365.11377
4,0.025,135.00179,-67.08044,1593.91455,284.91449,-51.15407,1530.69226,50.3795,-71.8257,1499.05786,285.95676,-42.65935,1365.11377
5,0.033,135.14574,-67.0146,1593.8938,285.24161,-51.37585,1530.40027,50.3795,-71.8257,1499.05786,285.95676,-42.65935,1365.11377
6,0.042,135.31628,-67.17577,1593.94971,285.5112,-51.3299,1530.21899,50.71066,-71.98157,1499.34229,286.01486,-42.54736,1364.96204
7,0.05,135.31628,-67.17577,1593.94971,285.62299,-51.40912,1530.31653,50.68158,-72.22636,1499.40527,286.86691,-43.53842,1365.0874
8,0.058,135.40128,-67.16502,1593.94836,285.78696,-51.37154,1530.29504,50.76084,-72.26868,1499.46106,286.92508,-43.4264,1364.93567
9,0.067,135.62415,-67.30006,1593.83972,286.07532,-51.76116,1530.48279,50.90666,-72.43212,1499.53113,287.32175,-43.50109,1364.95276
10,0.075,135.80841,-67.15051,1593.94092,286.07532,-51.76116,1530.48279,50.90666,-72.43212,1499.53113,287.48718,-43.09818,1364.91821
11,0.083,136.08484,-67.31715,1593.89893,286.07532,-51.76116,1530.48279,50.64196,-71.99828,1499.5979,287.48718,-43.09818,1364.91821
12,0.092,135.92215,-67.39861,1593.80066,286.23236,-52.22753,1530.58301,50.70529,-72.02439,1499.11938,287.48718,-43.09818,1364.91821
13,0.1,136.08067,-67.8307,1593.8645,286.23236,-52.22753,1530.58301,50.84891,-72.43281,1499.47217,288.23343,-42.54191,1364.88025
14,0.108,136.15938,-67.86371,1593.80859,286.40201,-52.44691,1530.45667,50.84891,-72.43281,1499.47217,288.09341,-42.2747,1364.90137
15,0.117,136.02403,-68.24081,1593.91675,286.79266,-52.4166,1530.49255,51.57851,-73.1563,1499.28809,288.62253,-42.37444,1364.92419
16,0.125,136.35843,-68.35987,1593.8678,286.81104,-52.54603,1530.29443,51.57851,-73.1563,1499.28809,288.62253,-42.37444,1364.92419
17,0.133,136.67221,-68.27814,1593.71643,287.06421,-52.49099,1530.28796,51.71892,-73.15394,1499.38623,288.62253,-42.37444,1364.92419
18,0.142,136.75653,-68.31125,1593.7644,287.22226,-52.51043,1530.32715,51.71892,-73.15394,1499.38623,288.8588,-42.56839,1364.78296
19,0.15,136.89635,-68.41936,1593.70508,287.78217,-52.92685,1530.09729,51.90154,-73.07826,1499.05115,288.8588,-42.56839,1364.78296
20,0.158,136.79614,-68.53365,1593.77026,287.78217,-52.92685,1530.09729,52.02963,-73.11172,1498.97437,288.8588,-42.56839,1364.78296
21,0.167,136.84665,-68.50227,1593.70361,287.78217,-52.92685,1530.09729,52.0527,-73.19452,1499.19299,288.95224,-42.67381,1364.49695
22,0.175,136.98386,-68.2806,1593.73206,287.89691,-52.82174,1529.99817,52.0527,-73.19452,1499.19299,288.95224,-42.67381,1364.49695
23,0.183,137.366,-68.137,1593.56848,287.89691,-52.82174,1529.99817,52.14386,-73.10464,1499.40906,288.95224,-42.67381,1364.49695
24,0.192,137.37544,-68.06621,1593.65979,287.88452,-52.91093,1529.68835,52.34303,-73.08913,1499.54675,288.95224,-42.67381,1364.49695
25,0.2,137.46886,-67.96825,1593.58728,287.88452,-52.91093,1529.68835,52.34303,-73.08913,1499.54675,288.95224,-42.67381,1364.49695
26,0.208,138.07945,-68.23114,1593.71399,287.88452,-52.91093,1529.68835,52.43593,-73.27137,1499.6908,288.95224,-42.67381,1364.49695
27,0.217,138.13503,-68.43905,1593.75757,288.02719,-52.96937,1529.58105,52.5531,-73.19125,1499.78821,288.72684,-42.82329,1364.29236
28,0.225,138.25131,-68.44981,1593.75598,288.17496,-52.63124,1529.51538,53.12864,-73.44323,1499.95044,288.72684,-42.82329,1364.29236
29,0.233,138.47604,-68.39468,1594.00806,288.29263,-52.90199,1529.58582,53.51619,-73.55329,1499.88318,288.72684,-42.82329,1364.29236
30,0.242,138.54623,-68.60082,1593.9425,288.41132,-52.6161,1529.51965,53.16739,-73.4529,1500.07361,288.72684,-42.82329,1364.29236
31,0.25,138.54652,-68.67385,1593.84729,288.72672,-52.59662,1529.21753,53.72257,-73.81473,1500.02515,288.53748,-43.39554,1364.24329
32,0.258,138.55791,-68.8606,1593.87915,288.53989,-52.54348,1529.28784,53.76739,-73.8655,1500.09595,288.73505,-43.08101,1364.03308
33,0.267,138.71996,-68.70615,1593.94958,288.53989,-52.54348,1529.28784,53.76739,-73.8655,1500.09595,288.73505,-43.08101,1364.03308
34,0.275,138.69759,-68.72206,1593.75928,288.43683,-52.75657,1529.3125,53.76739,-73.8655,1500.09595,288.72684,-42.82329,1364.29236
35,0.283,138.60043,-68.77214,1593.70251,288.53989,-52.54348,1529.28784,53.76739,-73.8655,1500.09595,288.72684,-42.82329,1364.29236
36,0.292,138.50705,-68.87005,1593.77502,288.41132,-52.6161,1529.51965,53.56662,-73.88513,1499.80457,288.72684,-42.82329,1364.29236
37,0.3,138.35599,-68.82183,1593.86304,288.17496,-52.63124,1529.51538,53.68381,-73.80506,1499.90198,288.72684,-42.82329,1364.29236
38,0.308,138.21909,-68.79924,1593.974,288.02719,-52.96937,1529.58105,53.72257,-73.81473,1500.02515,288.72684,-42.82329,1364.29236
39,0.317,137.88002,-69.10069,1594.00659,287.88452,-52.91093,1529.68835,52.90416,-73.64112,1499.89954,288.95224,-42.67381,1364.49695
40,0.325,137.88002,-69.10069,1594.00659,287.88452,-52.91093,1529.68835,52.61947,-73.46954,1499.78333,288.95224,-42.67381,1364.49695
41,0.333,137.75006,-68.81477,1593.77771,287.88452,-52.91093,1529.68835,52.43593,-73.27137,1499.6908,288.95224,-42.67381,1364.49695
42,0.342,137.13939,-68.55197,1593.651,287.88452,-52.91093,1529.68835,52.34303,-73.08913,1499.54675,288.72684,-42.82329,1364.29236
43,0.35,137.13939,-68.55197,1593.651,287.88452,-52.91093,1529.68835,52.14386,-73.10464,1499.40906,288.95224,-42.67381,1364.49695
44,0.358,137.05789,-68.4108,1593.65698,287.88452,-52.91093,1529.68835,51.92462,-73.16105,1499.26978,288.31873,-44.00888,1364.34741
45,0.367,137.14323,-68.4492,1593.59949,287.88452,-52.91093,1529.68835,52.04754,-72.91915,1499.11365,288.31873,-44.00888,1364.34741
46,0.375,137.05789,-68.4108,1593.65698,287.88452,-52.91093,1529.68835,52.08637,-72.92881,1499.23669,288.31873,-44.00888,1364.34741
47,0.383,137.21878,-68.28559,1593.6842,287.76974,-53.01601,1529.78748,52.13065,-72.6914,1498.93701,288.09332,-44.15818,1364.14282
48,0.392,136.96632,-68.51513,1593.71667,287.88452,-52.91093,1529.68835,52.03918,-72.55389,1499.06543,288.31873,-44.00888,1364.34741
49,0.4,137.11893,-68.32699,1593.64893,287.88452,-52.91093,1529.68835,51.88529,-72.52991,1499.14001,288.31873,-44.00888,1364.34741
50,0.408,137.11893,-68.32699,1593.64893,287.88452,-52.91093,1529.68835,51.97368,-72.63976,1499.21423,288.09332,-44.15818,1364.14282
51,0.417,137.20746,-68.36418,1593.58606,287.88452,-52.91093,1529.68835,51.81979,-72.61578,1499.28882,288.09332,-44.15818,1364.14282
52,0.425,136.96632,-68.51513,1593.71667,287.88452,-52.91093,1529.68835,52.24044,-72.76774,1499.20215,288.09332,-44.15818,1364.14282
53,0.433,137.20746,-68.36418,1593.58606,287.88452,-52.91093,1529.68835,51.8266,-72.68835,1499.29517,288.09332,-44.15818,1364.14282
54,0.442,137.19206,-68.33067,1593.68213,287.88452,-52.91093,1529.68835,51.87729,-72.79163,1499.46106,288.09332,-44.15818,1364.14282
55,0.45,137.30322,-68.20098,1593.62012,287.88452,-52.91093,1529.68835,51.87729,-72.79163,1499.46106,288.53748,-43.39554,1364.24329
56,0.458,137.30322,-68.20098,1593.62012,287.88452,-52.91093,1529.68835,51.99345,-72.8091,1499.47827,288.09332,-44.15818,1364.14282
57,0.467,137.21469,-68.16379,1593.68298,287.88452,-52.91093,1529.68835,51.99444,-72.71148,1499.55847,288.09332,-44.15818,1364.14282
58,0.475,137.25513,-67.94587,1593.85571,287.88452,-52.91093,1529.68835,51.87729,-72.79163,1499.46106,288.04556,-44.49733,1363.97546
59,0.483,137.25513,-67.94587,1593.85571,287.88452,-52.91093,1529.68835,51.74894,-72.79236,1499.47156,288.04556,-44.49733,1363.97546
60,0.492,137.25513,-67.94587,1593.85571,287.88452,-52.91093,1529.68835,51.74894,-72.79236,1499.47156,288.05362,-44.75476,1363.71619
61,0.5,137.33598,-67.71397,1593.82458,287.88452,-52.91093,1529.68835,51.08105,-72.06728,1499.52649,288.05362,-44.75476,1363.71619
62,0.508,137.1389,-67.65936,1593.87842,287.88452,-52.91093,1529.68835,50.92187,-71.94694,1499.70532,288.04556,-44.49733,1363.97546
63,0.517,137.095,-67.24285,1593.77441,287.88452,-52.91093,1529.68835,50.63819,-71.88589,1499.74243,288.04556,-44.49733,1363.97546
64,0.525,136.76056,-66.97888,1593.73877,287.74683,-52.87499,1529.63391,51.29378,-72.28223,1499.59082,288.04556,-44.49733,1363.97546
65,0.533,136.72632,-66.06267,1593.64209,287.05441,-52.95089,1529.70288,51.19926,-72.04064,1499.68896,288.04556,-44.49733,1363.97546
66,0.542,136.72632,-66.06267,1593.64209,287.21405,-52.97004,1529.74182,51.0265,-71.92255,1499.71106,287.89114,-44.81578,1363.83374
67,0.55,136.66234,-66.72831,1593.66125,287.05441,-52.95089,1529.70288,50.99542,-71.72013,1499.31335,287.73254,-44.29612,1364.10608
68,0.558,136.66234,-66.72831,1593.66125,287.05441,-52.95089,1529.70288,50.99542,-71.72013,1499.31335,288.04556,-44.49733,1363.97546
69,0.567,136.19366,-66.77198,1593.71399,286.93106,-52.8247,1530.11499,50.93955,-71.50134,1499.43335,288.09332,-44.15818,1364.14282
70,0.575,136.29631,-66.07673,1593.72595,286.93106,-52.8247,1530.11499,51.04945,-71.55188,1499.474,288.09332,-44.15818,1364.14282
71,0.583,136.29631,-66.07673,1593.72595,286.67789,-52.87976,1530.12146,51.03092,-71.59004,1499.30688,288.09332,-44.15818,1364.14282
72,0.592,136.37758,-66.14832,1593.62012,286.93106,-52.8247,1530.11499,51.03104,-71.70137,1499.18445,288.09332,-44.15818,1364.14282
73,0.6,136.12358,-65.88723,1593.73157,286.67789,-52.87976,1530.12146,50.92312,-71.89696,1499.38269,287.78027,-43.95691,1364.27344
74,0.608,136.08513,-65.91174,1593.79639,286.84076,-52.4846,1529.31616,50.99542,-71.72013,1499.31335,287.78027,-43.95691,1364.27344
75,0.617,136.08513,-65.91174,1593.79639,286.7175,-52.35828,1529.72815,50.9936,-71.33306,1499.59387,287.39124,-43.77624,1364.58313
76,0.625,136.1552,-66.79649,1593.77881,286.4642,-52.4133,1529.73462,50.86726,-71.67816,1499.50269,287.21597,-43.60977,1364.42773
77,0.633,136.40062,-66.57967,1593.74548,286.4642,-52.4133,1529.73462,50.82143,-71.51333,1499.57043,287.39124,-43.77624,1364.58313
78,0.642,136.08513,-65.91174,1593.79639,286.7175,-52.35828,1529.72815,50.86153,-71.47478,1499.91589,287.21597,-43.60977,1364.42773
79,0.65,136.59724,-64.56442,1593.88391,286.2327,-51.70074,1529.70203,50.6702,-71.44634,1500.03796,287.21597,-43.60977,1364.42773
80,0.658,136.56587,-64.22572,1594.28076,285.93875,-51.16223,1529.50891,50.71503,-71.54299,1500.20459,287.21597,-43.60977,1364.42773
81,0.667,136.41077,-64.54105,1593.94678,286.26938,-50.65856,1529.88538,50.66564,-71.34916,1500.03699,287.21597,-43.60977,1364.42773
82,0.675,136.45323,-64.09838,1594.34302,285.86932,-50.83796,1530.10913,50.83254,-71.04373,1499.98169,286.81927,-43.53511,1364.41052
83,0.683,136.01494,-64.05679,1594.30969,285.88089,-50.46965,1529.99048,50.54858,-71.42932,1499.9397,286.81927,-43.53511,1364.41052
84,0.692,136.05319,-64.67907,1594.39307,285.7326,-50.7658,1530.01636,50.54858,-71.42932,1499.9397,286.59799,-43.62711,1364.54883
85,0.7,135.81717,-64.90167,1594.32947,285.7326,-50.7658,1530.01636,50.46936,-71.387,1499.88391,286.08444,-42.82261,1364.59229
86,0.708,135.53265,-65.05396,1594.28369,285.7326,-50.7658,1530.01636,50.51162,-71.26765,1499.68359,286.08444,-42.82261,1364.59229
87,0.717,135.59596,-64.38843,1594.26453,285.42444,-50.84377,1530.0647,50.51162,-71.26765,1499.68359,286.08444,-42.82261,1364.59229
88,0.725,135.56749,-64.53027,1593.85303,285.37103,-50.77734,1530.24744,50.33794,-71.43001,1499.34766,286.35352,-42.73399,1365.13086
89,0.733,135.31348,-64.6452,1594.03845,285.37103,-50.77734,1530.24744,50.44247,-71.55093,1499.40125,286.35352,-42.73399,1365.13086
90,0.742,135.08316,-65.74004,1593.94739,285.08527,-50.82315,1530.42676,50.32284,-71.54498,1499.22571,286.35352,-42.73399,1365.13086
91,0.75,134.8217,-66.70016,1594.02148,284.88773,-51.31214,1530.51587,50.30772,-71.66007,1499.10388,286.42804,-42.91095,1365.32642
92,0.758,134.98062,-66.74698,1593.92749,284.88773,-51.31214,1530.51587,50.35843,-71.77513,1498.98584,286.42804,-42.91095,1365.32642
93,0.767,134.88811,-66.81014,1593.8634,284.88773,-51.31214,1530.51587,50.3918,-71.89565,1498.75439,286.42804,-42.91095,1365.32642
94,0.775,134.10101,-66.94265,1593.85059,284.9993,-51.40464,1530.62744,50.3918,-71.89565,1498.75439,286.25418,-43.06867,1365.57617
95,0.783,134.20367,-66.88137,1593.9104,284.88773,-51.31214,1530.51587,50.3918,-71.89565,1498.75439,286.25418,-43.06867,1365.57617
96,0.792,134.10101,-66.94265,1593.85059,285.03192,-51.74248,1530.73047,50.3918,-71.89565,1498.75439,286.25418,-43.06867,1365.57617
97,0.8,134.00861,-66.87911,1593.98938,284.59979,-52.33,1530.79614,50.3918,-71.89565,1498.75439,286.25418,-43.06867,1365.57617
98,0.808,133.9973,-66.9578,1593.89099,284.23697,-52.01237,1530.51196,50.24065,-71.88774,1498.89917,285.85745,-42.99398,1365.55896
99,0.817,133.9973,-66.9578,1593.89099,284.12811,-52.49826,1530.73315,49.85527,-71.77567,1498.98962,285.85745,-42.99398,1365.55896
100,0.825,134.00974,-66.451,1594.05481,283.96201,-51.98377,1530.40332,49.8795,-71.44632,1499.0448,285.85745,-42.99398,1365.55896
101,0.833,134.00974,-66.451,1594.05481,283.96201,-51.98377,1530.40332,49.94464,-71.4736,1498.99438,285.85745,-42.99398,1365.55896
102,0.842,134.00974,-66.451,1594.05481,283.9837,-52.06787,1530.51855,49.91213,-71.55784,1499.15125,285.85745,-42.99398,1365.55896
103,0.85,134.07361,-65.78555,1594.03564,283.9837,-52.06787,1530.51855,49.8692,-71.68982,1499.12939,285.85745,-42.99398,1365.55896
104,0.858,134.07361,-65.78555,1594.03564,283.96201,-51.98377,1530.40332,49.34667,-71.62657,1499.22205,285.85745,-42.99398,1365.55896
105,0.867,134.00974,-66.451,1594.05481,284.00867,-51.91961,1530.68384,49.32292,-71.43921,1499.13647,285.85745,-42.99398,1365.55896
106,0.875,133.91719,-66.51418,1593.99072,284.00867,-51.91961,1530.68384,49.34667,-71.62657,1499.22205,285.5647,-43.08836,1365.39502
107,0.883,134.00974,-66.451,1594.05481,284.00607,-51.41073,1530.67371,49.09329,-71.76369,1499.15137,285.60364,-43.29992,1365.62012
108,0.892,133.91719,-66.51418,1593.99072,284.29684,-51.13311,1530.91504,49.27579,-71.71846,1499.14343,285.60364,-43.29992,1365.62012
109,0.9,133.7588,-66.4297,1594.12683,283.63297,-51.27452,1530.67834,49.09329,-71.76369,1499.15137,285.89633,-43.20552,1365.78406
110,0.908,133.80481,-66.44076,1593.90503,283.63297,-51.27452,1530.67834,49.09329,-71.76369,1499.15137,285.89633,-43.20552,1365.78406
111,0.917,133.6219,-66.36617,1594.03296,283.78824,-51.14333,1530.78748,49.16505,-71.92928,1499.10535,285.89633,-43.20552,1365.78406
112,0.925,133.64207,-66.75975,1593.83838,283.63297,-51.27452,1530.67834,49.35545,-72.02744,1498.96887,285.89633,-43.20552,1365.78406
113,0.933,133.54637,-66.72898,1593.89478,283.63297,-51.27452,1530.67834,49.35545,-72.02744,1498.96887,285.89633,-43.20552,1365.78406
114,0.942,133.54637,-66.72898,1593.89478,283.78824,-51.14333,1530.78748,49.30935,-72.20724,1498.7644,285.89633,-43.20552,1365.78406
115,0.95,133.52853,-66.86373,1593.82434,283.63297,-51.27452,1530.67834,49.30935,-72.20724,1498.7644,285.89633,-43.20552,1365.78406
116,0.958,133.52853,-66.86373,1593.82434,283.63297,-51.27452,1530.67834,49.30935,-72.20724,1498.7644,285.89633,-43.20552,1365.78406
117,0.967,133.47557,-66.85867,1593.95032,283.49738,-51.421,1530.54614,49.30935,-72.20724,1498.7644,285.89633,-43.20552,1365.78406
118,0.975,133.47557,-66.85867,1593.95032,283.49738,-51.421,1530.54614,49.11893,-72.10902,1498.90076,285.89633,-43.20552,1365.78406
119,0.983,133.54637,-66.72898,1593.89478,283.63297,-51.27452,1530.67834,49.16505,-71.92928,1499.10535,285.57315,-43.03135,1365.65869
120,0.992,133.0101,-66.63005,1593.89246,283.49738,-51.421,1530.54614,49.16505,-71.92928,1499.10535,285.57315,-43.03135,1365.65869
121,1,133.54637,-66.72898,1593.89478,283.49738,-51.421,1530.54614,49.09329,-71.76369,1499.15137,285.2804,-43.12574,1365.49463
122,1.008,132.8877,-66.49419,1594.198,283.49738,-51.421,1530.54614,49.09329,-71.76369,1499.15137,285.0304,-43.12062,1365.55566
123,1.017,133.49187,-66.50301,1593.9917,283.38257,-51.52575,1530.64526,49.09329,-71.76369,1499.15137,285.0304,-43.12062,1365.55566
124,1.025,133.00859,-66.40913,1593.8634,283.38257,-51.52575,1530.64526,49.09329,-71.76369,1499.15137,284.76889,-43.0459,1365.53528
125,1.033,132.9594,-66.28309,1594.03308,283.38257,-51.52575,1530.64526,48.96519,-71.73046,1499.22827,284.45706,-42.9406,1365.49146
