Frame#,Time,L.Biceps.Lateral.x,L.Biceps.Lateral.y,L.Biceps.Lateral.z,L.Elbow.x,L.Elbow.y,L.Elbow.z,L.Elbow.Medial.x,L.Elbow.Medial.y,L.Elbow.Medial.z
1,0,219.11746,217.03705,1264.48633,190.12639,271.40027,1073.80811,127.32305,207.41737,1060.62048
2,0.008,219.3576,216.04004,1264.19238,190.12639,271.40027,1073.80811,127.32305,207.41737,1060.62048
3,0.017,219.81514,215.99748,1264.73926,190.15167,271.36536,1073.62305,127.32305,207.41737,1060.62048
4,0.025,219.83839,216.24406,1264.44629,189.94337,271.7048,1073.81665,127.45448,207.6788,1060.7959
5,0.033,219.96486,216.22282,1264.74756,189.94635,272.04227,1073.95068,127.45448,207.6788,1060.7959
6,0.042,219.96486,216.22282,1264.74756,189.4818,272.30792,1074.12769,127.22598,207.64627,1060.89063
7,0.05,219.32025,217.09698,1265.10193,188.90575,272.53442,1074.3396,127.09454,207.38484,1060.71533
8,0.058,219.53169,216.1291,1264.90137,188.90575,272.53442,1074.3396,127.22598,207.64627,1060.89063
9,0.067,218.56192,217.70543,1265.1283,188.90575,272.53442,1074.3396,127.16792,208.01778,1061.09094
10,0.075,218.16139,217.32455,1265.02417,188.73218,272.55951,1074.31909,127.22598,207.64627,1060.89063
11,0.083,217.7814,218.26918,1265.15918,188.73218,272.55951,1074.31909,127.09454,207.38484,1060.71533
12,0.092,217.65645,218.26549,1265.20166,188.73218,272.55951,1074.31909,127.06683,206.72868,1060.91199
13,0.1,217.22415,218.5455,1265.50537,188.61278,272.05978,1074.25427,126.99895,206.44005,1061.11731
14,0.108,217.06805,218.47057,1265.40735,188.78638,272.03473,1074.27466,126.99895,206.44005,1061.11731
15,0.117,216.87332,218.30779,1265.5144,188.78638,272.03473,1074.27466,126.99895,206.44005,1061.11731
16,0.125,216.89098,218.32147,1265.21204,189.29861,271.38049,1074.09766,126.99895,206.44005,1061.11731
17,0.133,217.05704,218.27861,1265.2312,189.29861,271.38049,1074.09766,127.22747,206.4726,1061.02258
18,0.142,217.50783,218.12018,1265.07214,189.62511,271.32782,1073.98352,127.22747,206.4726,1061.02258
19,0.15,217.50783,218.12018,1265.07214,189.60188,271.07446,1074.00952,127.29536,206.7612,1060.81714
20,0.158,218.01424,217.61658,1264.90442,190.12053,270.80005,1074.02051,127.29536,206.7612,1060.81714
21,0.167,218.01424,217.61658,1264.90442,189.98694,270.98444,1073.90308,127.49023,206.50836,1060.70813
22,0.175,218.57291,217.28461,1264.85046,190.12053,270.80005,1074.02051,127.29536,206.7612,1060.81714
23,0.183,218.82372,217.20557,1265.03101,189.90891,271.10089,1074.1488,127.29536,206.7612,1060.81714
24,0.192,218.82372,217.20557,1265.03101,189.7753,271.28528,1074.03137,127.29536,206.7612,1060.81714
25,0.2,219.03143,216.26079,1264.82947,189.29861,271.38049,1074.09766,126.99895,206.44005,1061.11731
26,0.208,219.24376,216.02368,1265.06934,189.26585,271.64249,1074.15417,126.99895,206.44005,1061.11731
27,0.217,219.12257,216.09824,1265.16687,188.78638,272.03473,1074.27466,126.99895,206.44005,1061.11731
28,0.225,218.58429,217.17557,1265.40161,188.78947,272.37204,1074.40857,126.99895,206.44005,1061.11731
29,0.233,218.58429,217.17557,1265.40161,188.78947,272.37204,1074.40857,127.13036,206.70155,1061.29272
30,0.242,217.97614,217.86874,1265.64661,188.78947,272.37204,1074.40857,127.13036,206.70155,1061.29272
31,0.25,217.33957,218.32718,1265.9563,188.78947,272.37204,1074.40857,127.13036,206.70155,1061.29272
32,0.258,217.06133,218.5696,1265.93494,188.78947,272.37204,1074.40857,126.99895,206.44005,1061.11731
33,0.267,216.82639,218.48643,1265.97632,188.78947,272.37204,1074.40857,126.99895,206.44005,1061.11731
34,0.275,216.82639,218.48643,1265.97632,188.78947,272.37204,1074.40857,126.99895,206.44005,1061.11731
35,0.283,216.82639,218.48643,1265.97632,188.78638,272.03473,1074.27466,126.99895,206.44005,1061.11731
36,0.292,216.4388,218.57843,1265.95435,188.78638,272.03473,1074.27466,126.99895,206.44005,1061.11731
37,0.3,216.82639,218.48643,1265.97632,189.17241,271.34766,1074.35022,126.84485,206.3092,1061.28833
38,0.308,216.68771,218.14279,1265.74585,189.40892,270.94275,1074.24121,126.99895,206.44005,1061.11731
39,0.317,216.52386,218.06573,1265.4541,189.40892,270.94275,1074.24121,126.77272,206.11328,1061.07922
40,0.325,216.93428,217.66508,1264.9397,189.40892,270.94275,1074.24121,126.77272,206.11328,1061.07922
41,0.333,217.28801,217.40005,1264.96179,189.40892,270.94275,1074.24121,126.96751,205.86044,1060.97021
42,0.342,217.54408,217.48276,1264.91296,189.40892,270.94275,1074.24121,126.96751,205.86044,1060.97021
43,0.35,218.02631,217.23427,1265.1554,189.40892,270.94275,1074.24121,126.77272,206.11328,1061.07922
44,0.358,218.13448,217.24577,1265.10547,189.40892,270.94275,1074.24121,126.77272,206.11328,1061.07922
45,0.367,218.31116,216.47571,1264.77344,189.40892,270.94275,1074.24121,126.77272,206.11328,1061.07922
46,0.375,218.07178,217.22214,1265.34363,189.27534,271.12714,1074.12366,126.63059,206.01517,1061.28516
47,0.383,217.84447,216.74536,1265.42529,188.59894,271.36292,1074.33508,126.30788,205.75635,1061.18994
48,0.392,217.90292,217.09334,1265.52307,188.16241,271.65845,1074.4248,126.30788,205.75635,1061.18994
49,0.4,217.42657,217.2361,1265.79077,188.07352,271.87994,1074.41052,126.30788,205.75635,1061.18994
50,0.408,216.92915,217.86487,1265.92822,188.02177,271.63083,1074.47766,126.52209,206.05045,1061.19324
51,0.417,216.86331,218.08344,1266.23474,188.08887,271.72824,1074.58752,126.52209,206.05045,1061.19324
52,0.425,216.38354,217.65903,1266.33704,187.93604,272.18967,1074.59729,126.23483,206.0945,1061.20776
53,0.433,215.85103,217.77031,1266.32703,187.31584,272.14627,1074.66418,126.30788,205.75635,1061.18994
54,0.442,215.85103,217.77031,1266.32703,187.1752,272.11868,1074.71704,126.02062,205.8004,1061.20459
55,0.45,215.50462,217.89859,1266.12695,187.17191,271.78146,1074.58325,126.02062,205.8004,1061.20459
56,0.458,215.50462,217.89859,1266.12695,187.12004,271.53229,1074.65039,126.30788,205.75635,1061.18994
57,0.467,215.44682,217.80901,1266.24805,187.12004,271.53229,1074.65039,126.30788,205.75635,1061.18994
58,0.475,215.44682,217.80901,1266.24805,187.12004,271.53229,1074.65039,126.30788,205.75635,1061.18994
59,0.483,215.21396,217.68413,1266.3114,187.52834,271.06326,1074.42029,126.30788,205.75635,1061.18994
60,0.492,215.23364,217.51254,1266.08997,187.15929,271.04248,1074.33044,126.30788,205.75635,1061.18994
61,0.5,215.3203,217.20898,1265.52661,187.43365,270.88562,1074.39502,126.30788,205.75635,1061.18994
62,0.508,215.1452,217.17368,1265.46899,187.65317,270.64493,1074.40955,126.30788,205.75635,1061.18994
63,0.517,215.1452,217.17368,1265.46899,187.73495,269.84558,1074.2915,126.30788,205.75635,1061.18994
64,0.525,215.52303,217.27924,1265.39355,187.68117,269.72528,1074.36621,126.30788,205.75635,1061.18994
65,0.533,215.57498,217.05444,1265.55725,188.2469,269.94562,1074.2019,126.30788,205.75635,1061.18994
66,0.542,215.80159,216.89938,1265.45544,187.9333,269.97696,1074.41174,126.0265,205.42728,1061.2074
67,0.55,216.49867,215.69241,1265.44946,188.17336,269.96814,1074.54907,126.30788,205.75635,1061.18994
68,0.558,216.711,215.45522,1265.68958,188.23805,270.33356,1074.81885,126.0265,205.42728,1061.2074
69,0.567,216.25441,215.41811,1266.25049,188.00887,270.4668,1074.77808,126.0265,205.42728,1061.2074
70,0.575,216.0153,215.61624,1266.37354,188.00887,270.4668,1074.77808,126.0265,205.42728,1061.2074
71,0.583,216.0153,215.61624,1266.37354,188.00887,270.4668,1074.77808,126.0265,205.42728,1061.2074
72,0.592,215.86848,215.63913,1266.39026,187.63895,270.6091,1074.89893,125.73924,205.47131,1061.22192
73,0.6,215.86848,215.63913,1266.39026,186.86244,270.68976,1074.8418,125.73924,205.47131,1061.22192
74,0.608,215.78734,215.86671,1266.52344,186.86244,270.68976,1074.8418,125.45196,205.51547,1061.23657
75,0.617,215.78734,215.86671,1266.52344,186.80371,270.82724,1074.93164,125.50415,205.44739,1061.30786
76,0.625,215.67253,216.03911,1266.47681,186.80371,270.82724,1074.93164,124.94755,205.46275,1061.81775
77,0.633,215.67253,216.03911,1266.47681,186.80371,270.82724,1074.93164,125.22334,205.48318,1061.33142
78,0.642,215.52466,217.05876,1266.39978,186.86244,270.68976,1074.8418,125.22334,205.48318,1061.33142
79,0.65,215.33745,216.92172,1266.41382,186.61311,270.82574,1074.7583,125.22334,205.48318,1061.33142
80,0.658,215.33745,216.92172,1266.41382,186.30292,270.64673,1074.5354,125.45196,205.51547,1061.23657
81,0.667,215.05702,216.95515,1265.82642,186.30292,270.64673,1074.5354,125.45196,205.51547,1061.23657
82,0.675,214.90016,216.94707,1265.604,186.30292,270.64673,1074.5354,125.45196,205.51547,1061.23657
83,0.683,214.46404,217.06339,1265.54822,186.32646,270.1207,1074.35925,125.73924,205.47131,1061.22192
84,0.692,214.38887,216.92024,1265.45605,186.30292,270.64673,1074.5354,126.0265,205.42728,1061.2074
85,0.7,214.22568,216.94569,1265.46387,186.43639,270.71954,1074.37,125.68134,205.29497,1061.01306
86,0.708,214.22568,216.94569,1265.46387,186.57004,270.53503,1074.48755,126.0265,205.42728,1061.2074
87,0.717,214.22568,216.94569,1265.46387,186.82224,270.78668,1074.53308,126.0265,205.42728,1061.2074
88,0.725,214.22568,216.94569,1265.46387,186.82224,270.78668,1074.53308,125.73924,205.47131,1061.22192
89,0.733,214.38922,216.90205,1265.48474,186.78207,270.30927,1074.69116,125.73924,205.47131,1061.22192
90,0.742,215.08589,215.87444,1265.56726,186.97273,270.31076,1074.86462,125.73924,205.47131,1061.22192
91,0.75,215.23332,215.89035,1265.82178,186.86244,270.68976,1074.8418,125.73334,205.84459,1061.21912
92,0.758,215.57216,215.63194,1266.36292,186.86244,270.68976,1074.8418,125.73334,205.84459,1061.21912
93,0.767,215.57216,215.63194,1266.36292,186.66193,270.74951,1075.11401,124.66613,205.66428,1061.92029
94,0.775,215.57216,215.63194,1266.36292,186.6032,270.88696,1075.20398,124.66613,205.66428,1061.92029
95,0.783,215.75369,215.81154,1266.34363,186.6032,270.88696,1075.20398,124.66613,205.66428,1061.92029
96,0.792,215.68175,216.03651,1266.47742,186.5587,270.83447,1075.28394,124.66613,205.66428,1061.92029
97,0.8,215.491,215.85951,1266.49609,186.51863,270.35703,1075.44226,124.66613,205.66428,1061.92029
98,0.808,215.491,215.85951,1266.49609,186.51863,270.35703,1075.44226,124.66613,205.66428,1061.92029
99,0.817,215.491,215.85951,1266.49609,186.28098,271.05753,1074.82373,124.66613,205.66428,1061.92029
100,0.825,215.16411,216.99699,1266.56421,186.28098,271.05753,1074.82373,125.22334,205.48318,1061.33142
101,0.833,214.90422,217.53755,1266.44897,186.33247,271.30676,1074.75659,125.45196,205.51547,1061.23657
102,0.842,214.53255,217.63152,1266.14636,186.28098,271.05753,1074.82373,125.73924,205.47131,1061.22192
103,0.85,214.24756,217.69389,1265.94983,186.48285,271.40518,1074.62134,125.73924,205.47131,1061.22192
104,0.858,214.26714,217.52231,1265.72815,186.68132,271.35788,1074.43823,126.30788,205.75635,1061.18994
105,0.867,214.26714,217.52231,1265.72815,186.68132,271.35788,1074.43823,126.02062,205.8004,1061.20459
106,0.875,214.03473,217.27298,1265.2218,186.7424,271.09146,1074.3407,126.02062,205.8004,1061.20459
107,0.883,214.32536,217.10359,1265.20862,186.7424,271.09146,1074.3407,126.02062,205.8004,1061.20459
108,0.892,214.62083,217.08951,1265.45459,186.68858,270.97116,1074.41553,126.02062,205.8004,1061.20459
109,0.9,214.93198,217.02722,1265.46167,186.68132,271.35788,1074.43823,126.02062,205.8004,1061.20459
110,0.908,214.93198,217.02722,1265.46167,186.7424,271.09146,1074.3407,125.73334,205.84459,1061.21912
111,0.917,215.08174,216.00687,1265.48364,186.82047,271.11017,1074.67883,125.73334,205.84459,1061.21912
112,0.925,215.57216,215.63194,1266.36292,187.00558,271.1749,1074.72925,125.50471,205.81233,1061.31409
113,0.933,215.57216,215.63194,1266.36292,186.6032,270.88696,1075.20398,125.73334,205.84459,1061.21912
114,0.942,215.40503,216.74591,1266.30066,186.46614,271.12225,1074.87415,125.22334,205.48318,1061.33142
115,0.95,215.59224,216.88293,1266.28662,186.28098,271.05753,1074.82373,124.87243,205.58105,1061.54077
116,0.958,215.75369,215.81154,1266.34363,186.28098,271.05753,1074.82373,124.87243,205.58105,1061.54077
117,0.967,215.75369,215.81154,1266.34363,186.28098,271.05753,1074.82373,124.87243,205.58105,1061.54077
118,0.975,215.33745,216.92172,1266.41382,186.28098,271.05753,1074.82373,125.22334,205.48318,1061.33142
119,0.983,215.33745,216.92172,1266.41382,186.09721,271.08081,1074.74121,125.45196,205.51547,1061.23657
120,0.992,214.60838,217.65273,1266.33191,186.28098,271.05753,1074.82373,125.45196,205.51547,1061.23657
121,1,214.68324,217.42517,1265.93518,186.33247,271.30676,1074.75659,125.45196,205.51547,1061.23657
122,1.008,214.86986,217.53906,1266.10315,186.33247,271.30676,1074.75659,125.73334,205.84459,1061.21912
123,1.017,215.21396,217.68413,1266.3114,186.72153,271.26099,1074.74695,125.73334,205.84459,1061.21912
124,1.025,215.21396,217.68413,1266.3114,186.68132,271.35788,1074.43823,126.02062,205.8004,1061.20459
125,1.033,215.21396,217.68413,1266.3114,186.72153,271.26099,1074.74695,125.73334,205.84459,1061.21912
126,1.042,215.51547,216.89883,1266.27124,187.10332,271.24939,1074.9032,125.73334,205.84459,1061.21912
127,1.05,215.59224,216.88293,1266.28662,187.25702,271.68506,1074.90173,126.02062,205.8004,1061.20459
128,1.058,216.13045,215.95258,1266.24963,187.25702,271.68506,1074.90173,125.73334,205.84459,1061.21912
129,1.067,216.13045,215.95258,1266.24963,186.92288,271.92923,1075.05627,125.3824,205.94255,1061.42847
130,1.075,216.6377,215.66754,1266.31372,186.97478,272.17841,1074.98914,125.20158,206.61212,1061.8606
131,1.083,216.6377,215.66754,1266.31372,186.97478,272.17841,1074.98914,124.87972,206.70724,1062.10388
132,1.092,216.6377,215.66754,1266.31372,186.97478,272.17841,1074.98914,124.93768,206.8835,1062.31262
133,1.1,216.6377,215.66754,1266.31372,186.68465,272.13358,1075.22949,124.93768,206.8835,1062.31262
134,1.108,216.5229,215.83997,1266.26709,186.62415,272.33417,1075.37732,124.93768,206.8835,1062.31262
135,1.117,215.87961,216.74796,1266.40515,186.56569,272.47162,1075.46729,124.87972,206.70724,1062.10388
136,1.125,215.56407,217.00479,1266.30615,186.56569,272.47162,1075.46729,124.87972,206.70724,1062.10388
137,1.133,215.44682,217.80901,1266.24805,186.56569,272.47162,1075.46729,124.87972,206.70724,1062.10388
138,1.142,215.44682,217.80901,1266.24805,186.56569,272.47162,1075.46729,124.87972,206.70724,1062.10388
139,1.15,215.21396,217.68413,1266.3114,186.56569,272.47162,1075.46729,124.87972,206.70724,1062.10388
140,1.158,215.21396,217.68413,1266.3114,186.45297,272.33032,1075.06104,125.1538,205.91022,1061.52332
141,1.167,215.21396,217.68413,1266.3114,186.83502,272.23203,1075.09424,125.73334,205.84459,1061.21912
142,1.175,215.21396,217.68413,1266.3114,186.97478,272.17841,1074.98914,126.02062,205.8004,1061.20459
143,1.183,215.21396,217.68413,1266.3114,186.97478,272.17841,1074.98914,126.02062,205.8004,1061.20459
144,1.192,215.46651,217.63744,1266.02649,187.15991,272.27032,1074.54016,126.02062,205.8004,1061.20459
145,1.2,215.36745,217.71902,1265.68323,187.15991,272.27032,1074.54016,126.02062,205.8004,1061.20459
146,1.208,215.75003,217.99464,1265.47253,187.30057,272.29794,1074.4873,126.23483,206.0945,1061.20776
147,1.217,216.44145,217.46942,1265.70166,187.30057,272.29794,1074.4873,126.23483,206.0945,1061.20776
148,1.225,216.66629,217.55843,1265.4552,187.30057,272.29794,1074.4873,126.55758,206.35329,1061.30298
149,1.233,217.23256,217.43814,1265.27673,187.30057,272.29794,1074.4873,126.55758,206.35329,1061.30298
150,1.242,217.75974,216.41469,1265.04968,187.30057,272.29794,1074.4873,125.85149,207.20937,1061.72803
151,1.25,218.03017,216.57063,1265.18457,187.30057,272.29794,1074.4873,125.64529,207.29243,1062.1073
152,1.258,218.03017,216.57063,1265.18457,187.30057,272.29794,1074.4873,125.41677,207.26006,1062.20215
153,1.267,217.68451,216.696,1265.28064,186.96939,272.26883,1074.36682,125.17796,207.19731,1062.28162
154,1.275,217.1812,216.83594,1265.12451,186.96939,272.26883,1074.36682,125.09401,207.00131,1062.10706
155,1.283,216.69266,217.51741,1265.57605,186.96939,272.26883,1074.36682,124.87972,206.70724,1062.10388
156,1.292,216.56555,218.19899,1265.63428,186.82455,272.31537,1074.31274,124.9475,205.99341,1061.90283
157,1.3,216.02115,218.28291,1265.39001,186.82455,272.31537,1074.31274,124.9475,205.99341,1061.90283
158,1.308,215.86279,218.11069,1265.38074,186.98424,272.34171,1074.26001,125.73334,205.84459,1061.21912
159,1.317,215.67619,217.99673,1265.21265,186.98091,272.00449,1074.1261,125.73334,205.84459,1061.21912
160,1.325,215.54764,218.048,1265.16919,186.80046,271.7052,1074.1759,125.73334,205.84459,1061.21912
161,1.333,215.48834,218.06512,1265.02368,187.11598,271.4437,1074.14966,126.02062,205.8004,1061.20459
162,1.342,215.68173,218.08881,1264.88086,187.22655,271.14059,1074.13513,126.02062,205.8004,1061.20459
163,1.35,215.87971,217.74591,1264.82874,187.21747,271.06741,1073.93127,126.02062,205.8004,1061.20459
164,1.358,215.99411,217.68759,1264.74658,187.52379,271.3215,1073.93555,126.30788,205.75635,1061.18994
165,1.367,216.60197,217.70268,1264.79309,187.44864,271.26224,1073.85938,126.30788,205.75635,1061.18994
166,1.375,217.48482,217.49988,1264.76746,187.99823,270.74954,1073.7019,126.30788,205.75635,1061.18994
167,1.383,217.7168,217.51556,1264.67432,187.755,271.5163,1073.86353,126.30788,205.75635,1061.18994
168,1.392,218.1548,216.34349,1264.46082,187.755,271.5163,1073.86353,126.02062,205.8004,1061.20459
169,1.4,218.75949,215.82487,1263.85669,187.755,271.5163,1073.86353,126.02062,205.8004,1061.20459
170,1.408,218.98886,215.98247,1263.95056,187.53285,271.39468,1074.13928,126.02062,205.8004,1061.20459
171,1.417,218.95084,216.20662,1264.20789,187.72983,271.55115,1074.04846,126.02062,205.8004,1061.20459
172,1.425,218.97742,216.27997,1264.66235,187.72047,272.06662,1074.07898,126.02062,205.8004,1061.20459
