Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z,R.Ulna.x,R.Ulna.y,R.Ulna.z,R.Radius.x,R.Radius.y,R.Radius.z
1,0,214.32172,-227.08305,930.12616,210.29819,-289.71631,875.75134,226.58463,-236.093,802.5304
2,0.008,214.32172,-227.08305,930.12616,210.06279,-290.00394,875.77875,226.58463,-236.093,802.5304
3,0.017,214.32172,-227.08305,930.12616,210.06279,-290.00394,875.77875,225.91611,-235.98822,802.57471
4,0.025,214.32172,-227.08305,930.12616,210.06279,-290.00394,875.77875,225.91611,-235.98822,802.57471
5,0.033,214.32172,-227.08305,930.12616,209.85255,-290.14301,875.71356,225.91611,-235.98822,802.57471
6,0.042,213.97485,-227.40117,930.28125,209.85255,-290.14301,875.71356,225.8427,-236.74475,802.68445
7,0.05,213.97485,-227.40117,930.28125,209.65372,-290.30887,875.84717,225.8427,-236.74475,802.68445
8,0.058,213.97485,-227.40117,930.28125,209.06902,-290.62726,875.98376,225.8427,-236.74475,802.68445
9,0.067,213.97485,-227.40117,930.28125,208.81114,-290.46817,875.91095,225.91611,-235.98822,802.57471
10,0.075,213.46611,-227.42429,930.18964,208.81114,-290.46817,875.91095,225.91611,-235.98822,802.57471
11,0.083,213.46611,-227.42429,930.18964,208.81114,-290.46817,875.91095,226.1239,-236.16205,802.92871
12,0.092,213.46611,-227.42429,930.18964,208.64705,-290.44168,875.9834,225.8465,-237.00563,802.90149
13,0.1,213.41263,-227.62915,930.44702,208.64705,-290.44168,875.9834,225.56372,-237.58812,802.65704
14,0.108,213.24461,-227.53607,929.98572,208.64705,-290.44168,875.9834,225.20964,-237.76207,802.75537
15,0.117,213.21857,-227.70918,930.23779,208.64705,-290.44168,875.9834,225.20964,-237.76207,802.75537
16,0.125,213.21857,-227.70918,930.23779,208.90491,-290.60077,876.05621,225.20964,-237.76207,802.75537
17,0.133,213.24461,-227.53607,929.98572,209.06902,-290.62726,875.98376,225.28445,-237.00578,802.64569
18,0.142,213.24461,-227.53607,929.98572,209.06902,-290.62726,875.98376,225.28445,-237.00578,802.64569
19,0.15,213.24461,-227.53607,929.98572,209.06902,-290.62726,875.98376,225.20964,-237.76207,802.75537
20,0.158,213.24461,-227.53607,929.98572,209.06902,-290.62726,875.98376,225.20964,-237.76207,802.75537
21,0.167,213.24461,-227.53607,929.98572,209.28452,-290.62314,875.92419,225.29729,-238.26579,802.81842
22,0.175,213.24461,-227.53607,929.98572,209.28452,-290.62314,875.92419,225.29729,-238.26579,802.81842
23,0.183,213.24461,-227.53607,929.98572,209.28452,-290.62314,875.92419,225.29729,-238.26579,802.81842
24,0.192,213.24461,-227.53607,929.98572,209.28452,-290.62314,875.92419,225.29729,-238.26579,802.81842
25,0.2,213.24461,-227.53607,929.98572,209.3848,-291.01733,875.81598,225.65562,-238.64626,802.71014
26,0.208,213.24461,-227.53607,929.98572,209.51164,-290.76559,875.78564,225.65562,-238.64626,802.71014
27,0.217,213.1646,-227.69785,929.78937,209.45132,-291.12848,875.87604,225.65562,-238.64626,802.71014
28,0.225,213.24461,-227.53607,929.98572,209.61186,-291.15973,875.67749,225.65562,-238.64626,802.71014
29,0.233,213.31487,-227.5762,929.94849,209.64856,-291.16727,875.84406,226.03932,-238.94797,803.01282
30,0.242,212.96353,-227.80664,929.63867,209.61186,-291.15973,875.67749,226.71716,-239.54185,803.16052
31,0.25,212.96353,-227.80664,929.63867,209.68448,-291.25604,875.88293,226.48894,-239.37918,803.0426
32,0.258,212.96353,-227.80664,929.63867,209.75629,-291.41797,875.75751,226.49132,-239.34541,803.36615
33,0.267,212.96353,-227.80664,929.63867,209.61186,-291.15973,875.67749,226.49132,-239.34541,803.36615
34,0.275,212.96353,-227.80664,929.63867,209.75629,-291.41797,875.75751,226.49132,-239.34541,803.36615
35,0.283,213.24461,-227.53607,929.98572,210.0087,-291.28131,875.80798,226.02539,-238.92862,802.81207
36,0.292,213.1646,-227.69785,929.78937,210.0087,-291.28131,875.80798,226.53688,-238.85989,803.22198
37,0.3,213.75343,-227.51302,930.07739,210.38708,-291.17242,876.01276,226.53972,-238.70311,803.01593
38,0.308,213.75343,-227.51302,930.07739,210.59306,-291.31845,876.13873,226.53972,-238.70311,803.01593
39,0.317,213.75343,-227.51302,930.07739,210.64423,-291.39612,876.31873,226.53972,-238.70311,803.01593
40,0.325,213.75343,-227.51302,930.07739,210.99649,-291.06021,876.2243,226.53972,-238.70311,803.01593
41,0.333,213.75343,-227.51302,930.07739,210.99649,-291.06021,876.2243,226.90923,-238.98541,803.1178
42,0.342,213.75343,-227.51302,930.07739,210.99649,-291.06021,876.2243,227.65076,-239.08517,803.08844
43,0.35,213.75343,-227.51302,930.07739,210.99649,-291.06021,876.2243,227.20456,-238.96472,803.17761
44,0.358,213.75343,-227.51302,930.07739,211.27724,-290.9758,876.21893,228.09323,-239.02391,803.21405
45,0.367,214.19762,-227.80785,930.60779,210.99649,-291.06021,876.2243,228.09323,-239.02391,803.21405
46,0.375,214.19762,-227.80785,930.60779,210.99649,-291.06021,876.2243,228.81291,-239.42218,803.75061
47,0.383,214.19762,-227.80785,930.60779,210.99649,-291.06021,876.2243,229.47775,-239.40601,803.84943
48,0.392,214.19762,-227.80785,930.60779,211.42943,-291.42551,876.41449,229.47775,-239.40601,803.84943
49,0.4,214.19762,-227.80785,930.60779,211.42943,-291.42551,876.41449,229.47775,-239.40601,803.84943
50,0.408,214.19762,-227.80785,930.60779,211.31264,-291.60309,876.54187,229.47775,-239.40601,803.84943
51,0.417,214.14403,-228.01266,930.86511,211.31264,-291.60309,876.54187,229.47775,-239.40601,803.84943
52,0.425,214.14403,-228.01266,930.86511,211.45883,-291.73047,876.716,229.54671,-239.42432,804.05243
53,0.433,214.14403,-228.01266,930.86511,211.31264,-291.60309,876.54187,229.54671,-239.42432,804.05243
54,0.442,214.38133,-228.16585,930.71924,211.45883,-291.73047,876.716,229.54671,-239.42432,804.05243
55,0.45,214.14403,-228.01266,930.86511,211.83548,-292.32706,876.72839,229.54671,-239.42432,804.05243
56,0.458,214.38133,-228.16585,930.71924,211.64728,-292.0285,876.72211,229.54671,-239.42432,804.05243
57,0.467,214.38133,-228.16585,930.71924,211.83548,-292.32706,876.72839,229.54671,-239.42432,804.05243
58,0.475,214.38133,-228.16585,930.71924,211.83548,-292.32706,876.72839,229.54671,-239.42432,804.05243
59,0.483,214.38133,-228.16585,930.71924,212.00356,-292.35754,876.86816,229.54671,-239.42432,804.05243
60,0.492,214.23193,-228.09077,931.15674,212.00356,-292.35754,876.86816,229.62184,-238.66698,803.94263
61,0.5,214.23193,-228.09077,931.15674,212.00356,-292.35754,876.86816,229.62184,-238.66698,803.94263
62,0.508,214.23193,-228.09077,931.15674,212.00356,-292.35754,876.86816,229.54671,-239.42432,804.05243
63,0.517,214.23193,-228.09077,931.15674,212.00356,-292.35754,876.86816,229.54671,-239.42432,804.05243
64,0.525,214.23193,-228.09077,931.15674,211.93416,-292.16852,876.91052,229.54671,-239.42432,804.05243
65,0.533,214.23193,-228.09077,931.15674,212.00356,-292.35754,876.86816,229.62184,-238.66698,803.94263
66,0.542,214.23193,-228.09077,931.15674,212.00356,-292.35754,876.86816,229.62184,-238.66698,803.94263
67,0.55,214.23193,-228.09077,931.15674,212.00356,-292.35754,876.86816,229.89293,-239.52133,804.46576
68,0.558,214.23193,-228.09077,931.15674,212.00356,-292.35754,876.86816,229.89293,-239.52133,804.46576
69,0.567,214.23193,-228.09077,931.15674,212.00356,-292.35754,876.86816,229.86859,-239.66029,804.5791
70,0.575,214.23193,-228.09077,931.15674,211.80473,-292.52328,877.00165,229.86859,-239.66029,804.5791
71,0.583,214.23193,-228.09077,931.15674,211.80473,-292.52328,877.00165,229.86859,-239.66029,804.5791
72,0.592,214.46922,-228.24397,931.01086,211.80473,-292.52328,877.00165,229.75829,-239.73964,804.77606
73,0.6,214.46922,-228.24397,931.01086,211.80473,-292.52328,877.00165,229.86859,-239.66029,804.5791
74,0.608,214.23184,-228.72289,930.87732,211.52409,-292.6077,877.00702,229.86859,-239.66029,804.5791
75,0.617,214.23184,-228.72289,930.87732,211.52409,-292.6077,877.00702,229.86859,-239.66029,804.5791
76,0.625,214.23184,-228.72289,930.87732,211.52409,-292.6077,877.00702,229.75829,-239.73964,804.77606
77,0.633,214.48256,-228.42212,930.80792,211.52409,-292.6077,877.00702,229.75829,-239.73964,804.77606
78,0.642,213.96251,-228.57315,931.01495,211.52409,-292.6077,877.00702,229.20386,-239.67654,804.48035
79,0.65,213.96251,-228.57315,931.01495,211.52409,-292.6077,877.00702,229.09357,-239.75587,804.67731
80,0.658,213.96251,-228.57315,931.01495,211.52409,-292.6077,877.00702,229.09357,-239.75587,804.67731
81,0.667,213.98122,-228.3916,931.22614,211.52409,-292.6077,877.00702,228.73991,-239.92982,804.7757
82,0.675,213.96251,-228.57315,931.01495,211.52409,-292.6077,877.00702,228.73991,-239.92982,804.7757
83,0.683,213.98122,-228.3916,931.22614,211.52409,-292.6077,877.00702,228.99834,-240.17242,804.97552
84,0.692,213.98122,-228.3916,931.22614,211.45689,-292.79144,877.11316,228.99834,-240.17242,804.97552
85,0.7,213.98122,-228.3916,931.22614,211.52409,-292.6077,877.00702,228.99834,-240.17242,804.97552
86,0.708,213.98122,-228.3916,931.22614,211.45689,-292.79144,877.11316,228.99834,-240.17242,804.97552
87,0.717,213.56917,-228.86717,931.30658,211.45689,-292.79144,877.11316,228.99834,-240.17242,804.97552
88,0.725,213.56917,-228.86717,931.30658,211.45689,-292.79144,877.11316,228.99834,-240.17242,804.97552
89,0.733,213.56917,-228.86717,931.30658,211.57222,-293.05786,877.43872,228.99834,-240.17242,804.97552
90,0.742,213.06059,-228.89024,931.21509,211.57222,-293.05786,877.43872,228.99834,-240.17242,804.97552
91,0.75,213.19513,-229.25299,931.68127,211.18135,-293.25946,877.12903,228.99834,-240.17242,804.97552
92,0.758,212.53917,-229.16653,931.52167,211.18135,-293.25946,877.12903,228.99834,-240.17242,804.97552
93,0.767,213.02275,-229.6127,931.68488,210.95874,-293.5145,877.18634,228.55316,-240.0824,805.02893
94,0.775,212.94284,-229.77437,931.48871,211.07408,-293.78091,877.51196,228.99834,-240.17242,804.97552
95,0.783,212.94284,-229.77437,931.48871,211.05467,-294.0842,877.50555,228.99834,-240.17242,804.97552
96,0.792,212.94284,-229.77437,931.48871,210.93936,-293.81775,877.17993,228.85059,-240.32379,804.92529
97,0.8,212.29617,-229.47319,930.76996,210.93936,-293.81775,877.17993,228.36761,-240.30905,804.70605
98,0.808,212.29617,-229.47319,930.76996,210.93936,-293.81775,877.17993,228.57813,-240.39253,804.58557
99,0.817,212.49718,-229.36452,930.92053,210.93936,-293.81775,877.17993,228.57813,-240.39253,804.58557
100,0.825,212.49718,-229.36452,930.92053,210.95874,-293.5145,877.18634,228.136,-240.45387,804.46014
101,0.833,213.00299,-228.80823,930.64008,211.24675,-292.93048,877.04803,228.136,-240.45387,804.46014
102,0.842,213.00299,-228.80823,930.64008,211.31393,-292.74677,876.94189,228.28384,-240.30255,804.51044
103,0.85,213.00299,-228.80823,930.64008,211.24675,-292.93048,877.04803,228.28384,-240.30255,804.51044
104,0.858,213.08295,-228.64653,930.83636,211.24675,-292.93048,877.04803,228.02518,-240.05988,804.31049
105,0.867,213.08295,-228.64653,930.83636,211.52409,-292.6077,877.00702,228.02518,-240.05988,804.31049
106,0.875,213.08295,-228.64653,930.83636,211.52409,-292.6077,877.00702,228.46739,-239.99855,804.43591
107,0.883,213.08295,-228.64653,930.83636,211.31393,-292.74677,876.94189,228.02203,-239.90845,804.48926
108,0.892,213.07042,-228.54359,930.63666,211.356,-292.57721,876.86725,228.02203,-239.90845,804.48926
109,0.9,213.07042,-228.54359,930.63666,210.95764,-292.41772,876.79584,228.46739,-239.99855,804.43591
110,0.908,213.07042,-228.54359,930.63666,211.1678,-292.27866,876.86096,228.02203,-239.90845,804.48926
111,0.917,213.08295,-228.64653,930.83636,210.95764,-292.41772,876.79584,228.22563,-239.82146,804.6261
112,0.925,213.08295,-228.64653,930.83636,210.62299,-291.9924,876.61566,228.29463,-239.83974,804.82904
113,0.933,213.08295,-228.64653,930.83636,210.62299,-291.9924,876.61566,228.30205,-239.56879,804.3175
114,0.942,213.07042,-228.54359,930.63666,210.62299,-291.9924,876.61566,228.30205,-239.56879,804.3175
115,0.95,213.07042,-228.54359,930.63666,210.62299,-291.9924,876.61566,228.30205,-239.56879,804.3175
116,0.958,213.07042,-228.54359,930.63666,210.47067,-291.54266,876.42004,228.30205,-239.56879,804.3175
117,0.967,213.07042,-228.54359,930.63666,210.47067,-291.54266,876.42004,228.43665,-239.35043,804.00708
118,0.975,213.07042,-228.54359,930.63666,210.47067,-291.54266,876.42004,228.43665,-239.35043,804.00708
119,0.983,213.07042,-228.54359,930.63666,210.47067,-291.54266,876.42004,228.07918,-238.97018,804.11548
120,0.992,213.44148,-228.11591,930.56439,210.28616,-291.41522,876.31958,228.15404,-238.21318,804.00574
121,1,213.44148,-228.11591,930.56439,210.11797,-291.3851,876.17999,228.06686,-237.70918,803.94269
122,1.008,213.21857,-227.70918,930.23779,209.901,-291.03061,875.89453,227.7715,-236.67021,803.7312
123,1.017,213.21857,-227.70918,930.23779,210.01103,-290.49744,876.06793,227.30832,-236.22021,803.50085
124,1.025,213.01448,-227.56302,930.47247,210.32668,-290.15393,875.80682,227.20119,-236.09422,803.5744
125,1.033,213.01448,-227.56302,930.47247,210.32668,-290.15393,875.80682,227.20119,-236.09422,803.5744
126,1.042,213.41263,-227.62915,930.44702,210.32668,-290.15393,875.80682,227.20119,-236.09422,803.5744
127,1.05,213.01448,-227.56302,930.47247,210.06279,-290.00394,875.77875,227.20119,-236.09422,803.5744
128,1.058,213.01448,-227.56302,930.47247,210.06279,-290.00394,875.77875,227.20119,-236.09422,803.5744
129,1.067,213.01448,-227.56302,930.47247,210.06279,-290.00394,875.77875,227.20119,-236.09422,803.5744
130,1.075,213.06795,-227.35815,930.21503,210.06279,-290.00394,875.77875,227.55678,-235.5592,803.60126
131,1.083,213.01448,-227.56302,930.47247,210.06279,-290.00394,875.77875,227.1132,-235.59038,803.51147
132,1.092,213.01448,-227.56302,930.47247,209.71609,-289.60577,875.5321,227.1132,-235.59038,803.51147
133,1.1,213.01448,-227.56302,930.47247,209.50584,-289.74484,875.46692,226.66394,-235.53403,803.24146
134,1.108,213.06795,-227.35815,930.21503,209.50584,-289.74484,875.46692,227.1132,-235.59038,803.51147
135,1.117,213.06795,-227.35815,930.21503,209.50584,-289.74484,875.46692,227.1132,-235.59038,803.51147
136,1.125,213.06795,-227.35815,930.21503,209.74121,-289.45724,875.43951,226.80267,-235.31291,803.14227
137,1.133,213.06795,-227.35815,930.21503,209.74121,-289.45724,875.43951,226.90256,-235.45041,802.83417
138,1.142,213.06795,-227.35815,930.21503,209.45215,-289.75626,875.29596,226.1044,-234.95906,802.78162
139,1.15,213.06795,-227.35815,930.21503,209.87961,-289.35712,875.35358,226.20424,-235.09656,802.47339
140,1.158,213.06795,-227.35815,930.21503,210.05733,-289.11395,875.58722,226.27365,-235.11502,802.67676
141,1.167,213.06795,-227.35815,930.21503,210.21266,-289.00098,875.46094,226.30452,-234.98199,802.30548
142,1.175,212.6727,-226.8076,930.05737,210.21669,-288.93951,875.23187,226.74782,-234.92056,802.43127
