Frame#,Time,R.Wrist.x,R.Wrist.y,R.Wrist.z,R.Thumb.M1.x,R.Thumb.M1.y,R.Thumb.M1.z,R.Thumb.M2.x,R.Thumb.M2.y,R.Thumb.M2.z,R.Thumb.M3.x,R.Thumb.M3.y,R.Thumb.M3.z,R.Finger3.M1.x,R.Finger3.M1.y,R.Finger3.M1.z,R.Finger3.M2.x,R.Finger3.M2.y,R.Finger3.M2.z,R.Finger3.M3.x,R.Finger3.M3.y,R.Finger3.M3.z
1,0,238.29054,-290.52365,761.01849,224.64557,-234.12163,758.17578,227.11945,-216.33875,726.88953,240.07541,-208.09331,685.09979,239.39145,-300.65591,691.81366,226.23601,-298.41345,650.37964,214.01654,-294.73196,611.03052
2,0.008,238.02298,-290.54648,760.85699,224.51665,-233.9384,758.54474,227.11945,-216.33875,726.88953,240.07541,-208.09331,685.09979,239.24644,-300.58392,692.00067,226.17847,-298.22186,650.51788,214.01654,-294.73196,611.03052
3,0.017,237.63773,-290.42075,760.83667,224.51665,-233.9384,758.54474,227.63751,-216.33282,727.20264,240.07541,-208.09331,685.09979,238.64902,-300.37329,691.75153,226.17847,-298.22186,650.51788,213.82516,-294.90604,611.13477
4,0.025,237.63773,-290.42075,760.83667,224.51665,-233.9384,758.54474,227.11945,-216.33875,726.88953,240.07541,-208.09331,685.09979,238.45219,-300.44046,691.97205,226.17847,-298.22186,650.51788,213.60176,-294.81104,611.24847
5,0.033,237.63773,-290.42075,760.83667,224.39363,-234.21416,758.31335,227.11945,-216.33875,726.88953,239.48088,-208.68405,685.02203,238.05315,-300.09415,691.94611,226.17847,-298.22186,650.51788,213.60176,-294.81104,611.24847
6,0.042,237.32724,-290.31461,760.70172,224.30128,-234.74974,758.57172,227.46184,-216.49962,727.33569,239.48088,-208.68405,685.02203,237.40749,-300.50607,692.04199,226.17847,-298.22186,650.51788,213.16891,-294.53812,611.15656
7,0.05,237.18156,-290.59512,761.01526,224.30128,-234.74974,758.57172,227.41307,-216.81247,727.336,239.72891,-208.99846,684.90936,237.74222,-300.42645,692.05316,226.17847,-298.22186,650.51788,213.44212,-294.71115,611.35028
8,0.058,237.18156,-290.59512,761.01526,224.57445,-234.98741,758.94482,227.41307,-216.81247,727.336,239.72891,-208.99846,684.90936,237.14191,-301.1134,691.91364,225.82887,-298.74597,650.63293,213.16891,-294.53812,611.15656
9,0.067,237.18156,-290.59512,761.01526,224.57445,-234.98741,758.94482,227.41307,-216.81247,727.336,239.72891,-208.99846,684.90936,236.65849,-301.12546,692.02905,226.08377,-298.3775,650.66016,213.16891,-294.53812,611.15656
10,0.075,237.18156,-290.59512,761.01526,224.66676,-234.45175,758.68646,227.41307,-216.81247,727.336,239.72891,-208.99846,684.90936,236.65849,-301.12546,692.02905,226.08377,-298.3775,650.66016,213.0089,-294.64792,611.28656
11,0.083,237.09756,-290.57706,761.23279,224.57445,-234.98741,758.94482,227.41307,-216.81247,727.336,239.57281,-209.32597,685.04901,236.65849,-301.12546,692.02905,225.82887,-298.74597,650.63293,212.99008,-294.64661,611.52911
12,0.092,237.18156,-290.59512,761.01526,224.57445,-234.98741,758.94482,227.63136,-217.42494,727.82312,238.84175,-210.29991,685.04724,236.45248,-301.05508,692.14362,225.6118,-298.9621,650.72803,212.99008,-294.64661,611.52911
13,0.1,237.18156,-290.59512,761.01526,224.57445,-234.98741,758.94482,227.48209,-217.75214,727.96338,238.84175,-210.29991,685.04724,236.45248,-301.05508,692.14362,225.6118,-298.9621,650.72803,212.754,-294.84042,611.41455
14,0.108,236.606,-290.98248,761.32452,224.18193,-234.91759,759.0686,226.77446,-217.8644,727.54596,238.84175,-210.29991,685.04724,236.45248,-301.05508,692.14362,225.6118,-298.9621,650.72803,212.55177,-295.09195,611.44482
15,0.117,236.606,-290.98248,761.32452,224.18193,-234.91759,759.0686,226.17453,-217.75787,727.37927,237.97072,-210.55789,685.0152,236.73256,-300.85721,692.49414,225.08694,-299.29996,650.90802,212.04253,-295.54938,611.38574
16,0.125,236.68996,-291.00061,761.10706,223.69128,-234.66225,758.85431,226.02515,-218.08514,727.51959,237.44421,-210.53238,685.15619,236.73256,-300.85721,692.49414,225.01796,-299.47812,650.75256,211.91769,-295.73611,611.51221
17,0.133,237.18156,-290.59512,761.01526,223.69128,-234.66225,758.85431,225.46115,-218.46965,727.13239,236.57289,-210.79054,685.12421,236.45168,-301.02814,692.40118,225.01796,-299.47812,650.75256,211.02673,-296.13495,611.41388
18,0.142,236.87024,-290.74545,761.20837,223.69128,-234.66225,758.85431,223.67744,-218.16618,726.82129,236.57289,-210.79054,685.12421,236.63719,-301.13129,692.28998,224.20287,-298.98621,650.97424,210.7305,-295.9541,611.36267
19,0.15,236.29379,-291.45154,761.06567,223.76721,-234.94926,758.92371,223.67744,-218.16618,726.82129,236.57289,-210.79054,685.12421,236.3942,-301.16556,692.10828,224.20287,-298.98621,650.97424,210.7305,-295.9541,611.36267
20,0.158,236.72511,-291.34906,761.09613,223.69128,-234.66225,758.85431,223.67744,-218.16618,726.82129,235.88947,-210.69484,684.70374,236.11989,-301.40936,691.95599,225.16382,-299.18109,650.67273,211.29584,-296.34116,612.43378
21,0.167,236.72511,-291.34906,761.09613,223.76721,-234.94926,758.92371,223.64682,-218.46387,727.42004,235.88947,-210.69484,684.70374,236.30539,-301.51245,691.84479,224.78908,-299.44174,650.4635,210.27142,-296.57892,611.37262
22,0.175,236.60419,-291.55759,761.2005,224.25772,-235.20457,759.13794,223.25874,-219.09819,727.71857,235.88947,-210.69484,684.70374,236.14844,-301.67062,691.73883,224.78908,-299.44174,650.4635,209.62868,-296.59494,611.67096
23,0.183,236.72511,-291.34906,761.09613,224.25772,-235.20457,759.13794,223.25874,-219.09819,727.71857,235.88947,-210.69484,684.70374,236.14844,-301.67062,691.73883,224.61491,-299.67282,650.53235,209.62868,-296.59494,611.67096
24,0.192,236.60419,-291.55759,761.2005,224.25772,-235.20457,759.13794,223.25874,-219.09819,727.71857,235.88947,-210.69484,684.70374,236.14844,-301.67062,691.73883,224.61491,-299.67282,650.53235,209.6291,-296.58279,611.68475
25,0.2,236.60419,-291.55759,761.2005,224.25772,-235.20457,759.13794,223.64682,-218.46387,727.42004,235.88947,-210.69484,684.70374,236.36913,-301.76715,691.62433,224.78908,-299.44174,650.4635,209.6291,-296.58279,611.68475
26,0.208,237.17279,-292.14359,761.40344,224.65022,-235.27438,759.01416,224.64722,-218.59206,727.27612,236.57289,-210.79054,685.12421,236.45013,-301.80222,691.46118,224.78908,-299.44174,650.4635,209.97878,-296.11258,611.52484
27,0.217,237.17279,-292.14359,761.40344,224.65022,-235.27438,759.01416,224.64722,-218.59206,727.27612,236.57289,-210.79054,685.12421,236.69495,-301.94852,691.42896,224.31737,-299.55356,650.44794,209.97878,-296.11258,611.52484
28,0.225,237.17279,-292.14359,761.40344,224.65022,-235.27438,759.01416,225.07281,-219.10429,727.43109,236.57289,-210.79054,685.12421,237.35796,-303.28958,691.57269,224.93687,-299.79755,650.47333,210.31561,-296.44333,611.31635
29,0.233,237.44023,-292.1207,761.56476,224.65022,-235.27438,759.01416,225.07281,-219.10429,727.43109,237.72664,-210.77356,684.79968,237.51889,-303.39856,691.43945,225.26265,-300.00003,650.5553,210.51782,-296.19189,611.28607
30,0.242,237.25929,-292.3125,761.72772,224.65022,-235.27438,759.01416,225.07281,-219.10429,727.43109,237.72664,-210.77356,684.79968,237.92595,-303.2829,691.70673,224.93837,-300.06534,650.55396,210.81404,-296.37271,611.33734
31,0.25,237.44023,-292.1207,761.56476,224.65022,-235.27438,759.01416,225.07281,-219.10429,727.43109,237.72664,-210.77356,684.79968,238.45764,-303.547,691.91949,224.93837,-300.06534,650.55396,211.02673,-296.13495,611.41388
32,0.258,238.11507,-292.32062,761.49719,224.65022,-235.27438,759.01416,225.07281,-219.10429,727.43109,237.72664,-210.77356,684.79968,238.76213,-303.13391,692.18793,224.93837,-300.06534,650.55396,211.65771,-296.22855,611.37598
