Frame#,Time,L.Shank.x,L.Shank.y,L.Shank.z,L.Ankle.x,L.Ankle.y,L.Ankle.z,L.Ankle.Medial.x,L.Ankle.Medial.y,L.Ankle.Medial.z
1,0,2012.08057,3.94925,279.04996,2095.39185,-5.53684,55.09605,2082.521,80.11801,67.79153
2,0.008,2010.29944,4.15426,278.63617,2095.18506,-5.47851,56.72206,2079.9834,78.54311,69.14904
3,0.017,2007.95947,4.977,278.47714,2095.07593,-5.37643,57.41925,2081.13086,80.00623,69.84828
4,0.025,2006.35864,5.76364,278.43173,2094.65601,-5.31805,57.61525,2080.53589,79.92728,70.42582
5,0.033,2005.58667,5.60626,278.51572,2094.22607,-5.33352,58.43616,2081.08691,80.45709,69.8714
6,0.042,2004.45496,5.75191,278.4263,2093.72656,-5.39944,58.59155,2078.81177,79.27438,70.74085
7,0.05,2002.49927,6.65777,279.40521,2094.15381,-5.25345,59.04035,2078.19434,79.7412,70.79942
8,0.058,2000.698,5.95375,279.14978,2094.02539,-5.20233,60.94855,2078.62793,80.29202,71.87216
9,0.067,2000.28674,7.79624,279.509,2093.83911,-5.12485,61.09747,2077.7771,81.13394,74.30532
10,0.075,1997.74951,7.07473,279.16837,2094.53638,-5.32514,62.22441,2077.45215,79.95551,73.14802
11,0.083,1994.9812,5.86716,279.03903,2094.18433,-5.30536,62.57071,2076.75732,79.35545,73.38588
12,0.092,1993.20142,6.25627,279.40738,2093.79443,-5.17299,63.1051,2076.89526,81.05843,75.63171
13,0.1,1992.44324,7.11894,279.75989,2093.35278,-5.45574,64.35124,2076.6377,80.95998,76.34869
14,0.108,1989.82361,8.21992,280.15268,2093.42334,-4.79647,65.0982,2075.76221,81.71433,79.02435
15,0.117,1987.52197,8.26983,280.76553,2092.51563,-3.78273,67.03001,2074.93481,81.57423,77.9407
16,0.125,1985.01184,8.65738,281.13266,2092.4541,-3.73011,67.46431,2074.04932,83.11736,78.62691
17,0.133,1984.21423,8.52041,281.24701,2093.15552,-3.87178,68.57995,2073.78149,82.05275,78.11782
18,0.142,1981.60266,8.79153,282.08704,2092.80273,-3.30416,69.3885,2072.81299,82.01012,78.8564
19,0.15,1979.8551,8.83624,282.08502,2092.31104,-3.79128,70.26191,2072.87207,81.12634,79.53227
20,0.158,1976.21387,9.46427,282.03497,2091.55469,-3.22411,72.45428,2071.96997,82.61088,82.61536
21,0.167,1975.19336,9.07796,282.43707,2089.74292,-4.17687,73.70953,2069.58008,81.70869,84.19568
22,0.175,1972.25696,8.69143,283.06638,2089.6687,-3.20576,74.99493,2069.30762,82.0579,84.85504
23,0.183,1969.77588,8.55978,282.73172,2088.86963,-4.00039,75.56934,2067.62842,81.67472,85.61688
24,0.192,1965.7887,9.92276,282.87756,2088.2793,-3.18728,77.43896,2067.94922,81.8889,86.64243
25,0.2,1963.84131,9.41217,282.48184,2087.87549,-3.15446,79.30348,2066.98071,81.56886,87.71503
26,0.208,1960.35242,8.94426,282.69666,2086.88354,-3.6964,80.52451,2066.51489,81.37209,89.12321
27,0.217,1956.70325,8.66047,283.14581,2085.7522,-4.51149,81.15416,2065.50854,79.91878,90.9557
28,0.225,1954.01758,8.05705,281.86807,2084.81616,-4.98938,82.74899,2065.12256,79.57574,92.23087
29,0.233,1950.60266,8.26882,282.49109,2083.87451,-5.45476,83.59097,2063.75586,78.9854,93.33847
30,0.242,1946.20996,8.48572,282.73965,2082.45776,-5.16496,85.23193,2063.08105,78.56666,94.81483
31,0.25,1943.56604,8.23286,282.40625,2081.32446,-6.76064,88.613,2061.06934,77.52929,97.19687
32,0.258,1939.22437,8.63063,282.63452,2080.72974,-7.2487,89.47254,2060.80273,77.25852,98.57928
33,0.267,1934.49133,9.38908,281.93063,2078.57104,-7.30678,90.50082,2059.58032,76.48488,99.74107
34,0.275,1930.48694,9.38431,281.98856,2076.06494,-8.59722,92.77585,2058.4563,76.19342,100.97159
35,0.283,1925.66064,10.00145,282.09933,2075.479,-9.32502,96.444,2056.49146,75.19078,103.98114
36,0.292,1921.97729,9.96645,281.88809,2073.02319,-9.8405,97.65684,2054.21069,73.91319,105.044
37,0.3,1917.62573,12.53045,281.27386,2070.37842,-9.83854,99.34872,2052.47681,74.00001,107.12429
38,0.308,1911.94006,13.36327,281.30313,2068.0603,-10.98849,103.44138,2050.42065,72.70912,109.95174
39,0.317,1905.99939,13.15971,282.25644,2066.54004,-10.7163,106.50053,2047.89233,72.80892,113.73388
40,0.325,1899.17566,14.20224,282.69257,2062.97437,-10.87103,109.62711,2044.36182,71.57352,116.38572
41,0.333,1893.10828,15.07413,283.76746,2059.38867,-11.15351,112.60332,2040.97595,71.29028,118.37216
42,0.342,1885.98254,15.85283,283.84729,2053.48828,-11.98359,117.3341,2035.1521,71.41011,122.03629
43,0.35,1877.90942,16.19389,285.06854,2049.54614,-13.6061,122.11157,2028.79053,69.87369,123.53535
44,0.358,1868.2843,14.87588,285.41806,2045.28369,-14.2247,126.59702,2024.26001,69.38448,127.1452
45,0.367,1859.18994,15.84386,286.37085,2037.96252,-13.05373,130.04803,2017.83105,69.00761,132.09863
46,0.375,1848.79175,14.70419,285.95273,2032.5083,-14.32183,135.37787,2011.08374,69.94746,134.82037
47,0.383,1838.47058,16.60824,286.71457,2025.79932,-14.15907,139.65816,2003.76672,69.7874,138.96617
48,0.392,1828.58899,16.73231,286.19376,2019.91345,-13.88074,146.29587,1998.36584,70.28245,144.65474
49,0.4,1817.24756,18.38586,285.53217,2011.66431,-12.56906,151.89984,1992.61255,68.28355,149.09917
50,0.408,1805.36267,21.30578,286.22269,2004.00354,-15.29642,157.63254,1985.04932,68.96775,154.23203
51,0.417,1796.06445,22.98826,285.89438,1995.40833,-14.10657,163.70366,1975.55859,70.16296,160.96974
52,0.425,1782.78943,24.77877,286.72629,1986.13965,-12.52727,168.21809,1967.55786,70.48248,164.58397
53,0.433,1770.57837,26.22592,287.42111,1976.60571,-11.96122,173.99951,1958.93079,71.65011,170.13173
54,0.442,1758.54785,30.38279,288.31445,1966.08765,-9.83508,178.6788,1948.88477,74.63119,173.87207
55,0.45,1746.9071,32.02588,289.7356,1955.06812,-7.99412,183.60292,1938.63318,76.64462,176.46368
56,0.458,1733.88696,35.62918,290.5177,1945.07275,-6.35702,187.12799,1926.31445,77.91266,177.80605
57,0.467,1719.91187,36.02585,291.90942,1930.56616,-3.98484,190.04848,1914.42639,79.98358,181.21297
58,0.475,1705.15906,38.91175,292.9086,1918.36902,-2.15922,193.24269,1900.20935,80.34279,182.22949
59,0.483,1692.72754,40.72536,293.03778,1904.95715,-0.4784,195.01773,1887.10059,81.7979,182.16646
60,0.492,1678.03198,40.51395,294.07349,1889.63977,1.10152,194.92558,1873.62866,83.53901,183.80637
61,0.5,1662.65137,42.10769,295.67514,1874.86609,3.20265,194.77831,1858.41541,85.82185,183.38402
62,0.508,1646.5282,42.93737,295.64005,1859.67212,5.47613,194.17148,1842.09644,90.26765,183.66383
63,0.517,1631.8446,44.90784,296.91757,1843.13037,7.3987,193.52657,1826.90723,90.84783,181.49574
64,0.525,1618.62549,47.81566,296.26385,1826.67505,8.76484,191.03363,1809.57654,93.42619,180.52225
65,0.533,1602.01196,50.2402,297.05389,1809.45032,13.31858,187.46049,1791.42737,96.08384,179.34404
66,0.542,1586.77515,52.5076,297.74377,1792.42993,14.95034,183.77318,1774.98059,97.99545,175.20735
67,0.55,1571.59888,54.94857,298.23712,1774.60034,16.82287,180.00967,1756.7428,99.46256,171.1037
68,0.558,1555.90771,57.64653,298.63922,1756.76831,19.78088,175.76453,1737.94409,104.39703,168.04947
69,0.567,1540.65662,59.77405,298.64883,1737.34753,22.33743,169.78955,1718.44019,106.74075,162.86913
70,0.575,1524.90186,61.67377,298.90042,1717.55188,24.73385,164.46117,1699.62048,108.3882,157.61847
71,0.583,1509.85071,63.5934,299.01611,1699.38904,26.96451,158.62737,1682.02161,109.8521,152.18201
72,0.592,1495.13696,65.35147,299.26495,1678.31067,29.1851,152.58788,1658.18347,112.17314,147.57832
73,0.6,1479.67957,66.96473,299.55984,1659.58337,31.38409,147.02802,1640.33337,114.63058,142.31848
74,0.608,1464.89575,67.65111,299.61484,1640.77441,33.61969,141.59622,1618.1842,117.26163,135.89308
75,0.617,1449.60632,69.65199,299.89145,1617.91992,34.88605,135.38101,1598.24744,118.87404,130.54608
76,0.625,1434.97095,70.47234,300.32489,1597.49365,37.28849,129.71867,1576.82971,121.70599,126.74637
77,0.633,1420.3501,71.07407,300.24179,1577.04407,39.35,123.37445,1554.62842,123.87718,122.10921
78,0.642,1405.55493,72.66767,298.48746,1556.96753,41.08418,118.21122,1534.29651,124.15313,117.33812
79,0.65,1391.71533,72.84057,299.07455,1534.52405,42.49588,112.38111,1511.53064,128.17538,113.42963
80,0.658,1377.09705,73.68024,300.2038,1512.18445,43.30475,107.09929,1490.72498,128.3763,108.05029
81,0.667,1363.0918,74.04041,301.26587,1491.16711,44.74464,101.68973,1468.67383,129.59204,103.91216
82,0.675,1349.14209,74.17953,300.31253,1469.05981,46.4702,96.32242,1446.88196,131.10194,99.82639
83,0.683,1335.99744,74.80618,300.34256,1446.37415,48.45334,91.86163,1426.41467,130.73969,96.30294
84,0.692,1323.24573,75.20993,301.0177,1425.53821,49.38129,87.11195,1404.21936,133.52023,94.91567
85,0.7,1310.59814,75.07606,301.18088,1403.01843,50.37388,83.65736,1382.14258,134.00717,92.11978
86,0.708,1298.3136,75.74974,301.94992,1383.34375,52.19519,80.53416,1360.48059,134.60471,89.34998
87,0.717,1285.56458,75.95452,302.82684,1362.3811,52.39626,78.21676,1338.27771,135.98906,88.37513
88,0.725,1275.46545,75.3894,303.08359,1341.41638,53.65746,75.12038,1318.84961,137.34184,87.25123
89,0.733,1264.14026,74.13242,303.60153,1322.09241,53.54702,73.3187,1297.38562,137.2818,86.80792
