Frame#,Time,R.Biceps.Lateral.x,R.Biceps.Lateral.y,R.Biceps.Lateral.z,R.Elbow.x,R.Elbow.y,R.Elbow.z,R.Elbow.Medial.x,R.Elbow.Medial.y,R.Elbow.Medial.z
1,0,1995.88611,297.06415,1201.92603,2047.94458,317.31567,1003.22552,2064.39819,243.67142,995.2547
2,0.008,1992.08008,297.62955,1201.75818,2040.53882,317.45874,1002.22571,2061.23657,246.0457,994.75098
3,0.017,1985.84888,296.44672,1201.4469,2037.69275,317.24155,1002.51959,2054.97217,245.25194,994.22687
4,0.025,1981.2655,297.5845,1200.73584,2031.09705,316.40756,1002.56995,2050.64478,245.59509,994.04547
5,0.033,1976.62561,297.28784,1200.38208,2025.38684,316.9325,1001.25525,2046.05383,246.18201,993.92468
6,0.042,1970.61035,297.59726,1199.95435,2023.57214,318.79599,1001.86176,2040.79407,246.45715,993.65887
7,0.05,1964.82886,297.35718,1198.79712,2016.87476,317.41309,1001.12793,2036.07422,247.30154,993.27039
8,0.058,1959.94189,298.26218,1199.17456,2009.53503,316.78958,1000.77637,2031.29333,247.40639,993.06024
9,0.067,1955.02026,299.85284,1198.56421,2007.59485,318.53052,1000.72784,2025.61523,247.35995,993.15845
10,0.075,1949.448,299.54416,1198.1792,2001.38147,318.96454,1000.28107,2019.98755,246.71829,993.50336
11,0.083,1943.54236,300.32852,1198.56226,1997.78967,320.60205,1000.96832,2014.73425,246.9543,993.33765
12,0.092,1938.42017,301.17758,1198.24426,1991.63599,319.6362,1000.3949,2009.29736,247.25616,992.78894
13,0.1,1933.06116,302.31958,1197.8114,1985.56055,319.00366,999.80273,2004.84424,247.98581,992.38538
14,0.108,1927.69775,301.91632,1198.81213,1979.24878,319.58334,999.60651,1998.77661,247.99541,992.58356
15,0.117,1921.66821,302.5224,1198.45923,1976.75488,321.44858,1000.04437,1991.84912,245.60394,992.69739
16,0.125,1916.6676,303.78336,1198.84216,1970.07312,322.3692,999.12006,1986.93835,246.57799,992.45959
17,0.133,1911.85828,305.34317,1197.93713,1963.17627,321.63449,999.09369,1981.20605,247.06161,992.3454
18,0.142,1904.36963,306.09866,1197.7843,1957.66187,321.5611,999.72351,1974.47107,247.08153,992.63513
19,0.15,1897.64343,306.19687,1198.3645,1952.85229,323.92773,999.95264,1968.49414,247.81047,992.78802
20,0.158,1892.56042,307.40988,1198.16589,1946.97571,324.54959,999.52588,1963.40674,248.58961,993.08221
21,0.167,1885.36121,309.40802,1198.13831,1939.98657,326.01871,998.38306,1957.58789,250.04794,992.04218
22,0.175,1878.68091,310.04431,1197.68127,1932.45483,325.0683,998.19714,1951.8064,251.36591,992.56909
23,0.183,1872.00061,310.62589,1196.75659,1928.73169,327.49817,999.13977,1946.3418,253.37082,992.27087
24,0.192,1864.32971,311.3522,1195.5509,1921.6073,329.10828,998.44958,1939.31262,253.85742,991.44543
25,0.2,1856.5144,314.13492,1195.0907,1914.02209,331.06931,998.23651,1932.73547,255.40398,991.46527
26,0.208,1849.07959,314.25992,1195.85364,1906.64172,332.75024,997.99304,1926.50012,256.33954,991.25684
27,0.217,1842.25659,316.29401,1195.08057,1901.56348,335.01279,996.67609,1919.56628,258.81021,990.83179
28,0.225,1834.7467,317.10547,1193.77527,1894.25439,335.1926,997.31445,1913.11951,260.57309,991.15137
29,0.233,1827.7417,318.4805,1193.4696,1887.67358,337.17712,997.07104,1909.26514,266.33185,989.73236
30,0.242,1820.16333,320.5683,1192.32947,1879.94775,339.72885,996.96057,1902.4801,269.09174,989.75861
31,0.25,1812.44983,322.32428,1192.69397,1872.23206,342.13931,996.11389,1896.30481,270.54575,989.448
32,0.258,1805.21606,324.66556,1192.43945,1864.55969,344.34695,995.88428,1888.57104,272.89621,988.22992
33,0.267,1797.5238,325.11172,1190.39417,1858.18982,345.81189,994.45502,1881.71936,274.47632,988.21222
34,0.275,1791.32019,327.39368,1190.43335,1850.61487,348.17294,993.91071,1873.63342,276.08978,987.46283
35,0.283,1784.2738,329.75162,1189.37329,1842.59851,349.46545,993.36035,1866.38733,278.76279,986.30658
36,0.292,1775.60608,331.76227,1189.70154,1836.34265,352.60004,992.93439,1858.64954,281.10498,986.3233
37,0.3,1768.75757,332.62973,1188.93909,1828.94861,354.6546,992.42169,1851.84436,282.81281,984.8053
38,0.308,1760.10596,333.49146,1186.62207,1818.89282,354.92624,991.20813,1843.73547,284.1055,984.23615
39,0.317,1752.05835,336.20596,1186.64136,1808.92151,357.34903,990.67944,1835.69531,286.47641,983.95911
40,0.325,1743.26038,337.20544,1187.06201,1800.62976,358.49142,991.85266,1827.32117,288.00891,984.09399
41,0.333,1735.68811,339.84628,1187.85022,1793.57422,360.43445,992.98462,1819.94849,289.36206,984.53839
42,0.342,1727.73425,340.73862,1188.18982,1785.47131,360.68076,993.37939,1811.21875,289.80231,984.87628
43,0.35,1721.97754,340.53357,1191.42993,1777.53528,362.00589,995.4726,1802.55701,290.44272,987.3252
44,0.358,1714.90918,342.07098,1192.65771,1768.58105,361.28198,997.07574,1793.62134,291.81116,988.81763
45,0.367,1708.05945,343.51062,1195.68079,1761.07825,362.94922,998.38898,1786.08191,292.26166,991.03601
46,0.375,1701.01416,345.12,1197.48389,1753.84729,363.98386,1001.04767,1778.27893,292.83218,992.9118
47,0.383,1693.97961,347.189,1199.89233,1746.92065,366.03085,1002.56897,1770.62292,294.88284,994.86725
48,0.392,1688.40125,348.70001,1203.24304,1739.03625,368.38754,1005.45569,1762.63049,296.69754,996.8877
49,0.4,1680.86755,350.01944,1205.24939,1731.91406,369.31543,1007.8573,1753.27832,296.64026,999.57373
50,0.408,1676.97473,352.27188,1206.79785,1725.23462,371.86783,1008.56348,1746.16528,298.18591,1001.53571
51,0.417,1670.76208,354.43597,1208.09216,1717.85486,374.58624,1008.48413,1739.26709,300.96442,1002.65784
52,0.425,1663.18384,355.07642,1208.92676,1712.16174,377.45963,1010.17499,1734.52161,305.46271,1002.87885
