Frame#,Time,V.Sacral.x,V.Sacral.y,V.Sacral.z,R.ASIS.x,R.ASIS.y,R.ASIS.z,L.ASIS.x,L.ASIS.y,L.ASIS.z
1,0,-1690.83862,-78.24583,948.90033,-1548.56152,-241.05434,953.16284,-1567.61926,97.11494,940.27026
2,0.008,-1685.55505,-78.67167,949.34387,-1542.98596,-243.6714,952.74921,-1560.30823,97.1357,941.56927
3,0.017,-1681.50269,-79.06645,948.90436,-1542.0105,-243.63214,952.45715,-1555.66638,96.22456,942.67163
4,0.025,-1676.49585,-78.33935,949.54401,-1534.81519,-244.56303,951.8949,-1550.35669,95.22449,943.51123
5,0.033,-1671.63525,-78.66527,949.56036,-1530.87524,-244.34892,950.95435,-1544.58093,95.79997,943.32867
6,0.042,-1666.10632,-78.48229,949.73523,-1525.26953,-242.79063,951.32855,-1538.44849,95.53155,943.48309
7,0.05,-1661.19543,-77.90996,949.12457,-1521.43164,-244.95839,950.99524,-1533.02527,95.49929,945.4668
8,0.058,-1656.1438,-77.94257,949.33832,-1515.97754,-244.26225,949.69666,-1528.08875,95.0249,945.51581
9,0.067,-1650.56079,-77.12586,949.24078,-1512.33154,-243.73349,949.40204,-1522.93921,96.65907,945.6239
10,0.075,-1645.81152,-76.44605,949.37488,-1504.17126,-243.94611,949.49182,-1518.43872,96.58921,945.70367
11,0.083,-1640.52795,-76.22323,949.42108,-1501.73096,-244.00305,949.46777,-1512.36011,95.17337,945.37512
12,0.092,-1635.65088,-75.98843,948.94757,-1497.3457,-243.44241,949.01642,-1507.54529,96.07726,947.17474
13,0.1,-1630.55798,-75.1368,948.71887,-1490.45032,-241.60304,948.36993,-1502.07263,96.6433,946.89948
14,0.108,-1624.74817,-75.50464,948.39618,-1486.41992,-243.38741,948.60382,-1496.97717,96.4297,946.51917
15,0.117,-1619.53748,-74.34705,948.37415,-1481.64734,-242.87399,947.25665,-1491.07544,97.17567,945.70239
16,0.125,-1613.75806,-74.31176,947.86963,-1476.25842,-241.47208,946.85449,-1485.37854,98.10779,945.17188
17,0.133,-1608.4303,-73.50163,947.53589,-1469.69519,-242.45313,946.51331,-1481.24072,98.19745,945.28546
18,0.142,-1602.95227,-72.99122,947.0871,-1467.10217,-242.35588,946.67664,-1473.48938,99.2021,945.54089
19,0.15,-1597.54407,-72.69868,946.77515,-1461.33459,-241.22412,945.73065,-1468.53503,98.8493,945.06494
20,0.158,-1591.70435,-72.65839,946.42999,-1456.19995,-239.74927,945.45667,-1463.62598,98.69319,944.32257
21,0.167,-1585.9231,-71.59965,946.21735,-1450.5675,-241.22528,944.46033,-1456.01807,99.40127,942.8161
22,0.175,-1579.71606,-71.25564,945.73602,-1445.1499,-240.77063,943.67419,-1451.67603,99.70683,942.44104
23,0.183,-1574.00732,-70.22541,945.13409,-1435.95776,-240.50926,943.5752,-1444.65247,100.33466,941.61359
24,0.192,-1568.44263,-69.20369,944.74084,-1434.90723,-240.53352,943.92432,-1437.57568,101.2542,940.90149
25,0.2,-1562.54297,-68.35998,944.02893,-1427.81787,-239.11024,940.67365,-1432.44568,102.33816,940.50269
26,0.208,-1556.32275,-67.03682,942.79877,-1423.78369,-237.96396,941.01813,-1426.38904,103.62496,939.55707
27,0.217,-1549.67017,-65.76536,942.52484,-1420.31335,-237.44913,940.8028,-1420.12805,102.30209,938.53632
28,0.225,-1543.81226,-65.19094,942.0329,-1411.42798,-236.9836,939.74524,-1412.31287,104.45605,938.35193
29,0.233,-1537.42407,-63.81985,941.76654,-1405.56836,-236.16661,939.69977,-1406.10718,104.135,937.86182
30,0.242,-1531.33447,-62.21412,940.73627,-1396.30847,-236.81227,940.35474,-1398.46997,104.22406,936.74292
31,0.25,-1525.02808,-61.71775,940.4671,-1391.27344,-235.51442,938.74451,-1392.41626,105.27702,935.315
32,0.258,-1517.96191,-60.41254,939.96674,-1388.41968,-235.55872,938.46069,-1383.38379,107.13158,935.18268
33,0.267,-1511.9071,-58.3875,940.06903,-1380.23645,-233.48007,937.23969,-1378.37659,107.36852,934.53253
34,0.275,-1505.08911,-57.00347,939.65491,-1377.53479,-231.77428,937.62408,-1370.80164,109.7888,934.68713
35,0.283,-1499.17969,-56.36852,939.20953,-1370.63562,-230.41568,937.28308,-1363.8811,111.92513,933.76489
36,0.292,-1492.2887,-53.81485,940.01208,-1365.72363,-229.40813,938.32794,-1356.57727,113.3475,933.95337
37,0.3,-1486.24084,-52.65283,940.77692,-1355.32983,-228.78963,938.84784,-1348.84399,114.54762,933.28534
38,0.308,-1479.42688,-50.97404,942.38458,-1351.09753,-227.25938,939.4834,-1341.42285,115.90347,934.74603
39,0.317,-1473.24976,-49.73149,943.12701,-1344.52209,-226.46577,939.12213,-1334.7373,116.42033,935.77667
40,0.325,-1465.63843,-48.83428,944.54022,-1340.02002,-224.08232,939.66577,-1326.92603,117.07518,936.99274
41,0.333,-1460.20984,-47.48132,945.91443,-1328.97449,-222.5493,941.42914,-1320.90381,118.08145,938.10889
42,0.342,-1453.13086,-46.56382,947.24615,-1323.07849,-223.24789,942.95306,-1314.05005,118.62385,940.9975
43,0.35,-1446.69507,-45.71778,948.60193,-1316.27661,-221.3799,944.95184,-1307.92151,119.7812,941.88641
44,0.358,-1440.01343,-45.4241,950.4458,-1310.23792,-220.09671,944.93542,-1301.16223,120.43872,943.16559
45,0.367,-1433.83948,-44.48784,951.8114,-1304.45544,-218.07028,946.00018,-1294.4021,120.75097,944.73206
46,0.375,-1428.35828,-42.79136,951.96552,-1299.00085,-216.10866,945.42139,-1289.37341,121.8479,945.84576
47,0.383,-1421.53589,-41.71751,952.96619,-1295.17407,-215.31879,948.39191,-1284.05591,123.4199,946.65057
48,0.392,-1416.45813,-40.56239,953.92291,-1289.44604,-212.869,947.5528,-1278.73462,124.85885,947.28259
49,0.4,-1410.17725,-39.34708,953.62158,-1287.19006,-212.24794,948.04681,-1273.35571,125.74678,947.13025
50,0.408,-1405.10083,-38.4348,954.18591,-1276.70837,-211.91411,947.99158,-1267.18506,127.01833,948.49249
51,0.417,-1399.80176,-36.9547,954.03064,-1272.36499,-210.51978,948.01184,-1261.71704,128.05171,947.13763
52,0.425,-1394.39612,-36.09462,953.60675,-1267.28174,-209.40627,947.22845,-1256.02454,129.45447,947.52051
53,0.433,-1389.15649,-35.6062,953.1662,-1262.10132,-208.79099,946.58813,-1248.89465,128.75516,947.81506
54,0.442,-1384.69666,-34.44899,952.38733,-1258.39221,-207.50464,946.03522,-1242.97754,129.4296,947.89935
55,0.45,-1380.0813,-32.8131,952.12378,-1252.50806,-206.50179,945.63586,-1237.27881,130.2067,948.66821
56,0.458,-1374.59802,-32.40984,951.79938,-1245.64185,-208.55313,946.5437,-1233.33289,131.79617,947.9743
57,0.467,-1369.73352,-31.57761,951.58899,-1241.19421,-206.58379,946.89734,-1226.56641,133.75391,948.15613
58,0.475,-1364.64954,-30.88045,951.19641,-1236.94641,-206.35257,945.74103,-1222.41101,133.97151,948.15601
59,0.483,-1359.75586,-29.80921,951.07965,-1233.52441,-205.10138,945.9549,-1216.90527,135.22264,947.58795
60,0.492,-1354.88293,-29.33163,950.98456,-1227.58167,-203.74098,945.25842,-1211.99585,136.27184,947.28418
61,0.5,-1349.52271,-28.83708,951.50446,-1222.44897,-203.21654,946.32886,-1207.59045,136.37605,947.06445
62,0.508,-1345.20911,-27.69194,951.84607,-1216.67029,-203.21004,946.73224,-1200.73608,137.285,947.56378
63,0.517,-1339.68347,-27.46486,951.90088,-1210.62476,-202.28842,947.07855,-1196.83826,137.71928,947.49567
64,0.525,-1334.52173,-26.45719,952.11218,-1208.9397,-201.1619,947.32739,-1192.00696,138.75352,948.68207
65,0.533,-1329.36438,-25.89933,952.61151,-1203.89209,-199.90685,947.66974,-1186.07239,138.70171,947.82574
66,0.542,-1324.56421,-25.77003,953.13477,-1199.89111,-198.64745,947.33685,-1182.17334,139.0101,947.59424
67,0.55,-1319.54932,-25.07565,953.24915,-1193.32422,-199.6694,949.24866,-1177.93225,140.06157,948.37842
68,0.558,-1314.65894,-24.81986,953.461,-1186.69348,-198.26497,950.20404,-1173.45068,140.84808,948.26855
69,0.567,-1309.9397,-24.28061,953.77527,-1183.84521,-197.55655,951.0307,-1165.76697,138.9968,947.99878
70,0.575,-1305.33289,-24.03686,953.83771,-1182.48804,-196.99634,950.86176,-1161.7998,140.47206,947.88147
71,0.583,-1300.59424,-23.36027,954.11084,-1170.99988,-197.37584,952.49255,-1156.59985,141.40953,948.32678
72,0.592,-1295.57935,-22.51098,953.93494,-1169.32068,-196.98686,953.03632,-1152.9425,141.41608,947.53015
73,0.6,-1291.26477,-22.00212,954.04559,-1166.40125,-195.78622,953.2196,-1148.55469,142.40147,947.70996
74,0.608,-1285.95105,-21.77895,953.84601,-1160.10938,-194.76096,952.93188,-1143.65222,143.68317,947.59747
75,0.617,-1281.52295,-21.49493,953.85303,-1154.91125,-194.87143,954.13562,-1138.87988,142.56224,946.94458
76,0.625,-1277.26978,-20.91773,953.91907,-1149.0105,-195.53824,955.44867,-1133.38501,143.10272,946.58429
77,0.633,-1272.41138,-21.34389,953.72992,-1142.02698,-194.5378,956.03027,-1127.328,142.83157,946.18402
78,0.642,-1267.28979,-21.20095,953.31415,-1139.87036,-194.16599,956.06665,-1124.82617,143.48541,946.20587
79,0.65,-1262.97461,-20.92971,953.14331,-1132.67554,-193.20448,956.40643,-1120.30322,145.10854,945.82001
80,0.658,-1258.18372,-20.48276,953.42676,-1129.11572,-192.55118,956.40277,-1115.25574,145.20796,945.54926
81,0.667,-1252.99817,-20.90269,952.94373,-1125.3988,-191.87538,956.61658,-1112.52625,145.16629,945.05835
82,0.675,-1247.85925,-21.95242,952.95453,-1120.07959,-191.91496,955.9917,-1107.24622,146.43791,944.10504
83,0.683,-1243.03467,-22.44762,952.89105,-1113.68396,-192.54919,955.47699,-1102.93469,145.90073,944.84845
84,0.692,-1238.04797,-22.61154,952.3996,-1106.92786,-193.27312,955.47913,-1099.41541,145.82027,943.42151
85,0.7,-1233.30066,-23.25513,952.63983,-1099.90723,-192.68521,955.36597,-1094.76794,144.77397,943.83673
86,0.708,-1228.1543,-24.07648,952.15143,-1096.53918,-191.0887,956.07458,-1089.87573,144.01404,943.8905
87,0.717,-1222.43286,-25.09894,951.71216,-1091.33459,-193.38078,955.35638,-1084.88232,143.81696,943.92047
88,0.725,-1216.65735,-26.0472,951.17084,-1083.3866,-193.84914,954.85663,-1080.70874,144.03058,943.75464
89,0.733,-1211.99158,-26.88611,951.20892,-1077.77429,-193.09625,953.88367,-1077.35791,144.42096,943.36481
90,0.742,-1205.96985,-28.03327,950.84052,-1074.93469,-192.34824,954.70831,-1072.84155,144.52077,943.49634
91,0.75,-1201.02747,-28.60656,950.32629,-1065.64709,-193.6577,953.0517,-1068.1394,143.29562,942.89838
92,0.758,-1195.29431,-29.41442,949.31342,-1059.13293,-194.14447,953.10815,-1062.88477,142.43927,943.06641
93,0.767,-1189.51367,-30.87985,948.97174,-1055.74182,-194.23145,952.72906,-1059.42334,143.07208,942.23676
94,0.775,-1183.9895,-31.51174,948.7265,-1048.82214,-193.48186,951.11194,-1054.45276,143.1133,942.93671
95,0.783,-1178.45911,-32.36962,947.58185,-1039.92761,-194.91681,951.55402,-1049.51611,143.52028,943.07422
96,0.792,-1171.88916,-33.9221,947.02618,-1034.90564,-195.44965,949.34412,-1046.51416,143.92677,941.72253
97,0.8,-1166.34106,-34.56003,946.10028,-1026.61719,-196.34981,948.03839,-1040.06567,142.10684,940.96466
98,0.808,-1160.41199,-35.94519,944.78961,-1023.25366,-197.30139,947.20959,-1033.87292,141.1132,941.58661
99,0.817,-1154.04163,-37.45471,944.30798,-1012.69055,-196.76881,946.60767,-1030.33276,140.75949,941.14972
100,0.825,-1148.58301,-38.32846,942.86652,-1004.17975,-198.91327,945.57928,-1024.87878,141.17941,940.90363
101,0.833,-1141.27515,-39.87219,941.57269,-998.65027,-200.01167,943.83405,-1018.2254,137.80151,939.88477
102,0.842,-1135.91223,-41.13148,940.65997,-990.87787,-201.00061,944.34045,-1014.02264,137.72351,939.85596
103,0.85,-1129.07874,-42.28734,939.30676,-983.78601,-198.56398,941.37476,-1008.92773,137.44464,940.09698
104,0.858,-1122.87,-43.60941,938.33997,-978.06311,-200.04602,939.51013,-1004.1203,137.66835,938.56702
105,0.867,-1116.08313,-45.04971,937.06818,-972.14453,-198.46945,938.86322,-996.6488,135.5864,937.88458
106,0.875,-1108.45068,-46.67119,936.50281,-961.5238,-202.55763,938.29395,-991.20966,134.52492,938.03198
107,0.883,-1102.65674,-47.38264,935.57452,-955.19873,-202.02235,936.57623,-985.95007,134.43568,937.70123
108,0.892,-1095.10498,-49.74377,934.31293,-949.0528,-203.5394,936.4798,-978.85913,132.77155,936.57111
109,0.9,-1087.5459,-51.27544,934.42413,-940.17902,-205.12376,935.63617,-972.67139,132.49931,937.03052
110,0.908,-1080.02588,-51.94836,933.41174,-933.98517,-202.88943,933.36267,-965.98639,132.2877,935.41815
111,0.917,-1072.93274,-52.8959,932.92572,-925.61877,-206.01941,932.63232,-958.41473,130.91705,935.32794
112,0.925,-1065.84949,-54.96223,932.53406,-918.27301,-205.82892,931.21582,-950.6554,129.56323,934.87982
113,0.933,-1058.63977,-56.10882,932.95148,-907.3432,-210.31964,933.19379,-945.21741,129.56218,935.09229
