Frame#,Time,R.Shank.x,R.Shank.y,R.Shank.z,R.Ankle.x,R.Ankle.y,R.Ankle.z,R.Ankle.Medial.x,R.Ankle.Medial.y,R.Ankle.Medial.z
1,0,-1557.94751,-128.60445,251.47028,-1634.57947,-135.44679,41.06624,-1604.8772,-51.87851,54.22064
2,0.008,-1557.4635,-128.34045,251.27477,-1634.52319,-135.35513,41.14748,-1602.67297,-51.12073,54.93561
3,0.017,-1553.94104,-127.42008,251.83092,-1636.33008,-135.29343,41.61789,-1606.48926,-53.01268,53.70723
4,0.025,-1558.82324,-125.67702,251.49104,-1638.0498,-134.55119,42.8968,-1604.41162,-51.17941,55.64337
5,0.033,-1552.39587,-127.38454,251.23949,-1635.37976,-137.07388,43.59131,-1608.98096,-51.54131,52.99799
6,0.042,-1550.94189,-127.3815,250.46129,-1636.85217,-134.83357,43.42328,-1607.96069,-50.05519,52.52887
7,0.05,-1549.87244,-126.30415,250.43459,-1638.1311,-134.74414,44.14299,-1609.34583,-49.91096,53.35279
8,0.058,-1547.82886,-125.01447,249.94308,-1637.62817,-135.19476,44.01731,-1609.12939,-50.24055,53.34724
9,0.067,-1545.92896,-125.09815,249.79495,-1637.39722,-135.05269,44.29708,-1607.60449,-50.47449,53.40798
10,0.075,-1544.53296,-125.25561,249.73695,-1637.32507,-134.97894,44.52773,-1606.8562,-50.55935,53.35833
11,0.083,-1542.94421,-125.02926,249.68257,-1636.57007,-135.07162,44.03569,-1605.23755,-50.89984,52.78682
12,0.092,-1541.88733,-124.79668,248.86311,-1637.41882,-134.30246,45.13255,-1604.15881,-50.75187,53.36321
13,0.1,-1540.02161,-124.14443,248.73792,-1637.12,-133.94028,45.61074,-1602.65662,-50.78431,53.65995
14,0.108,-1538.59851,-124.05811,248.76498,-1637.13525,-134.17453,46.22724,-1601.27844,-50.29262,54.1349
15,0.117,-1537.50391,-123.80298,249.25372,-1636.36072,-134.07224,46.49914,-1601.12585,-50.17906,54.09187
16,0.125,-1536.11804,-123.47532,248.67926,-1637.49402,-132.60385,48.2622,-1601.30701,-49.72485,52.98381
17,0.133,-1533.07214,-122.13863,248.02574,-1635.63867,-133.95615,47.16302,-1601.30701,-49.72485,52.98381
18,0.142,-1531.90222,-121.62723,247.57639,-1636.10693,-132.11401,47.5686,-1601.14575,-49.60969,53.11256
19,0.15,-1530.9325,-120.91032,247.6548,-1635.49097,-132.56758,48.03823,-1600.77161,-49.16889,54.8503
20,0.158,-1528.57788,-121.61932,247.10638,-1634.82898,-132.43222,48.55445,-1600.50623,-48.99922,54.81521
21,0.167,-1526.02197,-121.68867,246.37947,-1634.65308,-131.80719,48.68031,-1600.18542,-48.83807,54.91293
22,0.175,-1524.55603,-121.60107,246.65645,-1634.75977,-132.19476,49.9206,-1600.63232,-48.0483,54.73278
23,0.183,-1523.90674,-121.10417,246.33153,-1634.32324,-130.85953,50.47695,-1599.94153,-48.70794,55.95147
24,0.192,-1520.24854,-119.7723,245.66522,-1634.21423,-132.54506,51.66467,-1599.83289,-47.74392,56.52148
25,0.2,-1517.96729,-121.02717,245.89392,-1634.07629,-132.30939,52.22998,-1600.08069,-47.77256,57.56996
26,0.208,-1515.60205,-120.85069,245.89117,-1634.16663,-132.54198,52.51795,-1599.77844,-47.63348,57.76508
27,0.217,-1513.52686,-120.1423,245.52475,-1633.71521,-131.93877,54.58697,-1599.46228,-47.5511,58.03357
28,0.225,-1512.4375,-119.40332,244.78369,-1633.30957,-131.90318,55.43308,-1599.88745,-47.53549,58.86684
