Frame#,Time,L.Forearm.x,L.Forearm.y,L.Forearm.z,L.Ulna.x,L.Ulna.y,L.Ulna.z,L.Radius.x,L.Radius.y,L.Radius.z
1,0,1668.78418,-175.85893,998.29364,1634.96289,-225.23373,943.79761,1635.39063,-154.0583,893.97345
2,0.008,1666.06458,-175.65596,998.03345,1630.13708,-224.49422,943.42407,1630.90259,-152.22081,894.47845
3,0.017,1660.93542,-175.49847,998.15521,1626.66638,-225.22096,943.57507,1628.51721,-152.01605,893.79205
4,0.025,1656.57092,-175.00159,997.67065,1622.09106,-225.25397,942.49872,1623.13062,-150.78738,894.21582
5,0.033,1651.31335,-175.18958,997.64716,1617.90039,-225.16815,942.50555,1617.68262,-153.31003,892.32739
6,0.042,1647.71436,-173.55833,997.62579,1613.42407,-225.68517,941.94342,1611.37451,-152.685,891.24158
7,0.05,1642.6344,-174.02112,996.49225,1608.92017,-224.93983,941.3974,1609.48328,-152.48132,892.11621
8,0.058,1637.65588,-174.68909,996.26868,1604.69897,-225.41127,940.66852,1602.62891,-152.74275,891.34125
9,0.067,1633.00891,-174.86021,995.20758,1599.67383,-225.67361,939.81049,1598.44214,-153.03793,890.83386
10,0.075,1627.64966,-175.38777,994.94714,1596.18787,-225.66589,938.69171,1595.48657,-150.64609,889.73846
11,0.083,1624.48376,-174.42288,994.94067,1591.65686,-225.18399,938.63617,1590.948,-153.26414,889.09894
12,0.092,1619.66516,-175.02144,994.02032,1587.15344,-225.25972,938.28204,1586.14441,-150.37311,887.76123
13,0.1,1614.79321,-173.49272,993.01331,1582.54968,-225.56293,938.53009,1583.13232,-152.55376,888.37006
14,0.108,1611.71863,-172.24219,992.45129,1577.38623,-224.05161,937.9566,1577.68115,-150.84377,886.30383
15,0.117,1605.93469,-173.15805,992.40167,1573.70105,-223.81531,938.14111,1574.13647,-152.35295,887.12268
16,0.125,1601.98926,-172.94408,992.0564,1568.95532,-223.23712,937.71875,1568.94519,-151.30664,887.76416
17,0.133,1598.04041,-172.22348,992.11499,1564.948,-224.22726,937.68488,1564.78479,-152.20776,886.34692
18,0.142,1593.02686,-172.46167,991.85309,1560.52844,-223.47014,937.5011,1559.75916,-149.64615,886.60498
19,0.15,1589.41174,-173.01738,992.02289,1556.76624,-222.83873,937.18341,1556.8606,-151.70016,885.7677
