Frame#,Time,R.Shank.x,R.Shank.y,R.Shank.z,R.Ankle.x,R.Ankle.y,R.Ankle.z,R.Ankle.Medial.x,R.Ankle.Medial.y,R.Ankle.Medial.z
1,0,373.40448,-183.37595,361.55139,299.59454,-201.2254,86.77881,367.83749,-107.85596,111.52969
2,0.008,373.58307,-183.49706,361.65958,299.59454,-201.2254,86.77881,367.83749,-107.85596,111.52969
3,0.017,373.54044,-183.3902,361.6001,299.74747,-201.08757,86.92165,367.83749,-107.85596,111.52969
4,0.025,373.6275,-183.36433,361.58423,299.74747,-201.08757,86.92165,367.83749,-107.85596,111.52969
5,0.033,373.6622,-183.46228,361.51395,299.74747,-201.08757,86.92165,367.83749,-107.85596,111.52969
6,0.042,373.54044,-183.3902,361.6001,299.74747,-201.08757,86.92165,367.83749,-107.85596,111.52969
7,0.05,373.54044,-183.3902,361.6001,299.74747,-201.08757,86.92165,368.3717,-107.96152,111.53725
8,0.058,373.60678,-183.66304,361.4613,299.74747,-201.08757,86.92165,368.3717,-107.96152,111.53725
9,0.067,373.53076,-183.41296,361.61685,299.74747,-201.08757,86.92165,368.3717,-107.96152,111.53725
10,0.075,373.53076,-183.41296,361.61685,299.74747,-201.08757,86.92165,367.83749,-107.85596,111.52969
11,0.083,373.53076,-183.41296,361.61685,299.74747,-201.08757,86.92165,367.83749,-107.85596,111.52969
12,0.092,373.53076,-183.41296,361.61685,299.74747,-201.08757,86.92165,368.3717,-107.96152,111.53725
13,0.1,373.57098,-183.53391,361.68008,299.74747,-201.08757,86.92165,367.83749,-107.85596,111.52969
14,0.108,373.70718,-183.55066,361.72824,299.6983,-201.05363,87.1184,367.83749,-107.85596,111.52969
15,0.117,373.70718,-183.55066,361.72824,299.6983,-201.05363,87.1184,367.83749,-107.85596,111.52969
16,0.125,373.70718,-183.55066,361.72824,299.6983,-201.05363,87.1184,367.83749,-107.85596,111.52969
17,0.133,373.53076,-183.41296,361.61685,299.6983,-201.05363,87.1184,367.83749,-107.85596,111.52969
18,0.142,373.53076,-183.41296,361.61685,299.74747,-201.08757,86.92165,367.83749,-107.85596,111.52969
19,0.15,373.53076,-183.41296,361.61685,299.6983,-201.05363,87.1184,368.3717,-107.96152,111.53725
20,0.158,373.53076,-183.41296,361.61685,299.6983,-201.05363,87.1184,367.83749,-107.85596,111.52969
21,0.167,373.53076,-183.41296,361.61685,299.88287,-201.23834,87.17666,367.83749,-107.85596,111.52969
22,0.175,373.70718,-183.55066,361.72824,299.6983,-201.05363,87.1184,367.83749,-107.85596,111.52969
23,0.183,373.70718,-183.55066,361.72824,299.6983,-201.05363,87.1184,368.3717,-107.96152,111.53725
24,0.192,373.53076,-183.41296,361.61685,299.6983,-201.05363,87.1184,368.3717,-107.96152,111.53725
25,0.2,373.70718,-183.55066,361.72824,299.88156,-201.04385,87.2382,367.83749,-107.85596,111.52969
26,0.208,373.53076,-183.41296,361.61685,299.6983,-201.05363,87.1184,367.83749,-107.85596,111.52969
27,0.217,373.70718,-183.55066,361.72824,299.59454,-201.2254,86.77881,367.83749,-107.85596,111.52969
28,0.225,373.57098,-183.53391,361.68008,299.54538,-201.19147,86.97556,367.83749,-107.85596,111.52969
29,0.233,373.70718,-183.55066,361.72824,299.74747,-201.08757,86.92165,367.83749,-107.85596,111.52969
30,0.242,373.53076,-183.41296,361.61685,299.74747,-201.08757,86.92165,367.83749,-107.85596,111.52969
31,0.25,373.53076,-183.41296,361.61685,299.74747,-201.08757,86.92165,367.83749,-107.85596,111.52969
32,0.258,373.53076,-183.41296,361.61685,299.64996,-201.46486,87.31937,367.83749,-107.85596,111.52969
33,0.267,373.53076,-183.41296,361.61685,299.46939,-201.28667,87.25382,367.83749,-107.85596,111.52969
34,0.275,373.53076,-183.41296,361.61685,299.6983,-201.05363,87.1184,367.83749,-107.85596,111.52969
35,0.283,373.70718,-183.55066,361.72824,299.6983,-201.05363,87.1184,367.83749,-107.85596,111.52969
36,0.292,373.70718,-183.55066,361.72824,299.54538,-201.19147,86.97556,367.83749,-107.85596,111.52969
37,0.3,373.70718,-183.55066,361.72824,299.46939,-201.28667,87.25382,367.83749,-107.85596,111.52969
38,0.308,373.70718,-183.55066,361.72824,299.6983,-201.05363,87.1184,367.83749,-107.85596,111.52969
39,0.317,373.53076,-183.41296,361.61685,299.74747,-201.08757,86.92165,367.83749,-107.85596,111.52969
40,0.325,373.53076,-183.41296,361.61685,299.74747,-201.08757,86.92165,367.83749,-107.85596,111.52969
41,0.333,373.53076,-183.41296,361.61685,299.6983,-201.05363,87.1184,368.3717,-107.96152,111.53725
42,0.342,373.54044,-183.3902,361.6001,299.93204,-201.27228,86.97991,367.83749,-107.85596,111.52969
43,0.35,373.5629,-183.12155,361.57349,299.6983,-201.05363,87.1184,367.83749,-107.85596,111.52969
44,0.358,373.58484,-183.25746,361.52472,299.74747,-201.08757,86.92165,367.83749,-107.85596,111.52969
45,0.367,373.54044,-183.3902,361.6001,299.54538,-201.19147,86.97556,367.83749,-107.85596,111.52969
46,0.375,373.54044,-183.3902,361.6001,299.46939,-201.28667,87.25382,367.83749,-107.85596,111.52969
47,0.383,373.54044,-183.3902,361.6001,299.74747,-201.08757,86.92165,368.3717,-107.96152,111.53725
48,0.392,373.58484,-183.25746,361.52472,299.74747,-201.08757,86.92165,368.3717,-107.96152,111.53725
49,0.4,373.54044,-183.3902,361.6001,299.93204,-201.27228,86.97991,368.3717,-107.96152,111.53725
50,0.408,373.54044,-183.3902,361.6001,299.74747,-201.08757,86.92165,367.83749,-107.85596,111.52969
51,0.417,373.58484,-183.25746,361.52472,299.93204,-201.27228,86.97991,368.3717,-107.96152,111.53725
52,0.425,373.54044,-183.3902,361.6001,299.59454,-201.2254,86.77881,368.3717,-107.96152,111.53725
53,0.433,373.54044,-183.3902,361.6001,299.93204,-201.27228,86.97991,367.83749,-107.85596,111.52969
54,0.442,373.54044,-183.3902,361.6001,299.74747,-201.08757,86.92165,367.83749,-107.85596,111.52969
55,0.45,373.58484,-183.25746,361.52472,299.88287,-201.23834,87.17666,368.3717,-107.96152,111.53725
56,0.458,373.58484,-183.25746,361.52472,299.93204,-201.27228,86.97991,368.3717,-107.96152,111.53725
57,0.467,373.58484,-183.25746,361.52472,299.93204,-201.27228,86.97991,368.3717,-107.96152,111.53725
58,0.475,373.58484,-183.25746,361.52472,299.93204,-201.27228,86.97991,367.83749,-107.85596,111.52969
59,0.483,373.59512,-183.14929,361.42694,299.74747,-201.08757,86.92165,367.83749,-107.85596,111.52969
