Frame#,Time,R.Biceps.Lateral.x,R.Biceps.Lateral.y,R.Biceps.Lateral.z,R.Elbow.x,R.Elbow.y,R.Elbow.z,R.Elbow.Medial.x,R.Elbow.Medial.y,R.Elbow.Medial.z
1,0,-74.14268,-148.91412,1150.9408,11.90766,-317.00894,1061.30811,33.88226,-258.02393,982.49139
2,0.008,-75.26774,-148.71738,1151.14172,11.90766,-317.00894,1061.30811,33.88226,-258.02393,982.49139
3,0.017,-74.34025,-148.99619,1150.88855,11.87974,-317.6344,1061.36243,33.88226,-258.02393,982.49139
4,0.025,-74.56525,-148.89822,1150.85474,11.87974,-317.6344,1061.36243,33.57698,-258.75546,982.64679
5,0.033,-75.49065,-148.61017,1151.07556,11.87974,-317.6344,1061.36243,33.57698,-258.75546,982.64679
6,0.042,-74.77936,-148.82208,1150.87634,11.78254,-317.40027,1061.41187,33.64316,-257.92505,982.30676
7,0.05,-74.77936,-148.82208,1150.87634,11.77102,-316.7587,1061.2179,33.57845,-257.9794,982.0871
8,0.058,-74.54229,-148.85359,1150.68555,11.86821,-316.99283,1061.16833,33.57845,-257.9794,982.0871
9,0.067,-74.54229,-148.85359,1150.68555,11.70441,-316.67343,1061.18384,33.57845,-257.9794,982.0871
10,0.075,-75.84099,-148.44185,1150.97156,11.73421,-317.51688,1061.04871,33.57845,-257.9794,982.0871
11,0.083,-74.50114,-148.77982,1150.76306,11.63701,-317.28275,1061.09827,33.57845,-257.9794,982.0871
12,0.092,-74.54229,-148.85359,1150.68555,11.76216,-316.89145,1060.99451,33.57845,-257.9794,982.0871
13,0.1,-75.33708,-148.9156,1150.79126,11.76216,-316.89145,1060.99451,33.57845,-257.9794,982.0871
14,0.108,-75.33708,-148.9156,1150.79126,11.66497,-316.65732,1061.04395,33.57845,-257.9794,982.0871
15,0.117,-75.12116,-148.93762,1150.7168,11.76216,-316.89145,1060.99451,33.57845,-257.9794,982.0871
16,0.125,-74.81114,-148.87761,1150.71765,11.76216,-316.89145,1060.99451,33.57845,-257.9794,982.0871
17,0.133,-74.50114,-148.77982,1150.76306,11.66497,-316.65732,1061.04395,33.57845,-257.9794,982.0871
18,0.142,-74.81114,-148.87761,1150.71765,11.4942,-316.55704,1060.96741,33.57845,-257.9794,982.0871
19,0.15,-74.81114,-148.87761,1150.71765,11.69308,-316.8638,1060.84558,33.51387,-258.03391,981.86743
20,0.158,-74.81114,-148.87761,1150.71765,11.57175,-316.41376,1060.87122,33.51387,-258.03391,981.86743
21,0.167,-74.84644,-148.90839,1150.68945,11.8045,-316.42828,1060.85547,33.51387,-258.03391,981.86743
22,0.175,-74.84644,-148.90839,1150.68945,11.67345,-316.48639,1060.79907,33.51387,-258.03391,981.86743
23,0.183,-74.81114,-148.87761,1150.71765,11.93104,-316.24783,1060.91858,33.51387,-258.03391,981.86743
24,0.192,-74.84644,-148.90839,1150.68945,12.40405,-315.95535,1060.74121,33.51387,-258.03391,981.86743
