Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Front.Head.x,Front.Head.y,Front.Head.z,Rear.Head.x,Rear.Head.y,Rear.Head.z,Jaw.x,Jaw.y,Jaw.z
1,0,-112.8671,114.94838,1428.6731,10.81989,131.74756,1386.56531,-189.50845,142.58748,1290.92957,44.8047,138.97218,1206.27368
2,0.008,-112.8671,114.94838,1428.6731,10.80708,131.84253,1386.45337,-189.56508,142.53319,1291.00415,44.8047,138.97218,1206.27368
3,0.017,-112.8671,114.94838,1428.6731,10.80708,131.84253,1386.45337,-189.56508,142.53319,1291.00415,43.90149,136.81429,1204.85559
4,0.025,-112.8671,114.94838,1428.6731,10.80708,131.84253,1386.45337,-189.56508,142.53319,1291.00415,43.90149,136.81429,1204.85559
5,0.033,-112.8671,114.94838,1428.6731,10.81989,131.74756,1386.56531,-189.56508,142.53319,1291.00415,44.43322,137.94241,1205.0448
6,0.042,-112.73038,115.11935,1428.66736,10.80708,131.84253,1386.45337,-189.56508,142.53319,1291.00415,43.90149,136.81429,1204.85559
7,0.05,-112.8671,114.94838,1428.6731,10.81989,131.74756,1386.56531,-189.56508,142.53319,1291.00415,43.94532,135.90901,1204.62378
8,0.058,-112.8671,114.94838,1428.6731,10.81989,131.74756,1386.56531,-189.56508,142.53319,1291.00415,43.94532,135.90901,1204.62378
9,0.067,-112.8671,114.94838,1428.6731,10.80708,131.84253,1386.45337,-189.56508,142.53319,1291.00415,44.10809,136.90538,1204.73279
10,0.075,-112.8671,114.94838,1428.6731,10.80708,131.84253,1386.45337,-189.50845,142.58748,1290.92957,44.10809,136.90538,1204.73279
11,0.083,-112.8671,114.94838,1428.6731,10.80708,131.84253,1386.45337,-189.56508,142.53319,1291.00415,43.90149,136.81429,1204.85559
12,0.092,-112.8671,114.94838,1428.6731,10.80708,131.84253,1386.45337,-189.56508,142.53319,1291.00415,44.48317,138.37564,1205.97388
13,0.1,-112.8671,114.94838,1428.6731,10.80708,131.84253,1386.45337,-189.56508,142.53319,1291.00415,44.43322,137.94241,1205.0448
