Frame#,Time,V.Sacral.x,V.Sacral.y,V.Sacral.z,R.ASIS.x,R.ASIS.y,R.ASIS.z,L.ASIS.x,L.ASIS.y,L.ASIS.z
1,0,-245.38318,45.23047,667.90436,-89.91446,-123.39955,715.63452,-57.91783,235.65034,665.35333
2,0.008,-245.38318,45.23047,667.90436,-90.29632,-123.78168,715.84058,-57.91783,235.65034,665.35333
3,0.017,-245.38318,45.23047,667.90436,-89.91446,-123.39955,715.63452,-57.91783,235.65034,665.35333
4,0.025,-245.38318,45.23047,667.90436,-90.29632,-123.78168,715.84058,-57.91783,235.65034,665.35333
5,0.033,-245.38318,45.23047,667.90436,-89.91446,-123.39955,715.63452,-57.91783,235.65034,665.35333
6,0.042,-245.38318,45.23047,667.90436,-90.29632,-123.78168,715.84058,-57.91783,235.65034,665.35333
7,0.05,-245.38318,45.23047,667.90436,-90.03521,-123.32204,715.62976,-57.91783,235.65034,665.35333
8,0.058,-245.38318,45.23047,667.90436,-90.29632,-123.78168,715.84058,-57.91783,235.65034,665.35333
9,0.067,-245.38318,45.23047,667.90436,-89.91446,-123.39955,715.63452,-57.91783,235.65034,665.35333
10,0.075,-245.38318,45.23047,667.90436,-90.33038,-123.72497,715.67267,-57.77836,235.55711,665.4292
11,0.083,-245.38318,45.23047,667.90436,-89.95909,-123.34589,715.48035,-57.67305,235.63374,665.33954
12,0.092,-245.38318,45.23047,667.90436,-90.33038,-123.72497,715.67267,-57.67305,235.63374,665.33954
13,0.1,-245.38318,45.23047,667.90436,-89.95909,-123.34589,715.48035,-57.55759,235.54744,665.41156
14,0.108,-245.38318,45.23047,667.90436,-90.33038,-123.72497,715.67267,-57.55759,235.54744,665.41156
15,0.117,-245.38318,45.23047,667.90436,-89.95909,-123.34589,715.48035,-57.55759,235.54744,665.41156
16,0.125,-245.38318,45.23047,667.90436,-90.33038,-123.72497,715.67267,-57.55759,235.54744,665.41156
17,0.133,-245.38318,45.23047,667.90436,-89.91446,-123.39955,715.63452,-57.55759,235.54744,665.41156
18,0.142,-245.38318,45.23047,667.90436,-90.29632,-123.78168,715.84058,-57.55759,235.54744,665.41156
19,0.15,-245.38318,45.23047,667.90436,-89.95909,-123.34589,715.48035,-57.55759,235.54744,665.41156
20,0.158,-245.38318,45.23047,667.90436,-90.33038,-123.72497,715.67267,-57.55759,235.54744,665.41156
21,0.167,-245.38318,45.23047,667.90436,-89.91446,-123.39955,715.63452,-57.55759,235.54744,665.41156
22,0.175,-245.38318,45.23047,667.90436,-90.33038,-123.72497,715.67267,-57.55759,235.54744,665.41156
23,0.183,-245.38318,45.23047,667.90436,-89.91446,-123.39955,715.63452,-57.55759,235.54744,665.41156
24,0.192,-245.38318,45.23047,667.90436,-90.13416,-123.87146,715.95642,-57.55759,235.54744,665.41156
25,0.2,-245.38318,45.23047,667.90436,-89.75292,-123.49306,715.74744,-57.45933,235.25821,665.55432
26,0.208,-245.38318,45.23047,667.90436,-90.13416,-123.87146,715.95642,-57.55759,235.54744,665.41156
27,0.217,-245.38318,45.23047,667.90436,-89.75292,-123.49306,715.74744,-57.55759,235.54744,665.41156
28,0.225,-245.38318,45.23047,667.90436,-90.13416,-123.87146,715.95642,-57.45933,235.25821,665.55432
29,0.233,-245.38318,45.23047,667.90436,-89.91446,-123.39955,715.63452,-57.45933,235.25821,665.55432
30,0.242,-245.38318,45.23047,667.90436,-90.17397,-123.81322,715.79083,-57.45933,235.25821,665.55432
31,0.25,-245.38318,45.23047,667.90436,-89.95909,-123.34589,715.48035,-57.55759,235.54744,665.41156
32,0.258,-245.38318,45.23047,667.90436,-90.13416,-123.87146,715.95642,-57.55759,235.54744,665.41156
33,0.267,-245.38318,45.23047,667.90436,-89.75292,-123.49306,715.74744,-57.45933,235.25821,665.55432
34,0.275,-245.38318,45.23047,667.90436,-89.88439,-123.8073,715.89813,-57.55759,235.54744,665.41156
35,0.283,-245.38318,45.23047,667.90436,-89.75292,-123.49306,715.74744,-57.55759,235.54744,665.41156
36,0.292,-245.38318,45.23047,667.90436,-89.65764,-123.69826,715.89075,-57.45933,235.25821,665.55432
37,0.3,-245.38318,45.23047,667.90436,-89.53324,-123.45862,715.70581,-57.55759,235.54744,665.41156
38,0.308,-245.38318,45.23047,667.90436,-89.65764,-123.69826,715.89075,-57.55759,235.54744,665.41156
39,0.317,-245.38318,45.23047,667.90436,-89.87569,-123.75083,715.94464,-57.55759,235.54744,665.41156
40,0.325,-245.38318,45.23047,667.90436,-89.60358,-123.38648,715.89752,-57.55759,235.54744,665.41156
41,0.333,-245.38318,45.23047,667.90436,-89.87569,-123.75083,715.94464,-57.55759,235.54744,665.41156
42,0.342,-245.38318,45.23047,667.90436,-89.33555,-123.38326,715.70905,-57.55759,235.54744,665.41156
43,0.35,-245.38318,45.23047,667.90436,-89.87569,-123.75083,715.94464,-57.55759,235.54744,665.41156
44,0.358,-245.38318,45.23047,667.90436,-89.60358,-123.38648,715.89752,-57.55759,235.54744,665.41156
45,0.367,-245.38318,45.23047,667.90436,-89.65764,-123.69826,715.89075,-57.55759,235.54744,665.41156
46,0.375,-245.38318,45.23047,667.90436,-89.41167,-123.35941,715.85846,-57.55759,235.54744,665.41156
47,0.383,-245.38318,45.23047,667.90436,-89.65764,-123.69826,715.89075,-57.55759,235.54744,665.41156
48,0.392,-245.38318,45.23047,667.90436,-89.60358,-123.38648,715.89752,-57.55759,235.54744,665.41156
49,0.4,-245.38318,45.23047,667.90436,-89.87569,-123.75083,715.94464,-57.55759,235.54744,665.41156
50,0.408,-245.38318,45.23047,667.90436,-89.41167,-123.35941,715.85846,-57.55759,235.54744,665.41156
51,0.417,-245.38318,45.23047,667.90436,-89.65764,-123.69826,715.89075,-57.55759,235.54744,665.41156
52,0.425,-245.38318,45.23047,667.90436,-89.41167,-123.35941,715.85846,-57.55759,235.54744,665.41156
53,0.433,-245.38318,45.23047,667.90436,-89.36852,-123.276,715.95972,-57.55759,235.54744,665.41156
54,0.442,-245.38318,45.23047,667.90436,-89.41167,-123.35941,715.85846,-57.55759,235.54744,665.41156
55,0.45,-245.38318,45.23047,667.90436,-89.41167,-123.35941,715.85846,-57.55759,235.54744,665.41156
56,0.458,-245.38318,45.23047,667.90436,-89.41167,-123.35941,715.85846,-57.55759,235.54744,665.41156
57,0.467,-245.38318,45.23047,667.90436,-89.41167,-123.35941,715.85846,-57.55759,235.54744,665.41156
58,0.475,-245.25351,45.37643,668.00879,-89.41167,-123.35941,715.85846,-57.55759,235.54744,665.41156
59,0.483,-245.3177,45.08623,668.01544,-89.41167,-123.35941,715.85846,-57.55759,235.54744,665.41156
60,0.492,-245.38318,45.23047,667.90436,-89.41167,-123.35941,715.85846,-57.27707,235.48657,665.46234
61,0.5,-245.38318,45.23047,667.90436,-89.41167,-123.35941,715.85846,-57.27707,235.48657,665.46234
62,0.508,-245.38318,45.23047,667.90436,-89.41167,-123.35941,715.85846,-57.27707,235.48657,665.46234
63,0.517,-245.38318,45.23047,667.90436,-89.36852,-123.276,715.95972,-57.27707,235.48657,665.46234
64,0.525,-245.3177,45.08623,668.01544,-89.41167,-123.35941,715.85846,-57.27707,235.48657,665.46234
65,0.533,-245.25351,45.37643,668.00879,-89.48774,-123.3357,716.00793,-57.27707,235.48657,665.46234
66,0.542,-245.25351,45.37643,668.00879,-89.41167,-123.35941,715.85846,-57.1788,235.19731,665.6051
67,0.55,-245.18802,45.23219,668.11993,-89.36852,-123.276,715.95972,-57.1788,235.19731,665.6051
68,0.558,-244.93851,45.4194,668.10956,-89.36852,-123.276,715.95972,-56.65912,235.07141,665.56323
69,0.567,-245.25351,45.37643,668.00879,-89.36852,-123.276,715.95972,-56.65912,235.07141,665.56323
70,0.575,-245.004,45.56365,667.99847,-89.36852,-123.276,715.95972,-56.65912,235.07141,665.56323
71,0.583,-245.25351,45.37643,668.00879,-89.41167,-123.35941,715.85846,-56.65912,235.07141,665.56323
72,0.592,-245.004,45.56365,667.99847,-89.48774,-123.3357,716.00793,-56.65912,235.07141,665.56323
73,0.6,-244.93851,45.4194,668.10956,-89.36852,-123.276,715.95972,-56.4649,235.03935,665.7699
74,0.608,-244.93181,45.66823,668.28198,-89.41167,-123.35941,715.85846,-56.4649,235.03935,665.7699
75,0.617,-244.79065,45.61026,668.66687,-89.41167,-123.35941,715.85846,-56.37429,234.79854,665.80774
76,0.625,-244.46167,45.49268,668.66809,-89.36852,-123.276,715.95972,-56.37429,234.79854,665.80774
77,0.633,-244.46167,45.49268,668.66809,-89.36852,-123.276,715.95972,-56.21396,234.54369,665.74213
78,0.642,-244.46167,45.49268,668.66809,-89.41167,-123.35941,715.85846,-56.21396,234.54369,665.74213
79,0.65,-244.46167,45.49268,668.66809,-89.36852,-123.276,715.95972,-56.21396,234.54369,665.74213
80,0.658,-244.79065,45.61026,668.66687,-89.20095,-123.33215,715.89667,-56.21396,234.54369,665.74213
81,0.667,-244.46167,45.49268,668.66809,-89.20095,-123.33215,715.89667,-56.21396,234.54369,665.74213
82,0.675,-244.46167,45.49268,668.66809,-89.20095,-123.33215,715.89667,-56.21396,234.54369,665.74213
83,0.683,-244.71127,45.30547,668.67841,-89.20095,-123.33215,715.89667,-56.21396,234.54369,665.74213
84,0.692,-244.46167,45.49268,668.66809,-89.03346,-123.38833,715.83356,-56.21396,234.54369,665.74213
85,0.7,-244.46167,45.49268,668.66809,-89.07661,-123.47173,715.7323,-56.21396,234.54369,665.74213
86,0.708,-244.45465,45.47818,668.86316,-89.03346,-123.38833,715.83356,-56.21396,234.54369,665.74213
87,0.717,-244.45465,45.47818,668.86316,-89.03346,-123.38833,715.83356,-56.28381,234.34975,665.8277
88,0.725,-244.37695,45.45878,669.00391,-89.03346,-123.38833,715.83356,-56.21396,234.54369,665.74213
89,0.733,-244.37695,45.45878,669.00391,-89.03346,-123.38833,715.83356,-56.28381,234.34975,665.8277
90,0.742,-244.37695,45.45878,669.00391,-89.03346,-123.38833,715.83356,-56.28381,234.34975,665.8277
91,0.75,-244.36848,45.48938,669.31659,-89.03346,-123.38833,715.83356,-56.18536,234.06042,665.9704
92,0.758,-244.37695,45.45878,669.00391,-89.0005,-123.49554,715.58289,-56.18536,234.06042,665.9704
93,0.767,-244.52827,45.49878,669.23132,-89.0005,-123.49554,715.58289,-56.18536,234.06042,665.9704
94,0.775,-244.36848,45.48938,669.31659,-89.0005,-123.49554,715.58289,-56.28381,234.34975,665.8277
95,0.783,-244.36848,45.48938,669.31659,-89.03346,-123.38833,715.83356,-56.18536,234.06042,665.9704
96,0.792,-244.36848,45.48938,669.31659,-88.95734,-123.41215,715.6842,-56.18536,234.06042,665.9704
97,0.8,-244.36848,45.48938,669.31659,-88.89709,-123.36265,715.77258,-55.80733,234.24091,666.30579
98,0.808,-244.36848,45.48938,669.31659,-89.0005,-123.49554,715.58289,-56.04387,234.285,666.14246
99,0.817,-244.36848,45.48938,669.31659,-88.95734,-123.41215,715.6842,-56.04387,234.285,666.14246
100,0.825,-244.36848,45.48938,669.31659,-89.0005,-123.49554,715.58289,-55.88773,234.1313,666.30933
101,0.833,-244.36848,45.48938,669.31659,-89.0005,-123.49554,715.58289,-56.14234,234.5743,665.99969
102,0.842,-244.36848,45.48938,669.31659,-88.82098,-123.38645,715.62317,-56.04387,234.285,666.14246
103,0.85,-244.36848,45.48938,669.31659,-88.82098,-123.38645,715.62317,-56.14234,234.5743,665.99969
104,0.858,-244.20038,45.66264,669.3515,-88.82098,-123.38645,715.62317,-56.0746,234.69846,666.17499
105,0.867,-244.20038,45.66264,669.3515,-88.95734,-123.41215,715.6842,-56.14234,234.5743,665.99969
106,0.875,-244.20038,45.66264,669.3515,-88.64334,-123.71011,715.62073,-56.0746,234.69846,666.17499
107,0.883,-244.20038,45.66264,669.3515,-88.77782,-123.30305,715.72449,-56.14234,234.5743,665.99969
108,0.892,-244.20038,45.66264,669.3515,-89.0005,-123.49554,715.58289,-56.14234,234.5743,665.99969
109,0.9,-244.36848,45.48938,669.31659,-88.866,-123.9026,715.47913,-56.22273,234.46471,666.00323
110,0.908,-244.36848,45.48938,669.31659,-88.82285,-123.81921,715.58044,-56.28381,234.34975,665.8277
111,0.917,-244.36848,45.48938,669.31659,-88.64334,-123.71011,715.62073,-56.28381,234.34975,665.8277
112,0.925,-244.20038,45.66264,669.3515,-88.6865,-123.7935,715.51941,-56.0746,234.69846,666.17499
113,0.933,-244.20038,45.66264,669.3515,-88.82285,-123.81921,715.58044,-55.89383,234.96915,666.30206
114,0.942,-244.20038,45.66264,669.3515,-88.64334,-123.71011,715.62073,-56.14234,234.5743,665.99969
115,0.95,-244.20038,45.66264,669.3515,-88.6865,-123.7935,715.51941,-55.82399,235.16304,666.21655
116,0.958,-244.20038,45.66264,669.3515,-88.866,-123.9026,715.47913,-56.14234,234.5743,665.99969
117,0.967,-244.20038,45.66264,669.3515,-88.866,-123.9026,715.47913,-56.14234,234.5743,665.99969
118,0.975,-244.36848,45.48938,669.31659,-88.866,-123.9026,715.47913,-56.14234,234.5743,665.99969
119,0.983,-244.20038,45.66264,669.3515,-88.82285,-123.81921,715.58044,-56.28381,234.34975,665.8277
120,0.992,-244.20038,45.66264,669.3515,-88.82285,-123.81921,715.58044,-56.14234,234.5743,665.99969
121,1,-244.20038,45.66264,669.3515,-88.82285,-123.81921,715.58044,-56.16508,235.14714,666.15503
122,1.008,-244.20038,45.66264,669.3515,-88.866,-123.9026,715.47913,-56.16508,235.14714,666.15503
123,1.017,-244.20038,45.66264,669.3515,-89.15786,-123.70699,715.7066,-56.23281,235.02301,665.9798
124,1.025,-244.20038,45.66264,669.3515,-88.866,-123.9026,715.47913,-56.37429,234.79854,665.80774
125,1.033,-244.20038,45.66264,669.3515,-88.866,-123.9026,715.47913,-56.37429,234.79854,665.80774
126,1.042,-244.36848,45.48938,669.31659,-88.866,-123.9026,715.47913,-56.37429,234.79854,665.80774
127,1.05,-244.36848,45.48938,669.31659,-89.03347,-123.84648,715.54218,-56.37429,234.79854,665.80774
128,1.058,-244.36848,45.48938,669.31659,-88.866,-123.9026,715.47913,-56.37429,234.79854,665.80774
129,1.067,-244.36848,45.48938,669.31659,-88.866,-123.9026,715.47913,-56.37429,234.79854,665.80774
130,1.075,-244.20038,45.66264,669.3515,-89.03347,-123.84648,715.54218,-56.16508,235.14714,666.15503
131,1.083,-244.20038,45.66264,669.3515,-88.866,-123.9026,715.47913,-56.37429,234.79854,665.80774
132,1.092,-244.36848,45.48938,669.31659,-89.20101,-123.79039,715.60529,-56.37429,234.79854,665.80774
133,1.1,-244.36848,45.48938,669.31659,-89.20101,-123.79039,715.60529,-56.7549,234.88802,665.85931
134,1.108,-244.36848,45.48938,669.31659,-89.20101,-123.79039,715.60529,-56.37429,234.79854,665.80774
