Frame#,Time,R.Shank.x,R.Shank.y,R.Shank.z,R.Ankle.x,R.Ankle.y,R.Ankle.z,R.Ankle.Medial.x,R.Ankle.Medial.y,R.Ankle.Medial.z
1,0,375.18167,-185.64273,361.69659,299.78152,-202.40166,87.85264,368.03046,-109.04842,112.37444
2,0.008,375.08844,-185.71677,361.65237,299.90979,-202.04967,87.42723,368.13589,-109.07487,112.27171
3,0.017,375.08844,-185.71677,361.65237,299.91583,-202.36996,87.66295,368.03046,-109.04842,112.37444
4,0.025,375.0166,-185.6115,361.73132,299.87845,-202.29594,87.73743,368.03046,-109.04842,112.37444
5,0.033,375.0166,-185.6115,361.73132,299.87845,-202.29594,87.73743,367.92239,-108.78114,112.18031
6,0.042,375.08844,-185.71677,361.65237,300.07788,-202.45329,87.80754,367.92239,-108.78114,112.18031
7,0.05,375.08844,-185.71677,361.65237,300.07788,-202.45329,87.80754,367.92239,-108.78114,112.18031
8,0.058,374.96024,-185.87846,361.63837,299.91583,-202.36996,87.66295,367.92239,-108.78114,112.18031
9,0.067,374.96024,-185.87846,361.63837,299.86478,-202.04414,87.68943,368.03046,-109.04842,112.37444
10,0.075,374.83905,-186.02806,361.57248,299.87845,-202.29594,87.73743,368.03046,-109.04842,112.37444
11,0.083,374.96683,-185.86699,361.58957,299.91583,-202.36996,87.66295,367.92239,-108.78114,112.18031
12,0.092,374.83905,-186.02806,361.57248,299.91583,-202.36996,87.66295,367.92239,-108.78114,112.18031
13,0.1,374.76724,-185.92281,361.65143,299.64383,-202.46944,87.65707,367.92239,-108.78114,112.18031
14,0.108,374.83905,-186.02806,361.57248,299.60645,-202.39542,87.73156,367.92239,-108.78114,112.18031
15,0.117,374.83905,-186.02806,361.57248,299.93954,-202.2677,87.7466,367.76035,-109.091,111.77112
16,0.125,374.83905,-186.02806,361.57248,299.93954,-202.2677,87.7466,367.92239,-108.78114,112.18031
17,0.133,374.83905,-186.02806,361.57248,299.63351,-202.42203,87.71514,367.92239,-108.78114,112.18031
18,0.142,374.54401,-186.25748,361.61993,299.81516,-202.69316,87.88566,367.92239,-108.78114,112.18031
19,0.15,374.70386,-186.20207,361.61032,299.71823,-202.59903,87.85292,367.76035,-109.091,111.77112
20,0.158,374.35309,-186.61794,361.85938,299.69437,-202.77682,87.97545,367.76035,-109.091,111.77112
21,0.167,374.49988,-186.51979,361.80655,299.55667,-202.8446,87.77987,367.76035,-109.091,111.77112
22,0.175,374.49988,-186.51979,361.80655,299.71823,-202.59903,87.85292,367.76035,-109.091,111.77112
23,0.183,374.35309,-186.61794,361.85938,299.73178,-202.85083,87.90096,367.76035,-109.091,111.77112
24,0.192,374.02777,-186.80763,361.7529,299.71823,-202.59903,87.85292,367.76035,-109.091,111.77112
25,0.2,374.27023,-186.64618,361.95676,299.61292,-202.74355,87.87923,367.76035,-109.091,111.77112
26,0.208,374.08691,-186.68146,361.94659,299.53787,-203.25397,88.08575,367.76035,-109.091,111.77112
27,0.217,373.98532,-187.08876,361.70599,299.62646,-202.99533,87.92726,367.74109,-109.09307,111.95218
28,0.225,373.99063,-186.99492,361.88141,299.56726,-203.15672,88.09981,367.74109,-109.09307,111.95218
29,0.233,373.70599,-187.16887,361.78278,299.68988,-202.86314,87.92135,367.74109,-109.09307,111.95218
30,0.242,373.78888,-187.14063,361.68536,299.42767,-203.12314,87.97159,367.74109,-109.09307,111.95218
31,0.25,373.70599,-187.16887,361.78278,299.68988,-202.86314,87.92135,367.74109,-109.09307,111.95218
32,0.258,373.70599,-187.16887,361.78278,299.50659,-202.87291,87.80153,367.62292,-109.1423,112.03481
33,0.267,373.70599,-187.16887,361.78278,299.56726,-203.15672,88.09981,367.82458,-109.33169,112.06622
34,0.275,373.70599,-187.16887,361.78278,299.56726,-203.15672,88.09981,367.62292,-109.1423,112.03481
35,0.283,373.70599,-187.16887,361.78278,299.56726,-203.15672,88.09981,367.82458,-109.33169,112.06622
36,0.292,373.70599,-187.16887,361.78278,299.42767,-203.12314,87.97159,367.82458,-109.33169,112.06622
37,0.3,373.70599,-187.16887,361.78278,299.56726,-203.15672,88.09981,367.82458,-109.33169,112.06622
