Frame#,Time,L.Thigh.x,L.Thigh.y,L.Thigh.z,L.Knee.x,L.Knee.y,L.Knee.z,L.Knee.Medial.x,L.Knee.Medial.y,L.Knee.Medial.z
1,0,204.09953,249.46088,592.37433,346.97815,259.24796,541.64667,350.98758,119.27765,506.85312
2,0.008,204.13382,249.5014,592.50452,347.12726,258.73361,541.25366,350.91855,118.77821,506.74939
3,0.017,204.32483,249.59627,592.56177,347.12726,258.73361,541.25366,351.21594,118.95377,507.02176
4,0.025,204.32483,249.59627,592.56177,347.13919,258.58875,541.24487,350.91855,118.77821,506.74939
5,0.033,204.50066,249.60347,592.7323,347.38953,258.18576,541.22607,351.38354,118.66682,506.76114
6,0.042,204.76115,249.15253,592.86401,347.49432,258.02234,541.29285,350.91855,118.77821,506.74939
7,0.05,204.80411,248.68925,592.90295,347.5936,258.14722,541.30634,351.38354,118.66682,506.76114
8,0.058,204.73158,248.52458,592.95892,347.70923,257.97751,541.38501,351.47275,118.818,506.71643
9,0.067,204.87033,248.66585,593.03033,347.70923,257.97751,541.38501,352.05627,118.69299,506.74716
10,0.075,205.01273,248.02119,592.89417,347.69885,257.97247,541.2215,351.78879,118.3216,506.72354
11,0.083,205.12556,248.12997,592.82764,347.81772,257.93121,541.25494,352.27481,118.2618,506.47458
12,0.092,205.0873,247.88292,592.78577,347.86157,257.88013,541.30597,352.27481,118.2618,506.47458
13,0.1,205.0873,247.88292,592.78577,348.1579,257.63809,541.40948,352.27481,118.2618,506.47458
14,0.108,205.0873,247.88292,592.78577,348.02084,257.85165,541.32202,352.78806,118.29166,506.65152
15,0.117,205.10126,247.99551,592.85162,348.07645,257.59729,541.36346,352.27481,118.2618,506.47458
16,0.125,204.88536,247.80608,592.80731,348.13593,257.54663,541.41266,352.27481,118.2618,506.47458
17,0.133,205.07353,247.84964,593.10968,348.07315,257.42395,541.45697,352.20563,118.05114,506.22946
18,0.142,205.0851,248.0701,593.41858,348.24942,257.38757,541.55157,352.20563,118.05114,506.22946
19,0.15,205.2363,247.71213,593.32001,348.35031,257.22162,541.59485,352.27481,118.2618,506.47458
20,0.158,205.36684,247.81841,593.35846,348.35031,257.22162,541.59485,352.20563,118.05114,506.22946
21,0.167,205.33008,247.21025,593.12714,348.46811,257.15118,541.72284,352.20563,118.05114,506.22946
22,0.175,205.25751,247.18089,593.16827,348.35031,257.22162,541.59485,352.20563,118.05114,506.22946
23,0.183,205.3255,247.45041,593.2616,348.35031,257.22162,541.59485,352.20563,118.05114,506.22946
24,0.192,205.25293,247.42105,593.30267,348.45795,257.18118,541.52338,352.20563,118.05114,506.22946
25,0.2,205.33008,247.21025,593.12714,348.45795,257.18118,541.52338,352.20563,118.05114,506.22946
26,0.208,205.36856,247.27882,593.30084,348.48477,256.88062,541.50397,352.20563,118.05114,506.22946
27,0.217,205.35559,247.0553,593.18988,348.48477,256.88062,541.50397,352.20563,118.05114,506.22946
28,0.225,205.46106,247.01454,593.11664,348.61246,256.76163,541.6228,352.20563,118.05114,506.22946
29,0.233,205.35559,247.0553,593.18988,348.61246,256.76163,541.6228,352.20563,118.05114,506.22946
30,0.242,205.35559,247.0553,593.18988,348.50494,256.80917,541.69775,352.20563,118.05114,506.22946
31,0.25,205.35559,247.0553,593.18988,348.50494,256.80917,541.69775,351.53284,118.07789,505.93036
32,0.258,205.21687,246.91396,593.11841,348.50494,256.80917,541.69775,352.08987,118.0288,506.03485
33,0.267,205.07437,246.95074,593.0943,348.65149,256.84476,541.78992,351.53284,118.07789,505.93036
34,0.275,205.35559,247.0553,593.18988,348.46811,257.15118,541.72284,351.53284,118.07789,505.93036
35,0.283,205.21309,247.09207,593.16577,348.37714,256.92108,541.57544,351.53284,118.07789,505.93036
36,0.292,205.21309,247.09207,593.16577,348.50494,256.80917,541.69775,351.53284,118.07789,505.93036
37,0.3,205.07437,246.95074,593.0943,348.33704,256.84766,541.67145,351.53284,118.07789,505.93036
38,0.308,205.07437,246.95074,593.0943,348.37714,256.92108,541.57544,351.53284,118.07789,505.93036
39,0.317,204.9763,247.07634,593.07269,348.11307,257.23166,541.5896,351.53284,118.07789,505.93036
40,0.325,204.97171,247.31651,593.20715,347.89368,257.26865,541.51453,351.53284,118.07789,505.93036
41,0.333,204.97266,247.30478,593.16345,347.89368,257.26865,541.51453,351.32562,117.98935,506.09897
42,0.342,204.9763,247.07634,593.07269,347.89368,257.26865,541.51453,351.32562,117.98935,506.09897
43,0.35,204.60237,246.69365,592.77698,347.82147,257.31982,541.466,351.32562,117.98935,506.09897
44,0.358,204.79033,246.82338,592.81342,347.89368,257.26865,541.51453,351.32562,117.98935,506.09897
45,0.367,204.79033,246.82338,592.81342,347.89368,257.26865,541.51453,351.32562,117.98935,506.09897
46,0.375,204.58876,246.65608,592.56885,347.89368,257.26865,541.51453,351.32562,117.98935,506.09897
47,0.383,204.41904,247.33405,592.62592,347.82147,257.31982,541.466,351.32562,117.98935,506.09897
48,0.392,204.73817,247.46487,592.64563,347.98563,257.31421,541.54944,351.32562,117.98935,506.09897
49,0.4,204.43585,246.9091,592.50452,347.83087,257.14609,541.55884,351.32562,117.98935,506.09897
50,0.408,204.45757,246.655,592.58551,347.83087,257.14609,541.55884,351.32562,117.98935,506.09897
51,0.417,204.58876,246.65608,592.56885,348.06714,257.31775,541.672,351.32562,117.98935,506.09897
52,0.425,204.43585,246.9091,592.50452,347.99692,257.37137,541.62872,351.25668,117.80516,505.94937
53,0.433,204.41904,247.33405,592.62592,348.22433,257.48322,541.67407,351.13776,117.79408,505.72015
54,0.442,204.41904,247.33405,592.62592,347.91718,257.22174,541.6734,350.70746,117.93645,505.7514
55,0.45,204.39131,247.1138,592.53064,347.91718,257.22174,541.6734,350.93652,117.65599,505.62433
56,0.458,204.43585,246.9091,592.50452,347.91718,257.22174,541.6734,350.93652,117.65599,505.62433
57,0.467,204.43585,246.9091,592.50452,347.91718,257.22174,541.6734,350.93652,117.65599,505.62433
58,0.475,204.43585,246.9091,592.50452,347.91718,257.22174,541.6734,351.12555,117.4564,505.81558
59,0.483,204.66512,246.78458,592.50946,347.91718,257.22174,541.6734,350.55234,117.39198,505.37683
60,0.492,204.55565,246.52936,592.60712,347.83264,257.12247,541.57727,351.01355,117.45584,505.57526
61,0.5,204.53183,246.68228,592.63928,347.83264,257.12247,541.57727,351.23526,117.07452,505.82907
62,0.508,204.66512,246.78458,592.50946,347.90921,257.02026,541.60205,351.01355,117.45584,505.57526
63,0.517,204.63763,246.65094,592.46002,347.88373,256.90732,541.52423,350.77417,117.0106,505.63071
64,0.525,204.68684,246.53044,592.59045,347.88373,256.90732,541.52423,351.23526,117.07452,505.82907
65,0.533,204.68684,246.53044,592.59045,347.93637,256.62384,541.50977,351.23526,117.07452,505.82907
66,0.542,204.68684,246.53044,592.59045,347.93637,256.62384,541.50977,351.23526,117.07452,505.82907
67,0.55,204.66516,246.68228,592.625,347.93637,256.62384,541.50977,351.23526,117.07452,505.82907
68,0.558,204.68684,246.53044,592.59045,348.08698,256.5799,541.53015,351.23526,117.07452,505.82907
69,0.567,204.66516,246.68228,592.625,348.30249,256.25143,541.56696,351.23526,117.07452,505.82907
70,0.575,205.0302,246.49303,592.76233,348.4877,256.22098,541.7785,351.23526,117.07452,505.82907
71,0.583,204.96822,246.47583,592.78217,348.62906,255.99452,541.75739,350.77417,117.0106,505.63071
72,0.592,204.93484,246.4529,592.54132,348.62906,255.99452,541.75739,351.23526,117.07452,505.82907
73,0.6,204.92064,246.45183,592.71869,348.45618,256.04941,541.66412,351.23526,117.07452,505.82907
74,0.608,205.17035,246.47464,593.04224,348.30249,256.25143,541.56696,351.3472,117.0751,506.06934
75,0.617,205.17035,246.47464,593.04224,348.38614,256.2121,541.74554,351.23526,117.07452,505.82907
76,0.625,205.06316,246.5284,592.98639,348.31485,256.27585,541.6853,351.23526,117.07452,505.82907
77,0.633,204.70045,246.56802,592.79858,348.18286,256.45444,541.74573,351.3472,117.0751,506.06934
78,0.642,204.70045,246.56802,592.79858,348.08746,256.60107,541.68378,351.3472,117.0751,506.06934
79,0.65,204.69008,246.72685,592.85126,347.96182,256.73676,541.58765,351.3472,117.0751,506.06934
80,0.658,204.70045,246.56802,592.79858,347.88525,256.83899,541.56281,351.3472,117.0751,506.06934
81,0.667,204.68137,246.54158,592.64703,347.88525,256.83899,541.56281,351.55533,117.22372,506.15402
82,0.675,204.55017,246.5405,592.6637,347.57343,256.61609,541.4292,351.33371,117.605,505.9003
83,0.683,204.55675,246.72685,592.86548,347.47433,256.76993,541.45892,351.25668,117.80516,505.94937
84,0.692,204.47118,246.69257,592.7937,347.4021,256.82111,541.4104,351.25668,117.80516,505.94937
85,0.7,204.47118,246.69257,592.7937,347.26187,256.86243,541.37878,351.25668,117.80516,505.94937
86,0.708,204.45522,247.09669,593.02411,347.40292,257.2652,541.29126,350.89539,118.13174,506.13025
87,0.717,204.42763,247.06538,592.85913,347.37622,257.56564,541.31073,350.89539,118.13174,506.13025
88,0.725,204.42763,247.06538,592.85913,347.37622,257.56564,541.31073,350.56189,118.51378,505.99533
89,0.733,204.47173,246.89047,592.9599,347.37622,257.56564,541.31073,350.56189,118.51378,505.99533
90,0.742,204.3342,246.92366,592.93927,347.37622,257.56564,541.31073,350.60577,118.49935,506.36243
91,0.75,204.38184,247.4855,592.84515,347.28494,257.56149,541.39148,350.82413,118.69099,506.39722
92,0.758,204.29071,247.91484,592.97095,347.03119,258.00882,541.35608,350.63629,118.63194,506.37494
93,0.767,204.29071,247.91484,592.97095,347.03354,257.87302,541.49542,350.75211,118.65428,506.56961
94,0.775,204.09184,248.15771,592.87445,347.11432,258.06284,541.39661,350.75211,118.65428,506.56961
95,0.783,204.09073,248.28484,592.83984,346.98642,258.17191,541.3833,350.75211,118.65428,506.56961
96,0.792,204.07164,248.25841,592.68829,347.09103,258.01147,541.45123,350.75211,118.65428,506.56961
97,0.8,203.8696,248.90459,592.62671,347.11432,258.06284,541.39661,350.75211,118.65428,506.56961
98,0.808,203.82764,248.70915,592.64551,347.00662,258.20422,541.37329,350.91855,118.77821,506.74939
99,0.817,204.1452,248.67003,592.43243,346.9201,258.367,541.47791,350.91855,118.77821,506.74939
100,0.825,203.88284,248.3945,592.1275,346.73737,258.64124,541.35657,350.79434,118.93524,506.88293
101,0.833,203.82555,249.03714,592.54089,346.73737,258.64124,541.35657,350.91855,118.77821,506.74939
102,0.842,203.8486,249.13715,592.79065,346.7262,258.88962,541.49768,350.65213,118.80863,506.70694
103,0.85,204.00632,249.02812,592.41681,346.73737,258.64124,541.35657,350.91855,118.77821,506.74939
104,0.858,204.14485,248.67375,592.36615,346.96259,258.49408,541.25269,350.75211,118.65428,506.56961
105,0.867,203.88284,248.3945,592.1275,347.06241,258.37027,541.27344,350.91855,118.77821,506.74939
106,0.875,203.85756,248.81842,592.3974,346.92224,258.37564,541.28058,350.80273,118.75584,506.55478
107,0.883,203.83534,249.07243,592.31641,347.36508,258.00797,541.31781,350.75211,118.65428,506.56961
108,0.892,204.20364,248.81773,592.22961,347.34726,257.95392,541.37476,350.75211,118.65428,506.56961
109,0.9,204.40791,248.35031,592.25299,347.36508,258.00797,541.31781,350.63629,118.63194,506.37494
110,0.908,204.27147,248.21706,592.30109,347.36508,258.00797,541.31781,350.63629,118.63194,506.37494
111,0.917,204.24438,248.77882,592.22327,347.36658,257.99716,541.16791,350.63629,118.63194,506.37494
112,0.925,204.51775,248.39775,592.21124,347.49475,258.01099,541.14117,351.23047,118.65218,506.5643
113,0.933,204.85904,247.81873,592.30688,347.43198,257.88834,541.18549,350.63629,118.63194,506.37494
114,0.942,204.93866,248.00551,591.97217,347.45819,257.78693,541.2923,350.82343,118.09502,506.30264
115,0.95,204.8396,247.91748,592.03717,347.4726,257.83682,541.23724,351.32562,117.98935,506.09897
116,0.958,204.5636,248.56952,591.98792,347.79034,257.70801,541.4043,351.32562,117.98935,506.09897
117,0.967,204.86191,248.4034,592.05396,347.79034,257.70801,541.4043,352.07373,118.1915,506.52658
118,0.975,205.04245,247.94406,592.01892,347.79034,257.70801,541.4043,351.32562,117.98935,506.09897
119,0.983,205.20772,247.61571,592.12372,347.85425,257.65811,541.45227,351.32562,117.98935,506.09897
120,0.992,205.03317,247.97945,592.14404,347.85425,257.65811,541.45227,351.32562,117.98935,506.09897
121,1,205.09088,248.10411,592.24005,348.16937,257.38226,541.56891,351.32562,117.98935,506.09897
122,1.008,205.04054,247.52135,592.43677,348.17404,257.25803,541.50024,351.32562,117.98935,506.09897
123,1.017,205.14725,247.49474,592.34772,348.11456,257.30869,541.45105,351.53284,118.07789,505.93036
124,1.025,205.11578,247.28764,592.25287,348.01239,257.2908,541.47974,351.32562,117.98935,506.09897
125,1.033,205.14725,247.49474,592.34772,348.17404,257.25803,541.50024,351.53284,118.07789,505.93036
126,1.042,205.2272,247.694,592.14789,348.17404,257.25803,541.50024,351.53284,118.07789,505.93036
127,1.05,205.40199,247.84592,591.96991,348.17404,257.25803,541.50024,351.32562,117.98935,506.09897
128,1.058,205.42545,247.36169,591.8324,348.17404,257.25803,541.50024,351.53284,118.07789,505.93036
129,1.067,205.31534,247.13997,592.14984,348.20084,256.95749,541.48083,351.32562,117.98935,506.09897
130,1.075,205.1972,247.4995,592.21753,348.17404,257.25803,541.50024,351.32562,117.98935,506.09897
131,1.083,205.0528,247.80098,591.9682,348.17404,257.25803,541.50024,351.53284,118.07789,505.93036
132,1.092,204.94463,247.41862,592.01447,348.17404,257.25803,541.50024,351.53284,118.07789,505.93036
133,1.1,205.18582,246.81564,592.30725,348.20084,256.95749,541.48083,351.53284,118.07789,505.93036
134,1.108,204.9019,246.78813,592.15472,348.03915,256.9903,541.46027,351.32562,117.98935,506.09897
135,1.117,205.04874,247.52229,592.28827,348.01239,257.2908,541.47974,351.32562,117.98935,506.09897
136,1.125,204.72377,247.65399,592.40466,347.84756,257.50665,541.38843,351.32562,117.98935,506.09897
137,1.133,204.74303,246.78558,592.2132,347.84756,257.50665,541.38843,351.32562,117.98935,506.09897
138,1.142,204.8266,246.8132,592.02606,347.74731,257.18527,541.4032,351.32562,117.98935,506.09897
139,1.15,204.75122,246.7865,592.06464,347.80426,257.4552,541.52264,351.32562,117.98935,506.09897
140,1.158,204.66527,247.84801,592.56738,347.44247,257.54791,541.39288,351.32562,117.98935,506.09897
141,1.167,204.57167,247.98483,592.30133,347.37622,257.56564,541.31073,350.89539,118.13174,506.13025
142,1.175,204.59538,247.32539,592.04767,347.37622,257.56564,541.31073,351.25366,117.95261,506.27139
143,1.183,204.47388,246.99614,592.09558,347.3457,257.46658,541.30719,350.63629,118.63194,506.37494
144,1.192,204.58586,247.30324,592.26312,347.38184,257.88968,541.28229,350.82413,118.69099,506.39722
145,1.2,204.45944,247.8029,592.6756,347.19858,258.04926,541.29706,350.75211,118.65428,506.56961
