Frame#,Time,R.Clavicle.x,R.Clavicle.y,R.Clavicle.z,L.Clavicle.x,L.Clavicle.y,L.Clavicle.z,R.Scapula.x,R.Scapula.y,R.Scapula.z,L.Scapula.x,L.Scapula.y,L.Scapula.z,R.Scap.Inf.x,R.Scap.Inf.y,R.Scap.Inf.z
1,0,-72.21859,-49.86329,1125.33801,-45.17923,164.47615,1151.13611,-232.45265,-29.53673,1126.29761,-220.68924,198.18895,1127.02014,-265.32254,-32.85909,1030.17053
2,0.008,-72.22836,-49.94275,1125.22632,-45.11221,164.62909,1150.94812,-232.45265,-29.53673,1126.29761,-220.79733,198.01248,1127.09998,-265.04956,-32.97262,1030.08093
3,0.017,-72.22836,-49.94275,1125.22632,-45.11221,164.62909,1150.94812,-232.45265,-29.53673,1126.29761,-220.79733,198.01248,1127.09998,-265.04956,-32.97262,1030.08093
4,0.025,-72.41068,-50.07177,1125.38098,-45.31912,164.97052,1150.72656,-232.22002,-29.70071,1126.42346,-220.56898,197.86115,1127.1543,-264.92801,-32.83508,1029.93408
5,0.033,-72.22836,-49.94275,1125.22632,-45.31912,164.97052,1150.72656,-232.72969,-29.38982,1126.29761,-220.37236,198.07272,1127.0238,-264.92801,-32.83508,1029.93408
6,0.042,-72.22836,-49.94275,1125.22632,-45.31912,164.97052,1150.72656,-232.6673,-29.81145,1126.31812,-220.34238,198.22177,1126.94067,-265.04956,-32.97262,1030.08093
7,0.05,-72.50477,-50.15111,1125.28198,-45.31912,164.97052,1150.72656,-232.55922,-29.81259,1126.14319,-220.46873,197.84897,1126.86157,-265.04956,-32.97262,1030.08093
8,0.058,-72.50477,-50.15111,1125.28198,-44.81519,165.6199,1150.77429,-232.55922,-29.81259,1126.14319,-220.45708,197.8932,1126.44495,-265.04956,-32.97262,1030.08093
9,0.067,-71.83292,-50.63142,1125.34875,-44.81519,165.6199,1150.77429,-232.55922,-29.81259,1126.14319,-220.34892,198.06964,1126.36511,-265.04956,-32.97262,1030.08093
10,0.075,-71.83292,-50.63142,1125.34875,-44.83714,165.69577,1150.65063,-232.55922,-29.81259,1126.14319,-220.173,197.63426,1126.47278,-265.0687,-33.06216,1029.96741
11,0.083,-71.83292,-50.63142,1125.34875,-45.13351,165.93904,1150.31396,-232.99898,-29.64278,1126.34058,-220.36159,197.38734,1126.09363,-265.0687,-33.06216,1029.96741
12,0.092,-71.52344,-51.1987,1125.29761,-45.13351,165.93904,1150.31396,-232.55594,-30.28515,1126.1106,-220.50893,197.01848,1126.13354,-264.94482,-33.20597,1029.69092
13,0.1,-71.36256,-51.43888,1125.10303,-45.13351,165.93904,1150.31396,-232.55594,-30.28515,1126.1106,-220.68973,196.47432,1125.92175,-264.92584,-33.44973,1029.70422
14,0.108,-71.32897,-51.60468,1125.18408,-45.05077,166.01607,1150.03638,-232.29472,-30.42176,1126.18896,-220.83836,196.16348,1125.76379,-264.70111,-33.91726,1029.94543
15,0.117,-71.09443,-51.67907,1125.10168,-45.01606,165.99872,1149.03564,-232.29472,-30.42176,1126.18896,-220.9014,196.03922,1125.55884,-264.37912,-34.05822,1029.85999
16,0.125,-72.0268,-51.09417,1124.73108,-45.01606,165.99872,1149.03564,-232.24062,-30.96386,1125.96411,-220.91345,195.76358,1125.45142,-264.37912,-34.05822,1029.85999
17,0.133,-72.0268,-51.09417,1124.73108,-45.07445,165.91844,1148.68701,-231.83307,-31.38852,1125.91919,-221.15733,195.89781,1125.46277,-264.37912,-34.05822,1029.85999
18,0.142,-72.0268,-51.09417,1124.73108,-45.74502,166.91246,1148.6134,-231.4545,-31.41008,1125.7677,-221.37889,195.35558,1125.41663,-264.37912,-34.05822,1029.85999
