Frame#,Time,R.Thigh.x,R.Thigh.y,R.Thigh.z,R.Thigh.Front.x,R.Thigh.Front.y,R.Thigh.Front.z,R.Knee.x,R.Knee.y,R.Knee.z,R.Knee.Medial.x,R.Knee.Medial.y,R.Knee.Medial.z
1,0,138.82744,-225.12277,587.87732,309.25302,-161.14027,618.32599,321.72467,-238.70615,529.67169,341.77881,-103.62327,537.51154
2,0.008,138.82744,-225.12277,587.87732,309.25302,-161.14027,618.32599,321.59619,-238.61819,529.52417,341.77881,-103.62327,537.51154
3,0.017,138.82744,-225.12277,587.87732,310.15018,-159.77155,618.5047,321.59619,-238.61819,529.52417,341.77881,-103.62327,537.51154
4,0.025,138.82744,-225.12277,587.87732,309.25302,-161.14027,618.32599,321.72467,-238.70615,529.67169,341.77881,-103.62327,537.51154
5,0.033,138.82744,-225.12277,587.87732,309.1889,-161.32794,618.39124,321.72467,-238.70615,529.67169,341.77881,-103.62327,537.51154
6,0.042,138.82744,-225.12277,587.87732,309.1889,-161.32794,618.39124,321.72467,-238.70615,529.67169,341.77881,-103.62327,537.51154
7,0.05,138.82744,-225.12277,587.87732,309.1889,-161.32794,618.39124,321.72467,-238.70615,529.67169,341.77881,-103.62327,537.51154
8,0.058,138.82744,-225.12277,587.87732,309.1889,-161.32794,618.39124,321.72467,-238.70615,529.67169,341.77881,-103.62327,537.51154
9,0.067,138.82744,-225.12277,587.87732,309.1889,-161.32794,618.39124,321.72467,-238.70615,529.67169,341.69284,-103.58249,537.211
10,0.075,138.82744,-225.12277,587.87732,309.1889,-161.32794,618.39124,321.72467,-238.70615,529.67169,341.77881,-103.62327,537.51154
11,0.083,138.82744,-225.12277,587.87732,309.1889,-161.32794,618.39124,321.66339,-238.94783,529.70905,341.66727,-103.78203,537.27307
12,0.092,138.82744,-225.12277,587.87732,309.1889,-161.32794,618.39124,321.66339,-238.94783,529.70905,341.58969,-103.87526,537.49023
13,0.1,138.82744,-225.12277,587.87732,309.1889,-161.32794,618.39124,321.66339,-238.94783,529.70905,341.58969,-103.87526,537.49023
14,0.108,138.82744,-225.12277,587.87732,309.1889,-161.32794,618.39124,321.66339,-238.94783,529.70905,341.56412,-104.0748,537.55237
15,0.117,138.82744,-225.12277,587.87732,309.1889,-161.32794,618.39124,321.66339,-238.94783,529.70905,341.56412,-104.0748,537.55237
16,0.125,138.82744,-225.12277,587.87732,309.216,-161.49854,618.36389,321.66339,-238.94783,529.70905,341.56412,-104.0748,537.55237
17,0.133,138.82744,-225.12277,587.87732,309.216,-161.49854,618.36389,321.66339,-238.94783,529.70905,341.56412,-104.0748,537.55237
18,0.142,138.82744,-225.12277,587.87732,309.03638,-161.5535,618.52844,321.60184,-238.4236,529.2348,341.56412,-104.0748,537.55237
19,0.15,138.82744,-225.12277,587.87732,309.66461,-160.60284,618.71436,321.60184,-238.4236,529.2348,341.49063,-104.18878,537.39484
20,0.158,138.83713,-225.20651,587.78119,309.68539,-160.78783,618.73792,321.47794,-238.5498,529.16064,341.45078,-104.33586,537.48352
21,0.167,138.82744,-225.12277,587.87732,309.68539,-160.78783,618.73792,321.35425,-238.47652,529.03168,341.49063,-104.18878,537.39484
22,0.175,138.83713,-225.20651,587.78119,309.68539,-160.78783,618.73792,321.47794,-238.5498,529.16064,341.71606,-104.30457,537.7392
23,0.183,138.83713,-225.20651,587.78119,309.68539,-160.78783,618.73792,321.47794,-238.5498,529.16064,341.45078,-104.33586,537.48352
24,0.192,138.75229,-225.3331,587.70837,309.40225,-160.83807,618.79016,321.35425,-238.47652,529.03168,341.45078,-104.33586,537.48352
25,0.2,138.82744,-225.12277,587.87732,309.46991,-160.77072,618.7132,321.47794,-238.5498,529.16064,341.45078,-104.33586,537.48352
26,0.208,138.75229,-225.3331,587.70837,309.48315,-160.85497,618.85785,321.47794,-238.5498,529.16064,341.45078,-104.33586,537.48352
27,0.217,138.83713,-225.20651,587.78119,309.52679,-160.82503,618.77435,321.47794,-238.5498,529.16064,341.45078,-104.33586,537.48352
28,0.225,138.83713,-225.20651,587.78119,309.52679,-160.82503,618.77435,321.47794,-238.5498,529.16064,341.45078,-104.33586,537.48352
29,0.233,138.75229,-225.3331,587.70837,309.40225,-160.83807,618.79016,321.35425,-238.47652,529.03168,341.45078,-104.33586,537.48352
30,0.242,138.83713,-225.20651,587.78119,309.48315,-160.85497,618.85785,321.35425,-238.47652,529.03168,341.45078,-104.33586,537.48352
31,0.25,138.72672,-225.32491,587.88843,309.40225,-160.83807,618.79016,321.47794,-238.5498,529.16064,341.64258,-104.41856,537.58167
32,0.258,138.83713,-225.20651,587.78119,309.68539,-160.78783,618.73792,321.47794,-238.5498,529.16064,341.64258,-104.41856,537.58167
33,0.267,138.75229,-225.3331,587.70837,309.68539,-160.78783,618.73792,321.7189,-238.58588,529.02899,341.45078,-104.33586,537.48352
34,0.275,138.75229,-225.3331,587.70837,309.40225,-160.83807,618.79016,321.35425,-238.47652,529.03168,341.45078,-104.33586,537.48352
35,0.283,138.75229,-225.3331,587.70837,309.48315,-160.85497,618.85785,321.3649,-238.63872,529.16345,341.64258,-104.41856,537.58167
36,0.292,138.83713,-225.20651,587.78119,309.53464,-160.62929,618.73688,321.48862,-238.71199,529.29236,341.64258,-104.41856,537.58167
37,0.3,138.75229,-225.3331,587.70837,309.65918,-160.61623,618.72107,321.63937,-238.77007,529.1991,341.45078,-104.33586,537.48352
38,0.308,138.75229,-225.3331,587.70837,309.52679,-160.82503,618.77435,321.48862,-238.71199,529.29236,341.45078,-104.33586,537.48352
39,0.317,138.83713,-225.20651,587.78119,309.52679,-160.82503,618.77435,321.48862,-238.71199,529.29236,341.68243,-104.27148,537.49298
40,0.325,138.83713,-225.20651,587.78119,309.57513,-160.38731,618.64178,321.3649,-238.63872,529.16345,341.45078,-104.33586,537.48352
41,0.333,138.83713,-225.20651,587.78119,309.63202,-160.44162,618.703,321.48862,-238.71199,529.29236,341.45078,-104.33586,537.48352
42,0.342,138.82744,-225.12277,587.87732,309.67303,-160.591,618.67865,321.48862,-238.71199,529.29236,341.45078,-104.33586,537.48352
43,0.35,138.82744,-225.12277,587.87732,309.83163,-160.55382,618.64221,321.48862,-238.71199,529.29236,341.45078,-104.33586,537.48352
44,0.358,138.82744,-225.12277,587.87732,309.81775,-160.57904,618.68463,321.3649,-238.63872,529.16345,341.49063,-104.18878,537.39484
45,0.367,138.83713,-225.20651,587.78119,309.64435,-160.63844,618.76227,321.48862,-238.71199,529.29236,341.64258,-104.41856,537.58167
46,0.375,138.82744,-225.12277,587.87732,309.66461,-160.60284,618.71436,321.30856,-238.61969,529.05151,341.45078,-104.33586,537.48352
47,0.383,138.83713,-225.20651,587.78119,309.54706,-160.78941,618.72644,321.54245,-238.77779,529.43268,341.49063,-104.18878,537.39484
48,0.392,138.83713,-225.20651,587.78119,309.67303,-160.591,618.67865,321.66324,-238.65692,529.56036,341.49063,-104.18878,537.39484
49,0.4,138.82744,-225.12277,587.87732,309.67303,-160.591,618.67865,321.53946,-238.58368,529.4314,341.49063,-104.18878,537.39484
50,0.408,138.83713,-225.20651,587.78119,309.67303,-160.591,618.67865,321.75208,-238.51672,529.75916,341.45078,-104.33586,537.48352
51,0.417,138.83713,-225.20651,587.78119,309.48578,-160.67566,618.79871,321.81537,-238.74522,530.03168,341.45078,-104.33586,537.48352
52,0.425,138.82744,-225.12277,587.87732,309.36124,-160.68871,618.81451,321.52545,-239.09802,529.62695,341.45078,-104.33586,537.48352
53,0.433,138.82744,-225.12277,587.87732,309.53464,-160.62929,618.73688,321.397,-239.01009,529.47943,341.64258,-104.41856,537.58167
54,0.442,138.83713,-225.20651,587.78119,309.67303,-160.591,618.67865,321.53494,-238.85989,529.56152,341.45078,-104.33586,537.48352
55,0.45,138.82744,-225.12277,587.87732,309.83945,-160.28993,618.72772,321.397,-239.01009,529.47943,341.49063,-104.18878,537.39484
56,0.458,138.82744,-225.12277,587.87732,309.70709,-160.56686,618.65802,321.397,-239.01009,529.47943,341.49063,-104.18878,537.39484
57,0.467,138.82744,-225.12277,587.87732,309.67303,-160.591,618.67865,321.52545,-239.09802,529.62695,341.45078,-104.33586,537.48352
58,0.475,138.82744,-225.12277,587.87732,309.44998,-160.50983,618.84473,321.397,-239.01009,529.47943,341.45078,-104.33586,537.48352
59,0.483,138.82744,-225.12277,587.87732,309.60229,-160.56192,618.65991,321.53494,-238.85989,529.56152,341.45078,-104.33586,537.48352
60,0.492,138.82744,-225.12277,587.87732,309.65918,-160.61623,618.72107,321.397,-239.01009,529.47943,341.45078,-104.33586,537.48352
61,0.5,138.82744,-225.12277,587.87732,309.61813,-160.46684,618.74542,321.397,-239.01009,529.47943,341.45078,-104.33586,537.48352
62,0.508,138.82744,-225.12277,587.87732,309.79059,-160.40442,618.66656,321.53494,-238.85989,529.56152,341.49063,-104.18878,537.39484
63,0.517,138.82744,-225.12277,587.87732,309.56128,-160.41254,618.6842,321.397,-239.01009,529.47943,341.49063,-104.18878,537.39484
64,0.525,138.82744,-225.12277,587.87732,309.57452,-160.49678,618.82892,321.397,-239.01009,529.47943,341.45078,-104.33586,537.48352
65,0.533,138.82744,-225.12277,587.87732,309.61554,-160.64618,618.80457,321.397,-239.01009,529.47943,341.45078,-104.33586,537.48352
