Frame#,Time,L.Shank.x,L.Shank.y,L.Shank.z,L.Ankle.x,L.Ankle.y,L.Ankle.z,L.Ankle.Medial.x,L.Ankle.Medial.y,L.Ankle.Medial.z
1,0,394.44916,242.55281,328.04678,295.46725,304.12589,87.3242,346.96585,189.50127,96.38265
2,0.008,394.44916,242.55281,328.04678,295.46725,304.12589,87.3242,346.91626,189.56392,96.59614
3,0.017,394.37415,242.22926,328.01175,295.46725,304.12589,87.3242,347.11545,189.77393,96.53998
4,0.025,394.47382,242.37778,328.08127,295.46725,304.12589,87.3242,347.23514,189.93916,96.44382
5,0.033,394.47382,242.37778,328.08127,295.30948,303.93668,87.32405,346.96585,189.50127,96.38265
6,0.042,394.47382,242.37778,328.08127,295.46725,304.12589,87.3242,346.96585,189.50127,96.38265
7,0.05,394.37415,242.22926,328.01175,295.50388,304.17523,87.5171,346.96585,189.50127,96.38265
8,0.058,394.74539,242.09174,328.15369,295.46725,304.12589,87.3242,346.91626,189.56392,96.59614
9,0.067,394.83795,242.06126,328.15982,295.46725,304.12589,87.3242,347.13849,189.61884,96.22359
10,0.075,394.74539,242.09174,328.15369,295.37073,304.07037,87.36142,346.96585,189.50127,96.38265
11,0.083,394.64572,241.94324,328.08417,295.46725,304.12589,87.3242,346.88727,189.29233,96.29447
12,0.092,394.64572,241.94324,328.08417,295.37073,304.07037,87.36142,346.91626,189.56392,96.59614
13,0.1,394.64572,241.94324,328.08417,295.30948,303.93668,87.32405,347.16785,189.42155,96.34094
14,0.108,394.8111,241.78542,328.07498,295.30948,303.93668,87.32405,346.88727,189.29233,96.29447
15,0.117,394.8111,241.78542,328.07498,295.30948,303.93668,87.32405,347.03055,189.60724,96.01802
16,0.125,394.8111,241.78542,328.07498,295.28946,303.78854,87.30582,347.03055,189.60724,96.01802
17,0.133,394.8111,241.78542,328.07498,295.48676,304.36615,87.25687,347.03055,189.60724,96.01802
18,0.142,394.8111,241.78542,328.07498,295.55862,304.78403,87.38093,347.18008,189.87987,96.17534
19,0.15,394.8111,241.78542,328.07498,295.39023,304.31064,87.29408,346.85791,189.48965,96.1771
20,0.158,394.8111,241.78542,328.07498,295.28946,303.78854,87.30582,346.88727,189.29233,96.29447
21,0.167,394.92062,241.7374,328.18176,295.30948,303.93668,87.32405,347.05991,189.40994,96.13538
22,0.175,394.8111,241.78542,328.07498,295.21295,303.88113,87.36127,347.05991,189.40994,96.13538
23,0.183,394.72247,241.65182,327.99185,295.39023,304.31064,87.29408,347.05991,189.40994,96.13538
24,0.192,394.88815,241.60785,327.95389,295.39023,304.31064,87.29408,347.06876,189.69353,95.91216
25,0.2,394.72311,241.58897,328.02368,295.46674,304.21805,87.23864,346.86676,189.77321,95.95389
26,0.208,394.72311,241.58897,328.02368,295.39023,304.31064,87.29408,347.03055,189.60724,96.01802
27,0.217,394.63449,241.4554,327.94052,295.48676,304.36615,87.25687,347.03055,189.60724,96.01802
28,0.225,394.74402,241.40739,328.0473,295.46725,304.12589,87.3242,347.03055,189.60724,96.01802
29,0.233,394.72311,241.58897,328.02368,295.30948,303.93668,87.32405,346.85791,189.48965,96.1771
30,0.242,394.72311,241.58897,328.02368,295.32898,304.17694,87.25671,347.08389,189.54933,95.83244
31,0.25,394.63449,241.4554,327.94052,295.32898,304.17694,87.25671,347.05991,189.40994,96.13538
32,0.258,394.57513,241.27803,327.82635,295.32898,304.17694,87.25671,347.03055,189.60724,96.01802
33,0.267,394.57513,241.27803,327.82635,295.39023,304.31064,87.29408,346.88727,189.29233,96.29447
34,0.275,394.57513,241.27803,327.82635,295.48676,304.36615,87.25687,347.08389,189.54933,95.83244
35,0.283,394.63449,241.4554,327.94052,295.32898,304.17694,87.25671,347.03055,189.60724,96.01802
36,0.292,394.74402,241.40739,328.0473,295.32898,304.17694,87.25671,347.05991,189.40994,96.13538
37,0.3,394.80014,241.41142,327.90256,295.30948,303.93668,87.32405,346.94058,189.23442,96.10892
38,0.308,394.47095,241.32674,327.86417,295.21295,303.88113,87.36127,347.08389,189.54933,95.83244
39,0.317,394.57513,241.27803,327.82635,295.30948,303.93668,87.32405,346.91125,189.43173,95.99154
40,0.325,394.74402,241.40739,328.0473,295.32898,304.17694,87.25671,347.05991,189.40994,96.13538
41,0.333,394.74402,241.40739,328.0473,295.32898,304.17694,87.25671,347.08389,189.54933,95.83244
42,0.342,394.88876,241.54498,327.98572,295.23245,304.1214,87.29393,347.12549,189.33554,96.06072
43,0.35,394.57513,241.27803,327.82635,295.37073,304.07037,87.36142,347.09613,189.53284,95.94336
44,0.358,394.57513,241.27803,327.82635,295.44724,303.97778,87.30598,347.05991,189.40994,96.13538
45,0.367,394.88876,241.54498,327.98572,295.30948,303.93668,87.32405,347.03055,189.60724,96.01802
46,0.375,394.72311,241.58897,328.02368,295.30948,303.93668,87.32405,347.05991,189.40994,96.13538
47,0.383,394.63449,241.4554,327.94052,295.30948,303.93668,87.32405,347.03055,189.60724,96.01802
48,0.392,394.63449,241.4554,327.94052,295.30948,303.93668,87.32405,347.15021,189.77246,95.92184
