Frame#,Time,L.Biceps.Lateral.x,L.Biceps.Lateral.y,L.Biceps.Lateral.z,L.Elbow.x,L.Elbow.y,L.Elbow.z,L.Elbow.Medial.x,L.Elbow.Medial.y,L.Elbow.Medial.z
1,0,-74.67181,359.98184,983.6651,-25.64424,356.95056,799.88672,-38.97371,255.38666,790.71484
2,0.008,-74.67181,359.98184,983.6651,-25.62646,357.15097,799.73676,-38.97371,255.38666,790.71484
3,0.017,-74.05667,359.93777,983.74054,-25.62646,357.15097,799.73676,-38.97371,255.38666,790.71484
4,0.025,-74.84103,360.15598,983.63855,-25.68501,357.22128,799.65796,-38.97371,255.38666,790.71484
5,0.033,-74.67181,359.98184,983.6651,-25.73014,356.95761,799.60864,-39.29041,255.60092,791.80176
6,0.042,-74.12332,359.76389,983.53912,-25.73014,356.95761,799.60864,-39.29041,255.60092,791.80176
7,0.05,-74.12332,359.76389,983.53912,-25.64962,356.79733,799.49915,-41.38978,255.67284,791.72491
8,0.058,-74.12332,359.76389,983.53912,-25.67696,356.73401,799.2998,-39.29041,255.60092,791.80176
9,0.067,-74.12332,359.76389,983.53912,-25.60058,356.86407,799.22858,-38.97371,255.38666,790.71484
10,0.075,-74.12332,359.76389,983.53912,-25.60058,356.86407,799.22858,-38.97371,255.38666,790.71484
11,0.083,-74.12332,359.76389,983.53912,-25.60058,356.86407,799.22858,-38.97371,255.38666,790.71484
12,0.092,-74.12332,359.76389,983.53912,-25.57326,356.9274,799.42792,-39.29041,255.60092,791.80176
13,0.1,-74.35925,359.76419,983.31104,-25.60058,356.86407,799.22858,-41.38978,255.67284,791.72491
14,0.108,-74.15498,359.75671,983.25281,-25.67696,356.73401,799.2998,-41.38978,255.67284,791.72491
15,0.117,-74.23696,359.70224,982.76477,-25.60378,356.7431,799.26306,-41.38978,255.67284,791.72491
16,0.125,-74.00099,359.70203,982.99286,-25.60058,356.86407,799.22858,-38.97371,255.38666,790.71484
17,0.133,-74.7538,359.92752,983.17712,-25.60058,356.86407,799.22858,-38.97371,255.38666,790.71484
18,0.142,-74.98972,359.92767,982.94897,-25.60058,356.86407,799.22858,-41.07359,255.45865,790.63855
19,0.15,-74.23696,359.70224,982.76477,-25.60058,356.86407,799.22858,-41.07359,255.45865,790.63855
20,0.158,-74.44125,359.70975,982.823,-25.54523,356.67276,799.34186,-39.29041,255.60092,791.80176
21,0.167,-74.23696,359.70224,982.76477,-25.54523,356.67276,799.34186,-39.29041,255.60092,791.80176
22,0.175,-74.00099,359.70203,982.99286,-25.54523,356.67276,799.34186,-39.29041,255.60092,791.80176
23,0.183,-74.23696,359.70224,982.76477,-25.54523,356.67276,799.34186,-41.07359,255.45865,790.63855
24,0.192,-74.23696,359.70224,982.76477,-25.60058,356.86407,799.22858,-38.97371,255.38666,790.71484
25,0.2,-74.00099,359.70203,982.99286,-25.60058,356.86407,799.22858,-38.97371,255.38666,790.71484
26,0.208,-74.00099,359.70203,982.99286,-25.60058,356.86407,799.22858,-38.97371,255.38666,790.71484
27,0.217,-74.23696,359.70224,982.76477,-25.60058,356.86407,799.22858,-38.97371,255.38666,790.71484
28,0.225,-74.00099,359.70203,982.99286,-25.54523,356.67276,799.34186,-39.29041,255.60092,791.80176
29,0.233,-73.91905,359.75641,983.48083,-25.54523,356.67276,799.34186,-39.29041,255.60092,791.80176
30,0.242,-73.91905,359.75641,983.48083,-25.54523,356.67276,799.34186,-39.29041,255.60092,791.80176
31,0.25,-73.91905,359.75641,983.48083,-25.09707,356.60944,799.35504,-37.19192,255.53044,791.87909
32,0.258,-73.85242,359.9303,983.68231,-25.123,356.89636,799.86316,-39.29041,255.60092,791.80176
33,0.267,-73.85242,359.9303,983.68231,-25.123,356.89636,799.86316,-39.29041,255.60092,791.80176
34,0.275,-73.85242,359.9303,983.68231,-25.123,356.89636,799.86316,-39.29041,255.60092,791.80176
35,0.283,-73.85242,359.9303,983.68231,-25.123,356.89636,799.86316,-37.19192,255.53044,791.87909
36,0.292,-73.48953,359.8114,983.76526,-25.123,356.89636,799.86316,-37.19192,255.53044,791.87909
37,0.3,-73.48953,359.8114,983.76526,-25.123,356.89636,799.86316,-37.19192,255.53044,791.87909
38,0.308,-73.48953,359.8114,983.76526,-25.123,356.89636,799.86316,-37.19192,255.53044,791.87909
39,0.317,-73.48953,359.8114,983.76526,-25.123,356.89636,799.86316,-37.19192,255.53044,791.87909
40,0.325,-73.48953,359.8114,983.76526,-24.93134,356.87384,800.11914,-37.19192,255.53044,791.87909
41,0.333,-73.48953,359.8114,983.76526,-24.93134,356.87384,800.11914,-37.19192,255.53044,791.87909
42,0.342,-73.12664,359.69272,983.84821,-24.60521,357.18585,800.23291,-37.19192,255.53044,791.87909
43,0.35,-72.93033,359.97861,983.84833,-24.62292,356.98535,800.383,-37.19192,255.53044,791.87909
44,0.358,-72.93033,359.97861,983.84833,-24.62292,356.98535,800.383,-37.19192,255.53044,791.87909
45,0.367,-72.83055,360.06827,984.37708,-24.52784,356.84058,800.46667,-37.19192,255.53044,791.87909
46,0.375,-73.02687,359.78235,984.37695,-24.62292,356.98535,800.383,-37.19192,255.53044,791.87909
47,0.383,-72.28247,359.85129,984.25116,-24.62292,356.98535,800.383,-37.19192,255.53044,791.87909
48,0.392,-72.28247,359.85129,984.25116,-24.1529,356.64847,800.72296,-37.19192,255.53044,791.87909
49,0.4,-72.04664,359.85117,984.47937,-23.77568,356.54504,800.95831,-37.19192,255.53044,791.87909
50,0.408,-72.27612,359.65253,984.53754,-23.99985,356.82486,801.34473,-37.19192,255.53044,791.87909
51,0.417,-72.41096,359.70624,984.80243,-23.54811,356.74759,801.38739,-36.34184,255.6389,791.88049
52,0.425,-72.27612,359.65253,984.53754,-23.50679,356.81976,801.29492,-37.19192,255.53044,791.87909
53,0.433,-72.41096,359.70624,984.80243,-23.54811,356.74759,801.38739,-36.34184,255.6389,791.88049
54,0.442,-72.41096,359.70624,984.80243,-23.54811,356.74759,801.38739,-36.34184,255.6389,791.88049
55,0.45,-72.24779,359.61307,984.8504,-23.54811,356.74759,801.38739,-36.34184,255.6389,791.88049
56,0.458,-71.89707,360.02863,984.85999,-23.33001,356.81192,801.50146,-36.34184,255.6389,791.88049
57,0.467,-72.24779,359.61307,984.8504,-23.33001,356.81192,801.50146,-36.34184,255.6389,791.88049
