Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z,R.Ulna.x,R.Ulna.y,R.Ulna.z,R.Radius.x,R.Radius.y,R.Radius.z
1,0,528.76776,-149.33017,1323.30957,623.8009,-154.229,1298.75537,608.07037,-58.05971,1331.45764
2,0.008,527.94086,-150.1068,1323.50391,623.8009,-154.229,1298.75537,609.70618,-60.25434,1331.86633
3,0.017,528.76776,-149.33017,1323.30957,623.8009,-154.229,1298.75537,611.0379,-60.84334,1332.02234
4,0.025,528.76776,-149.33017,1323.30957,623.81293,-154.37901,1298.67993,610.57025,-61.46407,1332.31128
5,0.033,528.76776,-149.33017,1323.30957,623.8009,-154.229,1298.75537,611.0379,-60.84334,1332.02234
6,0.042,528.76776,-149.33017,1323.30957,623.81293,-154.37901,1298.67993,610.57025,-61.46407,1332.31128
7,0.05,528.76776,-149.33017,1323.30957,624.00116,-154.48799,1298.74097,611.0379,-60.84334,1332.02234
8,0.058,528.76776,-149.33017,1323.30957,624.00116,-154.48799,1298.74097,610.57025,-61.46407,1332.31128
9,0.067,530.54736,-149.39055,1323.69519,624.18829,-154.92084,1298.90417,611.0379,-60.84334,1332.02234
10,0.075,530.54736,-149.39055,1323.69519,624.18829,-154.92084,1298.90417,610.57025,-61.46407,1332.31128
11,0.083,530.54736,-149.39055,1323.69519,624.18829,-154.92084,1298.90417,611.0379,-60.84334,1332.02234
12,0.092,530.54736,-149.39055,1323.69519,624.18829,-154.92084,1298.90417,610.64246,-61.28611,1332.62219
13,0.1,530.54736,-149.39055,1323.69519,624.18829,-154.92084,1298.90417,611.11383,-60.59786,1332.40295
14,0.108,530.54736,-149.39055,1323.69519,624.18829,-154.92084,1298.90417,610.64246,-61.28611,1332.62219
15,0.117,530.54736,-149.39055,1323.69519,624.50269,-154.85713,1298.92249,611.0379,-60.84334,1332.02234
16,0.125,530.54736,-149.39055,1323.69519,624.50269,-154.85713,1298.92249,610.64246,-61.28611,1332.62219
17,0.133,530.54736,-149.39055,1323.69519,624.50269,-154.85713,1298.92249,611.0379,-60.84334,1332.02234
18,0.142,530.54736,-149.39055,1323.69519,624.69409,-154.70055,1299.0426,611.11719,-61.53537,1332.37476
19,0.15,530.54736,-149.39055,1323.69519,624.69409,-154.70055,1299.0426,611.93127,-60.47214,1332.50854
20,0.158,530.54736,-149.39055,1323.69519,624.69409,-154.70055,1299.0426,611.34424,-61.33097,1332.77966
21,0.167,530.54736,-149.39055,1323.69519,624.69409,-154.70055,1299.0426,611.93127,-60.47214,1332.50854
22,0.175,530.54736,-149.39055,1323.69519,624.78796,-154.81972,1298.89795,611.84656,-60.55954,1332.58936
23,0.183,530.54736,-149.39055,1323.69519,624.69409,-154.70055,1299.0426,611.84656,-60.55954,1332.58936
24,0.192,530.54736,-149.39055,1323.69519,624.78796,-154.81972,1298.89795,611.84656,-60.55954,1332.58936
25,0.2,530.54736,-149.39055,1323.69519,625.1391,-154.72568,1298.94348,611.84656,-60.55954,1332.58936
26,0.208,530.54736,-149.39055,1323.69519,624.8938,-154.82091,1299.17883,611.84656,-60.55954,1332.58936
27,0.217,530.54736,-149.39055,1323.69519,624.67334,-155.00372,1299.01587,611.84656,-60.55954,1332.58936
28,0.225,530.54736,-149.39055,1323.69519,625.02441,-154.90968,1299.0614,611.84656,-60.55954,1332.58936
29,0.233,530.42755,-149.14738,1324.14014,625.68079,-155.53178,1299.31213,611.84656,-60.55954,1332.58936
30,0.242,530.42755,-149.14738,1324.14014,625.68079,-155.53178,1299.31213,611.84656,-60.55954,1332.58936
31,0.25,530.42755,-149.14738,1324.14014,625.68079,-155.53178,1299.31213,611.84656,-60.55954,1332.58936
32,0.258,530.42755,-149.14738,1324.14014,626.10004,-155.44696,1299.33667,611.84656,-60.55954,1332.58936
33,0.267,530.42755,-149.14738,1324.14014,626.10004,-155.44696,1299.33667,611.84656,-60.55954,1332.58936
34,0.275,530.42755,-149.14738,1324.14014,626.10004,-155.44696,1299.33667,611.84656,-60.55954,1332.58936
35,0.283,530.42755,-149.14738,1324.14014,626.10004,-155.44696,1299.33667,611.84656,-60.55954,1332.58936
36,0.292,530.42755,-149.14738,1324.14014,625.89948,-155.3725,1299.45007,611.84656,-60.55954,1332.58936
37,0.3,530.42755,-149.14738,1324.14014,626.10004,-155.44696,1299.33667,611.84656,-60.55954,1332.58936
38,0.308,530.42755,-149.14738,1324.14014,626.96198,-155.94684,1299.68896,611.84656,-60.55954,1332.58936
39,0.317,530.42755,-149.14738,1324.14014,626.68591,-156.08482,1299.5835,611.84656,-60.55954,1332.58936
40,0.325,530.42755,-149.14738,1324.14014,625.89948,-155.3725,1299.45007,611.84656,-60.55954,1332.58936
41,0.333,530.42755,-149.14738,1324.14014,626.88641,-156.1591,1299.47009,611.84656,-60.55954,1332.58936
42,0.342,530.42755,-149.14738,1324.14014,626.38867,-155.27361,1299.47864,611.84656,-60.55954,1332.58936
43,0.35,530.42755,-149.14738,1324.14014,626.96198,-155.94684,1299.68896,611.84656,-60.55954,1332.58936
44,0.358,530.42755,-149.14738,1324.14014,626.50342,-155.08969,1299.36084,611.84656,-60.55954,1332.58936
45,0.367,530.42755,-149.14738,1324.14014,627.28986,-155.80197,1299.49426,611.84656,-60.55954,1332.58936
46,0.375,530.42755,-149.14738,1324.14014,626.8028,-154.78162,1299.28076,611.84656,-60.55954,1332.58936
47,0.383,530.42755,-149.14738,1324.14014,627.58929,-155.49406,1299.41431,611.84656,-60.55954,1332.58936
48,0.392,530.42755,-149.14738,1324.14014,627.58929,-155.49406,1299.41431,611.84656,-60.55954,1332.58936
49,0.4,530.42755,-149.14738,1324.14014,627.58929,-155.49406,1299.41431,611.84656,-60.55954,1332.58936
