Frame#,Time,R.Shank.x,R.Shank.y,R.Shank.z,R.Ankle.x,R.Ankle.y,R.Ankle.z,R.Ankle.Medial.x,R.Ankle.Medial.y,R.Ankle.Medial.z
1,0,1702.77063,177.43634,367.89972,1867.41528,174.58026,135.09337,1785.80811,90.21204,137.75035
2,0.008,1691.85852,177.64384,365.83542,1850.02734,175.50616,127.75281,1766.7876,90.79694,132.40137
3,0.017,1681.68787,176.83376,364.94067,1829.92896,176.89641,121.5274,1745.47095,93.73846,128.50464
4,0.025,1671.76697,175.94609,363.37347,1810.59875,178.82457,115.07996,1725.55542,96.17821,124.32933
5,0.033,1660.7113,177.50354,363.42435,1791.65723,180.08374,109.23188,1707.25464,97.53056,119.74956
6,0.042,1650.20386,177.1902,362.34302,1773.80664,180.35152,102.13466,1688.05579,98.29218,116.96439
7,0.05,1639.71973,177.81551,361.01828,1753.91309,182.22229,98.27059,1667.75378,100.61387,114.20642
8,0.058,1630.15894,177.33044,359.96204,1733.50049,183.92294,93.88328,1648.35193,103.88506,113.82352
9,0.067,1620.11963,178.44536,359.61993,1714.87061,186.44272,91.40681,1628.98108,105.85943,110.33812
10,0.075,1610.70544,179.09613,359.82587,1696.77051,188.56619,88.86118,1610.94958,109.98531,111.06347
11,0.083,1601.42871,177.82124,360.00195,1678.43884,190.32109,86.47712,1591.79297,111.20121,111.0459
12,0.092,1591.45642,178.37595,359.57541,1659.93689,191.77805,81.39249,1578.3512,112.56615,108.67292
13,0.1,1582.82471,178.4292,358.96725,1642.23474,194.60916,79.83858,1562.44543,113.05025,108.91828
14,0.108,1572.75134,178.04031,359.15982,1627.00513,199.08549,79.64592,1546.08923,114.80768,108.73064
15,0.117,1563.13745,177.38893,359.07523,1611.18896,202.35899,78.51814,1535.93372,114.95649,106.88661
16,0.125,1553.66125,175.80901,357.76767,1600.1676,206.66374,79.09268,1527.02991,115.00166,105.21694
17,0.133,1544.58533,175.5295,357.10553,1593.0448,209.07776,80.2979,1522.00732,112.91685,102.15287
18,0.142,1537.71643,173.05704,354.86301,1590.48938,210.28574,80.10037,1521.96912,111.41655,100.87771
19,0.15,1531.69226,171.48621,353.23288,1594.00806,206.00359,79.13762,1525.2312,108.93105,99.85739
20,0.158,1525.28076,172.94991,352.57715,1595.36047,202.94843,79.35358,1523.02368,108.89563,100.73261
21,0.167,1520.58765,175.88596,352.80551,1592.49829,205.12846,80.54681,1521.96802,110.01535,100.18784
22,0.175,1515.59985,177.98636,352.69751,1591.18494,205.8768,80.56535,1520.88245,110.20181,99.9421
23,0.183,1510.82373,178.99583,351.30768,1590.27783,206.2543,80.98363,1520.48145,110.46408,99.8485
24,0.192,1507.78174,180.3611,350.94095,1589.57642,206.54065,81.23893,1519.45264,110.52731,99.09161
25,0.2,1503.08679,181.53194,349.57343,1589.10986,206.56337,81.38726,1518.46057,110.4985,98.14318
26,0.208,1500.11731,182.67599,349.30701,1588.57324,206.72539,81.61333,1518.47034,109.6758,97.47003
27,0.217,1495.58765,183.07742,348.60147,1588.57324,206.72539,81.61333,1516.99438,108.94982,97.06
28,0.225,1493.17383,182.90501,347.47522,1588.25708,206.61407,81.41776,1515.67224,108.64278,96.79397
29,0.233,1490.48645,182.07349,346.61798,1588.14978,206.5287,81.45425,1515.67224,108.64278,96.79397
30,0.242,1489.85583,181.76363,345.96875,1588.14978,206.5287,81.45425,1515.67224,108.64278,96.79397
31,0.25,1488.66406,180.91319,345.6658,1587.91882,206.38519,81.59875,1515.61169,108.52169,96.90686
32,0.258,1486.96289,180.5872,345.70685,1587.9386,206.79131,81.52339,1515.67224,108.64278,96.79397
33,0.267,1485.026,182.05484,345.53763,1588.01636,206.72202,81.86481,1515.67224,108.64278,96.79397
34,0.275,1484.49268,182.39456,345.59436,1587.93042,206.761,82.15895,1515.67224,108.64278,96.79397
35,0.283,1484.05298,182.79445,345.47162,1588.03613,206.89819,81.78239,1517.74951,109.22665,96.39608
36,0.292,1484.16956,182.91362,345.30798,1587.62891,207.08452,81.95693,1517.74951,109.22665,96.39608
37,0.3,1481.94324,185.34999,345.50925,1588.02637,207.13147,81.2227,1518.03857,109.10847,96.58615
38,0.308,1481.80042,185.0112,345.1626,1587.34717,207.12732,82.02333,1517.74951,109.22665,96.39608
39,0.317,1480.78003,186.46489,344.89423,1587.45374,206.99367,81.89019,1517.74951,109.22665,96.39608
40,0.325,1479.98059,186.31659,344.14127,1587.37158,207.13377,82.3132,1517.74951,109.22665,96.39608
41,0.333,1478.00842,187.04535,343.62549,1587.58142,207.04048,82.58303,1517.74951,109.22665,96.39608
42,0.342,1476.46545,187.6452,343.50763,1587.22156,206.97475,82.6729,1515.67224,108.64278,96.79397
43,0.35,1475.77417,187.74739,342.98767,1587.72485,207.18452,82.62233,1515.67224,108.64278,96.79397
44,0.358,1473.93787,188.4606,342.89536,1587.18164,206.87741,83.09168,1515.90271,108.88425,96.5882
45,0.367,1471.52026,187.63818,342.01422,1586.72339,206.53833,83.45244,1515.60681,108.89785,96.60513
46,0.375,1471.14185,187.26819,341.99252,1586.11243,206.58752,83.95956,1515.60681,108.89785,96.60513
47,0.383,1467.87488,188.13023,341.43933,1585.51001,206.46822,83.94493,1515.63574,108.80588,95.9912
48,0.392,1466.19629,188.77443,340.64175,1585.37964,206.43468,84.08424,1514.78882,108.55804,95.7701
49,0.4,1464.10767,188.29034,340.07529,1584.974,206.21718,84.23543,1515.40637,109.38412,94.49435
50,0.408,1463.14502,189.00809,339.72232,1584.78687,205.65891,84.69992,1514.00061,108.98475,94.48376
51,0.417,1460.95679,188.59258,338.3558,1584.15784,205.62724,84.64358,1513.54492,108.75443,94.20102
52,0.425,1458.33606,187.94481,337.99319,1583.76526,205.21652,84.75452,1513.64233,108.89806,94.04665
53,0.433,1456.53772,188.60207,337.57315,1583.60071,205.17715,84.74767,1513.479,108.90054,94.12641
54,0.442,1454.20874,186.70433,335.85062,1583.38013,205.25656,84.95057,1513.71204,108.73126,93.6609
55,0.45,1452.52673,187.37508,336.24194,1583.09155,204.88689,85.16496,1511.11926,108.4127,93.26856
56,0.458,1450.93152,187.83609,335.50003,1583.00818,204.80202,85.41829,1510.84448,107.96653,92.961
57,0.467,1449.61707,187.95189,335.19141,1583.02527,203.4576,85.43881,1510.84448,107.96653,92.961
58,0.475,1447.73364,188.15486,334.62732,1582.90295,203.47612,85.63667,1509.19946,108.70752,93.00904
59,0.483,1446.46118,187.63829,333.85526,1582.8645,203.50233,85.75133,1511.77344,108.04081,92.33217
60,0.492,1443.50366,187.42538,333.68307,1582.60168,203.22809,86.44972,1511.7312,107.92772,92.38718
61,0.5,1442.59497,186.71846,332.51193,1582.17139,202.3497,86.35992,1512.14026,107.25135,92.31133
62,0.508,1440.44531,186.10286,331.18445,1582.24255,201.89857,86.82791,1510.95264,106.57369,92.33598
