Frame#,Time,L.Forearm.x,L.Forearm.y,L.Forearm.z,L.Ulna.x,L.Ulna.y,L.Ulna.z,L.Radius.x,L.Radius.y,L.Radius.z
1,0,-1066.55505,329.04483,1005.13855,-1099.68042,395.07281,950.31232,-1077.73206,317.04282,875.67395
2,0.008,-1068.94617,329.50253,1005.14838,-1105.37244,395.60648,952.35852,-1082.0249,315.89728,875.88226
3,0.017,-1070.18408,328.50983,1005.27045,-1106.72241,395.20999,952.87354,-1085.56714,314.51318,876.96228
4,0.025,-1070.51587,328.1463,1005.54205,-1108.62573,394.31409,953.62488,-1087.26624,315.08832,877.53888
5,0.033,-1071.52966,327.35101,1005.2738,-1110.48572,393.3718,953.98663,-1089.10413,314.97476,877.84253
6,0.042,-1071.72754,326.8299,1006.1239,-1112.61707,392.90793,954.91229,-1090.43896,314.95474,878.50043
7,0.05,-1071.72754,326.8299,1006.1239,-1114.68237,392.73718,956.72369,-1094.68665,314.63065,878.89465
8,0.058,-1071.89807,326.1665,1006.11334,-1115.20898,392.04865,957.25677,-1095.75208,314.79871,878.56024
9,0.067,-1071.89807,326.1665,1006.11334,-1115.55225,391.39758,957.62537,-1097.40051,314.94656,879.12384
10,0.075,-1071.89807,326.1665,1006.11334,-1116.28784,390.32242,958.85016,-1098.1698,316.09006,879.95551
11,0.083,-1069.77551,325.51993,1006.19806,-1116.00952,389.99768,959.78827,-1098.1698,316.09006,879.95551
12,0.092,-1068.76282,326.315,1006.46594,-1116.45703,389.96887,961.0979,-1099.7417,316.30389,880.52686
13,0.1,-1066.64404,325.67032,1006.55054,-1116.45703,389.96887,961.0979,-1099.7417,316.30389,880.52686
14,0.108,-1065.15991,327.39816,1006.45026,-1116.14612,390.21155,961.53241,-1097.93274,317.69244,880.44769
15,0.117,-1064.26587,328.04523,1007.07074,-1115.68091,389.12613,961.92841,-1100.78186,316.21158,880.90186
16,0.125,-1063.68921,328.78986,1006.54633,-1115.30151,389.20432,962.00507,-1099.51978,316.32288,880.17407
17,0.133,-1061.19995,328.34747,1005.99536,-1111.86548,388.5737,961.93304,-1098.63306,316.21713,880.73468
18,0.142,-1058.16528,328.32764,1005.71973,-1111.24365,388.75659,962.177,-1097.08411,316.84357,881.29376
19,0.15,-1056.96277,329.19125,1005.4834,-1109.97058,388.87836,962.16119,-1097.07544,316.29037,882.01727
20,0.158,-1054.42603,330.89648,1004.95709,-1109.12036,389.90134,962.84454,-1095.70898,316.07574,882.31586
21,0.167,-1050.06567,330.00766,1003.96216,-1106.15234,391.85971,962.1554,-1094.13745,315.28204,881.87158
22,0.175,-1048.39099,330.71222,1003.16339,-1101.26941,391.89011,961.45898,-1089.48376,317.42807,881.41907
23,0.183,-1044.57275,330.68307,1003.50708,-1099.44543,391.92838,960.84631,-1089.48376,317.42807,881.41907
