Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z,R.Ulna.x,R.Ulna.y,R.Ulna.z,R.Radius.x,R.Radius.y,R.Radius.z
1,0,-993.9527,-199.59949,1036.75574,-1003.2644,-267.60245,961.50275,-966.17596,-190.86917,893.15723
2,0.008,-981.94312,-200.92479,1037.38062,-991.05194,-269.00055,962.72162,-951.30627,-191.1515,896.3266
3,0.017,-971.95038,-198.38,1041.87024,-979.48279,-268.64343,964.41833,-939.45569,-190.06087,899.12549
4,0.025,-960.62946,-200.08998,1043.51733,-966.86377,-270.05338,966.73755,-925.06293,-189.47726,902.4765
5,0.033,-952.44366,-200.67827,1045.77356,-955.82703,-268.34564,968.65283,-912.57043,-188.76608,904.84741
6,0.042,-942.89368,-200.43559,1047.75586,-945.1803,-269.30597,971.13739,-900.29175,-189.89256,909.90869
7,0.05,-934.10181,-201.01164,1049.12756,-934.91144,-268.34296,973.0202,-889.13672,-189.09874,911.93488
8,0.058,-927.56915,-200.82655,1050.42212,-923.91895,-267.33136,973.87695,-877.76996,-188.22552,915.74567
9,0.067,-916.51886,-200.47466,1052.24109,-914.66016,-268.36496,976.37628,-867.40936,-188.08792,918.09393
10,0.075,-908.97815,-199.45625,1053.05859,-902.77954,-266.13516,978.48694,-854.9201,-187.00162,921.11743
11,0.083,-900.78613,-198.87863,1056.19336,-893.19623,-266.62759,979.83929,-846.2265,-185.2749,922.72845
12,0.092,-891.69934,-196.73566,1056.72693,-885.65234,-265.56808,980.92694,-834.80212,-184.71103,925.91937
13,0.1,-885.04968,-198.76122,1056.85693,-875.60815,-264.71326,983.87976,-824.16559,-184.80737,927.92609
14,0.108,-876.74908,-196.4791,1058.43127,-863.8515,-264.74573,984.09418,-815.57349,-182.63007,929.75549
15,0.117,-868.84052,-193.8674,1059.58203,-855.17078,-263.61536,985.505,-808.09485,-180.92188,932.30212
16,0.125,-861.4873,-194.59358,1061.62561,-846.01624,-263.2554,988.45526,-796.46448,-181.61551,933.37476
17,0.133,-854.24951,-193.83334,1061.19495,-841.16138,-260.79935,987.95477,-789.37152,-179.5022,934.86206
18,0.142,-847.70959,-192.08075,1060.82336,-831.10828,-259.42572,988.74731,-781.21198,-178.35579,937.19427
19,0.15,-839.9787,-193.01585,1063.2406,-822.19904,-260.38464,988.67218,-773.68066,-177.0488,938.26788
20,0.158,-834.05121,-191.64183,1063.89368,-816.83838,-258.52521,989.76025,-766.06708,-175.37337,938.94824
21,0.167,-829.64972,-188.47963,1063.13562,-813.3349,-256.66107,990.10535,-759.69452,-174.48297,939.68152
22,0.175,-824.18335,-189.39613,1062.7959,-806.56348,-255.10666,990.21021,-752.85254,-174.40155,939.80841
23,0.183,-815.9635,-188.00163,1062.35132,-797.75726,-253.37132,989.77472,-747.64502,-172.83029,940.39978
24,0.192,-812.21155,-188.15494,1061.97278,-795.55414,-252.85854,988.89459,-741.83337,-171.32921,940.44836
25,0.2,-805.2149,-185.35115,1061.89111,-787.43073,-252.18744,988.63788,-734.33545,-169.94006,939.03583
26,0.208,-802.41089,-183.8732,1062.00916,-784.84357,-250.75833,988.79395,-729.69128,-169.24149,938.22168
27,0.217,-795.58429,-182.56345,1058.90283,-776.58398,-251.04568,988.89929,-724.59668,-167.67747,937.5199
28,0.225,-790.96808,-182.1266,1058.06067,-773.08569,-249.31744,988.06201,-720.10449,-166.37956,936.95868
29,0.233,-786.28241,-179.39853,1057.0365,-766.84741,-247.68564,985.31165,-717.31763,-164.93291,935.94
30,0.242,-783.73895,-177.9418,1056.99219,-763.97888,-246.19774,985.03143,-711.88379,-163.55936,934.87494
31,0.25,-777.18048,-175.35808,1056.44849,-761.94507,-244.83437,984.60913,-708.69012,-162.5704,933.49365
32,0.258,-773.80939,-171.18893,1054.46387,-760.69812,-242.49416,984.34546,-705.91681,-161.42255,932.17834
33,0.267,-772.3576,-171.27115,1053.39612,-756.98376,-240.98929,983.33362,-703.76453,-160.04755,930.02881
34,0.275,-768.13,-170.18216,1052.32117,-753.90686,-239.84422,983.37384,-700.92682,-158.77991,929.25513
35,0.283,-766.06616,-168.17641,1053.18774,-753.40479,-237.66287,981.94489,-700.50922,-158.25371,928.11346
36,0.292,-764.79578,-167.64156,1051.70435,-752.98755,-236.37384,981.66211,-697.81342,-156.53857,926.48566
37,0.3,-759.86365,-166.01796,1050.12549,-752.37036,-235.65685,980.94434,-697.11914,-155.89464,925.30353
38,0.308,-757.63348,-163.29439,1049.79736,-748.90125,-234.95549,980.46881,-697.47314,-155.7419,924.04205
39,0.317,-757.63348,-163.29439,1049.79736,-748.6488,-232.5381,979.97876,-697.25464,-153.89246,923.05548
40,0.325,-755.13672,-158.56715,1050.46582,-747.69818,-231.87822,980.63837,-697.18878,-153.67929,921.79724
41,0.333,-753.73242,-156.69783,1050.41162,-749.83911,-229.89391,980.19855,-698.11499,-152.65031,920.06372
42,0.342,-752.80493,-156.16423,1051.64636,-750.07959,-227.87767,980.10016,-699.68665,-150.80931,919.23663
43,0.35,-750.80951,-155.45644,1051.8905,-748.67627,-226.71715,980.90863,-702.37781,-149.77199,918.0614
44,0.358,-747.88,-153.54655,1052.1167,-748.03754,-225.90021,981.50714,-702.32349,-148.29762,917.29279
45,0.367,-749.24738,-150.60475,1052.39001,-749.30664,-224.4166,981.40643,-704.48108,-147.59938,915.23212
46,0.375,-746.52417,-150.64449,1051.48706,-750.70959,-221.15318,981.14099,-707.1521,-145.42957,914.46954
