Frame#,Time,L.Shank.x,L.Shank.y,L.Shank.z,L.Ankle.x,L.Ankle.y,L.Ankle.z,L.Ankle.Medial.x,L.Ankle.Medial.y,L.Ankle.Medial.z
1,0,335.36551,348.28931,275.7532,220.08702,388.48947,90.19014,240.302,295.87674,96.37913
2,0.008,335.20514,347.96558,274.57968,220.21928,387.84961,89.06168,239.75787,295.73749,95.96333
3,0.017,335.32166,347.53458,274.16675,220.53154,388.06714,88.46917,239.85898,295.18536,95.68037
4,0.025,335.65765,347.06238,274.00055,220.24144,387.27319,88.25666,238.94711,294.47238,95.33302
5,0.033,335.74506,346.55511,273.71237,220.9303,387.13153,88.43764,238.79524,294.15073,94.69689
6,0.042,335.70175,346.05667,273.59808,220.9303,387.13153,88.43764,238.92822,293.55273,94.19683
7,0.05,335.70175,346.05667,273.59808,220.73882,386.83734,88.73656,239.07146,293.41861,94.15612
8,0.058,335.85495,346.04456,273.63672,220.70285,386.51779,88.70943,238.99274,293.02234,94.0307
9,0.067,335.85495,346.04456,273.63672,220.77452,386.61688,89.01351,239.14366,292.69977,93.96323
10,0.075,336.26389,345.45435,273.56332,220.89639,386.68259,88.95851,238.66197,292.52835,93.68391
11,0.083,336.67859,344.92883,273.3714,220.83337,386.57373,89.19324,238.41661,291.77682,93.62388
12,0.092,336.73123,344.66953,273.3002,221.1199,386.16321,89.28242,238.23969,291.23044,93.54043
13,0.1,336.84177,343.95721,273.27164,221.20839,385.82346,89.41255,237.90245,290.71701,93.21899
14,0.108,336.79529,343.35675,273.19775,221.27394,385.69904,89.13933,238.27707,290.35657,93.07204
15,0.117,337.00397,342.82651,273.36221,221.27335,385.47189,89.19138,238.27034,290.45657,93.28493
16,0.125,336.88336,342.3038,273.53537,221.26944,385.18655,89.27121,238.17181,290.21768,93.14099
17,0.133,336.91327,342.08038,273.77124,221.3571,384.6492,89.03527,238.17181,290.21768,93.14099
18,0.142,336.91327,342.08038,273.77124,221.34479,384.54727,89.38488,238.39302,289.81732,93.44015
19,0.15,336.9184,342.39029,273.87762,221.66805,385.24823,90.1492,238.98407,290.63602,93.39037
20,0.158,336.86197,342.49307,274.21683,221.52182,385.74185,90.30733,238.88684,290.72311,93.52035
21,0.167,337.28372,343.05521,274.43005,221.56065,385.7153,90.4703,239.48795,290.47922,94.24203
22,0.175,337.1167,343.23953,274.96298,221.5937,385.59488,90.66981,239.76308,290.37457,94.6031
23,0.183,336.90875,343.46381,275.23947,221.78127,385.99393,90.6875,240.32492,290.94336,95.28188
24,0.192,337.15915,343.84503,275.49261,221.58897,385.98837,90.68758,240.87943,291.81018,95.91302
25,0.2,337.34924,344.95349,276.41855,221.98416,386.49026,90.7877,241.25882,292.01566,95.93602
26,0.208,337.22058,345.78299,276.80615,221.76251,386.65158,90.72849,241.18068,292.7663,96.0815
27,0.217,337.04141,346.72952,277.07816,221.33229,386.68835,90.87148,241.20157,293.33099,96.55136
28,0.225,337.21436,347.17334,277.17566,221.05211,387.0578,90.81557,241.56413,294.7774,96.78625
29,0.233,336.80356,347.9913,277.30002,221.12886,387.33908,91.08215,241.68431,294.80212,96.9182
30,0.242,336.80356,347.9913,277.30002,221.04179,387.50214,90.89234,241.46616,295.20712,97.05992
31,0.25,335.90317,348.52795,277.15796,220.32663,388.02136,91.07864,241.25038,295.92447,97.05431
32,0.258,335.29205,348.88882,276.7692,220.25597,388.25305,91.09431,241.00732,296.14285,97.23787
33,0.267,334.9982,348.88013,276.57312,220.17276,388.53653,90.85888,240.69824,296.22879,96.78931
34,0.275,335.00427,348.68942,276.12592,220.08702,388.48947,90.19014,240.73131,296.21799,96.64101
35,0.283,335.17667,348.63071,275.53708,219.85728,388.4747,89.83242,240.46545,296.14148,96.44418
36,0.292,335.05313,348.17139,274.72778,220.7209,388.09381,88.83155,240.04939,295.64627,95.81884
37,0.3,335.05078,347.78052,274.48163,220.77983,388.04736,88.41644,239.85898,295.18536,95.68037
38,0.308,335.69781,346.83981,273.83334,220.22783,387.20175,88.25983,239.25168,294.37125,95.10229
39,0.317,335.70175,346.05667,273.59808,220.48991,386.82996,88.33194,238.84213,293.54483,94.01378
40,0.325,335.70175,346.05667,273.59808,220.8107,386.55206,88.5525,238.51295,293.0376,93.7438
41,0.333,335.98178,345.58176,273.42194,220.70285,386.51779,88.70943,238.66197,292.52835,93.68391
42,0.342,336.2641,344.90454,273.33459,220.76167,386.47467,88.88918,238.69453,292.03717,93.50468
43,0.35,336.6987,344.80862,273.2825,221.1199,386.16321,89.28242,239.06554,291.41635,93.24349
44,0.358,337.1358,343.95636,273.21069,221.21234,386.10873,89.3327,238.66374,291.14056,93.27547
45,0.367,337.08765,343.47537,273.01157,221.11281,385.20941,89.24721,238.57047,290.67886,92.91456
46,0.375,337.14496,342.83066,273.12659,221.02316,384.66592,89.01229,238.17628,289.88876,93.28214
47,0.383,337.17706,342.63144,273.00061,221.17982,384.64307,89.03629,238.68089,289.44321,93.06554
48,0.392,337.0636,342.086,272.86008,221.37274,384.12048,89.02755,238.21756,289.4921,92.86362
49,0.4,337.5791,341.4455,273.28143,221.1922,383.8989,89.26828,238.65436,289.43668,92.98573
50,0.408,337.43973,341.36157,273.34402,221.36299,383.87857,89.29044,238.57523,289.70224,92.86707
51,0.417,337.59439,341.51199,273.43475,221.63156,383.84814,89.43865,238.65436,289.43668,92.98573
52,0.425,337.31509,341.65549,273.54874,221.63156,383.84814,89.43865,238.65436,289.43668,92.98573
53,0.433,337.50641,341.79218,273.87225,221.69431,384.16788,90.11021,238.55856,289.42682,93.29987
54,0.442,337.4758,342.20972,273.92145,221.62959,384.39093,90.13622,239.41814,290.1188,93.53591
55,0.45,337.52267,342.86292,274.2283,221.6066,384.41818,90.5723,239.51581,290.2486,93.97871
56,0.458,337.61313,343.11832,274.58292,221.4319,385.33865,90.48713,240.11986,290.73029,93.97124
57,0.467,337.67807,343.71176,274.94397,221.26987,385.52783,90.53294,240.06567,290.70651,94.68287
58,0.475,337.08768,344.21396,274.98511,221.37672,386.35034,90.34868,240.48187,291.16251,95.32892
59,0.483,337.16937,345.23557,275.56723,221.37672,386.35034,90.34868,241.4155,292.51584,95.60828
