Frame#,Time,C7.x,C7.y,C7.z,R.Shoulder.x,R.Shoulder.y,R.Shoulder.z,L.Shoulder.x,L.Shoulder.y,L.Shoulder.z
1,0,-152.83875,157.4621,1079.81055,-118.71474,9.94686,1037.17151,-136.62274,338.20874,1049.22498
2,0.008,-152.83875,157.4621,1079.81055,-118.69643,9.78016,1037.02173,-136.70175,338.08145,1048.9093
3,0.017,-152.83875,157.4621,1079.81055,-118.74117,9.97182,1037.00977,-136.56345,338.23001,1048.84998
4,0.025,-152.9207,157.64207,1079.6355,-118.39149,9.65496,1036.99878,-136.88692,338.26404,1048.95593
5,0.033,-152.9207,157.64207,1079.6355,-118.07365,9.10828,1037.01611,-136.88692,338.26404,1048.95593
6,0.042,-152.9207,157.64207,1079.6355,-118.07365,9.10828,1037.01611,-136.97899,337.86835,1049.06287
7,0.05,-152.9207,157.64207,1079.6355,-118.07365,9.10828,1037.01611,-137.24773,337.70685,1048.85034
8,0.058,-152.9207,157.64207,1079.6355,-118.23563,9.17415,1037.09204,-137.40616,337.69641,1048.93005
9,0.067,-152.9207,157.64207,1079.6355,-118.07365,9.10828,1037.01611,-137.31413,338.09207,1048.82312
10,0.075,-152.83875,157.4621,1079.81055,-118.15886,8.8801,1037.1239,-137.31413,338.09207,1048.82312
11,0.083,-152.83875,157.4621,1079.81055,-117.51865,8.91263,1036.95398,-136.88692,338.26404,1048.95593
12,0.092,-152.83875,157.4621,1079.81055,-117.87916,8.92202,1036.96338,-136.97899,337.86835,1049.06287
13,0.1,-152.83875,157.4621,1079.81055,-117.80225,9.27226,1036.99902,-137.00896,337.65146,1048.95203
14,0.108,-152.83875,157.4621,1079.81055,-117.92393,9.16875,1037.07849,-137.1674,337.64102,1049.03174
15,0.117,-152.83875,157.4621,1079.81055,-117.92393,9.16875,1037.07849,-137.1674,337.64102,1049.03174
16,0.125,-152.83875,157.4621,1079.81055,-117.84344,8.87195,1037.11572,-136.98227,337.45847,1048.98523
17,0.133,-152.84618,157.46437,1079.86743,-117.51865,8.91263,1036.95398,-137.34282,337.39227,1049.27515
18,0.142,-152.84618,157.46437,1079.86743,-117.37617,8.795,1037.13745,-137.03896,337.2186,1049.41492
19,0.15,-152.83875,157.4621,1079.81055,-117.51865,8.91263,1036.95398,-137.00902,337.43546,1049.52576
20,0.158,-152.83875,157.4621,1079.81055,-117.51865,8.91263,1036.95398,-136.91234,336.79346,1049.36816
21,0.167,-152.78094,157.2113,1080.1709,-117.51865,8.91263,1036.95398,-136.98195,336.69501,1049.3866
22,0.175,-152.78094,157.2113,1080.1709,-117.51865,8.91263,1036.95398,-136.94228,336.5766,1049.25732
23,0.183,-152.78094,157.2113,1080.1709,-117.63572,8.79642,1037.03711,-136.8365,336.7269,1049.03247
24,0.192,-152.45938,157.34546,1080.25208,-117.63572,8.79642,1037.03711,-136.8365,336.7269,1049.03247
25,0.2,-152.46057,157.29204,1080.31067,-117.63572,8.79642,1037.03711,-136.80655,336.94379,1049.14331
26,0.208,-152.52003,157.45795,1080.06641,-117.51865,8.91263,1036.95398,-136.67511,337.69467,1049.20264
27,0.217,-152.02319,157.16528,1079.85669,-117.51865,8.91263,1036.95398,-136.65555,337.83435,1048.95691
28,0.225,-151.86345,157.31828,1080.02405,-117.71646,8.84767,1036.88599,-136.51967,337.84283,1048.94751
29,0.233,-151.86345,157.31828,1080.02405,-117.51865,8.91263,1036.95398,-136.51967,337.84283,1048.94751
30,0.242,-152.83875,157.4621,1079.81055,-117.51865,8.91263,1036.95398,-136.51967,337.84283,1048.94751
31,0.25,-151.86345,157.31828,1080.02405,-117.51865,8.91263,1036.95398,-136.21118,337.76511,1048.68408
32,0.258,-151.86345,157.31828,1080.02405,-117.49589,9.05262,1037.05835,-136.29416,337.85062,1048.99011
33,0.267,-151.86345,157.31828,1080.02405,-117.49589,9.05262,1037.05835,-135.8309,338.18768,1048.93103
34,0.275,-151.86345,157.31828,1080.02405,-117.70917,9.34227,1036.99561,-135.7417,338.23035,1049.12061
35,0.283,-151.49364,157.7748,1080.07837,-117.56878,9.52079,1036.88757,-135.33855,338.14236,1049.01282
36,0.292,-151.49364,157.7748,1080.07837,-117.92995,9.99341,1037.15845,-135.64162,338.19934,1049.15393
37,0.3,-151.49364,157.7748,1080.07837,-118.13658,10.0602,1037.23621,-135.64162,338.19934,1049.15393
38,0.308,-151.49364,157.7748,1080.07837,-118.13658,10.0602,1037.23621,-135.84924,337.78476,1049.28137
39,0.317,-151.49364,157.7748,1080.07837,-117.81871,9.51355,1037.25342,-135.84924,337.78476,1049.28137
40,0.325,-151.49364,157.7748,1080.07837,-117.61216,9.44681,1037.17566,-135.88896,337.90311,1049.41077
41,0.333,-151.86345,157.31828,1080.02405,-117.53092,9.18087,1037.22412,-136.1394,337.81689,1049.28821
42,0.342,-151.86345,157.31828,1080.02405,-117.73869,9.25644,1037.30273,-136.31526,337.82153,1049.16626
43,0.35,-151.78111,157.23241,1080.104,-117.53092,9.18087,1037.22412,-136.59325,337.66144,1049.2384
44,0.358,-151.68851,157.13423,1080.33594,-117.31051,8.91775,1037.21643,-136.53622,337.13794,1049.21008
45,0.367,-151.68925,156.77515,1080.74414,-117.18657,8.65834,1037.29297,-136.64804,336.95432,1049.06348
46,0.375,-151.72856,157.01988,1080.46008,-117.18657,8.65834,1037.29297,-136.64804,336.95432,1049.06348
