Frame#,Time,L.Heel.x,L.Heel.y,L.Heel.z,L.Toe.x,L.Toe.y,L.Toe.z,L.MedFoot.x,L.MedFoot.y,L.MedFoot.z
1,0,160.00491,327.74219,41.91486,368.83627,340.64462,48.84742,313.401,321.12753,77.13754
2,0.008,160.20372,327.95535,42.51167,368.75095,340.49573,48.80807,313.48682,321.18332,77.06089
3,0.017,160.59962,328.31149,42.56208,368.66501,340.28064,48.89948,313.48682,321.18332,77.06089
4,0.025,160.5554,328.62292,42.75405,368.67307,340.35431,48.96743,313.51654,321.5452,77.13571
5,0.033,160.65453,328.85028,43.27263,368.62506,340.37744,48.98177,313.63309,321.84634,77.51011
6,0.042,161.35893,328.37766,43.88428,368.72906,340.27789,49.02956,314.11935,322.34155,77.64612
7,0.05,161.73994,328.02359,44.43323,368.72906,340.27789,49.02956,314.3067,322.31284,77.83927
8,0.058,161.964,327.9754,45.29945,368.99008,340.47424,48.98343,314.81998,322.9556,78.04149
9,0.067,161.82997,327.74219,46.30753,368.93951,340.6604,48.98717,315.13458,323.4407,78.75707
10,0.075,161.62514,327.47858,46.60743,368.8436,340.81033,49.09314,315.50388,323.69012,79.37247
11,0.083,161.6776,327.94217,46.91734,368.91702,341.03574,49.2418,315.64539,323.98724,79.70025
12,0.092,161.94664,328.65637,47.45133,369.40616,341.40735,49.60891,315.30948,324.8909,80.19809
13,0.1,161.79662,329.44647,47.95897,369.63873,341.82446,49.46067,315.39917,325.09604,80.56613
14,0.108,161.97444,330.69131,48.08368,369.59866,342.04553,49.42235,315.35062,325.30438,80.6918
15,0.117,161.82535,331.65326,47.86956,369.48203,342.0372,49.44761,314.86179,325.81979,81.12251
16,0.125,161.67017,332.01678,47.19505,369.30569,341.97324,49.52726,314.55661,325.68912,80.54453
17,0.133,161.31555,332.59418,46.4654,367.64731,342.62408,49.2087,314.42276,325.31381,81.30316
18,0.142,160.91611,332.14044,45.6555,367.57718,342.62857,49.2397,314.41147,325.39911,81.17549
19,0.15,160.87372,331.30545,44.72366,367.57718,342.62857,49.2397,314.16797,324.89063,80.82373
20,0.158,160.29657,331.21237,43.98354,367.48987,341.66913,48.89539,313.91003,324.70154,79.35537
21,0.167,160.27557,329.72009,43.20748,368.62225,340.82343,49.37424,314.72949,322.95193,78.27557
22,0.175,160.41827,328.40045,42.68341,368.49554,340.61478,49.22078,313.7991,322.11484,77.90701
23,0.183,160.01115,327.77176,42.27876,367.46414,341.34598,48.38552,313.32495,321.99451,77.61363
24,0.192,159.99983,327.24857,41.64824,367.3848,341.30798,48.49091,313.35718,321.47369,77.43387
25,0.2,159.91003,327.09509,41.6613,368.43378,340.32623,49.12064,313.33096,321.13812,77.31266
26,0.208,159.91003,327.09509,41.6613,367.46414,341.34598,48.38552,313.401,321.12753,77.13754
27,0.217,159.99983,327.24857,41.64824,367.49527,341.54587,48.20704,313.401,321.12753,77.13754
28,0.225,160.20256,327.11362,41.60752,367.63516,341.67984,48.23665,312.99106,320.49384,76.93049
29,0.233,160.20256,327.11362,41.60752,367.69843,341.26074,48.12294,313.26971,319.95871,76.7377
30,0.242,160.11273,326.96014,41.62058,368.81384,340.56836,48.91812,313.51605,320.26233,76.62867
31,0.25,160.11035,326.92474,41.7559,368.66501,340.28064,48.89948,313.51422,320.0918,76.61292
32,0.258,160.23517,327.10828,42.06591,368.58023,339.99011,49.01092,313.34738,319.7453,76.62952
33,0.267,160.34758,327.16064,42.17757,368.51953,339.89285,48.93639,313.43472,320.13467,76.70535
34,0.275,160.59377,327.19983,42.39967,368.56644,339.81036,48.83253,313.95963,320.40842,77.04745
35,0.283,161.35416,327.62936,42.93758,368.51953,339.89285,48.93639,313.88113,320.68686,77.22136
36,0.292,161.48238,327.40213,43.10199,368.58023,339.99011,49.01092,313.6095,321.07919,77.32046
37,0.3,161.68637,327.98572,43.74939,368.58023,339.99011,49.01092,314.20532,321.32925,77.28813
38,0.308,161.75473,327.94034,44.43173,368.51953,339.89285,48.93639,314.29172,322.05038,77.8602
39,0.317,161.88728,328.29349,45.29637,368.84927,340.26016,49.03275,314.66467,322.49023,78.01671
40,0.325,162.01778,327.87982,46.10277,368.99008,340.47424,48.98343,314.78177,323.77673,78.35844
41,0.333,161.55437,327.47302,46.72895,368.905,340.90463,49.15703,315.35843,323.58099,79.64979
42,0.342,161.80394,327.95114,47.54851,368.91992,341.05594,49.44141,315.77975,324.10593,79.89746
43,0.35,162.34525,328.57159,48.23045,369.24884,341.43033,49.60382,315.5531,325.02011,80.5042
44,0.358,162.20224,329.15274,49.28537,369.5567,341.76575,49.51193,315.78192,325.35052,80.86767
45,0.367,162.63336,329.79321,49.48024,369.52884,341.98953,49.49676,315.48816,325.52045,81.21245
46,0.375,162.60689,330.23199,49.59222,369.62823,342.15543,49.37811,315.59854,326.13138,81.57917
47,0.383,162.39706,331.19534,49.79783,369.90582,342.13049,49.38606,315.53409,326.38354,81.80791
48,0.392,162.51065,331.39542,49.77824,369.93774,342.47278,49.32117,315.66727,326.9223,81.95872
49,0.4,162.13966,331.64499,49.53195,369.96915,342.62125,49.22679,315.59091,326.66635,81.87371
50,0.408,162.0378,331.35553,49.04016,369.75372,342.62418,49.18915,315.57278,326.29514,81.58119
51,0.417,162.11575,331.11743,48.46479,369.55615,342.30334,49.20941,315.29218,325.80261,81.34357
52,0.425,161.50783,330.08362,47.06864,369.09332,342.03613,49.4209,315.10843,325.3046,80.39733
53,0.433,161.47647,329.54956,45.64122,369.09332,342.03613,49.4209,314.61493,325.01459,80.31117
54,0.442,161.30159,328.15228,44.33605,369.12643,341.63165,49.3316,314.06866,324.0347,79.51963
55,0.45,161.02339,327.04211,42.87494,368.93945,341.11203,49.17111,313.51529,322.48834,78.40997
56,0.458,160.27217,326.46146,41.98884,368.85565,340.94144,49.1779,313.29526,321.73639,77.52956
57,0.467,160.33641,326.07712,40.71953,368.9274,340.9809,49.08634,313.06201,320.91733,77.03671
58,0.475,160.08391,325.57361,40.25095,368.89581,340.99969,48.92791,312.8671,320.49252,76.80791
59,0.483,160.08391,325.57361,40.25095,369.02612,341.39731,48.91179,312.95496,320.61179,76.90756
60,0.492,160.25946,325.77298,40.57397,369.12006,341.42734,49.03119,313.04022,320.5278,77.02348
61,0.5,160.01245,326.02875,41.07424,368.96921,341.2251,49.07658,313.19217,320.58252,77.13277
