Frame#,Time,R.Wrist.x,R.Wrist.y,R.Wrist.z,R.Thumb.M1.x,R.Thumb.M1.y,R.Thumb.M1.z,R.Thumb.M2.x,R.Thumb.M2.y,R.Thumb.M2.z,R.Thumb.M3.x,R.Thumb.M3.y,R.Thumb.M3.z,R.Finger3.M1.x,R.Finger3.M1.y,R.Finger3.M1.z,R.Finger3.M2.x,R.Finger3.M2.y,R.Finger3.M2.z,R.Finger3.M3.x,R.Finger3.M3.y,R.Finger3.M3.z
1,0,126.31875,-44.6601,619.29279,120.76991,11.15802,641.12756,150.56462,43.78297,647.60925,203.21344,72.1385,621.03113,190.5728,-47.93282,633.66382,243.72626,-14.99949,611.80927,261.86261,20.90828,587.96997
2,0.008,126.35724,-44.81657,619.80042,121.04559,9.6724,641.85345,150.69533,43.95636,647.76587,203.41272,72.04601,621.3197,190.5728,-47.93282,633.66382,243.81667,-14.75475,611.95648,261.71686,20.99142,588.06372
3,0.017,126.54273,-44.93426,620.00171,120.75264,10.95818,641.08972,150.58302,44.54959,647.42706,203.6259,72.18531,621.72693,190.37,-47.88346,634.10461,244.32098,-14.59773,611.95349,261.26282,22.85643,587.85175
4,0.025,127.02327,-44.93602,620.18213,120.60817,11.19365,641.5661,149.76344,45.47622,646.70605,203.46196,72.31483,621.84155,190.21245,-47.15136,634.29773,244.14833,-14.31545,612.14349,261.34045,21.8607,588.07642
5,0.033,127.02327,-44.93602,620.18213,120.67264,12.12313,641.49365,149.64229,45.38543,646.76062,203.74092,72.68813,621.75323,190.21245,-47.15136,634.29773,245.30347,-14.16854,612.86304,261.86859,21.20905,588.30054
6,0.042,126.8061,-44.92568,620.70197,120.87705,10.81887,642.2124,150.81882,44.03039,647.6991,203.74092,72.68813,621.75323,190.21245,-47.15136,634.29773,245.72855,-14.33413,612.85236,261.86859,21.20905,588.30054
7,0.05,126.8061,-44.92568,620.70197,120.87705,10.81887,642.2124,150.81882,44.03039,647.6991,203.74092,72.68813,621.75323,190.21245,-47.15136,634.29773,245.87048,-14.07745,612.86432,261.81976,21.13129,588.12982
8,0.058,126.8061,-44.92568,620.70197,121.0374,10.83325,641.85065,150.81882,44.03039,647.6991,203.73694,73.43926,621.09314,190.21245,-47.15136,634.29773,244.45306,-14.1126,612.17834,262.10773,21.13555,588.06866
9,0.067,127.02327,-44.93602,620.18213,121.0374,10.83325,641.85065,150.85846,44.13565,647.60553,203.26022,73.31741,620.66046,190.56184,-46.24731,633.82623,244.80363,-14.13744,611.91827,261.10004,21.7979,587.72223
10,0.075,127.02327,-44.93602,620.18213,121.24081,10.50375,641.50116,150.77277,44.0184,647.32123,203.41211,72.86321,620.1391,190.69263,-46.37147,633.354,244.68968,-14.30764,611.85681,261.2662,23.13366,586.9137
