Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z,R.Ulna.x,R.Ulna.y,R.Ulna.z,R.Radius.x,R.Radius.y,R.Radius.z
1,0,68.90791,-52.97907,675.05682,107.49344,-61.74628,590.83997,160.54662,-19.25607,648.04614
2,0.008,69.70477,-54.46762,674.0451,108.15208,-62.92769,589.88269,160.60616,-20.406,647.78412
3,0.017,70.46989,-55.61582,673.87067,108.22768,-62.62866,589.39655,160.7092,-20.94,646.22461
4,0.025,72.01701,-57.04279,671.73358,108.54389,-63.40051,589.19269,161.35806,-21.06591,646.30316
5,0.033,73.5356,-57.3977,670.58545,108.88512,-63.11174,588.50385,161.01443,-20.65963,645.66547
6,0.042,73.72181,-57.71035,670.60638,108.88512,-63.11174,588.50385,160.7021,-19.38919,644.80499
7,0.05,74.23606,-57.23159,670.21356,108.67734,-62.91902,588.38806,160.10947,-18.03922,644.02576
8,0.058,73.90188,-55.87365,670.1604,108.93905,-63.24472,588.85693,160.5722,-14.68161,643.6488
9,0.067,73.53075,-54.30893,670.11682,108.8569,-62.25393,588.48712,160.69447,-14.17348,643.71619
10,0.075,73.27904,-52.58323,669.90155,109.18571,-61.83958,589.10516,160.25644,-11.02275,642.84869
11,0.083,73.2011,-50.54147,669.56818,109.3073,-60.84591,589.28564,159.68587,-8.47428,641.67755
12,0.092,72.09702,-48.21945,669.51459,108.74132,-59.74008,589.36761,159.01892,-6.16738,641.37823
13,0.1,71.84319,-46.17713,670.13678,108.74132,-59.74008,589.36761,157.35161,-3.07395,640.33545
14,0.108,71.2113,-44.90363,669.88617,109.14013,-59.6829,589.5553,156.94034,-2.25059,639.99536
15,0.117,70.55234,-44.35408,670.0094,109.11698,-58.58167,589.61176,156.34117,-0.77352,639.48969
16,0.125,70.55745,-43.28225,669.86432,109.07042,-58.23712,589.98383,156.27277,-0.3082,639.80396
17,0.133,70.01829,-43.28455,670.36957,108.85482,-59.70309,590.45416,156.24582,-1.89868,640.67352
18,0.142,69.90619,-43.23094,670.73932,108.44499,-59.71852,590.67169,155.9496,-3.50759,641.12555
19,0.15,70.43916,-43.50786,671.24762,108.44499,-59.71852,590.67169,156.63301,-6.0764,642.96289
20,0.158,70.03947,-44.34145,671.53241,108.05507,-60.24162,590.82111,157.70186,-8.54412,643.93054
21,0.167,70.10555,-45.94437,672.63513,107.95798,-60.77256,591.06879,158.37444,-8.98606,644.8252
22,0.175,70.22289,-48.0348,673.8064,107.48753,-61.04907,591.45673,158.38901,-13.50537,645.84332
23,0.183,69.74367,-49.71049,673.75793,107.79525,-63.02542,591.75055,159.87619,-16.23024,647.71753
24,0.192,69.2925,-52.71601,674.03394,107.79901,-63.63555,591.11469,160.41159,-19.17772,647.97015
25,0.2,69.89199,-54.25495,674.24518,107.71763,-63.76642,590.41205,160.61382,-22.57056,648.07153
26,0.208,69.34794,-56.42402,673.95776,107.96818,-64.75909,589.67261,161.94981,-25.10858,648.08435
27,0.217,69.46548,-58.64865,673.38489,107.10931,-64.89261,588.16211,162.25897,-26.71256,647.48151
28,0.225,69.94851,-61.02563,672.38007,108.41705,-66.0102,587.67828,162.02614,-27.10308,647.04907
29,0.233,71.50705,-61.04233,670.89557,108.86022,-66.8186,587.62067,162.26651,-27.38217,645.49274
30,0.242,72.69189,-61.36009,670.43719,109.4104,-67.33157,587.64685,161.99214,-26.80626,644.67194
31,0.25,72.63184,-61.57361,669.69031,109.47636,-67.51469,587.68286,161.56923,-24.11279,643.54816
32,0.258,72.86753,-60.66332,669.68365,108.86912,-67.02631,587.6344,161.35043,-21.36157,643.26038
33,0.267,73.15944,-58.40324,670.09039,108.62158,-66.97776,587.81073,160.63786,-21.03615,643.31604
34,0.275,73.93086,-57.68622,669.61292,107.98613,-66.63183,588.81104,159.78757,-18.01279,643.11353
35,0.283,72.60609,-54.52044,668.60834,108.2913,-66.35213,589.80389,159.55565,-15.84907,642.60651
36,0.292,71.74049,-52.48429,669.0567,108.21742,-65.05392,590.10419,158.88272,-11.23585,641.51178
37,0.3,71.20829,-49.87733,669.75537,107.74528,-63.42334,590.32904,157.67937,-10.00541,641.20166
38,0.308,70.02394,-48.19125,670.48035,107.90644,-62.86071,589.98553,155.8011,-7.10646,640.32806
39,0.317,68.10212,-46.13203,670.008,107.48252,-61.95511,589.97681,155.13322,-6.19301,640.27136
40,0.325,68.51053,-44.90717,670.62585,106.88773,-61.23294,590.37457,155.0714,-4.6025,640.39697
41,0.333,68.29687,-43.83278,670.69031,106.13145,-60.9058,590.82501,154.87991,-4.41627,640.99548
42,0.342,67.36587,-43.6238,671.21619,105.99329,-60.95037,591.41016,154.21013,-3.72119,641.06958
43,0.35,67.65889,-43.864,671.3432,105.61942,-61.32759,591.62256,154.87125,-7.48172,643.13037
44,0.358,66.8792,-45.2156,673.03967,105.4087,-61.67439,591.73224,155.3923,-10.00702,645.01239
45,0.367,67.08732,-46.56073,674.10938,105.10265,-62.11842,592.19287,155.2531,-11.18793,645.57983
46,0.375,67.58563,-48.22854,675.08868,105.04504,-62.40675,592.3623,155.76695,-15.24735,647.59656
47,0.383,68.1613,-50.27987,675.06976,105.04504,-62.40675,592.3623,157.24228,-16.4974,649.23523
48,0.392,68.05939,-53.64116,676.28278,104.76846,-63.29034,592.552,158.07671,-19.71353,649.6745
49,0.4,68.09364,-54.92982,676.08722,105.21952,-63.45917,592.25592,158.89841,-23.19603,649.93701
50,0.408,68.02566,-57.00087,675.62305,105.85117,-64.43143,591.41681,159.3903,-24.73572,649.74402
