Frame#,Time,L.Shank.x,L.Shank.y,L.Shank.z,L.Ankle.x,L.Ankle.y,L.Ankle.z,L.Ankle.Medial.x,L.Ankle.Medial.y,L.Ankle.Medial.z
1,0,339.2926,307.21014,283.71124,237.68279,321.38995,82.91856,270.99762,232.60025,95.93661
2,0.008,339.89471,306.46368,283.58594,238.23721,321.40451,83.04456,271.12604,232.36874,95.49336
3,0.017,338.67801,303.00665,283.94702,238.22791,321.01523,83.11211,271.43713,231.89151,95.56873
4,0.025,338.93475,302.43027,284.02094,238.54483,320.77869,83.63195,272.01837,231.07133,95.85458
5,0.033,339.05334,301.18881,283.33743,239.0054,319.89032,83.44385,272.14136,230.50827,95.14242
6,0.042,339.30112,300.81613,283.37769,239.08664,319.62296,83.47073,272.14136,230.50827,95.14242
7,0.05,339.53494,300.6629,283.31702,239.23434,319.48245,83.67818,272.89862,229.67505,95.06289
8,0.058,339.62476,300.15286,283.27875,239.26746,319.69604,83.77287,273.00974,229.32664,95.04109
9,0.067,340.21405,299.55649,283.10089,239.37717,318.9939,83.82133,272.60309,228.92863,94.81282
10,0.075,341.02417,299.40601,283.65271,239.38173,318.90668,83.97943,272.68369,228.78671,94.74904
11,0.083,340.92236,299.26941,283.51895,240.00183,318.66699,84.20768,272.99265,228.80438,94.76469
12,0.092,340.99185,299.28238,283.41299,240.00183,318.66699,84.20768,272.99265,228.80438,94.76469
13,0.1,341.33582,299.2775,283.19089,240.06741,318.77151,84.16501,272.99265,228.80438,94.76469
14,0.108,341.74564,299.68094,283.13553,240.06741,318.77151,84.16501,272.99265,228.80438,94.76469
15,0.117,341.89899,299.85654,283.08289,239.86345,318.90347,84.06628,272.99265,228.80438,94.76469
16,0.125,342.11078,300.12659,283.1001,239.54147,319.12677,83.91778,272.99265,228.80438,94.76469
17,0.133,342.28781,300.68237,283.0351,239.68176,319.91721,83.66698,273.00974,229.32664,95.04109
18,0.142,342.37427,301.54373,283.05692,239.70782,320.05695,83.67872,273.25467,229.74007,95.31344
19,0.15,342.31006,301.90225,282.88394,239.51889,320.37195,83.64219,272.95755,230.34903,95.32076
20,0.158,342.40567,302.32834,282.86487,239.41879,320.40198,83.71141,272.95755,230.34903,95.32076
21,0.167,343.22095,304.36407,282.59979,239.28088,320.90585,83.79335,272.42151,230.92307,95.59353
22,0.175,343.51456,305.88608,282.53329,238.64415,320.94681,83.67881,272.31003,231.74687,95.66341
23,0.183,342.79419,305.95169,282.72272,238.67505,321.33771,83.54173,272.63712,232.1512,95.80457
24,0.192,342.26767,306.33218,282.60184,238.45103,321.48608,83.10094,272.39877,232.51115,95.91183
25,0.2,339.9704,308.28552,282.3811,238.31036,321.43704,83.00622,272.0741,232.70227,96.22008
26,0.208,339.47681,308.62711,282.41623,237.67731,321.72668,83.01129,271.7655,233.26869,96.70689
27,0.217,339.4035,308.91782,282.42065,237.25781,321.74478,83.20484,271.7655,233.26869,96.70689
28,0.225,339.24399,309.16843,282.68924,237.21498,321.79639,83.16449,271.72275,233.32266,96.94859
29,0.233,339.15872,309.16772,282.76715,236.97891,321.77997,83.15519,271.61826,233.18565,96.76517
30,0.242,339.37125,309.09265,283.59421,236.90535,321.62427,83.12627,271.30029,233.23935,96.60381
31,0.25,339.37125,309.09265,283.59421,236.95518,321.51895,83.21412,271.40475,233.37633,96.78721
32,0.258,339.25797,308.2439,283.14069,237.00053,321.41226,83.11958,271.7655,233.26869,96.70689
33,0.267,339.26334,307.96399,283.60376,237.49559,321.30609,82.97745,271.66104,233.13171,96.52347
34,0.275,339.27496,307.58078,283.72217,237.49559,321.30609,82.97745,272.0741,232.70227,96.22008
35,0.283,339.39023,307.41022,283.71289,237.86557,321.06143,83.2385,271.3721,232.59056,95.89402
36,0.292,339.44888,307.08786,283.65674,237.98912,320.88229,83.14883,271.75269,232.33963,95.69774
37,0.3,339.98358,306.6044,283.68463,238.3642,320.78506,83.43701,271.87469,231.78796,95.62485
38,0.308,340.61069,305.72818,283.75369,238.65004,320.51877,83.34579,272.02628,231.32404,95.17831
39,0.317,339.39828,302.57727,283.72568,238.65004,320.51877,83.34579,272.19327,230.80135,95.00411
40,0.325,339.7532,301.54193,283.54791,239.02101,320.12906,83.48954,272.19327,230.80135,95.00411
41,0.333,339.86636,301.08759,283.4436,239.28278,319.91644,83.45509,272.92615,229.75989,94.94039
42,0.342,340.68338,299.82834,283.7269,239.31435,318.82141,83.5702,273.00974,229.32664,95.04109
43,0.35,340.97726,299.36465,283.77527,239.64592,318.77768,83.73863,272.99265,228.80438,94.76469
44,0.358,341.02417,299.40601,283.65271,239.93436,318.5817,83.79839,272.99265,228.80438,94.76469
45,0.367,341.43442,299.6933,283.39523,239.93436,318.5817,83.79839,272.99265,228.80438,94.76469
46,0.375,341.85199,299.81543,283.20541,239.93436,318.5817,83.79839,272.99265,228.80438,94.76469
47,0.383,341.96906,299.841,282.26877,240.19359,318.90793,83.81297,272.99265,228.80438,94.76469
48,0.392,342.10706,300.36066,282.2887,240.07433,319.04382,83.64961,272.99265,228.80438,94.76469
49,0.4,342.30331,300.59265,282.28333,240.0141,319.68832,83.65366,273.00974,229.32664,95.04109
50,0.408,342.44449,301.64224,283.18567,239.66893,319.97668,83.48586,273.16718,229.70068,95.08384
51,0.417,342.57745,302.17715,282.96359,239.56194,320.37936,83.30361,272.87006,230.30966,95.09118
52,0.425,342.78555,302.64624,282.86658,239.51088,320.51721,83.3787,272.87006,230.30966,95.09118
53,0.433,342.93765,303.70917,282.67276,239.68939,320.73276,83.09435,273.19382,230.77361,95.15036
